t,q,t_model,q_model
2017-02-01,6047.0,2021-08-01,9107.307233042427
2017-03-01,283.0,2021-09-01,3978.951594479629
2017-04-01,2719.0,2021-10-01,3174.495937445947
2017-05-01,1249.0,2021-11-01,2770.3344388594933
2017-06-01,660.0,2021-12-01,2512.220170792897
2017-07-01,554.0,2022-01-01,2327.517481609775
2017-08-01,425.0,2022-02-01,2186.158498798326
2017-09-01,455.0,2022-03-01,2073.0424155230094
2017-10-01,463.0,2022-04-01,1979.6055971321298
2017-11-01,389.0,2022-05-01,1900.5651739482923
2017-12-01,401.0,2022-06-01,1832.4536627819475
2018-01-01,339.0,2022-07-01,1772.8839456313442
2018-02-01,142.0,2022-08-01,1720.149220815757
2018-03-01,1059.0,2022-09-01,1672.990904298353
2018-04-01,195.0,2022-10-01,1630.456860185342
2018-05-01,251.0,2022-11-01,1591.8110548448658
2018-06-01,235.0,2022-12-01,1556.4738967552507
2018-07-01,238.0,2023-01-01,1523.9816279473507
2018-08-01,418.0,2023-02-01,1493.9579516293043
2018-09-01,333.0,2023-03-01,1466.0937525374482
2018-10-01,164.0,2023-04-01,1440.1323085721663
2018-11-01,12.0,2023-05-01,1415.8583136874286
2018-12-01,578.0,2023-06-01,1393.0895996603433
2019-01-01,337.0,2023-07-01,1371.6708036814864
2019-02-01,293.0,2023-08-01,1351.468461704928
2019-03-01,378.0,2023-09-01,1332.3671618982614
2019-04-01,101.0,2023-10-01,1314.2664968751417
2019-05-01,0.0,2023-11-01,1297.0786251714685
2019-06-01,6328.0,2023-12-01,1280.7263026118283
2019-07-01,25105.0,2024-01-01,1265.141279826434
2019-08-01,29589.0,2024-02-01,1250.2629877994539
2019-09-01,29877.0,2024-03-01,1236.0374519951272
2019-10-01,27851.0,2024-04-01,1222.4163893662055
2019-11-01,23751.0,2024-05-01,1209.3564528006848
2019-12-01,19165.0,2024-06-01,1196.818595278768
2020-01-01,22051.0,2024-07-01,1184.767531874525
2020-02-01,17724.0,2024-08-01,1173.1712822304098
2020-03-01,20882.0,2024-09-01,1162.0007796058223
2020-04-01,16542.0,2024-10-01,1151.22953530598
2020-05-01,9225.0,2024-11-01,1140.8333494197439
2020-06-01,14639.0,2024-12-01,1130.790060471744
2020-07-01,17015.0,2025-01-01,1121.0793279274021
2020-08-01,12920.0,2025-02-01,1111.6824425561279
2020-09-01,16105.0,2025-03-01,1102.5821605164006
2020-10-01,16241.0,2025-04-01,1093.762557721063
2020-11-01,14074.0,2025-05-01,1085.2089016062419
2020-12-01,15454.0,2025-06-01,1076.9075378892599
2021-01-01,10710.0,2025-07-01,1068.8457902804132
2021-02-01,4581.0,2025-08-01,1061.011871426611
2021-03-01,712.0,2025-09-01,1053.3948036244262
2021-04-01,12909.0,2025-10-01,1045.9843480560746
2021-05-01,11205.0,2025-11-01,1038.7709414823087
2021-06-01,10410.0,2025-12-01,1031.745639477564
2021-07-01,8311.0,2026-01-01,1024.900065420092
2021-08-01,9026.0,2026-02-01,1018.2263645574368
2021-09-01,7255.0,2026-03-01,1011.7171625588167
2021-10-01,3018.0,2026-04-01,1005.3655280435289
2021-11-01,20.0,2026-05-01,999.1649386406386
2021-12-01,1081.0,2026-06-01,993.1092501917931
2022-01-01,1119.0,2026-07-01,987.1926687575584
2022-02-01,828.0,2026-08-01,981.4097251294274
2022-03-01,1398.0,2026-09-01,975.7552515856762
2022-04-01,1517.0,2026-10-01,970.224360660403
2022-05-01,1848.0,2026-11-01,964.8124257220911
2022-06-01,1881.0,2026-12-01,959.5150631815079
2022-07-01,1803.0,2027-01-01,954.3281161692072
2022-08-01,1894.0,2027-02-01,949.2476395407438
2022-09-01,1241.0,2027-03-01,944.2698860833362
2022-10-01,1594.0,2027-04-01,939.391293811402
2022-11-01,1909.0,2027-05-01,934.6084742504228
2022-12-01,1404.0,2027-06-01,929.9182016191938
2023-01-01,2013.0,2027-07-01,925.3174028298437
2023-02-01,971.0,2027-08-01,920.803148233275
2023-03-01,1778.0,2027-09-01,916.3726430449796
2023-04-01,1748.0,2027-10-01,912.0232193926637
2023-05-01,1552.0,2027-11-01,907.7523289328749
2023-06-01,349.0,2027-12-01,903.5575359889474
2023-07-01,1255.0,2028-01-01,899.4365111671426
2023-08-01,1285.0,2028-02-01,895.3870254119447
2023-09-01,1581.0,2028-03-01,891.4069444651053
2023-10-01,1670.0,2028-04-01,887.4942236963013
2023-11-01,2034.0,2028-05-01,883.6469032761884
2023-12-01,2059.0,2028-06-01,879.8631036652629
2024-01-01,2254.0,2028-07-01,876.1410213943034
2024-02-01,2062.0,2028-08-01,872.4789251142894
2024-03-01,2013.0,2028-09-01,868.875151895613
2024-04-01,1751.0,2028-10-01,865.3281037581254
2024-05-01,1593.0,2028-11-01,861.8362444151268
2024-06-01,1377.0,2028-12-01,858.3980962158219
2024-07-01,1945.0,2029-01-01,855.012237272043
2024-08-01,1284.0,2029-02-01,851.6772987562082
,,2029-03-01,848.3919623585346
,,2029-04-01,845.1549578924869
,,2029-05-01,841.9650610383178
,,2029-06-01,838.8210912153443
,,2029-07-01,835.7219095743378
,,2029-08-01,832.6664171020641
,,2029-09-01,829.6535528306111
,,2029-10-01,826.6822921447019
,,2029-11-01,823.7516451806925
,,2029-12-01,820.8606553114184
,,2030-01-01,818.0083977114808
,,2030-02-01,815.1939779979542
,,2030-03-01,812.4165309418538
,,2030-04-01,809.6752192460348
,,2030-05-01,806.9692323854947
,,2030-06-01,804.2977855063348
,,2030-07-01,801.6601183798903
,,2030-08-01,799.0554944087804
,,2030-09-01,796.4831996818453
,,2030-10-01,793.9425420751434
,,2030-11-01,791.4328503963678
,,2030-12-01,788.9534735702165
,,2031-01-01,786.5037798624078
,,2031-02-01,784.083156140187
,,2031-03-01,781.6910071673027
,,2031-04-01,779.3267549315646
,,2031-05-01,776.9898380032082
,,2031-06-01,774.6797109224084
,,2031-07-01,772.3958436143815
,,2031-08-01,770.1377208306135
,,2031-09-01,767.9048416148408
,,2031-10-01,765.6967187924938
,,2031-11-01,763.5128784823875
,,2031-12-01,761.3528596295206
,,2032-01-01,759.216213557906
,,2032-02-01,757.102503542424
,,2032-03-01,755.0113043987421
,,2032-04-01,752.9422020904084
,,2032-05-01,750.8947933522658
,,2032-06-01,748.8686853293935
,,2032-07-01,746.8634952308188
,,2032-08-01,744.8788499972883
,,2032-09-01,742.9143859824269
,,2032-10-01,740.9697486466476
,,2032-11-01,739.0445922632128
,,2032-12-01,737.1385796358769
