t,q,t_model,q_model
2004-01-01,20845.0,2014-12-01,68659.07094780347
2004-02-01,17142.0,2015-01-01,64143.720489605126
2004-03-01,17837.0,2015-02-01,60395.791514695025
2004-04-01,15257.0,2015-03-01,57220.88096564143
2004-05-01,14798.0,2015-04-01,54487.09026436397
2004-06-01,25266.0,2015-05-01,52101.37708470081
2004-07-01,40495.0,2015-06-01,49995.99111516773
2004-08-01,35424.0,2015-07-01,48120.278434529486
2004-09-01,29540.0,2015-08-01,46435.51238095391
2004-10-01,26312.0,2015-09-01,44911.513492653685
2004-11-01,21886.0,2015-10-01,43524.37024516067
2004-12-01,19967.0,2015-11-01,42254.86071240731
2005-01-01,17556.0,2015-12-01,41087.33398145578
2005-02-01,14038.0,2016-01-01,40008.90106468149
2005-03-01,15785.0,2016-02-01,39008.838989673415
2005-04-01,15644.0,2016-03-01,38078.144746305064
2005-05-01,23897.0,2016-04-01,37209.196518431985
2005-06-01,34190.0,2016-05-01,36395.49299463439
2005-07-01,34174.0,2016-06-01,35631.4503548075
2005-08-01,33576.0,2016-07-01,34912.24244180112
2005-09-01,26616.0,2016-08-01,34233.67367060543
2005-10-01,19886.0,2016-09-01,33592.07703839804
2005-11-01,16371.0,2016-10-01,32984.23158238976
2005-12-01,15265.0,2016-11-01,32407.295051761852
2006-01-01,16380.0,2016-12-01,31858.748588634317
2006-02-01,13428.0,2017-01-01,31336.350967355374
2006-03-01,16550.0,2017-02-01,30838.100500705666
2006-04-01,14921.0,2017-03-01,30362.203140556838
2006-05-01,15250.0,2017-04-01,29907.04561734423
2006-06-01,14483.0,2017-05-01,29471.17270445025
2006-07-01,14143.0,2017-06-01,29053.267879592935
2006-08-01,12275.0,2017-07-01,28652.136799555057
2006-09-01,12679.0,2017-08-01,28266.693117278966
2006-10-01,14414.0,2017-09-01,27895.94625900907
2006-11-01,22718.0,2017-10-01,27538.990849375165
2006-12-01,25074.0,2017-11-01,27194.997528260774
2007-01-01,22252.0,2017-12-01,26863.204948152765
2007-02-01,21561.0,2018-01-01,26542.912776825575
2007-03-01,21361.0,2018-02-01,26233.475559516697
2007-04-01,18924.0,2018-03-01,25934.297318620225
2007-05-01,17978.0,2018-04-01,25644.82678846309
2007-06-01,15259.0,2018-05-01,25364.553198795238
2007-07-01,15939.0,2018-06-01,25093.00253389451
2007-08-01,13933.0,2018-07-01,24829.734205193414
2007-09-01,12163.0,2018-08-01,24574.33808450047
2007-10-01,12350.0,2018-09-01,24326.431852551188
2007-11-01,10837.0,2018-10-01,24085.658624053132
2007-12-01,10864.0,2018-11-01,23851.684815803343
2008-01-01,10580.0,2018-12-01,23624.198229030786
2008-02-01,9689.0,2019-01-01,23402.90632099445
2008-03-01,9698.0,2019-02-01,23187.534644165076
2008-04-01,11789.0,2019-03-01,22977.82543413132
2008-05-01,18714.0,2019-04-01,22773.536329777387
2008-06-01,15564.0,2019-05-01,22574.439211343164
2008-07-01,22808.0,2019-06-01,22380.31914375364
2008-08-01,20583.0,2019-07-01,22190.973414135635
2008-09-01,21821.0,2019-08-01,22006.21065376403
2008-10-01,23523.0,2019-09-01,21825.850035827254
2008-11-01,19701.0,2019-10-01,21649.720541398994
2008-12-01,22793.0,2019-11-01,21477.66028687116
2009-01-01,24567.0,2019-12-01,21309.51590686108
2009-02-01,27435.0,2020-01-01,21145.141987268547
2009-03-01,26144.0,2020-02-01,20984.40054373902
2009-04-01,24489.0,2020-03-01,20827.160541299647
2009-05-01,22515.0,2020-04-01,20673.2974513833
2009-06-01,20227.0,2020-05-01,20522.692842851582
2009-07-01,20956.0,2020-06-01,20375.234003977228
2009-08-01,20150.0,2020-07-01,20230.81359265543
2009-09-01,19298.0,2020-08-01,20089.32931238767
2009-10-01,19782.0,2020-09-01,19950.683611824854
2009-11-01,17900.0,2020-10-01,19814.783405873033
2009-12-01,17667.0,2020-11-01,19681.539816557444
2010-01-01,17356.0,2020-12-01,19550.867932012716
2010-02-01,20297.0,2021-01-01,19422.686582120485
2010-03-01,29677.0,2021-02-01,19296.9181294532
2010-04-01,34247.0,2021-03-01,19173.488274305866
2010-05-01,30814.0,2021-04-01,19052.325872708087
2010-06-01,29775.0,2021-05-01,18933.362766407874
2010-07-01,31677.0,2021-06-01,18816.53362390813
2010-08-01,36263.0,2021-07-01,18701.775791717017
