t,q,t_model,q_model
2015-08-01,6980.0,2015-09-01,7515.512362685888
2015-09-01,7456.0,2015-10-01,5991.1677795872365
2015-10-01,5779.0,2015-11-01,4946.830286833295
2015-11-01,5160.0,2015-12-01,4190.847153140105
2015-12-01,4492.0,2016-01-01,3620.703295595057
2016-01-01,3688.0,2016-02-01,3176.8571668722198
2016-02-01,3011.0,2016-03-01,2822.4833269834094
2016-03-01,2569.0,2016-04-01,2533.6469318368663
2016-04-01,3455.0,2016-05-01,2294.1528443573347
2016-05-01,2566.0,2016-06-01,2092.671932226999
2016-06-01,2389.0,2016-07-01,1921.0538343373441
2016-07-01,1742.0,2016-08-01,1773.2931354988716
2016-08-01,1115.0,2016-09-01,1644.872523749186
2016-09-01,1479.0,2016-10-01,1532.3322460112472
2016-10-01,1334.0,2016-11-01,1432.9801381907002
2016-11-01,1282.0,2016-12-01,1344.691625332336
2016-12-01,45.0,2017-01-01,1265.768837706181
2017-01-01,1043.0,2017-02-01,1194.839486323276
2017-02-01,807.0,2017-03-01,1130.783042498463
2017-03-01,2107.0,2017-04-01,1072.6760226434556
2017-04-01,1535.0,2017-05-01,1019.7508698281069
2017-05-01,1117.0,2017-06-01,971.3646619808287
2017-06-01,1014.0,2017-07-01,926.975022480621
2017-07-01,661.0,2017-08-01,886.1213781293707
2017-08-01,1013.0,2017-09-01,848.4102345692397
2017-09-01,852.0,2017-10-01,813.5035031579193
2017-10-01,781.0,2017-11-01,781.1091691685311
2017-11-01,689.0,2017-12-01,750.9737734115198
2017-12-01,675.0,2018-01-01,722.8763107521895
2018-01-01,631.0,2018-02-01,696.6232447859575
2018-02-01,627.0,2018-03-01,672.0444085131833
2018-03-01,596.0,2018-04-01,648.9896133750728
2018-04-01,544.0,2018-05-01,627.3258284550735
2018-05-01,576.0,2018-06-01,606.9348215299808
2018-06-01,531.0,2018-07-01,587.7111764755344
2018-07-01,476.0,2018-08-01,569.5606190947822
2018-08-01,502.0,2018-09-01,552.3985970533888
2018-09-01,625.0,2018-10-01,536.1490702343365
2018-10-01,562.0,2018-11-01,520.7434761747089
2018-11-01,444.0,2018-12-01,506.1198418483602
2018-12-01,416.0,2019-01-01,492.2220183072497
2019-01-01,512.0,2019-02-01,478.9990188913823
2019-02-01,430.0,2019-03-01,466.40444509124006
2019-03-01,549.0,2019-04-01,454.3959868725419
2019-04-01,347.0,2019-05-01,442.9349864862546
2019-05-01,381.0,2019-06-01,431.98605659177014
2019-06-01,290.0,2019-07-01,421.5167449998656
2019-07-01,431.0,2019-08-01,411.4972395585473
2019-08-01,493.0,2019-09-01,401.900107709746
2019-09-01,472.0,2019-10-01,392.7000660780923
2019-10-01,490.0,2019-11-01,383.873776146562
2019-11-01,367.0,2019-12-01,375.3996626531354
2019-12-01,406.0,2020-01-01,367.25775182822576
2020-01-01,396.0,2020-02-01,359.42952700104115
2020-02-01,284.0,2020-03-01,351.8977994476008
2020-03-01,531.0,2020-04-01,344.6465926447307
2020-04-01,357.0,2020-05-01,337.66103834186816
2020-05-01,283.0,2020-06-01,330.9272830731995
2020-06-01,322.0,2020-07-01,324.43240391249196
2020-07-01,286.0,2020-08-01,318.1643324269108
2020-08-01,265.0,2020-09-01,312.1117859181857
2020-09-01,327.0,2020-10-01,306.2642051531197
2020-10-01,272.0,2020-11-01,300.6116978834026
2020-11-01,345.0,2020-12-01,295.1449875393835
2020-12-01,385.0,2021-01-01,289.85536655581774
2021-01-01,383.0,2021-02-01,284.7346538512986
2021-02-01,292.0,2021-03-01,279.775156038507
2021-03-01,328.0,2021-04-01,274.9696319907256
2021-04-01,323.0,2021-05-01,270.31126043228005
2021-05-01,338.0,2021-06-01,265.7936102575168
2021-06-01,338.0,2021-07-01,261.41061331533103
2021-07-01,298.0,2021-08-01,257.1565394247302
2021-08-01,271.0,2021-09-01,253.0259734119743
2021-09-01,282.0,2021-10-01,249.01379398193157
2021-10-01,309.0,2021-11-01,245.11515425580137
2021-11-01,292.0,2021-12-01,241.32546382461803
2021-12-01,309.0,2022-01-01,237.6403721832489
2022-01-01,278.0,2022-02-01,234.0557534231735
2022-02-01,307.0,2022-03-01,230.56769207439757
2022-03-01,300.0,2022-04-01,227.17246999759746
2022-04-01,303.0,2022-05-01,223.8665542371639
2022-05-01,228.0,2022-06-01,220.64658575436206
2022-06-01,306.0,2022-07-01,217.5093689674674
2022-07-01,280.0,2022-08-01,214.4518620325735
2022-08-01,485.0,2022-09-01,211.47116780490038
2022-09-01,363.0,2022-10-01,208.56452542593408
2022-10-01,259.0,2022-11-01,205.72930248667123
2022-11-01,286.0,2022-12-01,202.9629877216901
2022-12-01,302.0,2023-01-01,200.26318419277752
2023-01-01,292.0,2023-02-01,197.62760292445353
2023-02-01,221.0,2023-03-01,195.05405695699795
2023-03-01,267.0,2023-04-01,192.5404557855317
2023-04-01,238.0,2023-05-01,190.084800156374
2023-05-01,262.0,2023-06-01,187.68517719431372
2023-06-01,221.0,2023-07-01,185.33975583662374
2023-07-01,220.0,2023-08-01,183.04678255163745
2023-08-01,308.0,2023-09-01,180.8045773215137
