t,q,t_model,q_model
2012-10-01,14785.0,2012-11-01,16491.75818972618
2012-11-01,16449.0,2012-12-01,10529.212878717415
2012-12-01,10842.0,2013-01-01,7947.298383451071
2013-01-01,7910.0,2013-02-01,6471.49435397331
2013-02-01,5864.0,2013-03-01,5504.185804043331
2013-03-01,5642.0,2013-04-01,4815.68673621771
2013-04-01,4684.0,2013-05-01,4297.773420474846
2013-05-01,4336.0,2013-06-01,3892.3892089427072
2013-06-01,3827.0,2013-07-01,3565.4354279350277
2013-07-01,3568.0,2013-08-01,3295.493627934434
2013-08-01,3384.0,2013-09-01,3068.393872408595
2013-09-01,2970.0,2013-10-01,2874.3660623029527
2013-10-01,3008.0,2013-11-01,2706.442610292544
2013-11-01,2662.0,2013-12-01,2559.513065005887
2013-12-01,2538.0,2014-01-01,2429.739066573187
2014-01-01,2403.0,2014-02-01,2314.178459035175
2014-02-01,2149.0,2014-03-01,2210.5359360258853
2014-03-01,2211.0,2014-04-01,2116.992993828348
2014-04-01,2095.0,2014-05-01,2032.089140052712
2014-05-01,2087.0,2014-06-01,1954.6371293290745
2014-06-01,1961.0,2014-07-01,1883.6613299384871
2014-07-01,1944.0,2014-08-01,1818.3521492118214
2014-08-01,1800.0,2014-09-01,1758.0318201196942
2014-09-01,1812.0,2014-10-01,1702.1283633796259
2014-10-01,1704.0,2014-11-01,1650.1555238992053
2014-11-01,1751.0,2014-12-01,1601.6971345841573
2014-12-01,1765.0,2015-01-01,1556.394803364237
2015-01-01,1593.0,2015-02-01,1513.9381241176422
2015-02-01,1383.0,2015-03-01,1474.0568252710386
2015-03-01,1338.0,2015-04-01,1436.5144209505117
2015-04-01,1392.0,2015-05-01,1401.1030381088033
2015-05-01,1458.0,2015-06-01,1367.639171988726
2015-06-01,1157.0,2015-07-01,1335.9601803316893
2015-07-01,1449.0,2015-08-01,1305.9213698800013
2015-08-01,1502.0,2015-09-01,1277.3935610967344
2015-09-01,1518.0,2015-10-01,1250.2610415471433
2015-10-01,1522.0,2015-11-01,1224.419837116903
2015-11-01,1412.0,2015-12-01,1199.7762446674392
2015-12-01,1463.0,2016-01-01,1176.2455809221572
2016-01-01,1406.0,2016-02-01,1153.751111125746
2016-02-01,1281.0,2016-03-01,1132.223127902636
2016-03-01,1430.0,2016-04-01,1111.5981561922072
2016-04-01,1434.0,2016-05-01,1091.818264481894
2016-05-01,1382.0,2016-06-01,1072.8304660400647
2016-06-01,1295.0,2016-07-01,1054.5861966551922
2016-07-01,1328.0,2016-08-01,1037.0408576594996
2016-08-01,1262.0,2016-09-01,1020.1534148644274
2016-09-01,1094.0,2016-10-01,1003.8860455476153
2016-10-01,1153.0,2016-11-01,988.2038268736057
2016-11-01,1103.0,2016-12-01,973.0744601557205
2016-12-01,1068.0,2017-01-01,958.4680262160186
2017-01-01,1076.0,2017-02-01,944.3567678068619
2017-02-01,945.0,2017-03-01,930.7148956476524
2017-03-01,1010.0,2017-04-01,917.5184151247705
2017-04-01,961.0,2017-05-01,904.7449711186048
2017-05-01,961.0,2017-06-01,892.3737087724578
2017-06-01,904.0,2017-07-01,880.3851483151852
2017-07-01,774.0,2017-08-01,868.7610723016747
2017-08-01,943.0,2017-09-01,857.4844238501419
2017-09-01,748.0,2017-10-01,846.5392146387627
2017-10-01,796.0,2017-11-01,835.9104415813722
2017-11-01,782.0,2017-12-01,825.5840112369989
2017-12-01,788.0,2018-01-01,815.546671124294
2018-01-01,824.0,2018-02-01,805.7859472122943
2018-02-01,673.0,2018-03-01,796.2900869458425
2018-03-01,732.0,2018-04-01,787.0480072393424
2018-04-01,752.0,2018-05-01,778.0492469380526
2018-05-01,684.0,2018-06-01,769.2839233032051
2018-06-01,652.0,2018-07-01,760.7426921270859
2018-07-01,704.0,2018-08-01,752.4167111278363
2018-08-01,697.0,2018-09-01,744.297606311971
2018-09-01,245.0,2018-10-01,736.377441026207
2018-10-01,717.0,2018-11-01,728.6486874497622
2018-11-01,795.0,2018-12-01,721.104200304356
2018-12-01,732.0,2019-01-01,713.7371925821716
2019-01-01,808.0,2019-02-01,706.5412131124147
2019-02-01,673.0,2019-03-01,699.5101258051697
2019-03-01,750.0,2019-04-01,692.638090427282
2019-04-01,708.0,2019-05-01,685.9195447792589
2019-05-01,660.0,2019-06-01,679.3491881548764
2019-06-01,664.0,2019-07-01,672.921965976506
2019-07-01,653.0,2019-08-01,666.6330555092944
2019-08-01,676.0,2019-09-01,660.4778525663762
2019-09-01,652.0,2019-10-01,654.451959125409
2019-10-01,644.0,2019-11-01,648.5511717839923
2019-11-01,618.0,2019-12-01,642.7714709880642
2019-12-01,597.0,2020-01-01,637.1090109732409
2020-01-01,587.0,2020-02-01,631.5601103643622
2020-02-01,584.0,2020-03-01,626.1212433832677
2020-03-01,540.0,2020-04-01,620.7890316191408
2020-04-01,550.0,2020-05-01,615.5602363196463
2020-05-01,666.0,2020-06-01,610.4317511646102
2020-06-01,588.0,2020-07-01,605.400595487181
2020-07-01,429.0,2020-08-01,600.4639079103011
2020-08-01,636.0,2020-09-01,595.6189403689493
2020-09-01,605.0,2020-10-01,590.8630524909966
2020-10-01,573.0,2020-11-01,586.1937063116933
2020-11-01,564.0,2020-12-01,581.6084612987784
2020-12-01,559.0,2021-01-01,577.1049696670091
2021-01-01,570.0,2021-02-01,572.6809719625513
2021-02-01,434.0,2021-03-01,568.3342928991717
2021-03-01,553.0,2021-04-01,564.0628374295499
2021-04-01,521.0,2021-05-01,559.8645870362831
2021-05-01,514.0,2021-06-01,555.7375962283039
2021-06-01,475.0,2021-07-01,551.6799892294936
2021-07-01,456.0,2021-08-01,547.6899568472311
2021-08-01,472.0,2021-09-01,543.7657535095177
2021-09-01,469.0,2021-10-01,539.9056944601225
2021-10-01,585.0,2021-11-01,536.1081531019538
