t,q,t_model,q_model
2013-11-01,225.0,2014-05-01,4010.3871820853315
2013-12-01,977.0,2014-06-01,2466.6302680702765
2014-01-01,490.0,2014-07-01,1804.629132526225
2014-02-01,188.0,2014-08-01,1432.7142168297216
2014-03-01,0.0,2014-09-01,1193.0403841558723
2014-04-01,0.0,2014-10-01,1025.0754027779408
2014-05-01,3677.0,2014-11-01,900.4894247524495
2014-06-01,3559.0,2014-12-01,804.207942762261
2014-07-01,2250.0,2015-01-01,727.4515962261283
2014-08-01,805.0,2015-02-01,664.7515691709962
2014-09-01,734.0,2015-03-01,612.5188752645176
2014-10-01,1350.0,2015-04-01,568.2979709344912
2014-11-01,704.0,2015-05-01,530.350539624004
2014-12-01,1043.0,2015-06-01,497.4105227668354
2015-01-01,145.0,2015-07-01,468.5333557090036
2015-02-01,228.0,2015-08-01,442.9996261543425
2015-03-01,84.0,2015-09-01,420.2515006302526
2015-04-01,165.0,2015-10-01,399.84959287526783
2015-05-01,160.0,2015-11-01,381.44298290212197
2015-06-01,76.0,2015-12-01,364.74792709420893
2015-07-01,128.0,2016-01-01,349.53245034603736
2015-08-01,63.0,2016-02-01,335.6050043490442
2015-09-01,81.0,2016-03-01,322.8059905756238
2015-10-01,1000.0,2016-04-01,311.0013363290111
2015-11-01,834.0,2016-05-01,300.0775651602036
2015-12-01,503.0,2016-06-01,289.9379704462541
2016-01-01,562.0,2016-07-01,280.49961391026346
2016-02-01,482.0,2016-08-01,271.6909483792288
2016-03-01,423.0,2016-09-01,263.44991808707135
2016-04-01,308.0,2016-10-01,255.72242800416043
2016-05-01,232.0,2016-11-01,248.46110101272268
2016-06-01,280.0,2016-12-01,241.62426156568557
2016-07-01,195.0,2017-01-01,235.1750989968977
2016-08-01,275.0,2017-02-01,229.08097441713804
2016-09-01,276.0,2017-03-01,223.31284318684874
2016-10-01,291.0,2017-04-01,217.84477104103968
2016-11-01,239.0,2017-05-01,212.6535265769301
2016-12-01,256.0,2017-06-01,207.71823637468776
2017-01-01,182.0,2017-07-01,203.02009177657752
2017-02-01,7.0,2017-08-01,198.54209849735648
2017-03-01,281.0,2017-09-01,194.2688619242463
2017-04-01,233.0,2017-10-01,190.18640229624035
2017-05-01,236.0,2017-11-01,186.28199501070895
2017-06-01,300.0,2017-12-01,182.54403215121
2017-07-01,185.0,2018-01-01,178.96190201042012
2017-08-01,56.0,2018-02-01,175.52588393160144
2017-09-01,115.0,2018-03-01,172.22705623828736
2017-10-01,141.0,2018-04-01,169.05721538603476
2017-11-01,218.0,2018-05-01,166.00880476861704
2017-12-01,95.0,2018-06-01,163.07485185681892
2018-01-01,198.0,2018-07-01,160.24891255120514
2018-02-01,175.0,2018-08-01,157.5250217989201
2018-03-01,218.0,2018-09-01,154.89764966513476
2018-04-01,58.0,2018-10-01,152.36166216731502
2018-05-01,170.0,2018-11-01,149.91228627915189
2018-06-01,142.0,2018-12-01,147.54507859408673
2018-07-01,218.0,2019-01-01,145.25589720857002
2018-08-01,173.0,2019-02-01,143.04087644469766
2018-09-01,0.0,2019-03-01,140.89640408245592
2018-10-01,52.0,2019-04-01,138.81910081493774
2018-11-01,71.0,2019-05-01,136.805801676773
2018-12-01,37.0,2019-06-01,134.85353922763343
2019-01-01,144.0,2019-07-01,132.95952829985276
2019-02-01,771.0,2019-08-01,131.12115214262596
2019-03-01,272.0,2019-09-01,129.33594981548637
2019-04-01,0.0,2019-10-01,127.60160470128335
2019-05-01,170.0,2019-11-01,125.91593402409144
2019-06-01,433.0,2019-12-01,124.27687927071325
