t,q,t_model,q_model
2011-05-01,6628.0,2013-12-01,3035.505337368419
2011-06-01,5407.0,2014-01-01,2557.0447729927837
2011-07-01,1620.0,2014-02-01,2199.5046529351794
2011-08-01,7739.0,2014-03-01,1923.1625704684927
2011-09-01,12598.0,2014-04-01,1703.7995481807268
2011-10-01,8839.0,2014-05-01,1525.8528818787884
2011-11-01,5696.0,2014-06-01,1378.8899866247993
2011-12-01,6303.0,2014-07-01,1255.6692751734097
2012-01-01,6270.0,2014-08-01,1151.0151169709204
2012-02-01,5093.0,2014-09-01,1061.135354888714
2012-03-01,7669.0,2014-10-01,983.1913769687163
2012-04-01,3006.0,2014-11-01,915.0183805899766
2012-05-01,3911.0,2014-12-01,854.9381806449991
2012-06-01,1366.0,2015-01-01,801.6308282822
2012-07-01,5081.0,2015-02-01,754.0446303322299
2012-08-01,2750.0,2015-03-01,711.3318521454383
2012-09-01,3879.0,2015-04-01,672.8019701845257
2012-10-01,3444.0,2015-05-01,637.8871494554032
2012-11-01,2631.0,2015-06-01,606.1163857258554
2012-12-01,3768.0,2015-07-01,577.0958867892614
2013-01-01,3544.0,2015-08-01,550.4940111527269
2013-02-01,3314.0,2015-09-01,526.029579869614
2013-03-01,3210.0,2015-10-01,503.4627153527579
2013-04-01,2234.0,2015-11-01,482.5875944973052
2013-05-01,2052.0,2015-12-01,463.2266670259033
2013-06-01,2569.0,2016-01-01,445.226006112157
2013-07-01,1879.0,2016-02-01,428.45154182399193
2013-08-01,2200.0,2016-03-01,412.7859886328123
2013-09-01,2072.0,2016-04-01,398.12632284887854
2013-10-01,1422.0,2016-05-01,384.38169896250594
2013-11-01,2072.0,2016-06-01,371.47171868790696
2013-12-01,3657.0,2016-07-01,359.3249852671343
2014-01-01,1897.0,2016-08-01,347.877889891543
2014-02-01,1640.0,2016-09-01,337.0735880833945
2014-03-01,1820.0,2016-10-01,326.8611323813583
2014-04-01,1588.0,2016-11-01,317.1947342983822
2014-05-01,1402.0,2016-12-01,308.0331337169803
2014-06-01,1476.0,2017-01-01,299.3390579888632
2014-07-01,1497.0,2017-02-01,291.078756262861
2014-08-01,1600.0,2017-03-01,283.2215971659239
2014-09-01,1305.0,2017-04-01,275.7397200500005
2014-10-01,1319.0,2017-05-01,268.60773170251525
2014-11-01,1306.0,2017-06-01,261.8024417844662
2014-12-01,1223.0,2017-07-01,255.30263137328055
2015-01-01,1238.0,2017-08-01,249.08884989846504
2015-02-01,894.0,2017-09-01,243.14323650670562
2015-03-01,938.0,2017-10-01,237.44936251083274
2015-04-01,741.0,2017-11-01,231.99209208886157
2015-05-01,767.0,2017-12-01,226.75745882491256
2015-06-01,341.0,2018-01-01,221.7325560390188
2015-07-01,89.0,2018-02-01,216.90543915031247
2015-08-01,1033.0,2018-03-01,212.26503856806403
2015-09-01,632.0,2018-04-01,207.8010818157876
2015-10-01,391.0,2018-05-01,203.50402377184278
2015-11-01,289.0,2018-06-01,199.36498406111946
2015-12-01,506.0,2018-07-01,195.37569076097688
2016-01-01,277.0,2018-08-01,191.5284296942909
2016-02-01,8.0,2018-09-01,187.81599867627696
2016-03-01,54.0,2018-10-01,184.23166616220854
2016-04-01,257.0,2018-11-01,180.769133812315
2016-05-01,114.0,2018-12-01,177.42250254975013
2016-06-01,16.0,2019-01-01,174.1862417390136
2016-07-01,70.0,2019-02-01,171.0551611567923
2016-08-01,371.0,2019-03-01,168.0243854658729
2016-09-01,399.0,2019-04-01,165.08933093642207
2016-10-01,271.0,2019-05-01,162.24568418824563
2016-11-01,204.0,2019-06-01,159.4893827532395
2016-12-01,215.0,2019-07-01,156.81659727964166
2017-01-01,92.0,2019-08-01,154.22371521932695
2017-02-01,225.0,2019-09-01,151.7073258566306
2017-03-01,430.0,2019-10-01,149.2642065523535
2017-04-01,179.0,2019-11-01,146.89131008997325
2017-05-01,152.0,2019-12-01,144.5857530228874
2017-06-01,80.0,2020-01-01,142.34480493195304
2017-07-01,270.0,2020-02-01,140.1658785118326
2017-08-01,283.0,2020-03-01,138.0465204128558
2017-09-01,156.0,2020-04-01,135.98440277239698
2017-10-01,104.0,2020-05-01,133.9773153762487
2017-11-01,350.0,2020-06-01,132.02315839625416
2017-12-01,65.0,2020-07-01,130.11993565561397
2018-01-01,39.0,2020-08-01,128.26574837789397
2018-02-01,34.0,2020-09-01,126.45878937988218
2018-03-01,139.0,2020-10-01,124.69733767213934
2018-04-01,112.0,2020-11-01,122.97975343440112
2018-05-01,40.0,2020-12-01,121.30447333596906
2018-06-01,27.0,2021-01-01,119.67000617390495
2018-07-01,0.0,2021-02-01,118.07492880425535
2018-08-01,6.0,2021-03-01,116.517882343708
2018-09-01,23.0,2021-04-01,114.99756862104371
2018-10-01,25.0,2021-05-01,113.51274685952161
2018-11-01,30.0,2021-06-01,112.06223057293961
2018-12-01,22.0,2021-07-01,110.6448846595648
2019-01-01,94.0,2021-08-01,109.25962267944627
2019-02-01,24.0,2021-09-01,107.90540430181701
2019-03-01,2.0,2021-10-01,106.58123291037865
2019-04-01,97.0,2021-11-01,105.28615335524883
2019-05-01,349.0,2021-12-01,104.0192498412507
2019-06-01,19.0,2022-01-01,102.77964394304203
2019-07-01,12.0,2022-02-01,101.56649273832838
2019-08-01,2.0,2022-03-01,100.37898705108583
2019-09-01,8.0,2022-04-01,99.21634979734183
2019-10-01,0.0,2022-05-01,98.07783442663124
2019-11-01,33.0,2022-06-01,96.96272345276593
2019-12-01,172.0,2022-07-01,95.87032706803338
2020-01-01,404.0,2022-08-01,94.79998183537683
2020-02-01,402.0,2022-09-01,93.75104945351092
2020-03-01,123.0,2022-10-01,92.72291559029483
2020-04-01,86.0,2022-11-01,91.71498878002396
2020-05-01,61.0,2022-12-01,90.72669938061176
2020-06-01,26.0,2023-01-01,89.75749858692
2020-07-01,45.0,2023-02-01,88.80685749676013
2020-08-01,250.0,2023-03-01,87.8742662263303
2020-09-01,173.0,2023-04-01,86.95923307207794
2020-10-01,79.0,2023-05-01,86.06128371618391
