t,q,t_model,q_model
2018-10-01,20559.0,2018-11-01,14776.654783696
2018-11-01,15265.0,2018-12-01,10761.537022303602
2018-12-01,9967.0,2019-01-01,8338.307559935016
2019-01-01,7948.0,2019-02-01,6735.534114673007
2019-02-01,6713.0,2019-03-01,5606.2188797869985
2019-03-01,4905.0,2019-04-01,4772.748820895546
2019-04-01,6075.0,2019-05-01,4135.415757287597
2019-05-01,3502.0,2019-06-01,3634.214804013095
2019-06-01,3752.0,2019-07-01,3231.017470518299
2019-07-01,4079.0,2019-08-01,2900.5134742218233
2019-08-01,3118.0,2019-09-01,2625.2865391456166
2019-09-01,3551.0,2019-10-01,2392.9861796589266
2019-10-01,2517.0,2019-11-01,2194.6273459939325
2019-11-01,2865.0,2019-12-01,2023.5278941193246
2019-12-01,2650.0,2020-01-01,1874.6222833369911
2020-01-01,1295.0,2020-02-01,1744.0053844582972
2020-02-01,1665.0,2020-03-01,1628.621533678419
2020-03-01,1480.0,2020-04-01,1526.0478359327644
2020-04-01,1264.0,2020-05-01,1434.3401417988246
2020-05-01,1340.0,2020-06-01,1351.9216202265832
2020-06-01,1339.0,2020-07-01,1277.5008538838395
2020-07-01,1332.0,2020-08-01,1210.0107611162123
2020-08-01,1196.0,2020-09-01,1148.562447444075
2020-09-01,1038.0,2020-10-01,1092.4099168380767
2020-10-01,1002.0,2020-11-01,1040.922788795993
2020-11-01,963.0,2020-12-01,993.5649902568853
2020-12-01,812.0,2021-01-01,949.8779574327629
2021-01-01,808.0,2021-02-01,909.4672776784921
2021-02-01,500.0,2021-03-01,871.9919809674749
2021-03-01,868.0,2021-04-01,837.1558907083959
2021-04-01,735.0,2021-05-01,804.7005886971854
2021-05-01,845.0,2021-06-01,774.3996552671163
2021-06-01,793.0,2021-07-01,746.0539243446266
2021-07-01,641.0,2021-08-01,719.4875518749013
2021-08-01,622.0,2021-09-01,694.5447403717291
2021-09-01,610.0,2021-10-01,671.086996013081
2021-10-01,754.0,2021-11-01,648.9908204981646
2021-11-01,903.0,2021-12-01,628.1457597920662
2021-12-01,393.0,2022-01-01,608.4527473612734
2022-01-01,529.0,2022-02-01,589.8226916149204
2022-02-01,462.0,2022-03-01,572.1752668045037
2022-03-01,406.0,2022-04-01,555.4378741911711
2022-04-01,384.0,2022-05-01,539.5447463104324
2022-05-01,445.0,2022-06-01,524.4361719874775
2022-06-01,353.0,2022-07-01,510.0578236404098
2022-07-01,429.0,2022-08-01,496.3601715519953
2022-08-01,602.0,2022-09-01,483.29797234631735
2022-09-01,534.0,2022-10-01,470.82982099423026
2022-10-01,404.0,2022-11-01,458.917757383894
2022-11-01,403.0,2022-12-01,447.5269199031873
2022-12-01,256.0,2023-01-01,436.62523964727245
2023-01-01,294.0,2023-02-01,426.18316983291885
2023-02-01,322.0,2023-03-01,416.173445808003
2023-03-01,325.0,2023-04-01,406.57087171918005
2023-04-01,297.0,2023-05-01,397.35213046667485
2023-05-01,218.0,2023-06-01,388.4956140514866
2023-06-01,284.0,2023-07-01,379.98127182250835
2023-07-01,213.0,2023-08-01,371.7904744716842
2023-08-01,349.0,2023-09-01,363.90589191464704
2023-09-01,157.0,2023-10-01,356.3113834407084
2023-10-01,194.0,2023-11-01,348.99189872655654
2023-11-01,145.0,2023-12-01,341.93338848825
2023-12-01,242.0,2024-01-01,335.1227237008459
2024-01-01,313.0,2024-02-01,328.54762244817346
2024-02-01,298.0,2024-03-01,322.19658358015937
2024-03-01,509.0,2024-04-01,316.0588264544577
2024-04-01,400.0,2024-05-01,310.1242361252358
2024-05-01,259.0,2024-06-01,304.3833134167446
2024-06-01,425.0,2024-07-01,298.8271293843821
2024-07-01,363.0,2024-08-01,293.4472837227233
2024-08-01,338.0,2024-09-01,288.2358667295859
,,2024-10-01,283.18542447862967
,,2024-11-01,278.2889268910838
,,2024-12-01,273.539738430669
,,2025-01-01,268.93159117525596
,,2025-02-01,264.45856004478736
,,2025-03-01,260.11503998795195
,,2025-04-01,255.89572495040662
,,2025-05-01,251.79558846534877
,,2025-06-01,247.80986572321316
,,2025-07-01,243.93403699147257
,,2025-08-01,240.16381226816304
,,2025-09-01,236.49511706402583
,,2025-10-01,232.92407921822115
,,2025-11-01,229.44701666156274
,,2025-12-01,226.06042604927623
,,2026-01-01,222.76097219250045
,,2026-02-01,219.54547822422978
,,2026-03-01,216.41091644121397
,,2026-04-01,213.3543997685722
,,2026-05-01,210.37317379859113
,,2026-06-01,207.46460935943333
,,2026-07-01,204.62619557332215
,,2026-08-01,201.85553336723905
,,2026-09-01,199.15032940231174
,,2026-10-01,196.50839039091483
,,2026-11-01,193.92761777308536
,,2026-12-01,191.4060027261947
,,2027-01-01,188.94162148394813
,,2027-02-01,186.53263094271458
,,2027-03-01,184.17726453495314
,,2027-04-01,181.87382835110486
,,2027-05-01,179.62069749278334
,,2027-06-01,177.41631264143174
,,2027-07-01,175.25917682783665
,,2027-08-01,173.14785238900234
,,2027-09-01,171.0809580999122
,,2027-10-01,169.0571664686399
,,2027-11-01,167.0752011841278
,,2027-12-01,165.13383470674106
,,2028-01-01,163.23188599242462
,,2028-02-01,161.3682183419561
,,2028-03-01,159.54173736739781
,,2028-04-01,157.75138906841292
,,2028-05-01,155.99615801162747
,,2028-06-01,154.27506560669858
,,2028-07-01,152.58716847318675
,,2028-08-01,150.93155689273826
,,2028-09-01,149.30735334145717
,,2028-10-01,147.71371109769305
,,2028-11-01,146.1498129207919
,,2028-12-01,144.61486979665318
,,2029-01-01,143.10811974621086
,,2029-02-01,141.62882669321127
,,2029-03-01,140.1762793878954
,,2029-04-01,138.74979038341328
