t,q,t_model,q_model
2012-10-01,1231.0,2018-09-01,2883.846441201174
2012-11-01,16901.0,2018-10-01,927.2884521951843
2012-12-01,21470.0,2018-11-01,759.3383301528721
2013-01-01,21338.0,2018-12-01,675.0603274461874
2013-02-01,18143.0,2019-01-01,620.8679135182446
2013-03-01,15546.0,2019-02-01,581.7952528381323
2013-04-01,8058.0,2019-03-01,551.6775599275068
2013-05-01,9604.0,2019-04-01,527.4188845972055
2013-06-01,8084.0,2019-05-01,507.2603682408146
2013-07-01,6101.0,2019-06-01,490.11418248682475
2013-08-01,4793.0,2019-07-01,475.26424141430283
2013-09-01,4597.0,2019-08-01,462.21608075285576
2013-10-01,4864.0,2019-09-01,450.61508490307534
2013-11-01,4587.0,2019-10-01,440.1989828627082
2013-12-01,4151.0,2019-11-01,430.76878632398785
2014-01-01,4178.0,2019-12-01,422.17023710167143
2014-02-01,3845.0,2020-01-01,414.2815334476791
2014-03-01,4048.0,2020-02-01,407.00496008938285
2014-04-01,3396.0,2020-03-01,400.26102921887355
2014-05-01,3639.0,2020-04-01,393.9842847336614
2014-06-01,3653.0,2020-05-01,388.12023685224136
2014-07-01,3606.0,2020-06-01,382.62308252317746
2014-08-01,3005.0,2020-07-01,377.4539831702911
2014-09-01,2809.0,2020-08-01,372.5797449012386
2014-10-01,2569.0,2020-09-01,367.971794077602
2014-11-01,2026.0,2020-10-01,363.60537283829717
2014-12-01,2103.0,2020-11-01,359.4589006118755
2015-01-01,1594.0,2020-12-01,355.51346242263423
2015-02-01,679.0,2021-01-01,351.7523951342614
2015-03-01,1138.0,2021-02-01,348.16095012047896
2015-04-01,1184.0,2021-03-01,344.72601614310616
2015-05-01,1257.0,2021-04-01,341.4358900772375
2015-06-01,1072.0,2021-05-01,338.2800859712512
2015-07-01,1011.0,2021-06-01,335.2491750539823
2015-08-01,794.0,2021-07-01,332.3346509024045
2015-09-01,597.0,2021-08-01,329.5288152010058
2015-10-01,658.0,2021-09-01,326.8246804585968
2015-11-01,1718.0,2021-10-01,324.2158867713907
2015-12-01,1496.0,2021-11-01,321.69663028502663
2016-01-01,1112.0,2021-12-01,319.2616014510771
2016-02-01,851.0,2022-01-01,316.9059315238236
2016-03-01,911.0,2022-02-01,314.6251460218847
2016-04-01,959.0,2022-03-01,312.41512410257496
2016-05-01,853.0,2022-04-01,310.2720629767516
2016-06-01,777.0,2022-05-01,308.1924466376168
2016-07-01,1015.0,2022-06-01,306.173018295592
2016-08-01,881.0,2022-07-01,304.21075600848013
2016-09-01,741.0,2022-08-01,302.3028510759693
2016-10-01,602.0,2022-09-01,300.4466888334771
2016-11-01,544.0,2022-10-01,298.63983153504483
2016-12-01,645.0,2022-11-01,296.8800030605553
2017-01-01,472.0,2022-12-01,295.1650752206625
2017-02-01,675.0,2023-01-01,293.4930554648116
2017-03-01,657.0,2023-02-01,291.8620758246809
2017-04-01,578.0,2023-03-01,290.27038294816606
2017-05-01,412.0,2023-04-01,288.7163290983575
2017-06-01,430.0,2023-05-01,287.19836400841115
2017-07-01,361.0,2023-06-01,285.71502749725653
2017-08-01,302.0,2023-07-01,284.2649427631078
2017-09-01,481.0,2023-08-01,282.8468102820673
2017-10-01,379.0,2023-09-01,281.4594022479992
2017-11-01,214.0,2023-10-01,280.10155749752283
2017-12-01,394.0,2023-11-01,278.7721768706185
2018-01-01,278.0,2023-12-01,277.47021896309803
2018-02-01,80.0,2024-01-01,276.19469623220596
2018-03-01,1264.0,2024-02-01,274.9446714209851
2018-04-01,1708.0,2024-03-01,273.7192542708569
2018-05-01,2043.0,2024-04-01,272.51759849520977
2018-06-01,2012.0,2024-05-01,271.33889898972114
2018-07-01,1989.0,2024-06-01,270.18238925771635
2018-08-01,2630.0,2024-07-01,269.04733903113987
2018-09-01,2884.0,2024-08-01,267.93305206971826
2018-10-01,1036.0,2024-09-01,266.8388641226691
2018-11-01,27.0,2024-10-01,265.76414103887646
2018-12-01,1314.0,2024-11-01,264.70827701285236
2019-01-01,480.0,2024-12-01,263.67069295503796
2019-02-01,910.0,2025-01-01,262.6508349761046
2019-03-01,714.0,2025-02-01,261.6481729758961
2019-04-01,458.0,2025-03-01,260.66219932853477
2019-05-01,446.0,2025-04-01,259.69242765599677
2019-06-01,330.0,2025-05-01,258.7383916831702
2019-07-01,376.0,2025-06-01,257.799644168038
2019-08-01,0.0,2025-07-01,256.87575590119684
2019-09-01,683.0,2025-08-01,255.96631476943455
2019-10-01,655.0,2025-09-01,255.07092487854703
2019-11-01,724.0,2025-10-01,254.18920573099203
2019-12-01,476.0,2025-11-01,253.3207914543514
2020-01-01,275.0,2025-12-01,252.46533007691247
2020-02-01,827.0,2026-01-01,251.62248284698654
2020-03-01,201.0,2026-02-01,250.7919235928599
2020-04-01,383.0,2026-03-01,249.97333812052568
2020-05-01,373.0,2026-04-01,249.1664236465749
2020-06-01,239.0,2026-05-01,248.3708882638324
2020-07-01,174.0,2026-06-01,247.58645043751375
