t,q,t_model,q_model
2014-12-01,19209.0,2015-01-01,15690.941863499513
2015-01-01,16493.0,2015-02-01,12142.376848377218
2015-02-01,10804.0,2015-03-01,9950.864831227018
2015-03-01,9744.0,2015-04-01,8456.533342853743
2015-04-01,8076.0,2015-05-01,7369.194954863559
2015-05-01,7403.0,2015-06-01,6540.76207283628
2015-06-01,6409.0,2015-07-01,5887.555849013575
2015-07-01,6124.0,2015-08-01,5358.6336659504295
2015-08-01,5517.0,2015-09-01,4921.162140249737
2015-09-01,5034.0,2015-10-01,4553.00293933482
2015-10-01,4856.0,2015-11-01,4238.672227645696
2015-11-01,4381.0,2015-12-01,3967.0068372113924
2015-12-01,4297.0,2016-01-01,3729.7502977654235
2016-01-01,4061.0,2016-02-01,3520.6612299895837
2016-02-01,3594.0,2016-03-01,3334.9316931286667
2016-03-01,3654.0,2016-04-01,3168.7964718934954
2016-04-01,3386.0,2016-05-01,3019.263855391496
2016-05-01,3323.0,2016-06-01,2883.925934591247
2016-06-01,3043.0,2016-07-01,2760.8222571993506
2016-07-01,2966.0,2016-08-01,2648.3400853354538
2016-08-01,2918.0,2016-09-01,2545.1402632081026
2016-09-01,2688.0,2016-10-01,2450.101324523397
2016-10-01,2720.0,2016-11-01,2362.276800795332
2016-11-01,2462.0,2016-12-01,2280.862224243664
2016-12-01,2473.0,2017-01-01,2205.169345814919
2017-01-01,2428.0,2017-02-01,2134.6057890152483
2017-02-01,2114.0,2017-03-01,2068.658845333954
2017-03-01,2274.0,2017-04-01,2006.8824580981209
2017-04-01,2121.0,2017-05-01,1948.8866846670828
2017-05-01,1970.0,2017-06-01,1894.329102291222
2017-06-01,1385.0,2017-07-01,1842.9077510340337
2017-07-01,1444.0,2017-08-01,1794.3553016838837
2017-08-01,1557.0,2017-09-01,1748.4342070578941
2017-09-01,1608.0,2017-10-01,1704.9326481432972
2017-10-01,1834.0,2017-11-01,1663.6611267986589
2017-11-01,1756.0,2017-12-01,1624.4495875764499
2017-12-01,1757.0,2018-01-01,1587.1449750265153
2018-01-01,1702.0,2018-02-01,1551.6091513406707
2018-02-01,1489.0,2018-03-01,1517.717113681641
2018-03-01,1556.0,2018-04-01,1485.3554619523482
2018-04-01,1263.0,2018-05-01,1454.42107681128
2018-05-01,1571.0,2018-06-01,1424.8199749582664
2018-06-01,1489.0,2018-07-01,1396.466314505449
2018-07-01,1384.0,2018-08-01,1369.2815279180106
2018-08-01,1341.0,2018-09-01,1343.1935637945128
2018-09-01,1487.0,2018-10-01,1318.1362218399004
2018-10-01,1215.0,2018-11-01,1294.0485679073242
2018-11-01,1437.0,2018-12-01,1270.8744180588053
2018-12-01,1318.0,2019-01-01,1248.5618823066288
2019-01-01,1289.0,2019-02-01,1227.0629601162145
2019-02-01,1290.0,2019-03-01,1206.333180931725
2019-03-01,1315.0,2019-04-01,1186.331283971611
2019-04-01,1211.0,2019-05-01,1167.0189323676634
2019-05-01,1251.0,2019-06-01,1148.3604574161593
2019-06-01,1117.0,2019-07-01,1130.3226292961622
2019-07-01,1086.0,2019-08-01,1112.87445110653
2019-08-01,1057.0,2019-09-01,1095.9869734947538
2019-09-01,974.0,2019-10-01,1079.6331275097953
2019-10-01,1081.0,2019-11-01,1063.787573617738
2019-11-01,999.0,2019-12-01,1048.4265650817024
2019-12-01,1069.0,2020-01-01,1033.5278241329968
2020-01-01,1092.0,2020-02-01,1019.0704295546424
2020-02-01,977.0,2020-03-01,1005.0347144659823
2020-03-01,941.0,2020-04-01,991.4021732420711
2020-04-01,777.0,2020-05-01,978.1553766272523
2020-05-01,764.0,2020-06-01,965.2778942116064
2020-06-01,770.0,2020-07-01,952.7542235341143
2020-07-01,882.0,2020-08-01,940.569725159463
2020-08-01,784.0,2020-09-01,928.7105631480706
2020-09-01,753.0,2020-10-01,917.1636504025912
2020-10-01,790.0,2020-11-01,905.9165984300724
2020-11-01,758.0,2020-12-01,894.9576711081278
2020-12-01,766.0,2021-01-01,884.2757420868435
2021-01-01,764.0,2021-02-01,873.8602554964085
2021-02-01,711.0,2021-03-01,863.7011896643179
2021-03-01,763.0,2021-04-01,853.7890235759837
2021-04-01,739.0,2021-05-01,844.1147058392024
2021-05-01,762.0,2021-06-01,834.6696259365791
2021-06-01,744.0,2021-07-01,825.4455875710619
2021-07-01,547.0,2021-08-01,816.4347839285075
2021-08-01,888.0,2021-09-01,807.6297746979576
2021-09-01,856.0,2021-10-01,799.0234647052838
2021-10-01,846.0,2021-11-01,790.6090840292712
2021-11-01,759.0,2021-12-01,782.3801694812402
2021-12-01,838.0,2022-01-01,774.3305473400933
2022-01-01,852.0,2022-02-01,766.4543172443846
2022-02-01,659.0,2022-03-01,758.7458371517365
2022-03-01,746.0,2022-04-01,751.1997092838013
2022-04-01,723.0,2022-05-01,743.8107669820632
2022-05-01,734.0,2022-06-01,736.5740624061924
2022-06-01,649.0,2022-07-01,729.4848550124578
2022-07-01,671.0,2022-08-01,722.5386007549619
2022-08-01,704.0,2022-09-01,715.7309419572117
2022-09-01,639.0,2022-10-01,709.0576978058677
2022-10-01,655.0,2022-11-01,702.5148554224244
2022-11-01,611.0,2022-12-01,696.0985614721476
2022-12-01,638.0,2023-01-01,689.8051142728372
2023-01-01,620.0,2023-02-01,683.6309563689398
2023-02-01,589.0,2023-03-01,677.572667539233
2023-03-01,628.0,2023-04-01,671.626958208759
2023-04-01,586.0,2023-05-01,665.7906632379427
2023-05-01,618.0,2023-06-01,660.0607360638736
2023-06-01,517.0,2023-07-01,654.4342431706225
2023-07-01,572.0,2023-08-01,648.90835886718
2023-08-01,632.0,2023-09-01,643.48036035319
2023-09-01,530.0,2023-10-01,638.1476230540966
2023-10-01,552.0,2023-11-01,632.9076162086579
2023-11-01,529.0,2023-12-01,627.7578986930023
2023-12-01,583.0,2024-01-01,622.6961150665286
2024-01-01,500.0,2024-02-01,617.7199918259911
2024-02-01,518.0,2024-03-01,612.8273338550587
2024-03-01,572.0,2024-04-01,608.0160210575259
2024-04-01,502.0,2024-05-01,603.2840051631574
2024-05-01,510.0,2024-06-01,598.6293066959055
2024-06-01,452.0,2024-07-01,594.0500120949249
2024-07-01,489.0,2024-08-01,589.5442709794573
2024-08-01,505.0,2024-09-01,585.1102935492461
2024-09-01,231.0,2024-10-01,580.7463481126898
2024-10-01,561.0,2024-11-01,576.4507587354573
2024-11-01,476.0,2024-12-01,572.2219030027494
2024-12-01,511.0,2025-01-01,568.0582098888409
2025-01-01,525.0,2025-02-01,563.9581577279295
,,2025-03-01,559.9202722807061
,,2025-04-01,555.9431248914068
,,2025-05-01,552.0253307304303
,,2025-06-01,548.1655471179134
,,2025-07-01,544.3624719239345
,,2025-08-01,540.6148420412799
,,2025-09-01,536.9214319269521
,,2025-10-01,533.2810522088325
,,2025-11-01,529.6925483541124
,,2025-12-01,526.1547993963205
,,2026-01-01,522.6667167179495
,,2026-02-01,519.2272428858627
,,2026-03-01,515.8353505368249
,,2026-04-01,512.490041310651
,,2026-05-01,509.1903448286116
,,2026-06-01,505.93531771486306
,,2026-07-01,502.724042658802
,,2026-08-01,499.55562751635205
,,2026-09-01,496.4292044483087
,,2026-10-01,493.34392909396564
,,2026-11-01,490.29897977834446
,,2026-12-01,487.293556751442
,,2027-01-01,484.32688145799074
,,2027-02-01,481.39819583631316
,,2027-03-01,478.506761644921
,,2027-04-01,475.65185981558494
,,2027-05-01,472.8327898316661
,,2027-06-01,470.0488691305623
,,2027-07-01,467.29943252918287
,,2027-08-01,464.5838316714196
,,2027-09-01,461.90143449663736
,,2027-10-01,459.2516247282518
,,2027-11-01,456.63380138151547
,,2027-12-01,454.04737828967114
,,2028-01-01,451.4917836476771
,,2028-02-01,448.96645957274626
,,2028-03-01,446.4708616809801
,,2028-04-01,444.00445867940994
,,2028-05-01,441.5667319727966
,,2028-06-01,439.1571752845658
,,2028-07-01,436.7752942912889
,,2028-08-01,434.42060627014644
,,2028-09-01,432.09263975883874
,,2028-10-01,429.7909342274318
,,2028-11-01,427.5150397616521
,,2028-12-01,425.2645167571652
,,2029-01-01,423.0389356243963
,,2029-02-01,420.8378765034688
,,2029-03-01,418.6609289888582
,,2029-04-01,416.5076918633765
,,2029-05-01,414.37777284111843
,,2029-06-01,412.27078831902
,,2029-07-01,410.18636313669185
,,2029-08-01,408.12413034420865
,,2029-09-01,406.0837309775462
,,2029-10-01,404.0648138413755
,,2029-11-01,402.067035298931
,,2029-12-01,400.0900590686869
,,2030-01-01,398.13355602758384
,,2030-02-01,396.19720402056106
,,2030-03-01,394.280687676159
,,2030-04-01,392.3836982279663
,,2030-05-01,390.5059333416974
,,2030-06-01,388.64709694769255
,,2030-07-01,386.80689907864286
,,2030-08-01,384.9850557123522
,,2030-09-01,383.18128861935116
,,2030-10-01,381.3953252151917
,,2030-11-01,379.62689841725324
,,2030-12-01,377.87574650590153
,,2031-01-01,376.141612989844
,,2031-02-01,374.424246475537
,,2031-03-01,372.7234005405001
,,2031-04-01,371.0388336104039
,,2031-05-01,369.37030883979793
,,2031-06-01,367.7175939963564
,,2031-07-01,366.08046134851793
,,2031-08-01,364.4586875564055
,,2031-09-01,362.8520535659141
,,2031-10-01,361.2603445058596
,,2031-11-01,359.68334958808595
,,2031-12-01,358.1208620104303
,,2032-01-01,356.57267886245296
,,2032-02-01,355.0386010338392
,,2032-03-01,353.51843312538495
,,2032-04-01,352.01198336248103
,,2032-05-01,350.51906351101604
,,2032-06-01,349.0394887956169
,,2032-07-01,347.5730778201529
,,2032-08-01,346.1196524904303
,,2032-09-01,344.67903793900587
,,2032-10-01,343.25106245205376
,,2032-11-01,341.8355573982184
,,2032-12-01,340.43235715939204
,,2033-01-01,339.04129906335606
,,2033-02-01,337.662223318227
,,2033-03-01,336.29497294865143
,,2033-04-01,334.93939373369545
,,2033-05-01,333.59533414637673
