t,q,t_model,q_model
2010-05-01,0.0,2010-08-01,1909.2195602952738
2010-06-01,3257.0,2010-09-01,1830.7259825763851
2010-07-01,3192.0,2010-10-01,1757.188880253383
2010-08-01,3021.0,2010-11-01,1688.1909877074484
2010-09-01,1522.0,2010-12-01,1623.3585606614047
2010-10-01,1487.0,2011-01-01,1562.3559990838096
2010-11-01,1321.0,2011-02-01,1504.8812335826187
2010-12-01,1181.0,2011-03-01,1450.661753384506
2011-01-01,1074.0,2011-04-01,1399.4511755277538
2011-02-01,893.0,2011-05-01,1351.026272274565
2011-03-01,938.0,2011-06-01,1305.1843878390507
2011-04-01,341.0,2011-07-01,1261.7411870026733
2011-05-01,1951.0,2011-08-01,1220.5286875746735
2011-06-01,2239.0,2011-09-01,1181.393536362794
2011-07-01,2048.0,2011-10-01,1144.1954946742924
2011-08-01,1912.0,2011-11-01,1108.806104626054
2011-09-01,1721.0,2011-12-01,1075.1075119103173
2011-10-01,1619.0,2012-01-01,1042.991424302731
2011-11-01,1426.0,2012-02-01,1012.3581882435943
2011-12-01,792.0,2012-03-01,983.1159683769362
2012-01-01,1088.0,2012-04-01,955.1800170813218
2012-02-01,1114.0,2012-05-01,928.4720228403955
2012-03-01,1093.0,2012-06-01,902.9195278369424
2012-04-01,953.0,2012-07-01,878.4554064579828
2012-05-01,633.0,2012-08-01,855.0173975082154
2012-06-01,757.0,2012-09-01,832.5476838762851
2012-07-01,1059.0,2012-10-01,810.9925142087948
2012-08-01,921.0,2012-11-01,790.3018618421214
2012-09-01,0.0,2012-12-01,770.4291168397717
2012-10-01,878.0,2013-01-01,751.3308074980897
2012-11-01,839.0,2013-02-01,732.9663481279852
2012-12-01,890.0,2013-03-01,715.2978103054287
2013-01-01,789.0,2013-04-01,698.2897151174799
2013-02-01,756.0,2013-05-01,681.9088442209393
2013-03-01,745.0,2013-06-01,666.1240677835654
2013-04-01,625.0,2013-07-01,650.906187598451
2013-05-01,592.0,2013-08-01,636.2277938550436
2013-06-01,161.0,2013-09-01,622.0631342192478
2013-07-01,844.0,2013-10-01,608.3879940232963
2013-08-01,754.0,2013-11-01,595.1795864963647
2013-09-01,660.0,2013-12-01,582.4164520816204
2013-10-01,628.0,2014-01-01,570.0783659865717
2013-11-01,591.0,2014-02-01,558.146253202925
2013-12-01,572.0,2014-03-01,546.602110311223
2014-01-01,545.0,2014-04-01,535.4289334555734
2014-02-01,487.0,2014-05-01,524.6106519359251
2014-03-01,556.0,2014-06-01,514.1320669205859
2014-04-01,452.0,2014-07-01,503.978794830809
2014-05-01,424.0,2014-08-01,494.13721499308355
2014-06-01,531.0,2014-09-01,484.5944211938361
2014-07-01,498.0,2014-10-01,475.33817680616613
2014-08-01,461.0,2014-11-01,466.35687318947794
2014-09-01,453.0,2014-12-01,457.6394910908567
2014-10-01,452.0,2015-01-01,449.17556480212335
2014-11-01,427.0,2015-02-01,440.9551488490452
2014-12-01,424.0,2015-03-01,432.96878700943876
2015-01-01,436.0,2015-04-01,425.2074834751272
2015-02-01,389.0,2015-05-01,417.66267598915306
2015-03-01,398.0,2015-06-01,410.32621080446404
2015-04-01,367.0,2015-07-01,403.1903193236728
2015-05-01,385.0,2015-08-01,396.24759629158757
2015-06-01,376.0,2015-09-01,389.49097942316655
2015-07-01,375.0,2015-10-01,382.91373035945384
2015-08-01,325.0,2015-11-01,376.50941685305764
2015-09-01,330.0,2015-12-01,370.27189609288735
2015-10-01,346.0,2016-01-01,364.19529908528057
2015-11-01,334.0,2016-02-01,358.27401601539594
2015-12-01,351.0,2016-03-01,352.5026825188823
2016-01-01,336.0,2016-04-01,346.8761667994261
2016-02-01,295.0,2016-05-01,341.38955753287513
2016-03-01,323.0,2016-06-01,336.03815250329103
2016-04-01,316.0,2016-07-01,330.817447920529
2016-05-01,242.0,2016-08-01,325.7231283728273
2016-06-01,315.0,2016-09-01,320.751057371446
2016-07-01,294.0,2016-10-01,315.89726844764374
2016-08-01,279.0,2016-11-01,311.1579567652628
2016-09-01,281.0,2016-12-01,306.52947121493185
2016-10-01,287.0,2017-01-01,302.0083069583986
2016-11-01,283.0,2017-02-01,297.5910983938109
2016-12-01,282.0,2017-03-01,293.27461251488745
2017-01-01,281.0,2017-04-01,289.05574263886
2017-02-01,236.0,2017-05-01,284.93150247986836
2017-03-01,286.0,2017-06-01,280.89902054613714
2017-04-01,329.0,2017-07-01,276.9555348407892
2017-05-01,436.0,2017-08-01,273.0983878475506
2017-06-01,322.0,2017-09-01,269.3250217839017
2017-07-01,242.0,2017-10-01,265.6329741054239
2017-08-01,358.0,2017-11-01,262.01987324619813
2017-09-01,290.0,2017-12-01,258.48343458113345
2017-10-01,326.0,2018-01-01,255.0214565970525
