t,q,t_model,q_model
2021-09-01,7653.0,2022-01-01,7557.303903898722
2021-10-01,9368.0,2022-02-01,4316.431522347725
2021-11-01,2776.0,2022-03-01,3568.7384555950784
2021-12-01,8437.0,2022-04-01,3172.624867650314
2022-01-01,7663.0,2022-05-01,2912.9078272824695
2022-02-01,2399.0,2022-06-01,2723.899370940108
2022-03-01,4001.0,2022-07-01,2577.472358276819
2022-04-01,4404.0,2022-08-01,2459.1890085946816
2022-05-01,3612.0,2022-09-01,2360.731835642705
2022-06-01,3155.0,2022-10-01,2276.9072435975468
2022-07-01,3790.0,2022-11-01,2204.2729114183758
2022-08-01,1296.0,2022-12-01,2140.4397407204333
2022-09-01,3068.0,2023-01-01,2083.6876760583013
2022-10-01,2927.0,2023-02-01,2032.7407401450826
2022-11-01,2630.0,2023-03-01,1986.6285349895356
2022-12-01,2080.0,2023-04-01,1944.5973757698603
2023-01-01,2428.0,2023-05-01,1906.0512546651858
2023-02-01,2370.0,2023-06-01,1870.5114419557945
2023-03-01,1962.0,2023-07-01,1837.588124435625
2023-04-01,1462.0,2023-08-01,1806.960045182487
2023-05-01,1609.0,2023-09-01,1778.3595974188695
2023-06-01,1380.0,2023-10-01,1751.561719587106
2023-07-01,1682.0,2023-11-01,1726.3754924932286
2023-08-01,1595.0,2023-12-01,1702.6376914502314
2023-09-01,1275.0,2024-01-01,1680.20777559905
2023-10-01,1427.0,2024-02-01,1658.9639490805573
2023-11-01,1831.0,2024-03-01,1638.8000321498805
2023-12-01,2026.0,2024-04-01,1619.6229517013028
2024-01-01,848.0,2024-05-01,1601.3507107301252
2024-02-01,1147.0,2024-06-01,1583.910731883591
2024-03-01,346.0,2024-07-01,1567.238495951878
2024-04-01,1403.0,2024-08-01,1551.2764149206614
2024-05-01,1107.0,2024-09-01,1535.9728930757915
2024-06-01,2048.0,2024-10-01,1521.2815400084344
2024-07-01,2032.0,2024-11-01,1507.1605071821202
2024-08-01,2266.0,2024-12-01,1493.5719256717866
,,2025-01-01,1480.4814272536885
,,2025-02-01,1467.857734562781
,,2025-03-01,1455.672308794696
,,2025-04-01,1443.8990455990615
,,2025-05-01,1432.5140115278239
,,2025-06-01,1421.4952147696365
,,2025-07-01,1410.8224049971136
,,2025-08-01,1400.476898036838
,,2025-09-01,1390.441421787645
,,2025-10-01,1380.6999803956749
,,2025-11-01,1371.237734171933
,,2025-12-01,1362.040893130622
,,2026-01-01,1353.0966223508694
,,2026-02-01,1344.3929576335752
,,2026-03-01,1335.9187301493625
,,2026-04-01,1327.663498961179
,,2026-05-01,1319.61749046259
,,2026-06-01,1311.7715439055316
,,2026-07-01,1304.1170623034993
,,2026-08-01,1296.6459680913845
,,2026-09-01,1289.3506630041886
,,2026-10-01,1282.2239917060472
,,2026-11-01,1275.2592087602306
,,2026-12-01,1268.449948581669
,,2027-01-01,1261.7901980573458
,,2027-02-01,1255.2742715577383
,,2027-03-01,1248.8967880952034
,,2027-04-01,1242.6526504136298
,,2027-05-01,1236.5370258183732
,,2027-06-01,1230.5453285770357
,,2027-07-01,1224.6732037404686
,,2027-08-01,1218.9165122498607
,,2027-09-01,1213.271317210227
,,2027-10-01,1207.7338712233354
,,2027-11-01,1202.300604684305
,,2027-12-01,1196.9681149559894
,,2028-01-01,1191.7331563440202
,,2028-02-01,1186.5926308031017
,,2028-03-01,1181.5435793120503
,,2028-04-01,1176.5831738611575
,,2028-05-01,1171.70871000091
,,2028-06-01,1166.9175999059428
,,2028-07-01,1162.2073659124412
,,2028-08-01,1157.5756344910765
,,2028-09-01,1153.0201306210392
,,2028-10-01,1148.5386725338446
,,2028-11-01,1144.129166798387
,,2028-12-01,1139.7896037212347
,,2029-01-01,1135.518053038433
,,2029-02-01,1131.3126598771141
,,2029-03-01,1127.1716409670812
,,2029-04-01,1123.0932810841844
,,2029-05-01,1119.0759297088352
,,2029-06-01,1115.11799788437
,,2029-07-01,1111.217955261216
,,2029-08-01,1107.3743273139496
,,2029-09-01,1103.5856927193622
,,2029-10-01,1099.850680884581
,,2029-11-01,1096.167969615155
,,2029-12-01,1092.5362829137855
,,2030-01-01,1088.9543889010945
,,2030-02-01,1085.4210978504784
,,2030-03-01,1081.935260329682
,,2030-04-01,1078.4957654422778
,,2030-05-01,1075.1015391627343
,,2030-06-01,1071.75154275921
,,2030-07-01,1068.4447712986394
,,2030-08-01,1065.1802522290564
,,2030-09-01,1061.9570440344598
,,2030-10-01,1058.7742349578518
,,2030-11-01,1055.630941788385
,,2030-12-01,1052.5263087088265
,,2031-01-01,1049.4595061998118
,,2031-02-01,1046.4297299975904
,,2031-03-01,1043.4362001021907
,,2031-04-01,1040.4781598331333
,,2031-05-01,1037.554874930005
,,2031-06-01,1034.6656326953885
,,2031-07-01,1031.8097411777926
,,2031-08-01,1028.9865283923912
,,2031-09-01,1026.1953415775045
,,2031-10-01,1023.4355464848921
,,2031-11-01,1020.7065267020514
,,2031-12-01,1018.0076830048122
,,2032-01-01,1015.3384327386408
,,2032-02-01,1012.6982092271475
,,2032-03-01,1010.086461206388
,,2032-04-01,1007.5026522836383
,,2032-05-01,1004.9462604193886
,,2032-06-01,1002.4167774313863
,,2032-07-01,999.9137085196211
,,2032-08-01,997.4365718112089
,,2032-09-01,994.9848979241918
,,2032-10-01,992.5582295493297
,,2032-11-01,990.156121049004
,,2032-12-01,987.7781380724127
