t,q,t_model,q_model
2015-04-01,16210.0,2015-05-01,15677.106819580407
2015-05-01,15623.0,2015-06-01,10277.021300822233
2015-06-01,10562.0,2015-07-01,7560.822487203668
2015-07-01,8295.0,2015-08-01,5940.06210525453
2015-08-01,5204.0,2015-09-01,4869.1608896847765
2015-09-01,2107.0,2015-10-01,4111.765649171544
2015-10-01,4594.0,2015-11-01,3549.3577256004187
2015-11-01,4086.0,2015-12-01,3116.1538562321853
2015-12-01,3715.0,2016-01-01,2772.7990453967586
2016-01-01,3392.0,2016-02-01,2494.3493707065845
2016-02-01,2710.0,2016-03-01,2264.251948745073
2016-03-01,2813.0,2016-04-01,2071.1033163283346
2016-04-01,2349.0,2016-05-01,1906.7992767403575
2016-05-01,2167.0,2016-06-01,1765.4270059244727
2016-06-01,1898.0,2016-07-01,1642.5743561095314
2016-07-01,1808.0,2016-08-01,1534.8842139475307
2016-08-01,1677.0,2016-09-01,1439.7583261106315
2016-09-01,1513.0,2016-10-01,1355.1553121202242
2016-10-01,1511.0,2016-11-01,1279.4497460281648
2016-11-01,1355.0,2016-12-01,1211.331842235918
2016-12-01,1345.0,2017-01-01,1149.7347490416857
2017-01-01,1240.0,2017-02-01,1093.7809927417377
2017-02-01,1021.0,2017-03-01,1042.7424473408853
2017-03-01,1069.0,2017-04-01,996.0100141877856
2017-04-01,970.0,2017-05-01,953.0703764818608
2017-05-01,1111.0,2017-06-01,913.487979048599
2017-06-01,970.0,2017-07-01,876.8909156167233
2017-07-01,912.0,2017-08-01,842.9597718058438
2017-08-01,919.0,2017-09-01,811.4187276413098
2017-09-01,781.0,2017-10-01,782.0284044009019
2017-10-01,796.0,2017-11-01,754.5800703861013
2017-11-01,715.0,2017-12-01,728.8909143858208
2017-12-01,742.0,2018-01-01,704.8001646882675
2018-01-01,696.0,2018-02-01,682.1658827015881
2018-02-01,581.0,2018-03-01,660.8622985601771
2018-03-01,595.0,2018-04-01,640.7775850238905
2018-04-01,560.0,2018-05-01,621.8119880061071
2018-05-01,521.0,2018-06-01,603.8762489738745
2018-06-01,401.0,2018-07-01,586.8902675374775
2018-07-01,427.0,2018-08-01,570.7819627285381
2018-08-01,350.0,2018-09-01,555.48629944831
2018-09-01,497.0,2018-10-01,540.9444528660295
2018-10-01,489.0,2018-11-01,527.1030885464346
2018-11-01,491.0,2018-12-01,513.9137400765397
2018-12-01,485.0,2019-01-01,501.3322691651852
2019-01-01,470.0,2019-02-01,489.31839577355584
2019-02-01,413.0,2019-03-01,477.8352879306332
2019-03-01,469.0,2019-04-01,466.84920259492594
2019-04-01,377.0,2019-05-01,456.3291703210926
2019-05-01,393.0,2019-06-01,446.24671763849886
2019-06-01,367.0,2019-07-01,436.57562199656587
2019-07-01,370.0,2019-08-01,427.2916949171133
2019-08-01,364.0,2019-09-01,418.37258964712834
2019-09-01,340.0,2019-10-01,409.79763015068426
2019-10-01,298.0,2019-11-01,401.5476587355554
2019-11-01,291.0,2019-12-01,393.60489999405246
2019-12-01,286.0,2020-01-01,385.9528390614163
2020-01-01,293.0,2020-02-01,378.5761124690318
2020-02-01,274.0,2020-03-01,371.46041010214924
2020-03-01,332.0,2020-04-01,364.59238696958306
2020-04-01,313.0,2020-05-01,357.9595836616453
2020-05-01,339.0,2020-06-01,351.5503545169917
2020-06-01,270.0,2020-07-01,345.35380264296197
2020-07-01,282.0,2020-08-01,339.35972104056975
2020-08-01,262.0,2020-09-01,333.5585391771799
2020-09-01,256.0,2020-10-01,327.94127442932546
2020-10-01,272.0,2020-11-01,322.49948788690835
2020-11-01,258.0,2020-12-01,317.22524406975003
2020-12-01,269.0,2021-01-01,312.11107415942064
2021-01-01,245.0,2021-02-01,307.14994239457957
2021-02-01,217.0,2021-03-01,302.3352153176419
2021-03-01,261.0,2021-04-01,297.6606335952286
2021-04-01,252.0,2021-05-01,293.1202861652522
2021-05-01,222.0,2021-06-01,288.70858649018277
2021-06-01,196.0,2021-07-01,284.42025071955067
2021-07-01,224.0,2021-08-01,280.2502775854633
2021-08-01,206.0,2021-09-01,276.1939298732236
2021-09-01,210.0,2021-10-01,272.2467173253388
