t,q,t_model,q_model
2014-11-01,13578.0,2015-01-01,9598.505213064569
2014-12-01,12036.0,2015-02-01,6419.944112113455
2015-01-01,9614.0,2015-03-01,4816.979489503473
2015-02-01,6264.0,2015-04-01,3851.738912787194
2015-03-01,4886.0,2015-05-01,3207.193449875661
2015-04-01,4138.0,2015-06-01,2746.481411834252
2015-05-01,3419.0,2015-07-01,2400.876697548983
2015-06-01,2934.0,2015-08-01,2132.0937696722394
2015-07-01,1918.0,2015-09-01,1917.119930493011
2015-08-01,2032.0,2015-10-01,1741.2930096422804
2015-09-01,1991.0,2015-11-01,1594.8302454322118
2015-10-01,1638.0,2015-12-01,1470.9552749529385
2015-11-01,1648.0,2016-01-01,1364.8261503264896
2015-12-01,1769.0,2016-02-01,1272.8913759481386
2016-01-01,336.0,2016-03-01,1192.4870613811665
2016-02-01,369.0,2016-04-01,1121.5760710576378
2016-03-01,1339.0,2016-05-01,1058.5740294449013
2016-04-01,1187.0,2016-06-01,1002.2302224327359
2016-05-01,1231.0,2016-07-01,951.5442021189432
2016-06-01,1077.0,2016-08-01,905.7062049619916
2016-07-01,1130.0,2016-09-01,864.0538123378701
2016-08-01,958.0,2016-10-01,826.039913461634
2016-09-01,990.0,2016-11-01,791.2086759700194
2016-10-01,960.0,2016-12-01,759.1772830187612
2016-11-01,829.0,2017-01-01,729.6218849104575
2016-12-01,657.0,2017-02-01,702.266672876946
2017-01-01,744.0,2017-03-01,676.8752946117479
2017-02-01,747.0,2017-04-01,653.244046355353
2017-03-01,792.0,2017-05-01,631.1964270126928
2017-04-01,696.0,2017-06-01,610.5787467322673
2017-05-01,640.0,2017-07-01,591.2565592574745
2017-06-01,424.0,2017-08-01,573.1117432803703
2017-07-01,394.0,2017-09-01,556.0400991490392
2017-08-01,466.0,2017-10-01,539.9493578286698
2017-09-01,996.0,2017-11-01,524.7575219291584
2017-10-01,1128.0,2017-12-01,510.39147595188496
2017-11-01,1132.0,2018-01-01,496.78581614150215
2017-12-01,628.0,2018-02-01,483.88186050795014
2018-01-01,268.0,2018-03-01,471.62680747281996
2018-02-01,368.0,2018-04-01,459.9730177512482
2018-03-01,816.0,2018-05-01,448.87739891805404
2018-04-01,683.0,2018-06-01,438.30087593169793
2018-05-01,507.0,2018-07-01,428.2079339320024
2018-06-01,759.0,2018-08-01,418.56622206132994
2018-07-01,599.0,2018-09-01,409.3462090163776
2018-08-01,378.0,2018-10-01,400.52088262027405
2018-09-01,523.0,2018-11-01,392.0654869903805
2018-10-01,496.0,2018-12-01,383.95729192666977
2018-11-01,373.0,2019-01-01,376.17539000607115
2018-12-01,348.0,2019-02-01,368.7005175767589
2019-01-01,589.0,2019-03-01,361.5148964322627
2019-02-01,212.0,2019-04-01,354.60209343164587
2019-03-01,380.0,2019-05-01,347.9468957372667
2019-04-01,388.0,2019-06-01,341.53519968055275
2019-05-01,393.0,2019-07-01,335.353911550647
2019-06-01,354.0,2019-08-01,329.39085884027287
2019-07-01,353.0,2019-09-01,323.6347106854733
2019-08-01,313.0,2019-10-01,318.07490640731226
2019-09-01,325.0,2019-11-01,312.7015912093272
2019-10-01,313.0,2019-12-01,307.50555820871244
2019-11-01,274.0,2020-01-01,302.47819608536787
2019-12-01,273.0,2020-02-01,297.61144172392574
2020-01-01,321.0,2020-03-01,292.89773730204394
2020-02-01,276.0,2020-04-01,288.32999134560185
2020-03-01,308.0,2020-05-01,283.90154332958764
2020-04-01,264.0,2020-06-01,279.6061314538073
2020-05-01,0.0,2020-07-01,275.437863266213
2020-06-01,96.0,2020-08-01,271.39118884462493
2020-07-01,233.0,2020-09-01,267.460876280699
2020-08-01,252.0,2020-10-01,263.6419892388889
2020-09-01,306.0,2020-11-01,259.92986638842
2020-10-01,303.0,2020-12-01,256.32010252844947
2020-11-01,204.0,2021-01-01,252.8085312460517
2020-12-01,243.0,2021-02-01,249.39120896378225
2021-01-01,331.0,2021-03-01,246.064400248674
2021-02-01,221.0,2021-04-01,242.824564267843
2021-03-01,353.0,2021-05-01,239.66834228767124
2021-04-01,291.0,2021-06-01,236.5925461239777
2021-05-01,284.0,2021-07-01,233.59414745985814
2021-06-01,250.0,2021-08-01,230.6702679561112
2021-07-01,224.0,2021-09-01,227.81817008650134
2021-08-01,268.0,2021-10-01,225.03524863664705
2021-09-01,259.0,2021-11-01,222.3190228111571
