t,q,t_model,q_model
2015-04-01,401.0,2015-07-01,16472.11723968396
2015-05-01,19784.0,2015-08-01,14928.037014704418
2015-06-01,19003.0,2015-09-01,13608.706753163437
2015-07-01,17033.0,2015-10-01,12471.029716403838
2015-08-01,15394.0,2015-11-01,11481.95939619376
2015-09-01,13384.0,2015-12-01,10615.779961467151
2015-10-01,13612.0,2016-01-01,9852.214822470705
2015-11-01,12599.0,2016-02-01,9175.085566468864
2015-12-01,8220.0,2016-03-01,8571.344521624216
2016-01-01,7651.0,2016-04-01,8030.3658578463355
2016-02-01,7663.0,2016-05-01,7543.4187068917245
2016-03-01,7396.0,2016-06-01,7103.270462338086
2016-04-01,6154.0,2016-07-01,6703.884531612251
2016-05-01,7424.0,2016-08-01,6340.1875269703505
2016-06-01,6937.0,2016-09-01,6007.888129555463
2016-07-01,7411.0,2016-10-01,5703.334839392441
2016-08-01,7319.0,2016-11-01,5423.403293943484
2016-09-01,7042.0,2016-12-01,5165.406288328567
2016-10-01,7072.0,2017-01-01,4927.02138241846
2016-11-01,6064.0,2017-02-01,4706.232247238532
2016-12-01,6119.0,2017-03-01,4501.280829537292
2017-01-01,6264.0,2017-04-01,4310.628097459427
2017-02-01,5516.0,2017-05-01,4132.921640178149
2017-03-01,6263.0,2017-06-01,3966.9687778017865
2017-04-01,5791.0,2017-07-01,3811.7141286419387
2017-05-01,4711.0,2017-08-01,3666.2208031541277
2017-06-01,5227.0,2017-09-01,3529.6545649593245
2017-07-01,3563.0,2017-10-01,3401.2704320144358
2017-08-01,4068.0,2017-11-01,3280.4012945421928
2017-09-01,4040.0,2017-12-01,3166.448207657396
2017-10-01,3910.0,2018-01-01,3058.872080887363
2017-11-01,3395.0,2018-02-01,2957.186537850662
2017-12-01,3022.0,2018-03-01,2860.9517601597636
2018-01-01,2756.0,2018-04-01,2769.7691623826477
2018-02-01,2664.0,2018-05-01,2683.2767713469684
2018-03-01,3151.0,2018-06-01,2601.1452045185542
2018-04-01,2695.0,2018-07-01,2523.074159657768
2018-05-01,2565.0,2018-08-01,2448.7893422516227
2018-06-01,2516.0,2018-09-01,2378.03976896284
2018-07-01,2162.0,2018-10-01,2310.5953950231155
2018-08-01,1756.0,2018-11-01,2246.245021517589
2018-09-01,2357.0,2018-12-01,2184.79444517204
2018-10-01,1226.0,2019-01-01,2126.064818812247
2018-11-01,1314.0,2019-02-01,2069.8911953157426
2018-12-01,1748.0,2019-03-01,2016.1212317807308
2019-01-01,1705.0,2019-04-01,1964.6140339252647
2019-02-01,1371.0,2019-05-01,1915.2391235076268
2019-03-01,1501.0,2019-06-01,1867.8755139123475
2019-04-01,1286.0,2019-07-01,1822.410881045925
2019-05-01,994.0,2019-08-01,1778.7408183899688
2019-06-01,991.0,2019-09-01,1736.7681665147536
2019-07-01,1203.0,2019-10-01,1696.4024086026145
2019-08-01,1018.0,2019-11-01,1657.5591246005984
2019-09-01,1124.0,2019-12-01,1620.1594975428102
2019-10-01,675.0,2020-01-01,1584.129866377238
2019-11-01,1217.0,2020-02-01,1549.4013203187212
2019-12-01,772.0,2020-03-01,1515.9093303448324
2020-01-01,1145.0,2020-04-01,1483.5934139681879
2020-02-01,819.0,2020-05-01,1452.3968298683517
2020-03-01,711.0,2020-06-01,1422.2662993584754
2020-04-01,606.0,2020-07-01,1393.151752004281
2020-05-01,603.0,2020-08-01,1365.0060930126638
2020-06-01,652.0,2020-09-01,1337.784990269999
2020-07-01,622.0,2020-10-01,1311.4466791410343
2020-08-01,647.0,2020-11-01,1285.9517833423567
2020-09-01,697.0,2020-12-01,1261.2631503834414
2020-10-01,2955.0,2021-01-01,1237.345700226319
2020-11-01,2591.0,2021-02-01,1214.1662859546632
2020-12-01,2708.0,2021-03-01,1191.6935653668663
2021-01-01,2794.0,2021-04-01,1169.897882517461
2021-02-01,2054.0,2021-05-01,1148.7511583287805
2021-03-01,2559.0,2021-06-01,1128.2267894815081
2021-04-01,2414.0,2021-07-01,1108.2995548700746
2021-05-01,2235.0,2021-08-01,1088.9455289778089
2021-06-01,2100.0,2021-09-01,1070.142001588365
2021-07-01,1652.0,2021-10-01,1051.8674033050409
2021-08-01,1650.0,2021-11-01,1034.10123639897
2021-09-01,1098.0,2021-12-01,1016.8240105514213
2021-10-01,1684.0,2022-01-01,1000.0171830951863
2021-11-01,1515.0,2022-02-01,983.66310339576
2021-12-01,1485.0,2022-03-01,967.7449610451812
2022-01-01,1101.0,2022-04-01,952.246737570359
2022-02-01,827.0,2022-05-01,937.1531613838692
2022-03-01,1165.0,2022-06-01,922.449665728789
2022-04-01,860.0,2022-07-01,908.1223493904873
2022-05-01,1162.0,2022-08-01,894.1579399675996
2022-06-01,973.0,2022-09-01,880.5437595119097
2022-07-01,614.0,2022-10-01,867.2676923627247
2022-08-01,972.0,2022-11-01,854.3181550157365
2022-09-01,133.0,2022-12-01,841.6840678794476
2022-10-01,181.0,2023-01-01,829.3548287841385
2022-11-01,115.0,2023-02-01,817.3202881191954
2022-12-01,36.0,2023-03-01,805.5707254844855
2023-01-01,0.0,2023-04-01,794.0968277504722
2023-02-01,43.0,2023-05-01,782.8896684299848
2023-03-01,832.0,2023-06-01,771.9406882720626
2023-04-01,1105.0,2023-07-01,761.2416769951616
2023-05-01,935.0,2023-08-01,750.7847560832973
2023-06-01,815.0,2023-09-01,740.5623625744488
2023-07-01,763.0,2023-10-01,730.567233775826
2023-08-01,766.0,2023-11-01,720.7923928454428
2023-09-01,634.0,2023-12-01,711.231135183879
2023-10-01,641.0,2024-01-01,701.877015584197
2023-11-01,757.0,2024-02-01,692.7238360917313
2023-12-01,760.0,2024-03-01,683.7656345289237
2024-01-01,392.0,2024-04-01,674.9966736435541
2024-02-01,295.0,2024-05-01,666.4114308416475
2024-03-01,791.0,2024-06-01,658.0045884690404
2024-04-01,855.0,2024-07-01,649.7710246080809
2024-05-01,917.0,2024-08-01,641.7058043582364
