t,q,t_model,q_model
2011-11-01,10353.0,2012-02-01,8825.451211178222
2011-12-01,15120.0,2012-03-01,5089.836901747403
2012-01-01,10265.0,2012-04-01,4038.00493396027
2012-02-01,9027.0,2012-05-01,3479.595388604188
2012-03-01,3881.0,2012-06-01,3117.4061660333437
2012-04-01,3816.0,2012-07-01,2857.120421182658
2012-05-01,3210.0,2012-08-01,2657.929684599839
2012-06-01,2267.0,2012-09-01,2498.855678216167
2012-07-01,2182.0,2012-10-01,2367.8393628876765
2012-08-01,3432.0,2012-11-01,2257.379925151848
2012-09-01,2765.0,2012-12-01,2162.528959113719
2012-10-01,2693.0,2013-01-01,2079.869292415129
2012-11-01,2274.0,2013-02-01,2006.9533265991986
2012-12-01,3121.0,2013-03-01,1941.9746917537007
2013-01-01,3007.0,2013-04-01,1883.566567411061
2013-02-01,1228.0,2013-05-01,1830.6726277604891
2013-03-01,1086.0,2013-06-01,1782.46156051023
2013-04-01,1977.0,2013-07-01,1738.2687532125144
2013-05-01,2287.0,2013-08-01,1697.5554854112843
2013-06-01,3412.0,2013-09-01,1659.8797280536037
2013-07-01,2691.0,2013-10-01,1624.8748343029104
2013-08-01,2798.0,2013-11-01,1592.2337155275109
2013-09-01,2720.0,2013-12-01,1561.6969058123302
2013-10-01,2576.0,2014-01-01,1533.0434322177612
2013-11-01,2912.0,2014-02-01,1506.08374200098
2013-12-01,2066.0,2014-03-01,1480.6541597613414
2014-01-01,2537.0,2014-04-01,1456.6124975569746
2014-02-01,1790.0,2014-05-01,1433.8345444163842
2014-03-01,1591.0,2014-06-01,1412.2112340204253
2014-04-01,1381.0,2014-07-01,1391.6463407152255
2014-05-01,1707.0,2014-08-01,1372.0545910067729
2014-06-01,1198.0,2014-09-01,1353.360104649354
2014-07-01,1218.0,2014-10-01,1335.4950993198274
2014-08-01,1122.0,2014-11-01,1318.3988076859036
2014-09-01,931.0,2014-12-01,1302.0165668297586
2014-10-01,2096.0,2015-01-01,1286.2990484627085
2014-11-01,1434.0,2015-02-01,1271.2016048621415
2014-12-01,1221.0,2015-03-01,1256.6837104815152
2015-01-01,770.0,2015-04-01,1242.7084830932565
2015-02-01,999.0,2015-05-01,1229.242271390727
2015-03-01,1553.0,2015-06-01,1216.254298397191
2015-04-01,1549.0,2015-07-01,1203.7163519548596
2015-05-01,874.0,2015-08-01,1191.602515106771
2015-06-01,1483.0,2015-09-01,1179.888930422889
2015-07-01,761.0,2015-10-01,1168.553593323678
2015-08-01,415.0,2015-11-01,1157.5761702690818
2015-09-01,2141.0,2015-12-01,1146.937838346551
2015-10-01,1732.0,2016-01-01,1136.6211433383655
2015-11-01,858.0,2016-02-01,1126.6098737993398
2015-12-01,534.0,2016-03-01,1116.8889490494362
2016-01-01,441.0,2016-04-01,1107.4443192964552
2016-02-01,849.0,2016-05-01,1098.2628763633631
2016-03-01,547.0,2016-06-01,1089.3323737122744
2016-04-01,1220.0,2016-07-01,1080.641354640024
2016-05-01,1328.0,2016-08-01,1072.179087674727
2016-06-01,950.0,2016-09-01,1063.9355083335167
2016-07-01,1278.0,2016-10-01,1055.9011665128462
2016-08-01,1373.0,2016-11-01,1048.0671788774848
2016-09-01,1329.0,2016-12-01,1040.425185695363
2016-10-01,355.0,2017-01-01,1032.9673116348963
2016-11-01,1104.0,2017-02-01,1025.6861301011272
2016-12-01,1950.0,2017-03-01,1018.5746307385332
2017-01-01,2006.0,2017-04-01,1011.626189772839
2017-02-01,1859.0,2017-05-01,1004.8345429027376
2017-03-01,2030.0,2017-06-01,998.1937604859132
2017-04-01,1752.0,2017-07-01,991.6982247929175
2017-05-01,1436.0,2017-08-01,985.34260912789
2017-06-01,1612.0,2017-09-01,979.1218586373562
2017-07-01,1423.0,2017-10-01,973.0311726478328
2017-08-01,1213.0,2017-11-01,967.0659883900821
2017-09-01,923.0,2017-12-01,961.2219659829206
2017-10-01,819.0,2018-01-01,955.4949745627531
2017-11-01,5.0,2018-02-01,949.8810794567363
2017-12-01,1287.0,2018-03-01,944.3765303078364
2018-01-01,426.0,2018-04-01,938.9777500692472
2018-02-01,895.0,2018-05-01,933.6813247937897
2018-03-01,64.0,2018-06-01,928.4839941511736
2018-04-01,640.0,2018-07-01,923.3826426124642
2018-05-01,568.0,2018-08-01,918.3742912468688
2018-06-01,1146.0,2018-09-01,913.4560900811027
2018-07-01,1289.0,2018-10-01,908.6253109762116
2018-08-01,830.0,2018-11-01,903.8793409808553
2018-09-01,750.0,2018-12-01,899.2156761237657
2018-10-01,716.0,2019-01-01,894.631915611425
2018-11-01,702.0,2019-02-01,890.125756400007
2018-12-01,279.0,2019-03-01,885.6949881133243
2019-01-01,4.0,2019-04-01,881.3374882809625
2019-02-01,103.0,2019-05-01,877.0512178729856
