t,q,t_model,q_model
2018-02-01,4679.0,2018-03-01,10111.617585450082
2018-03-01,9836.0,2018-04-01,7297.734843125798
2018-04-01,7544.0,2018-05-01,5873.325828851767
2018-05-01,6778.0,2018-06-01,4989.767293100798
2018-06-01,5169.0,2018-07-01,4378.9522989014695
2018-07-01,4589.0,2018-08-01,3927.0267495221233
2018-08-01,4245.0,2018-09-01,3576.692980984655
2018-09-01,2908.0,2018-10-01,3295.7010850341126
2018-10-01,2927.0,2018-11-01,3064.3906619329
2018-11-01,2549.0,2018-12-01,2870.034813562208
2018-12-01,2632.0,2019-01-01,2703.9997454278755
2019-01-01,2412.0,2019-02-01,2560.2037401893667
2019-02-01,2116.0,2019-03-01,2434.2282633319646
2019-03-01,2225.0,2019-04-01,2322.779017333857
2019-04-01,1884.0,2019-05-01,2223.345353871865
2019-05-01,1982.0,2019-06-01,2133.97737516099
2019-06-01,2224.0,2019-07-01,2053.1356204482836
2019-07-01,1964.0,2019-08-01,1979.5870351427886
2019-08-01,1743.0,2019-09-01,1912.3313176165136
2019-09-01,1996.0,2019-10-01,1850.547717153659
2019-10-01,1821.0,2019-11-01,1793.555913050941
2019-11-01,1728.0,2019-12-01,1740.7867850734933
2019-12-01,1729.0,2020-01-01,1691.7602580898592
2020-01-01,1697.0,2020-02-01,1646.0682887616067
2020-02-01,1575.0,2020-03-01,1603.3616452332317
2020-03-01,1603.0,2020-04-01,1563.3395224399649
2020-04-01,1537.0,2020-05-01,1525.7413034518693
2020-05-01,1540.0,2020-06-01,1490.3399633639715
2020-06-01,1474.0,2020-07-01,1456.9367434882613
2020-07-01,1467.0,2020-08-01,1425.3568174421266
2020-08-01,1441.0,2020-09-01,1395.445738673557
2020-09-01,1390.0,2020-10-01,1367.066508740142
2020-10-01,1433.0,2020-11-01,1340.0971425238813
2020-11-01,1356.0,2020-12-01,1314.4286341445509
2020-12-01,1395.0,2021-01-01,1289.9632481654085
2021-01-01,1370.0,2021-02-01,1266.6130765583382
2021-02-01,1144.0,2021-03-01,1244.2988140921543
2021-03-01,1369.0,2021-04-01,1222.94871425293
2021-04-01,1240.0,2021-05-01,1202.4976951737494
2021-05-01,1267.0,2021-06-01,1182.8865708398675
2021-06-01,1224.0,2021-07-01,1164.0613874126734
2021-07-01,1238.0,2021-08-01,1145.9728481581355
2021-08-01,1203.0,2021-09-01,1128.5758133807087
2021-09-01,1176.0,2021-10-01,1111.8288641102738
2021-10-01,1190.0,2021-11-01,1095.6939201885393
2021-11-01,1155.0,2021-12-01,1080.1359049457458
2021-12-01,1192.0,2022-01-01,1065.122449920688
2022-01-01,1207.0,2022-02-01,1050.6236341133797
2022-02-01,747.0,2022-03-01,1036.6117531142907
2022-03-01,1371.0,2022-04-01,1023.0611141618299
2022-04-01,928.0,2022-05-01,1009.9478537682189
2022-05-01,1249.0,2022-06-01,997.2497750451195
2022-06-01,1043.0,2022-07-01,984.9462022719082
2022-07-01,1121.0,2022-08-01,973.017850595515
2022-08-01,992.0,2022-09-01,961.446709042654
2022-09-01,1055.0,2022-10-01,950.2159352723766
2022-10-01,1040.0,2022-11-01,939.309760706681
2022-11-01,1151.0,2022-12-01,928.7134048556061
2022-12-01,898.0,2023-01-01,918.412997805879
2023-01-01,1030.0,2023-02-01,908.395509972938
2023-02-01,904.0,2023-03-01,898.6486883284578
2023-03-01,1018.0,2023-04-01,889.1609984122308
2023-04-01,939.0,2023-05-01,879.9215715207632
2023-05-01,1114.0,2023-06-01,870.9201565372235
2023-06-01,813.0,2023-07-01,862.1470759300901
2023-07-01,954.0,2023-08-01,853.5931855023696
2023-08-01,925.0,2023-09-01,845.2498375207823
2023-09-01,989.0,2023-10-01,837.1088468958137
2023-10-01,771.0,2023-11-01,829.162460119855
2023-11-01,953.0,2023-12-01,821.4033267025188
2023-12-01,969.0,2024-01-01,813.8244728701968
2024-01-01,875.0,2024-02-01,806.4192773215843
2024-02-01,907.0,2024-03-01,799.1814488526222
2024-03-01,949.0,2024-04-01,792.1050056835181
2024-04-01,724.0,2024-05-01,785.1842563375089
2024-05-01,645.0,2024-06-01,778.413781936097
2024-06-01,1032.0,2024-07-01,771.788419788884
2024-07-01,694.0,2024-08-01,765.3032481680293
2024-08-01,1039.0,2024-09-01,758.9535721679722
2024-09-01,698.0,2024-10-01,752.7349105605234
