t,q,t_model,q_model
2015-08-01,10219.0,2015-09-01,22422.311157996864
2015-09-01,21940.0,2015-10-01,13870.098848507758
2015-10-01,14656.0,2015-11-01,9768.860638441469
2015-11-01,10886.0,2015-12-01,7411.4659988511585
2015-12-01,9757.0,2016-01-01,5901.020276233246
2016-01-01,4427.0,2016-02-01,4860.310077506158
2016-02-01,2500.0,2016-03-01,4104.884094633949
2016-03-01,2165.0,2016-04-01,3534.5827582606626
2016-04-01,1919.0,2016-05-01,3090.637984414077
2016-05-01,2482.0,2016-06-01,2736.445760666721
2016-06-01,2718.0,2016-07-01,2448.0973318776523
2016-07-01,2496.0,2016-08-01,2209.358993314602
2016-08-01,2286.0,2016-09-01,2008.8472383949277
2016-09-01,2132.0,2016-10-01,1838.359246085277
2016-10-01,2122.0,2016-11-01,1691.844655617682
2016-11-01,1954.0,2016-12-01,1564.7496516408735
2016-12-01,1843.0,2017-01-01,1453.5856678090997
2017-01-01,1774.0,2017-02-01,1355.638188324817
2017-02-01,1545.0,2017-03-01,1268.7655100923985
2017-03-01,1510.0,2017-04-01,1191.2567728724325
2017-04-01,1238.0,2017-05-01,1121.7299378329722
2017-05-01,1465.0,2017-06-01,1059.0572482345335
2017-06-01,758.0,2017-07-01,1002.3099472279868
2017-07-01,1257.0,2017-08-01,950.7167160178533
2017-08-01,1345.0,2017-09-01,903.6320368159351
2017-09-01,1260.0,2017-10-01,860.5118351129054
2017-10-01,1253.0,2017-11-01,820.8945292079354
2017-11-01,1102.0,2017-12-01,784.3861436418034
2017-12-01,1185.0,2018-01-01,750.6485100994024
2018-01-01,1077.0,2018-02-01,719.3898375620088
2018-02-01,866.0,2018-03-01,690.3571175629397
2018-03-01,910.0,2018-04-01,663.3299632016221
2018-04-01,853.0,2018-05-01,638.1155774563211
2018-05-01,851.0,2018-06-01,614.5446177580395
2018-06-01,795.0,2018-07-01,592.4677769547462
2018-07-01,744.0,2018-08-01,571.7529407354172
2018-08-01,819.0,2018-09-01,552.2828118462606
2018-09-01,713.0,2018-10-01,533.9529145477819
2018-10-01,711.0,2018-11-01,516.6699105537135
2018-11-01,660.0,2018-12-01,500.3501714864031
2018-12-01,659.0,2019-01-01,484.9185636497803
2019-01-01,640.0,2019-02-01,470.3074093792417
2019-02-01,561.0,2019-03-01,456.4555959134102
2019-03-01,654.0,2019-04-01,443.3078080480756
2019-04-01,547.0,2019-05-01,430.8138650820182
2019-05-01,555.0,2019-06-01,418.92814597960574
2019-06-01,506.0,2019-07-01,407.6090894336324
2019-07-01,494.0,2019-08-01,396.8187577508306
2019-08-01,499.0,2019-09-01,386.52245530804885
2019-09-01,461.0,2019-10-01,376.6883938221581
2019-10-01,446.0,2019-11-01,367.2873979063064
2019-11-01,411.0,2019-12-01,358.2926454004346
2019-12-01,425.0,2020-01-01,349.67943780557795
2020-01-01,452.0,2020-02-01,341.42499685172385
2020-02-01,395.0,2020-03-01,333.508283813702
2020-03-01,422.0,2020-04-01,325.90983867949274
2020-04-01,356.0,2020-05-01,318.61163668718365
2020-05-01,354.0,2020-06-01,311.5969600941274
2020-06-01,368.0,2020-07-01,304.8502833356623
2020-07-01,397.0,2020-08-01,298.35716998003204
2020-08-01,406.0,2020-09-01,292.10418009824645
2020-09-01,338.0,2020-10-01,286.0787868485883
2020-10-01,414.0,2020-11-01,280.269301230292
2020-11-01,376.0,2020-12-01,274.66480409370234
2020-12-01,392.0,2021-01-01,269.2550846084025
2021-01-01,367.0,2021-02-01,264.0305844892056
2021-02-01,304.0,2021-03-01,258.9823473649316
2021-03-01,373.0,2021-04-01,254.10197274850682
2021-04-01,290.0,2021-05-01,249.38157413081248
2021-05-01,297.0,2021-06-01,244.8137407762727
2021-06-01,265.0,2021-07-01,240.39150284658587
2021-07-01,112.0,2021-08-01,236.10829952128705
2021-08-01,218.0,2021-09-01,231.95794982081907
2021-09-01,194.0,2021-10-01,227.9346258702143
2021-10-01,257.0,2021-11-01,224.03282836996505
2021-11-01,230.0,2021-12-01,220.24736406571387
2021-12-01,164.0,2022-01-01,216.57332503046848
2022-01-01,251.0,2022-02-01,213.0060695925413
2022-02-01,251.0,2022-03-01,209.54120475964285
2022-03-01,282.0,2022-04-01,206.17457000482443
2022-04-01,265.0,2022-05-01,202.90222229350485
2022-05-01,231.0,2022-06-01,199.72042224284323
2022-06-01,195.0,2022-07-01,196.62562131542327
2022-07-01,190.0,2022-08-01,193.61444995875075
2022-08-01,235.0,2022-09-01,190.6837066105731
2022-09-01,255.0,2022-10-01,187.83034749763414
2022-10-01,198.0,2022-11-01,185.05147716227918
2022-11-01,168.0,2022-12-01,182.3443396574183
2022-12-01,312.0,2023-01-01,179.70631035582485
2023-01-01,214.0,2023-02-01,177.13488832465384
2023-02-01,207.0,2023-03-01,174.62768922048213
2023-03-01,214.0,2023-04-01,172.18243866414704
2023-04-01,204.0,2023-05-01,169.7969660582439
2023-05-01,192.0,2023-06-01,167.46919881337627
2023-06-01,178.0,2023-07-01,165.19715695217636
2023-07-01,180.0,2023-08-01,162.97894806275238
2023-08-01,166.0,2023-09-01,160.81276257561626
2023-09-01,192.0,2023-10-01,158.6968693403098
2023-10-01,224.0,2023-11-01,156.62961147991774
2023-11-01,206.0,2023-12-01,154.60940250344228
2023-12-01,158.0,2024-01-01,152.63472265763744
2024-01-01,233.0,2024-02-01,150.70411550138107
2024-02-01,179.0,2024-03-01,148.81618468700827
2024-03-01,185.0,2024-04-01,146.96959093425818
2024-04-01,143.0,2024-05-01,145.16304918360476
2024-05-01,181.0,2024-06-01,143.39532591676826
2024-06-01,103.0,2024-07-01,141.6652366331361
2024-07-01,86.0,2024-08-01,139.97164347168012
2024-08-01,290.0,2024-09-01,138.31345296873982
2024-09-01,176.0,2024-10-01,136.68961394275883
2024-10-01,106.0,2024-11-01,135.0991154977219
,,2024-12-01,133.540985137643
,,2025-01-01,132.014286985011
,,2025-02-01,130.5181200966109
,,2025-03-01,129.05161687060638
,,2025-04-01,127.6139415392042
,,2025-05-01,126.2042887416184
,,2025-06-01,124.82188217241924
,,2025-07-01,123.46597330069253
,,2025-08-01,122.13584015574618
,,2025-09-01,120.83078617539182
,,2025-10-01,119.55013911309523
,,2025-11-01,118.29325000053832
,,2025-12-01,117.05949216236287
,,2026-01-01,115.84826028008011
,,2026-02-01,114.65896950232523
,,2026-03-01,113.49105459882016
,,2026-04-01,112.34396915557554
,,2026-05-01,111.21718480902142
,,2026-06-01,110.11019051690151
,,2026-07-01,109.02249186390208
,,2026-08-01,107.9536104001126
,,2026-09-01,106.90308301053328
,,2026-10-01,105.87046131395374
,,2026-11-01,104.85531108962921
,,2026-12-01,103.8572117302763
,,2027-01-01,102.87575571999795
,,2027-02-01,101.91054813583172
,,2027-03-01,100.96120617169079
,,2027-04-01,100.02735868354131
,,2027-05-01,99.108645754726
,,2027-06-01,98.20471828040712
,,2027-07-01,97.31523757016167
,,2027-08-01,96.4398749678164
,,2027-09-01,95.57831148766171
,,2027-10-01,94.73023746623345
,,2027-11-01,93.89535222889451
,,2027-12-01,93.07336377049393
,,2028-01-01,92.26398844941825
,,2028-02-01,91.46695069438957
,,2028-03-01,90.68198272339852
,,2028-04-01,89.90882427419439
,,2028-05-01,89.14722234578552
,,2028-06-01,88.39693095043192
,,2028-07-01,87.65771087563996
,,2028-08-01,86.92932945569498
,,2028-09-01,86.21156035229156
