t,q,t_model,q_model
2014-06-01,7589.0,2014-07-01,9133.681657070103
2014-07-01,9127.0,2014-08-01,6557.816877975611
2014-08-01,6756.0,2014-09-01,5175.845917246407
2014-09-01,5023.0,2014-10-01,4304.955532508606
2014-10-01,4201.0,2014-11-01,3702.0535036897527
2014-11-01,3474.0,2014-12-01,3258.015700077684
2014-12-01,3210.0,2015-01-01,2916.2856642884694
2015-01-01,2917.0,2015-02-01,2644.5073528380376
2015-02-01,2433.0,2015-03-01,2422.778885277562
2015-03-01,2497.0,2015-04-01,2238.1596582448637
2015-04-01,2199.0,2015-05-01,2081.856937019782
2015-05-01,2188.0,2015-06-01,1947.6788783485558
2015-06-01,1971.0,2015-07-01,1831.1340051110767
2015-07-01,1895.0,2015-08-01,1728.8818310149297
2015-08-01,1824.0,2015-09-01,1638.38428345657
2015-09-01,1648.0,2015-10-01,1557.6770196085254
2015-10-01,1602.0,2015-11-01,1485.2150189268853
2015-11-01,1494.0,2015-12-01,1419.7656821720975
2015-12-01,1636.0,2016-01-01,1360.333172989653
2016-01-01,1514.0,2016-02-01,1306.1038163890928
2016-02-01,1325.0,2016-03-01,1256.4060017698196
2016-03-01,1332.0,2016-04-01,1210.6802736215034
2016-04-01,1241.0,2016-05-01,1168.456704355777
2016-05-01,1245.0,2016-06-01,1129.3375555890223
2016-06-01,1163.0,2016-07-01,1092.983835783955
2016-07-01,1127.0,2016-08-01,1059.1047666387126
2016-08-01,1135.0,2016-09-01,1027.4494473067734
2016-09-01,1030.0,2016-10-01,997.8001978287377
2016-10-01,1022.0,2016-11-01,969.967198757898
2016-11-01,986.0,2016-12-01,943.7841408733109
2016-12-01,981.0,2017-01-01,919.1046690004064
2017-01-01,894.0,2017-02-01,895.7994552912621
2017-02-01,1149.0,2017-03-01,873.753775296535
2017-03-01,965.0,2017-04-01,852.8654885443245
2017-04-01,1013.0,2017-05-01,833.0433467521896
2017-05-01,892.0,2017-06-01,814.2055690921615
2017-06-01,896.0,2017-07-01,796.2786364305547
2017-07-01,719.0,2017-08-01,779.1962661316711
2017-08-01,741.0,2017-09-01,762.8985365446996
2017-09-01,644.0,2017-10-01,747.3311361993005
2017-10-01,628.0,2017-11-01,732.4447173981221
2017-11-01,592.0,2017-12-01,718.1943375984666
2017-12-01,620.0,2018-01-01,704.538974934966
2018-01-01,614.0,2018-02-01,691.4411066132484
2018-02-01,575.0,2018-03-01,678.8663408256133
2018-03-01,657.0,2018-04-01,666.7830943993752
2018-04-01,639.0,2018-05-01,655.1623096609118
2018-05-01,642.0,2018-06-01,643.9772050412465
2018-06-01,634.0,2018-07-01,633.2030548073969
2018-07-01,611.0,2018-08-01,622.8169940133195
2018-08-01,685.0,2018-09-01,612.7978453532339
2018-09-01,1011.0,2018-10-01,603.1259650908236
2018-10-01,841.0,2018-11-01,593.7831056481785
2018-11-01,746.0,2018-12-01,584.7522927827637
2018-12-01,747.0,2019-01-01,576.0177155707299
