t,q,t_model,q_model
2015-02-01,309.0,2015-08-01,1022.8383697066885
2015-03-01,775.0,2015-09-01,967.2862064579186
2015-04-01,1469.0,2015-10-01,914.2716583105421
2015-05-01,20.0,2015-11-01,863.7011176320306
2015-06-01,846.0,2015-12-01,815.4835914187634
2015-07-01,880.0,2016-01-01,769.530652124098
2015-08-01,1546.0,2016-02-01,725.7563889539321
2015-09-01,1292.0,2016-03-01,684.0773596297362
2015-10-01,347.0,2016-04-01,644.412542619048
2015-11-01,854.0,2016-05-01,606.6832898334138
2015-12-01,70.0,2016-06-01,570.8132797937621
2016-01-01,642.0,2016-07-01,536.728471263195
2016-02-01,47.0,2016-08-01,504.357057347187
2016-03-01,736.0,2016-09-01,473.62942006117004
2016-04-01,745.0,2016-10-01,444.4780853654967
2016-05-01,830.0,2016-11-01,416.837678667763
2016-06-01,1041.0,2016-12-01,390.64488079247764
2016-07-01,831.0,2017-01-01,365.8383844180623
2016-08-01,551.0,2017-02-01,342.3588509811667
2016-09-01,456.0,2017-03-01,320.1488680482874
2016-10-01,798.0,2017-04-01,299.1529071546678
2016-11-01,537.0,2017-05-01,279.3172821104701
2016-12-01,341.0,2017-06-01,260.59010777420065
2017-01-01,398.0,2017-07-01,242.92125929337138
2017-02-01,444.0,2017-08-01,226.26233181238626
2017-03-01,270.0,2017-09-01,210.56660064762804
2017-04-01,233.0,2017-10-01,195.78898192973833
2017-05-01,156.0,2017-11-01,181.88599371306637
2017-06-01,572.0,2017-12-01,168.8157175522741
2017-07-01,338.0,2018-01-01,156.53776054607897
2017-08-01,269.0,2018-02-01,145.01321784811591
2017-09-01,233.0,2018-03-01,134.2046356449049
2017-10-01,249.0,2018-04-01,124.07597460089971
2017-11-01,77.0,2018-05-01,114.59257377060744
2017-12-01,2.0,2018-06-01,105.7211149777544
2018-01-01,9.0,2018-07-01,97.42958766148266
2018-02-01,0.0,2018-08-01,89.68725418955974
2018-03-01,4.0,2018-09-01,82.464615638578
2018-04-01,559.0,2018-10-01,75.73337804113022
2018-05-01,257.0,2018-11-01,69.46641909993711
2018-06-01,58.0,2018-12-01,63.63775536890957
2018-07-01,4.0,2019-01-01,58.22250990112486
2018-08-01,0.0,2019-02-01,53.196880363695996
2018-09-01,0.0,2019-03-01,48.538107619515124
2018-10-01,0.0,2019-04-01,44.22444477584734
2018-11-01,0.0,2019-05-01,40.23512669975687
2018-12-01,0.0,2019-06-01,36.55034000034135
2019-01-01,0.0,2019-07-01,33.15119347775383
2019-02-01,0.0,2019-08-01,30.01968903898964
2019-03-01,0.0,2019-09-01,27.13869308041549
2019-04-01,0.0,2019-10-01,24.491908337018458
2019-05-01,0.0,2019-11-01,22.063846198350138
2019-06-01,0.0,2019-12-01,19.839799491143925
2019-07-01,0.0,2020-01-01,17.805815728579834
2019-08-01,0.0,2020-02-01,15.948670826172926
2019-09-01,0.0,2020-03-01,14.25584328426055
2019-10-01,0.0,2020-04-01,12.715488837062056
2019-11-01,0.0,2020-05-01,11.31641556828615
2019-12-01,0.0,2020-06-01,10.048059493258613
2020-01-01,0.0,2020-07-01,8.90046060754389
2020-02-01,0.0,2020-08-01,7.864239402033011
2020-03-01,0.0,2020-09-01,6.930573844469864
2020-04-01,0.0,2020-10-01,6.091176827387225
2020-05-01,0.0,2020-11-01,5.33827408242359
2020-06-01,0.0,2020-12-01,4.664582560990809
2020-07-01,0.0,2021-01-01,4.063289281262361
2020-08-01,0.0,2021-02-01,3.5280306414511124
2020-09-01,0.0,2021-03-01,3.0528721993448475
2020-10-01,0.0,2021-04-01,2.632288918067117
2020-11-01,0.0,2021-05-01,2.2611458780301135
2020-12-01,0.0,2021-06-01,1.9346794550456505
2021-01-01,0.0,2021-07-01,1.6484789645592477
2021-02-01,0.0,2021-08-01,1.3984687719716729
2021-03-01,0.0,2021-09-01,1.1808908690112134
2021-04-01,0.0,2021-10-01,0.9922879161190485
2021-05-01,0.0,2021-11-01,0.8294867508090172
2021-06-01,0.0,2021-12-01,0.6895823619620544
2021-07-01,0.0,2022-01-01,0.5699223300143247
2021-08-01,0.0,2022-02-01,0.46809173299695866
2021-09-01,7.0,2022-03-01,0.38189851838393796
2021-10-01,0.0,2022-04-01,0.30935934070332977
2021-11-01,0.0,2022-05-01,0.24868586486559535
2021-12-01,0.0,2022-06-01,0.19827153516112814
2022-01-01,0.0,2022-07-01,0.15667880987751773
2022-02-01,0.0,2022-08-01,0.12262686148521114
2022-03-01,0.0,2022-09-01,0.09497974233833596
2022-04-01,0.0,2022-10-01,0.07273501583534893
2022-05-01,0.0,2022-11-01,0.055012852981922856
2022-06-01,0.0,2022-12-01,0.041045594296034986
2022-07-01,0.0,2023-01-01,0.030167776992558064
2022-08-01,0.0,2023-02-01,0.021806627381733678
2022-09-01,0.0,2023-03-01,0.015473018412715223
2022-10-01,0.0,2023-04-01,0.010752892289834951
2022-11-01,0.0,2023-05-01,0.0072991480853396035
2022-12-01,0.0,2023-06-01,0.004823994267978829
2023-01-01,2.0,2023-07-01,0.0030917660619403445
2023-02-01,0.0,2023-08-01,0.0019122075450991997
2023-03-01,0.0,2023-09-01,0.001134218389257688
2023-04-01,0.0,2023-10-01,0.000640065137820182
2023-05-01,0.0,2023-11-01,0.000340056907948802
2023-06-01,0.0,2023-12-01,0.00016768539437055373
2023-07-01,0.0,2024-01-01,7.52290402253988e-05
2023-08-01,0.0,2024-02-01,2.982122604224559e-05
2023-09-01,0.0,2024-03-01,9.982310191071392e-06
2023-10-01,0.0,2024-04-01,2.615331560108733e-06
2023-11-01,0.0,2024-05-01,4.6515539411942713e-07
2023-12-01,0.0,2024-06-01,4.080199642676076e-08
2024-01-01,0.0,2024-07-01,6.369162093387452e-10
2024-02-01,0.0,2024-08-01,1.808466071612653e-30
2024-03-01,0.0,2024-09-01,
2024-04-01,0.0,2024-10-01,
2024-05-01,0.0,2024-11-01,
2024-06-01,0.0,2024-12-01,
2024-07-01,0.0,2025-01-01,
2024-08-01,28.0,2025-02-01,
,,2025-03-01,
,,2025-04-01,
,,2025-05-01,
,,2025-06-01,
,,2025-07-01,
,,2025-08-01,
,,2025-09-01,
,,2025-10-01,
,,2025-11-01,
,,2025-12-01,
,,2026-01-01,
,,2026-02-01,
,,2026-03-01,
,,2026-04-01,
,,2026-05-01,
,,2026-06-01,
,,2026-07-01,
,,2026-08-01,
,,2026-09-01,
,,2026-10-01,
,,2026-11-01,
,,2026-12-01,
,,2027-01-01,
,,2027-02-01,
,,2027-03-01,
,,2027-04-01,
,,2027-05-01,
,,2027-06-01,
,,2027-07-01,
,,2027-08-01,
,,2027-09-01,
,,2027-10-01,
,,2027-11-01,
,,2027-12-01,
,,2028-01-01,
