t,q,t_model,q_model
2011-03-01,7883.0,2011-09-01,23439.429704794733
2011-04-01,13107.0,2011-10-01,12640.74417911738
2011-05-01,13865.0,2011-11-01,8505.991226065289
2011-06-01,9687.0,2011-12-01,6350.2656745039085
2011-07-01,6407.0,2012-01-01,5036.890992572788
2011-08-01,7012.0,2012-02-01,4157.04475107229
2011-09-01,22898.0,2012-03-01,3528.580144999625
2011-10-01,15079.0,2012-04-01,3058.390678851437
2011-11-01,8384.0,2012-05-01,2694.0649959129128
2011-12-01,5484.0,2012-06-01,2403.9059425541395
2012-01-01,5054.0,2012-07-01,2167.648754620041
2012-02-01,2950.0,2012-08-01,1971.750048866116
2012-03-01,1697.0,2012-09-01,1806.824181600678
2012-04-01,1668.0,2012-10-01,1666.1672517008803
2012-05-01,2076.0,2012-11-01,1544.8667510757302
2012-06-01,2504.0,2012-12-01,1439.2429992383106
2012-07-01,2456.0,2013-01-01,1346.4867881106268
2012-08-01,2058.0,2013-02-01,1264.4174094816085
2012-09-01,996.0,2013-03-01,1191.3169352704904
2012-10-01,1434.0,2013-04-01,1125.8141655614363
2012-11-01,713.0,2013-05-01,1066.801735850963
2012-12-01,2587.0,2013-06-01,1013.3758532928346
2013-01-01,2374.0,2013-07-01,964.7917823905303
2013-02-01,1780.0,2013-08-01,920.4304880222433
2013-03-01,1683.0,2013-09-01,879.773310523821
2013-04-01,1102.0,2013-10-01,842.382508085508
2013-05-01,785.0,2013-11-01,807.8861427861473
2013-06-01,1231.0,2013-12-01,775.9662219416803
2013-07-01,1090.0,2014-01-01,746.3493068418517
2013-08-01,777.0,2014-02-01,718.7990112850066
2013-09-01,694.0,2014-03-01,693.1099616027394
2013-10-01,1223.0,2014-04-01,669.1028971520396
2013-11-01,784.0,2014-05-01,646.6206682595304
2013-12-01,534.0,2014-06-01,625.5249459390263
2014-01-01,908.0,2014-07-01,605.6935002759795
2014-02-01,912.0,2014-08-01,587.0179362831338
2014-03-01,655.0,2014-09-01,569.4018001644156
2014-04-01,574.0,2014-10-01,552.7589873276327
2014-05-01,996.0,2014-11-01,537.012397631863
2014-06-01,681.0,2014-12-01,522.0927943087023
2014-07-01,299.0,2015-01-01,507.9378315377846
2014-08-01,934.0,2015-02-01,494.49122236166926
2014-09-01,971.0,2015-03-01,481.70202392140345
2014-10-01,663.0,2015-04-01,469.52402120273814
2014-11-01,646.0,2015-05-01,457.9151938464484
2014-12-01,683.0,2015-06-01,446.8372532787532
2015-01-01,712.0,2015-07-01,436.2552396005343
2015-02-01,507.0,2015-08-01,426.137169445562
2015-03-01,448.0,2015-09-01,416.4537274624771
2015-04-01,516.0,2015-10-01,407.1779952584792
2015-05-01,472.0,2015-11-01,398.2852126159798
2015-06-01,550.0,2015-12-01,389.75256659741797
2015-07-01,37.0,2016-01-01,381.5590048200997
2015-08-01,216.0,2016-02-01,373.68506973783906
2015-09-01,711.0,2016-03-01,366.112751229762
2015-10-01,404.0,2016-04-01,358.825355185264
2015-11-01,1113.0,2016-05-01,351.8073861010025
2015-12-01,634.0,2016-06-01,345.0444419816596
2016-01-01,484.0,2016-07-01,338.5231200697078
2016-02-01,408.0,2016-08-01,332.23093212766446
2016-03-01,219.0,2016-09-01,326.15622816512365
2016-04-01,35.0,2016-10-01,320.2881276469926
2016-05-01,53.0,2016-11-01,314.6164573427637
2016-06-01,39.0,2016-12-01,309.13169508258125
2016-07-01,739.0,2017-01-01,303.8249187770265
2016-08-01,858.0,2017-02-01,298.6877601361774
2016-09-01,679.0,2017-03-01,293.712362591506
2016-10-01,542.0,2017-04-01,288.89134298310245
2016-11-01,156.0,2017-05-01,284.21775662591136
2016-12-01,2.0,2017-06-01,279.68506541321824
2017-01-01,27.0,2017-07-01,275.287108654494
2017-02-01,0.0,2017-08-01,271.01807637867574
2017-03-01,492.0,2017-09-01,266.87248486371317
2017-04-01,949.0,2017-10-01,262.845154179312
2017-05-01,1126.0,2017-11-01,258.93118755275344
2017-06-01,497.0,2017-12-01,255.12595238787662
2017-07-01,323.0,2018-01-01,251.42506278513446
2017-08-01,364.0,2018-02-01,247.8243634263889
2017-09-01,255.0,2018-03-01,244.3199147020533
2017-10-01,555.0,2018-04-01,240.90797897055134
2017-11-01,614.0,2018-05-01,237.58500785103888
2017-12-01,431.0,2018-06-01,234.34763046009633
2018-01-01,311.0,2018-07-01,231.19264251179368
2018-02-01,508.0,2018-08-01,228.1169962082857
2018-03-01,579.0,2018-09-01,225.11779085501925
2018-04-01,1108.0,2018-10-01,222.1922641408327
2018-05-01,910.0,2018-11-01,219.33778402877488
2018-06-01,440.0,2018-12-01,216.55184120844706
2018-07-01,364.0,2019-01-01,213.8320420651415
2018-08-01,344.0,2019-02-01,211.17610212506673
2018-09-01,626.0,2019-03-01,208.58183993956777
2018-10-01,497.0,2019-04-01,206.0471713745079
2018-11-01,539.0,2019-05-01,203.57010427392277
2018-12-01,20.0,2019-06-01,201.1487334697117
2019-01-01,489.0,2019-07-01,198.78123611153748
2019-02-01,289.0,2019-08-01,196.46586729327984
2019-03-01,29.0,2019-09-01,194.2009559543609
2019-04-01,146.0,2019-10-01,191.98490103605033
2019-05-01,312.0,2019-11-01,189.8161678744825
2019-06-01,0.0,2019-12-01,187.69328481359656
2019-07-01,137.0,2020-01-01,185.61484002255338
2019-08-01,2.0,2020-02-01,183.57947850341068
2019-09-01,0.0,2020-03-01,181.58589927595156
2019-10-01,252.0,2020-04-01,179.63285272758327
2019-11-01,731.0,2020-05-01,177.71913811715328
2019-12-01,673.0,2020-06-01,175.84360122238053
2020-01-01,351.0,2020-07-01,174.00513212137963
2020-02-01,495.0,2020-08-01,172.20266309946808
2020-03-01,388.0,2020-09-01,170.4351666731022
2020-04-01,352.0,2020-10-01,168.7016537233852
2020-05-01,234.0,2020-11-01,167.00117173214318
2020-06-01,56.0,2020-12-01,165.3328031140716
2020-07-01,192.0,2021-01-01,163.69566363891667
2020-08-01,150.0,2021-02-01,162.0889009380897
2020-09-01,138.0,2021-03-01,160.51169309050155
2020-10-01,417.0,2021-04-01,158.9632472827721
2020-11-01,377.0,2021-05-01,157.4427985393021
2020-12-01,576.0,2021-06-01,155.9496085180054
2021-01-01,302.0,2021-07-01,154.48296436778628
2021-02-01,238.0,2021-08-01,153.04217764410802
2021-03-01,243.0,2021-09-01,151.62658327924643
2021-04-01,199.0,2021-10-01,150.23553860404584
2021-05-01,252.0,2021-11-01,148.86842241820554
2021-06-01,104.0,2021-12-01,147.52463410631827
2021-07-01,59.0,2022-01-01,146.20359279706238
2021-08-01,146.0,2022-02-01,144.90473656311676
2021-09-01,78.0,2022-03-01,143.6275216595211
2021-10-01,344.0,2022-04-01,142.37142179835084
2021-11-01,144.0,2022-05-01,141.1359274577059
2021-12-01,281.0,2022-06-01,139.92054522314157
2022-01-01,328.0,2022-07-01,138.7247971597813
2022-02-01,228.0,2022-08-01,137.54822021346195
2022-03-01,172.0,2022-09-01,136.39036563936187
2022-04-01,335.0,2022-10-01,135.25079845665448
2022-05-01,224.0,2022-11-01,134.12909692781935
2022-06-01,78.0,2022-12-01,133.02485206132314
2022-07-01,128.0,2023-01-01,131.93766713645877
2022-08-01,9.0,2023-02-01,130.86715724920302
2022-09-01,184.0,2023-03-01,129.81294887801843
