t,q,t_model,q_model
2015-03-01,8290.0,2015-06-01,11373.413938528292
2015-04-01,16631.0,2015-07-01,7198.810348358086
2015-05-01,14849.0,2015-08-01,5495.078523795419
2015-06-01,11561.0,2015-09-01,4533.661198427985
2015-07-01,7457.0,2015-10-01,3904.1999897867167
2015-08-01,4172.0,2015-11-01,3454.8081890001895
2015-09-01,3805.0,2015-12-01,3115.1759542529308
2015-10-01,2412.0,2016-01-01,2847.9203168520476
2015-11-01,2841.0,2016-02-01,2631.180387517043
2015-12-01,3072.0,2016-03-01,2451.248749497403
2016-01-01,1851.0,2016-04-01,2299.0585531662987
2016-02-01,3429.0,2016-05-01,2168.3531836194798
2016-03-01,7012.0,2016-06-01,2054.664224674499
2016-04-01,5355.0,2016-07-01,1954.7081234799125
2016-05-01,3904.0,2016-08-01,1866.013359774239
2016-06-01,2998.0,2016-09-01,1786.6810598806512
2016-07-01,2540.0,2016-10-01,1715.226203745947
2016-08-01,1256.0,2016-11-01,1650.4692954612947
2016-09-01,1798.0,2016-12-01,1591.4606331495677
2016-10-01,327.0,2017-01-01,1537.426219723308
2016-11-01,77.0,2017-02-01,1487.7283888561078
2016-12-01,0.0,2017-03-01,1441.8366525091587
2017-01-01,0.0,2017-04-01,1399.3057852471602
2017-02-01,1805.0,2017-05-01,1359.759120771954
2017-03-01,2201.0,2017-06-01,1322.8756611862455
2017-04-01,2141.0,2017-07-01,1288.3800148705309
2017-05-01,1356.0,2017-08-01,1256.0344600636852
2017-06-01,1097.0,2017-09-01,1225.6326248781538
2017-07-01,1704.0,2017-10-01,1196.9944099128672
2017-08-01,1455.0,2017-11-01,1169.9618757123371
2017-09-01,1398.0,2017-12-01,1144.395886395256
2017-10-01,1974.0,2018-01-01,1120.1733510429349
2017-11-01,1435.0,2018-02-01,1097.1849414347794
2017-12-01,1436.0,2018-03-01,1075.3331922365107
2018-01-01,1273.0,2018-04-01,1054.530910417573
2018-02-01,1879.0,2018-05-01,1034.6998363446426
2018-03-01,1908.0,2018-06-01,1015.7695109807813
2018-04-01,1634.0,2018-07-01,997.676312856968
2018-05-01,1768.0,2018-08-01,980.3626356579788
2018-06-01,1588.0,2018-09-01,963.7761828783558
2018-07-01,1357.0,2018-10-01,947.8693604261993
2018-08-01,1219.0,2018-11-01,932.5987515581819
2018-09-01,1199.0,2018-12-01,917.9246613253616
2018-10-01,821.0,2019-01-01,903.8107199525308
2018-11-01,766.0,2019-02-01,890.2235363832713
2018-12-01,576.0,2019-03-01,877.1323946900702
2019-01-01,788.0,2019-04-01,864.5089872444469
2019-02-01,333.0,2019-05-01,852.3271795209465
2019-03-01,402.0,2019-06-01,840.5628022139849
2019-04-01,302.0,2019-07-01,829.1934670115754
2019-05-01,486.0,2019-08-01,818.1984029216111
2019-06-01,790.0,2019-09-01,807.5583105057323
2019-07-01,692.0,2019-10-01,797.255231759802
2019-08-01,707.0,2019-11-01,787.2724337021555
2019-09-01,714.0,2019-12-01,777.5943040020007
2019-10-01,556.0,2020-01-01,768.2062572094469
2019-11-01,581.0,2020-02-01,759.0946503427791
2019-12-01,669.0,2020-03-01,750.2467067536486
2020-01-01,189.0,2020-04-01,741.6504473315616
2020-02-01,167.0,2020-05-01,733.2946282293813
2020-03-01,507.0,2020-06-01,725.1686843947414
2020-04-01,759.0,2020-07-01,717.2626782809728
2020-05-01,650.0,2020-08-01,709.5672531876249
2020-06-01,675.0,2020-09-01,702.073590746742
2020-07-01,808.0,2020-10-01,694.7733721282976
2020-08-01,771.0,2020-11-01,687.6587425879072
2020-09-01,677.0,2020-12-01,680.7222790231848
2020-10-01,614.0,2021-01-01,673.956960242847
2020-11-01,587.0,2021-02-01,667.3561396856395
2020-12-01,623.0,2021-03-01,660.9135203550445
2021-01-01,628.0,2021-04-01,654.6231317610723
2021-02-01,648.0,2021-05-01,648.4793086827302
2021-03-01,659.0,2021-06-01,642.4766715843915
2021-04-01,596.0,2021-07-01,636.6101085366178
2021-05-01,655.0,2021-08-01,630.8747585073071
2021-06-01,550.0,2021-09-01,625.26599590261
2021-07-01,774.0,2021-10-01,619.7794162490896
2021-08-01,443.0,2021-11-01,614.4108229193013
2021-09-01,293.0,2021-12-01,609.1562148124841
2021-10-01,444.0,2022-01-01,604.011774910548
2021-11-01,632.0,2022-02-01,598.9738596371037
2021-12-01,476.0,2022-03-01,594.0389889540712
2022-01-01,312.0,2022-04-01,589.2038371364517
2022-02-01,568.0,2022-05-01,584.465224171294
2022-03-01,435.0,2022-06-01,579.8201077317626
2022-04-01,380.0,2022-07-01,575.2655756816051
2022-05-01,548.0,2022-08-01,570.7988390692618
2022-06-01,544.0,2022-09-01,566.417225574426
2022-07-01,476.0,2022-10-01,562.1181733730704
2022-08-01,310.0,2022-11-01,557.8992253898617
2022-09-01,542.0,2022-12-01,553.7580239095039
2022-10-01,234.0,2023-01-01,549.6923055209373
2022-11-01,588.0,2023-02-01,545.6998963704659
2022-12-01,390.0,2023-03-01,541.7787077018488
2023-01-01,322.0,2023-04-01,537.9267316631648
2023-02-01,520.0,2023-05-01,534.1420373618763
2023-03-01,389.0,2023-06-01,530.4227671509905
2023-04-01,608.0,2023-07-01,526.7671331305579
2023-05-01,322.0,2023-08-01,523.173413849969
2023-06-01,538.0,2023-09-01,519.6399511976302
2023-07-01,279.0,2023-10-01,516.165147465619
2023-08-01,428.0,2023-11-01,512.7474625778539
2023-09-01,237.0,2023-12-01,509.38541147116837
2023-10-01,197.0,2024-01-01,506.0775616194652
2023-11-01,222.0,2024-02-01,502.8225306918414
2023-12-01,122.0,2024-03-01,499.6189843362404
2024-01-01,111.0,2024-04-01,496.4656340807891
2024-02-01,203.0,2024-05-01,493.36123534553934
2024-03-01,280.0,2024-06-01,490.3045855578444
2024-04-01,152.0,2024-07-01,487.294522365074
2024-05-01,208.0,2024-08-01,484.3299219388084
2024-06-01,220.0,2024-09-01,481.40969736505417
2024-07-01,200.0,2024-10-01,478.53279711539255
2024-08-01,169.0,2024-11-01,475.6982035943185
,,2024-12-01,472.904931758342
,,2025-01-01,470.1520278027183
,,2025-02-01,467.4385679119442
