t,q,t_model,q_model
2022-10-01,0.0,2022-12-01,904.7468670841789
2022-11-01,0.0,2023-01-01,904.7501226587326
2022-12-01,649.0,2023-02-01,904.7502005055628
2023-01-01,543.0,2023-03-01,904.7502460430425
2023-02-01,3625.0,2023-04-01,904.7502783523997
2023-03-01,3423.0,2023-05-01,904.750303413485
2023-04-01,2433.0,2023-06-01,904.7503238898832
2023-05-01,1562.0,2023-07-01,904.7503412024315
2023-06-01,662.0,2023-08-01,904.7503561992434
2023-07-01,1207.0,2023-09-01,904.750369427369
2023-08-01,748.0,2023-10-01,904.7503812603308
2023-09-01,758.0,2023-11-01,904.7503919645469
2023-10-01,698.0,2023-12-01,904.7504017367307
2023-11-01,534.0,2024-01-01,904.7504107262685
2023-12-01,542.0,2024-02-01,904.7504190492806
2024-01-01,436.0,2024-03-01,904.7504267978195
2024-02-01,501.0,2024-04-01,904.7504340460936
2024-03-01,492.0,2024-05-01,904.7504408548006
2024-04-01,441.0,2024-06-01,904.7504472742204
2024-05-01,368.0,2024-07-01,904.7504533464706
2024-06-01,331.0,2024-08-01,904.7504591071832
2024-07-01,281.0,2024-09-01,904.750464586771
2024-08-01,415.0,2024-10-01,904.7504698114002
2024-09-01,401.0,2024-11-01,904.7504748037454
2024-10-01,329.0,2024-12-01,904.7504795835848
2024-11-01,335.0,2025-01-01,904.7504841682735
,,2025-02-01,904.7504885731234
,,2025-03-01,904.7504928117123
,,2025-04-01,904.7504968961363
,,2025-05-01,904.750500837217
,,2025-06-01,904.7505046446757
,,2025-07-01,904.7505083272771
,,2025-08-01,904.7505118929505
,,2025-09-01,904.7505153488934
,,2025-10-01,904.7505187016582
,,2025-11-01,904.7505219572276
,,2025-12-01,904.7505251210785
,,2026-01-01,904.7505281982376
,,2026-02-01,904.7505311933293
,,2026-03-01,904.7505341106175
,,2026-04-01,904.7505369540423
,,2026-05-01,904.750539727252
,,2026-06-01,904.7505424336307
,,2026-07-01,904.750545076324
,,2026-08-01,904.7505476582603
,,2026-09-01,904.7505501821706
,,2026-10-01,904.7505526506059
,,2026-11-01,904.7505550659525
,,2026-12-01,904.7505574304458
,,2027-01-01,904.7505597461832
,,2027-02-01,904.7505620151348
,,2027-03-01,904.7505642391537
,,2027-04-01,904.7505664199851
,,2027-05-01,904.7505685592743
,,2027-06-01,904.7505706585744
,,2027-07-01,904.7505727193532
,,2027-08-01,904.7505747429985
,,2027-09-01,904.7505767308255
,,2027-10-01,904.7505786840798
,,2027-11-01,904.7505806039434
,,2027-12-01,904.7505824915389
,,2028-01-01,904.750584347933
,,2028-02-01,904.7505861741405
,,2028-03-01,904.7505879711274
,,2028-04-01,904.7505897398142
,,2028-05-01,904.7505914810785
,,2028-06-01,904.7505931957573
,,2028-07-01,904.7505948846506
,,2028-08-01,904.7505965485224
,,2028-09-01,904.7505981881031
,,2028-10-01,904.7505998040921
,,2028-11-01,904.7506013971584
,,2028-12-01,904.7506029679432
,,2029-01-01,904.7506045170616
,,2029-02-01,904.7506060451027
,,2029-03-01,904.7506075526326
,,2029-04-01,904.7506090401946
,,2029-05-01,904.7506105083107
,,2029-06-01,904.7506119574831
,,2029-07-01,904.750613388194
,,2029-08-01,904.7506148009082
,,2029-09-01,904.7506161960725
,,2029-10-01,904.750617574118
,,2029-11-01,904.7506189354594
,,2029-12-01,904.750620280497
,,2030-01-01,904.7506216096165
,,2030-02-01,904.7506229231905
,,2030-03-01,904.7506242215783
,,2030-04-01,904.7506255051271
,,2030-05-01,904.7506267741721
,,2030-06-01,904.7506280290377
,,2030-07-01,904.7506292700368
,,2030-08-01,904.7506304974731
,,2030-09-01,904.7506317116395
,,2030-10-01,904.7506329128198
,,2030-11-01,904.750634101289
,,2030-12-01,904.7506352773133
,,2031-01-01,904.7506364411506
,,2031-02-01,904.750637593051
,,2031-03-01,904.7506387332567
,,2031-04-01,904.7506398620028
,,2031-05-01,904.7506409795175
,,2031-06-01,904.7506420860219
,,2031-07-01,904.7506431817311
,,2031-08-01,904.7506442668534
,,2031-09-01,904.7506453415917
,,2031-10-01,904.7506464061429
,,2031-11-01,904.7506474606979
,,2031-12-01,904.7506485054431
,,2032-01-01,904.7506495405592
,,2032-02-01,904.750650566222
,,2032-03-01,904.7506515826027
,,2032-04-01,904.7506525898676
,,2032-05-01,904.750653588179
,,2032-06-01,904.7506545776947
,,2032-07-01,904.7506555585683
,,2032-08-01,904.7506565309491
,,2032-09-01,904.7506574949833
,,2032-10-01,904.7506584508129
,,2032-11-01,904.7506593985763
,,2032-12-01,904.7506603384086
,,2033-01-01,904.7506612704412
,,2033-02-01,904.7506621948029
,,2033-03-01,904.7506631116186
