t,q,t_model,q_model
2014-12-01,6472.0,2015-01-01,12259.282474670026
2015-01-01,12300.0,2015-02-01,9891.864571832237
2015-02-01,9471.0,2015-03-01,8238.220739151535
2015-03-01,9173.0,2015-04-01,7024.150597763031
2015-04-01,6819.0,2015-05-01,6098.64660099707
2015-05-01,6033.0,2015-06-01,5372.060986639645
2015-06-01,5145.0,2015-07-01,4787.993757373046
2015-07-01,4633.0,2015-08-01,4309.282505857312
2015-08-01,4123.0,2015-09-01,3910.498288695444
2015-09-01,3623.0,2015-10-01,3573.6853115250606
2015-10-01,3493.0,2015-11-01,3285.823091751303
2015-11-01,3237.0,2015-12-01,3037.2523361157096
2015-12-01,3117.0,2016-01-01,2820.6643254093888
2016-01-01,2854.0,2016-02-01,2630.4324742180806
2016-02-01,2577.0,2016-03-01,2462.158575841839
2016-03-01,2590.0,2016-04-01,2312.357654458472
2016-04-01,2404.0,2016-05-01,2178.234596082159
2016-05-01,1940.0,2016-06-01,2057.522932046148
2016-06-01,2070.0,2016-07-01,1948.3665677337433
2016-07-01,1413.0,2016-08-01,1849.2317278518458
2016-08-01,2053.0,2016-09-01,1758.8405142035972
2016-09-01,1908.0,2016-10-01,1676.1201545905583
2016-10-01,1978.0,2016-11-01,1600.1638004476881
2016-11-01,1756.0,2016-12-01,1530.1999315767628
2016-12-01,1766.0,2017-01-01,1465.5682500815233
2017-01-01,1710.0,2017-02-01,1405.7005191966616
2017-02-01,1482.0,2017-03-01,1350.10520764581
2017-03-01,1556.0,2017-04-01,1298.3550897154848
2017-04-01,1519.0,2017-05-01,1250.0771607409695
2017-05-01,1036.0,2017-06-01,1204.9443809745728
2017-06-01,1550.0,2017-07-01,1162.6688741013038
2017-07-01,1325.0,2017-08-01,1122.9962912208662
2017-08-01,1245.0,2017-09-01,1085.7011147919154
2017-09-01,1286.0,2017-10-01,1050.5827253982654
2017-10-01,1249.0,2017-11-01,1017.4620912246928
2017-11-01,1178.0,2017-12-01,986.1789686936955
2017-12-01,1080.0,2018-01-01,956.5895249064373
2018-01-01,749.0,2018-02-01,928.5643098891734
2018-02-01,886.0,2018-03-01,901.986520310654
2018-03-01,943.0,2018-04-01,876.7505071578206
2018-04-01,964.0,2018-05-01,852.7604884773727
2018-05-01,924.0,2018-06-01,829.9294351950974
2018-06-01,872.0,2018-07-01,808.1781035838088
2018-07-01,882.0,2018-08-01,787.4341924488137
2018-08-01,783.0,2018-09-01,767.6316067568582
2018-09-01,847.0,2018-10-01,748.7098124213146
2018-10-01,848.0,2018-11-01,730.6132694064216
2018-11-01,814.0,2018-12-01,713.290932331533
2018-12-01,825.0,2019-01-01,696.695809425386
2019-01-01,637.0,2019-02-01,680.7845720660246
2019-02-01,270.0,2019-03-01,665.5172082966102
2019-03-01,935.0,2019-04-01,650.856714672828
2019-04-01,713.0,2019-05-01,636.7688216077016
2019-05-01,577.0,2019-06-01,623.2217480615828
2019-06-01,727.0,2019-07-01,610.1859820009867
2019-07-01,602.0,2019-08-01,597.6340835377531
2019-08-01,617.0,2019-09-01,585.54050807444
2019-09-01,569.0,2019-10-01,573.8814471349181
2019-10-01,552.0,2019-11-01,562.6346848607553
2019-11-01,551.0,2019-12-01,551.7794684123355
2019-12-01,532.0,2020-01-01,541.2963907355012
2020-01-01,535.0,2020-02-01,531.1672843455113
2020-02-01,486.0,2020-03-01,521.3751249449041
2020-03-01,477.0,2020-04-01,511.9039438344097
2020-04-01,473.0,2020-05-01,502.7387481996259
2020-05-01,427.0,2020-06-01,493.86544846352643
2020-06-01,434.0,2020-07-01,485.270791988338
2020-07-01,430.0,2020-08-01,476.94230249185466
2020-08-01,408.0,2020-09-01,468.86822461453534
2020-09-01,386.0,2020-10-01,461.0374731361511
2020-10-01,402.0,2020-11-01,453.43958639552505
2020-11-01,419.0,2020-12-01,446.0646835150552
2020-12-01,388.0,2021-01-01,438.9034250741145
2021-01-01,413.0,2021-02-01,431.9469769128272
2021-02-01,289.0,2021-03-01,425.1869767807727
2021-03-01,389.0,2021-04-01,418.6155035744246
2021-04-01,345.0,2021-05-01,412.2250489330626
2021-05-01,383.0,2021-06-01,406.00849098592397
2021-06-01,334.0,2021-07-01,399.9590700638351
2021-07-01,345.0,2021-08-01,394.0703662067968
2021-08-01,335.0,2021-09-01,388.33627831525746
2021-09-01,335.0,2021-10-01,382.75100480733084
2021-10-01,343.0,2021-11-01,377.3090256572008
2021-11-01,336.0,2021-12-01,372.00508570158536
2021-12-01,329.0,2022-01-01,366.83417911156
2022-01-01,329.0,2022-02-01,361.79153493639757
2022-02-01,290.0,2022-03-01,356.8726036345057
2022-03-01,330.0,2022-04-01,352.0730445141071
2022-04-01,296.0,2022-05-01,347.3887140131372
2022-05-01,331.0,2022-06-01,342.81565475399077
2022-06-01,236.0,2022-07-01,338.3500853143058
2022-07-01,247.0,2022-08-01,333.9883906600032
2022-08-01,407.0,2022-09-01,329.7271131913493
2022-09-01,277.0,2022-10-01,325.5629443569313
2022-10-01,278.0,2022-11-01,321.4927167941771
2022-11-01,196.0,2022-12-01,317.51339695844354
2022-12-01,202.0,2023-01-01,313.6220782057861
2023-01-01,273.0,2023-02-01,309.8159742973291
2023-02-01,218.0,2023-03-01,306.0924132957117
2023-03-01,238.0,2023-04-01,302.44883182641775
2023-04-01,197.0,2023-05-01,298.88276967892097
2023-05-01,308.0,2023-06-01,295.3918647245188
2023-06-01,235.0,2023-07-01,291.97384812950617
2023-07-01,253.0,2023-08-01,288.6265398439575
2023-08-01,207.0,2023-09-01,285.34784434787736
2023-09-01,208.0,2023-10-01,282.1357466378375
2023-10-01,202.0,2023-11-01,278.98830843846963
2023-11-01,241.0,2023-12-01,275.90366462432723
2023-12-01,227.0,2024-01-01,272.880019838684
2024-01-01,263.0,2024-02-01,269.91564529680284
2024-02-01,198.0,2024-03-01,267.00887576210135
2024-03-01,247.0,2024-04-01,264.15810668445664
2024-04-01,172.0,2024-05-01,261.36179149064975
2024-05-01,197.0,2024-06-01,258.61843901764433
2024-06-01,152.0,2024-07-01,255.92661108003804
2024-07-01,197.0,2024-08-01,253.28492016361622
2024-08-01,201.0,2024-09-01,250.69202723748631
2024-09-01,185.0,2024-10-01,248.14663967777804
2024-10-01,169.0,2024-11-01,245.64750929636224
,,2024-12-01,243.19343046847553
,,2025-01-01,240.78323835353845
,,2025-02-01,238.41580720382993
,,2025-03-01,236.0900487560224
,,2025-04-01,233.80491070090582
,,2025-05-01,231.55937522692466
,,2025-06-01,229.35245763342851
,,2025-07-01,227.183205009795
,,2025-08-01,225.05069497682206
,,2025-09-01,222.954034487009
,,2025-10-01,220.89235868055383
,,2025-11-01,218.86482979408711
,,2025-12-01,216.87063611934212
,,2026-01-01,214.90899100913
,,2026-02-01,212.97913192814423
,,2026-03-01,211.08031954626622
,,2026-04-01,209.21183687217956
,,2026-05-01,207.37298842522839
,,2026-06-01,205.56309944357585
,,2026-07-01,203.78151512682848
,,2026-08-01,202.02759991139882
,,2026-09-01,200.30073677697567
,,2026-10-01,198.6003265825626
,,2026-11-01,196.92578743063314
,,2026-12-01,195.2765540580299
,,2027-01-01,193.6520772523111
,,2027-02-01,192.05182329232008
,,2027-03-01,190.47527341181842
,,2027-04-01,188.92192328508713
,,2027-05-01,187.3912825334588
,,2027-06-01,185.88287425179863
,,2027-07-01,184.3962345540056
,,2027-08-01,182.93091213665207
,,2027-09-01,181.48646785992793
,,2027-10-01,180.06247434509808
,,2027-11-01,178.6585155877229
,,2027-12-01,177.27418658593004
,,2028-01-01,175.9090929830626
,,2028-02-01,174.56285072406158
,,2028-03-01,173.23508572497545
,,2028-04-01,171.92543355501743
,,2028-05-01,170.6335391306211
,,2028-06-01,169.35905642097322
,,2028-07-01,168.10164816452578
,,2028-08-01,166.86098559601666
,,2028-09-01,165.63674818354824
,,2028-10-01,164.42862337529766
,,2028-11-01,163.23630635545086
,,2028-12-01,162.05949980897395
,,2029-01-01,160.8979136948516
,,2029-02-01,159.75126502744206
,,2029-03-01,158.6192776656129
,,2029-04-01,157.5016821093383
,,2029-05-01,156.3982153034535
,,2029-06-01,155.3086204482754
,,2029-07-01,154.23264681681275
,,2029-08-01,153.17004957830056
,,2029-09-01,152.12058962780742
,,2029-10-01,151.0840334216734
,,2029-11-01,150.0601528185492
,,2029-12-01,149.048724925816
,,2030-01-01,148.04953195117628
,,2030-02-01,147.06236105921434
,,2030-03-01,146.08700423273476
,,2030-04-01,145.12325813869478
,,2030-05-01,144.17092399855537
,,2030-06-01,143.2298074628828
,,2030-07-01,142.29971849003954
,,2030-08-01,141.38047122881105
,,2030-09-01,140.4718839048207
,,2030-10-01,139.57377871059225
,,2030-11-01,138.68598169912374
,,2030-12-01,137.80832268084436
,,2031-01-01,136.94063512382945
,,2031-02-01,136.0827560571553
,,2031-03-01,135.23452597727893
,,2031-04-01,134.3957887573344
,,2031-05-01,133.56639155924017
,,2031-06-01,132.7461847485171
,,2031-07-01,131.93502181172096
,,2031-08-01,131.13275927639583
,,2031-09-01,130.33925663346068
,,2031-10-01,129.55437626194308
,,2031-11-01,128.7779833559781
,,2031-12-01,128.00994585399403
,,2032-01-01,127.25013437000862
,,2032-02-01,126.4984221269644
,,2032-03-01,125.75468489203156
,,2032-04-01,125.018800913813
,,2032-05-01,124.29065086138557
,,2032-06-01,123.57011776511673
,,2032-07-01,122.85708695919573
,,2032-08-01,122.15144602582292
,,2032-09-01,121.45308474100138
,,2032-10-01,120.761895021878
,,2032-11-01,120.07777087558277
,,2032-12-01,119.40060834951689
,,2033-01-01,118.73030548304273
,,2033-02-01,118.0667622605296
