t,q,t_model,q_model
2004-01-01,209.0,2009-04-01,188.4553800847545
2004-02-01,200.0,2009-05-01,161.90639134293963
2004-03-01,190.0,2009-06-01,145.8835169200745
2004-04-01,141.0,2009-07-01,134.7441689800271
2004-05-01,163.0,2009-08-01,126.36536911380409
2004-06-01,129.0,2009-09-01,119.73677786238063
2004-07-01,196.0,2009-10-01,114.30504593676964
2004-08-01,162.0,2009-11-01,109.73704896805259
2004-09-01,164.0,2009-12-01,105.81804848646524
2004-10-01,156.0,2010-01-01,102.40224827696224
2004-11-01,94.0,2010-02-01,99.3865401253391
2004-12-01,56.0,2010-03-01,96.6955640063631
2005-01-01,87.0,2010-04-01,94.27272394413507
2005-02-01,58.0,2010-05-01,92.07453570040722
2005-03-01,68.0,2010-06-01,90.06693412760728
2005-04-01,86.0,2010-07-01,88.22278250781908
2005-05-01,108.0,2010-08-01,86.52014593059975
2005-06-01,86.0,2010-09-01,84.94106549553511
2005-07-01,66.0,2010-10-01,83.47066971536927
2005-08-01,90.0,2010-11-01,82.09651836283813
2005-09-01,93.0,2010-12-01,80.80810992823996
2005-10-01,73.0,2011-01-01,79.59650640383933
2005-11-01,8.0,2011-02-01,78.45404362446921
2005-12-01,11.0,2011-03-01,77.3741049472032
2006-01-01,109.0,2011-04-01,76.35094247039244
2006-02-01,57.0,2011-05-01,75.37953438306316
2006-03-01,66.0,2011-06-01,74.45547009039187
2006-04-01,50.0,2011-07-01,73.57485691897921
2006-05-01,124.0,2011-08-01,72.73424375173306
2006-06-01,121.0,2011-09-01,71.93055806428853
2006-07-01,69.0,2011-10-01,71.16105365911002
2006-08-01,78.0,2011-11-01,70.42326700557929
2006-09-01,74.0,2011-12-01,69.7149805537552
2006-10-01,50.0,2012-01-01,69.0341917375553
2006-11-01,18.0,2012-02-01,68.3790866492173
2006-12-01,151.0,2012-03-01,67.74801757206836
2007-01-01,103.0,2012-04-01,67.13948371807433
2007-02-01,60.0,2012-05-01,66.5521146414745
2007-03-01,78.0,2012-06-01,65.98465589823365
2007-04-01,68.0,2012-07-01,65.43595659916095
2007-05-01,74.0,2012-08-01,64.90495856693674
2007-06-01,80.0,2012-09-01,64.39068685741407
2007-07-01,110.0,2012-10-01,63.89224144606124
2007-08-01,105.0,2012-11-01,63.40878991330858
2007-09-01,94.0,2012-12-01,62.93956098941924
2007-10-01,78.0,2013-01-01,62.48383884153742
2007-11-01,68.0,2013-02-01,62.040958003725386
2007-12-01,70.0,2013-03-01,61.6102988658324
2008-01-01,78.0,2013-04-01,61.19128364953401
2008-02-01,88.0,2013-05-01,60.783372810309224
2008-03-01,80.0,2013-06-01,60.38606181286083
2008-04-01,85.0,2013-07-01,59.998878234832134
2008-05-01,82.0,2013-08-01,59.62137915987476
2008-06-01,109.0,2013-09-01,59.25314882637273
2008-07-01,131.0,2013-10-01,58.893796502589524
2008-08-01,110.0,2013-11-01,58.542954562806464
2008-09-01,117.0,2013-12-01,58.20027674227031
2008-10-01,160.0,2014-01-01,57.865436551554076
2008-11-01,119.0,2014-02-01,57.53812583333037
2008-12-01,128.0,2014-03-01,57.218053446620424
2009-01-01,123.0,2014-04-01,56.90494406536707
2009-02-01,12.0,2014-05-01,56.59853707972513
2009-03-01,104.0,2014-06-01,56.298585589806144
2009-04-01,197.0,2014-07-01,56.0048554827826
2009-05-01,162.0,2014-08-01,55.7171245852774
2009-06-01,150.0,2014-09-01,55.43518188385581
2009-07-01,138.0,2014-10-01,55.158826807219036
2009-08-01,120.0,2014-11-01,54.88786856438494
2009-09-01,111.0,2014-12-01,54.62212553374516
2009-10-01,80.0,2015-01-01,54.361424698420784
2009-11-01,99.0,2015-02-01,54.10560112380845
2009-12-01,85.0,2015-03-01,53.854497473625514
2010-01-01,83.0,2015-04-01,53.60796356113139
2010-02-01,69.0,2015-05-01,53.365855932529975
2010-03-01,75.0,2015-06-01,53.12803747984923
2010-04-01,73.0,2015-07-01,52.894377080854
2010-05-01,74.0,2015-08-01,52.66474926377906
2010-06-01,82.0,2015-09-01,52.43903389487727
2010-07-01,145.0,2015-10-01,52.21711588696214
2010-08-01,97.0,2015-11-01,51.99888492729085
2010-09-01,71.0,2015-12-01,51.78423522328236
2010-10-01,87.0,2016-01-01,51.573065264699494
2010-11-01,59.0,2016-02-01,51.36527760104448
2010-12-01,98.0,2016-03-01,51.16077863302579
2011-01-01,69.0,2016-04-01,50.959478417052814
2011-02-01,51.0,2016-05-01,50.76129048180274
2011-03-01,64.0,2016-06-01,50.56613165598493
2011-04-01,88.0,2016-07-01,50.373921906500186
2011-05-01,104.0,2016-08-01,50.18458418625826
2011-06-01,63.0,2016-09-01,49.99804429097692
2011-07-01,98.0,2016-10-01,49.81423072433988
2011-08-01,165.0,2016-11-01,49.63307457094066
2011-09-01,86.0,2016-12-01,49.454509376484104
2011-10-01,52.0,2017-01-01,49.278471034758695
2011-11-01,69.0,2017-02-01,49.10489768092981
2011-12-01,54.0,2017-03-01,48.93372959073874
2012-01-01,76.0,2017-04-01,48.76490908522324
2012-02-01,71.0,2017-05-01,48.59838044060412
2012-03-01,61.0,2017-06-01,48.43408980300869
2012-04-01,66.0,2017-07-01,48.27198510772574
2012-05-01,97.0,2017-08-01,48.11201600270912
2012-06-01,74.0,2017-09-01,47.954133776066854
2012-07-01,69.0,2017-10-01,47.79829128729182
2012-08-01,86.0,2017-11-01,47.64444290200674
2012-09-01,81.0,2017-12-01,47.49254443001242
2012-10-01,103.0,2018-01-01,47.34255306644251
2012-11-01,62.0,2018-02-01,47.19442733584141
2012-12-01,104.0,2018-03-01,47.048127038994735
2013-01-01,150.0,2018-04-01,46.90361320235268
2013-02-01,146.0,2018-05-01,46.760848029897744
2013-03-01,115.0,2018-06-01,46.619794857317544
2013-04-01,106.0,2018-07-01,46.48041810835302
2013-05-01,141.0,2018-08-01,46.342683253200384
2013-06-01,137.0,2018-09-01,46.206556768853105
2013-07-01,145.0,2018-10-01,46.07200610127739
2013-08-01,108.0,2018-11-01,45.93899962932149
2013-09-01,49.0,2018-12-01,45.80750663026515
2013-10-01,79.0,2019-01-01,45.677497246921384
2013-11-01,55.0,2019-02-01,45.548942456208465
2013-12-01,50.0,2019-03-01,45.42181403911452
2014-01-01,59.0,2019-04-01,45.29608455198211
2014-02-01,26.0,2019-05-01,45.17172729904461
2014-03-01,14.0,2019-06-01,45.04871630614996
2014-04-01,53.0,2019-07-01,44.92702629561137
2014-05-01,34.0,2019-08-01,44.80663266212806
2014-06-01,29.0,2019-09-01,44.68751144972246
2014-07-01,48.0,2019-10-01,44.56963932964318
2014-08-01,55.0,2019-11-01,44.452993579186206
2014-09-01,32.0,2019-12-01,44.3375520613894
2014-10-01,54.0,2020-01-01,44.22329320555769
2014-11-01,56.0,2020-02-01,44.11019598857916
2014-12-01,56.0,2020-03-01,43.99823991699397
2015-01-01,30.0,2020-04-01,43.88740500978047
2015-02-01,28.0,2020-05-01,43.77767178182476
2015-03-01,45.0,2020-06-01,43.669021228041416
2015-04-01,46.0,2020-07-01,43.56143480811562
2015-05-01,26.0,2020-08-01,43.454894431837545
2015-06-01,28.0,2020-09-01,43.3493824450023
2015-07-01,14.0,2020-10-01,43.244881615849415
2015-08-01,40.0,2020-11-01,43.14137512201771
2015-09-01,58.0,2020-12-01,43.03884653799241
2015-10-01,43.0,2021-01-01,42.93727982302253
2015-11-01,54.0,2021-02-01,42.8366593094879
2015-12-01,59.0,2021-03-01,42.73696969169596
2016-01-01,32.0,2021-04-01,42.63819601508967
2016-02-01,53.0,2021-05-01,42.5403236658488
2016-03-01,92.0,2021-06-01,42.44333836086748
2016-04-01,70.0,2021-07-01,42.34722613809223
2016-05-01,43.0,2021-08-01,42.251973347205045
2016-06-01,32.0,2021-09-01,42.15756664063685
2016-07-01,25.0,2021-10-01,42.063992964897814
2016-08-01,30.0,2021-11-01,41.971239552211124
2016-09-01,23.0,2021-12-01,41.87929391243778
2016-10-01,26.0,2022-01-01,41.78814382528036
2016-11-01,63.0,2022-02-01,41.697777332754534
2016-12-01,40.0,2022-03-01,41.60818273191746
2017-01-01,16.0,2022-04-01,41.519348567842485
2017-02-01,24.0,2022-05-01,41.43126362683072
2017-03-01,38.0,2022-06-01,41.34391692984966
2017-04-01,81.0,2022-07-01,41.25729772619014
2017-05-01,19.0,2022-08-01,41.17139548733298
2017-06-01,57.0,2022-09-01,41.0861999010171
2017-07-01,32.0,2022-10-01,41.001700865501384
2017-08-01,16.0,2022-11-01,40.91788848401271
2017-09-01,10.0,2022-12-01,40.834753059373135
2017-10-01,0.0,2023-01-01,40.75228508879933
2017-11-01,9.0,2023-02-01,40.67047525886776
2017-12-01,4.0,2023-03-01,40.589314440639406
2018-01-01,6.0,2023-04-01,40.50879368493806
2018-02-01,22.0,2023-05-01,40.42890421777644
2018-03-01,56.0,2023-06-01,40.34963743592467
2018-04-01,34.0,2023-07-01,40.27098490261591
2018-05-01,63.0,2023-08-01,40.19293834338424
2018-06-01,15.0,2023-09-01,40.11548964202971
2018-07-01,36.0,2023-10-01,40.0386308367062
2018-08-01,39.0,2023-11-01,39.962354116127656
2018-09-01,69.0,2023-12-01,39.88665181588839
2018-10-01,81.0,2024-01-01,39.81151641489342
2018-11-01,46.0,2024-02-01,39.73694053189499
2018-12-01,24.0,2024-03-01,39.66291692213151
2019-01-01,30.0,2024-04-01,39.58943847406541
2019-02-01,34.0,2024-05-01,39.51649820621639
2019-03-01,45.0,2024-06-01,39.44408926408672
2019-04-01,55.0,2024-07-01,39.37220491717565
2019-05-01,39.0,2024-08-01,39.30083855607965
2019-06-01,62.0,2024-09-01,39.22998368967565
2019-07-01,68.0,2024-10-01,39.159633942384524
