t,q,t_model,q_model
2011-10-01,150.0,2012-02-01,7478.870495282342
2011-11-01,7787.0,2012-03-01,2865.9893347555117
2011-12-01,3102.0,2012-04-01,2116.0525964505523
2012-01-01,6146.0,2012-05-01,1757.1967656172903
2012-02-01,7444.0,2012-06-01,1536.2931350156582
2012-03-01,3782.0,2012-07-01,1382.7655526237354
2012-04-01,1855.0,2012-08-01,1268.0697476345754
2012-05-01,2071.0,2012-09-01,1178.1596962181254
2012-06-01,1084.0,2012-10-01,1105.211688247689
2012-07-01,1334.0,2012-11-01,1044.4757740302578
2012-08-01,619.0,2012-12-01,992.878698074075
2012-09-01,748.0,2013-01-01,948.3321282991401
2012-10-01,619.0,2013-02-01,909.3605934406271
2012-11-01,612.0,2013-03-01,874.8879793220385
2012-12-01,547.0,2013-04-01,844.108441249703
2013-01-01,957.0,2013-05-01,816.4049194053262
2013-02-01,255.0,2013-06-01,791.2958080812417
2013-03-01,76.0,2013-07-01,768.3989585460193
2013-04-01,1221.0,2013-08-01,747.4067268784058
2013-05-01,738.0,2013-09-01,728.0682721063771
2013-06-01,603.0,2013-10-01,710.1767391035258
2013-07-01,668.0,2013-11-01,693.559808876899
2013-08-01,588.0,2013-12-01,678.0726180548166
2013-09-01,824.0,2014-01-01,663.592375982075
2013-10-01,508.0,2014-02-01,650.0142183619372
2013-11-01,646.0,2014-03-01,637.2479751066506
2013-12-01,588.0,2014-04-01,625.2156232935523
2014-01-01,475.0,2014-05-01,613.8492599251966
2014-02-01,543.0,2014-06-01,603.089473574242
2014-03-01,496.0,2014-07-01,592.8840253354929
2014-04-01,536.0,2014-08-01,583.1867719484445
2014-05-01,779.0,2014-09-01,573.9567802280575
2014-06-01,1028.0,2014-10-01,565.1575938841047
2014-07-01,841.0,2014-11-01,556.7566226699639
2014-08-01,991.0,2014-12-01,548.7246304430789
2014-09-01,740.0,2015-01-01,541.0353037449792
2014-10-01,1000.0,2015-02-01,533.664886345862
2014-11-01,750.0,2015-03-01,526.5918681530062
2014-12-01,716.0,2015-04-01,519.7967191747534
2015-01-01,793.0,2015-05-01,513.2616610239461
2015-02-01,683.0,2015-06-01,506.9704698555233
2015-03-01,763.0,2015-07-01,500.90830575095333
2015-04-01,771.0,2015-08-01,495.0615644536269
2015-05-01,602.0,2015-09-01,489.41774807438105
2015-06-01,724.0,2015-10-01,483.9653519630855
2015-07-01,768.0,2015-11-01,478.6937654099349
2015-08-01,770.0,2015-12-01,473.59318422129945
2015-09-01,480.0,2016-01-01,468.6545335271896
2015-10-01,925.0,2016-02-01,463.86939943426404
2015-11-01,449.0,2016-03-01,459.2299683505895
2015-12-01,0.0,2016-04-01,454.72897298452295
2016-01-01,453.0,2016-05-01,450.35964416687455
2016-02-01,1351.0,2016-06-01,446.1156677682785
2016-03-01,908.0,2016-07-01,441.9911460867779
2016-04-01,734.0,2016-08-01,437.98056316746124
2016-05-01,564.0,2016-09-01,434.0787535894053
2016-06-01,409.0,2016-10-01,430.2808743174375
2016-07-01,667.0,2016-11-01,426.58237926920606
2016-08-01,560.0,2016-12-01,422.9789962932531
2016-09-01,607.0,2017-01-01,419.4667062924767
2016-10-01,518.0,2017-02-01,416.0417242605758
2016-11-01,579.0,2017-03-01,412.700482027651
2016-12-01,535.0,2017-04-01,409.4396125357947
2017-01-01,403.0,2017-05-01,406.2559354868347
2017-02-01,583.0,2017-06-01,403.1464442228936
2017-03-01,583.0,2017-07-01,400.1082937165046
2017-04-01,509.0,2017-08-01,397.1387895610319
2017-05-01,522.0,2017-09-01,394.2353778643724
2017-06-01,375.0,2017-10-01,391.39563595961886
2017-07-01,535.0,2017-11-01,388.61726385574275
2017-08-01,431.0,2017-12-01,385.89807635960335
2017-09-01,189.0,2018-01-01,383.23599580784116
2017-10-01,306.0,2018-02-01,380.6290453536156
2017-11-01,398.0,2018-03-01,378.0753427588002
2017-12-01,166.0,2018-04-01,375.5730946472539
2018-01-01,423.0,2018-05-01,373.1205911792232
2018-02-01,240.0,2018-06-01,370.7162011108729
2018-03-01,156.0,2018-07-01,368.35836720644807
2018-04-01,375.0,2018-08-01,366.0456019736939
2018-05-01,374.0,2018-09-01,363.77648369594897
2018-06-01,270.0,2018-10-01,361.5496527368176
2018-07-01,300.0,2018-11-01,359.36380809556044
2018-08-01,154.0,2018-12-01,357.2177041933366
2018-09-01,129.0,2019-01-01,355.1101478722296
2018-10-01,334.0,2019-02-01,353.0399955906008
2018-11-01,1185.0,2019-03-01,351.0061507997634
2018-12-01,521.0,2019-04-01,349.0075614882824
2019-01-01,288.0,2019-05-01,347.04321788138253
2019-02-01,288.0,2019-06-01,345.11215028401404
2019-03-01,355.0,2019-07-01,343.2134270570916
2019-04-01,430.0,2019-08-01,341.34615271729365
