t,q,t_model,q_model
2014-09-01,99.0,2022-01-01,220.166445880182
2014-10-01,23.0,2022-02-01,212.92476397350248
2014-11-01,43.0,2022-03-01,206.18053099867268
2014-12-01,84.0,2022-04-01,199.88303790277737
2015-01-01,104.0,2022-05-01,193.98831451676344
2015-02-01,97.0,2022-06-01,188.45803929824245
2015-03-01,128.0,2022-07-01,183.25865493260628
2015-04-01,119.0,2022-08-01,178.36064570617572
2015-05-01,143.0,2022-09-01,173.73794305612037
2015-06-01,107.0,2022-10-01,169.36743346132445
2015-07-01,132.0,2022-11-01,165.22854863517367
2015-08-01,128.0,2022-12-01,161.30292235254146
2015-09-01,127.0,2023-01-01,157.57410156865203
2015-10-01,321.0,2023-02-01,154.0273020381742
2015-11-01,212.0,2023-03-01,150.64920061457983
2015-12-01,235.0,2023-04-01,147.42775794509515
2016-01-01,217.0,2023-05-01,144.3520664803603
2016-02-01,187.0,2023-06-01,141.4122196679499
2016-03-01,1345.0,2023-07-01,138.59919895335167
2016-04-01,1182.0,2023-08-01,135.90477581463864
2016-05-01,1223.0,2023-09-01,133.3214265411502
2016-06-01,1119.0,2023-10-01,130.84225785740887
2016-07-01,1087.0,2023-11-01,128.46094181077692
2016-08-01,968.0,2023-12-01,126.17165860011356
2016-09-01,970.0,2024-01-01,123.96904623469794
2016-10-01,1054.0,2024-02-01,121.84815608714894
2016-11-01,1030.0,2024-03-01,119.80441354825116
2016-12-01,923.0,2024-04-01,117.83358311122792
2017-01-01,918.0,2024-05-01,115.93173731264862
2017-02-01,788.0,2024-06-01,114.09522904046803
2017-03-01,997.0,2024-07-01,112.32066678959313
2017-04-01,539.0,2024-08-01,110.60489250422174
2017-05-01,959.0,2024-09-01,108.94496169590363
2017-06-01,578.0,2024-10-01,107.33812556839521
2017-07-01,724.0,2024-11-01,105.78181491617676
2017-08-01,728.0,2024-12-01,104.27362559401831
2017-09-01,672.0,2025-01-01,102.81130538106726
2017-10-01,874.0,2025-02-01,101.39274208529218
2017-11-01,486.0,2025-03-01,100.01595275333715
2017-12-01,742.0,2025-04-01,98.67907386740073
2018-01-01,413.0,2025-05-01,97.38035242505875
2018-02-01,555.0,2025-06-01,96.11813781033555
2018-03-01,594.0,2025-07-01,94.89087437507717
2018-04-01,585.0,2025-08-01,93.6970946590299
2018-05-01,513.0,2025-09-01,92.53541318517652
2018-06-01,522.0,2025-10-01,91.40452077400207
2018-07-01,710.0,2025-11-01,90.30317932659202
2018-08-01,272.0,2025-12-01,89.23021703193014
2018-09-01,258.0,2026-01-01,88.18452395856623
2018-10-01,277.0,2026-02-01,87.16504799505039
2018-11-01,246.0,2026-03-01,86.17079110725979
2018-12-01,281.0,2026-04-01,85.2008058840378
2019-01-01,263.0,2026-05-01,84.25419234547968
2019-02-01,245.0,2026-06-01,83.33009499078503
2019-03-01,243.0,2026-07-01,82.4277000648905
2019-04-01,306.0,2026-08-01,81.54623302513772
2019-05-01,212.0,2026-09-01,80.68495619104866
2019-06-01,214.0,2026-10-01,79.84316656190249
2019-07-01,285.0,2026-11-01,79.02019378825625
2019-08-01,258.0,2026-12-01,78.21539828484686
2019-09-01,255.0,2027-01-01,77.42816947347387
2019-10-01,330.0,2027-02-01,76.65792414550262
2019-11-01,226.0,2027-03-01,75.90410493456325
2019-12-01,271.0,2027-04-01,75.1661788908623
2020-01-01,262.0,2027-05-01,74.44363614928061
2020-02-01,251.0,2027-06-01,73.73598868411486
2020-03-01,252.0,2027-07-01,73.04276914393628
2020-04-01,254.0,2027-08-01,72.36352976059706
2020-05-01,115.0,2027-09-01,71.69784132691969
2020-06-01,114.0,2027-10-01,71.04529223806047
2020-07-01,199.0,2027-11-01,70.40548759195302
2020-08-01,221.0,2027-12-01,69.77804834461344
2020-09-01,230.0,2028-01-01,69.16261051642977
2020-10-01,219.0,2028-02-01,68.5588244458704
2020-11-01,183.0,2028-03-01,67.96635408732729
2020-12-01,162.0,2028-04-01,67.38487635006948
2021-01-01,337.0,2028-05-01,66.81408047551633
2021-02-01,289.0,2028-06-01,66.25366745025555
2021-03-01,332.0,2028-07-01,65.70334945242692
2021-04-01,296.0,2028-08-01,65.16284932927292
2021-05-01,286.0,2028-09-01,64.63190010382122
2021-06-01,245.0,2028-10-01,64.11024450881541
2021-07-01,262.0,2028-11-01,63.59763454614828
2021-08-01,214.0,2028-12-01,63.09383107017886
2021-09-01,292.0,2029-01-01,62.59860339343173
2021-10-01,279.0,2029-02-01,62.11172891328299
2021-11-01,239.0,2029-03-01,61.632992758337714
2021-12-01,236.0,2029-04-01,61.162187453293214
2022-01-01,232.0,2029-05-01,60.699112601166824
