t,q,t_model,q_model
2014-10-01,9348.0,2014-11-01,9351.459959610005
2014-11-01,9061.0,2014-12-01,7965.644316967964
2014-12-01,7833.0,2015-01-01,6931.457427938056
2015-01-01,7628.0,2015-02-01,6130.753608404659
2015-02-01,6730.0,2015-03-01,5492.871739406027
2015-03-01,5612.0,2015-04-01,4972.985916998108
2015-04-01,4732.0,2015-05-01,4541.302051696484
2015-05-01,4435.0,2015-06-01,4177.252863329343
2015-06-01,3988.0,2015-07-01,3866.1878478302697
2015-07-01,3309.0,2015-08-01,3597.391509166387
2015-08-01,3333.0,2015-09-01,3362.847368465148
2015-09-01,3104.0,2015-10-01,3156.4398569578466
2015-10-01,2983.0,2015-11-01,2973.4233151821936
2015-11-01,2896.0,2015-12-01,2810.059386972683
2015-12-01,2798.0,2016-01-01,2663.3636767386683
2016-01-01,2663.0,2016-02-01,2530.925123168747
2016-02-01,2397.0,2016-03-01,2410.774868796337
2016-03-01,2441.0,2016-04-01,2301.289504941527
2016-04-01,2292.0,2016-05-01,2201.1186269471636
2016-05-01,2231.0,2016-06-01,2109.129865581409
2016-06-01,2048.0,2016-07-01,2024.36667013335
2016-07-01,2045.0,2016-08-01,1946.0155232730629
2016-08-01,1978.0,2016-09-01,1873.380219574016
2016-09-01,1968.0,2016-10-01,1805.861495178759
2016-10-01,1919.0,2016-11-01,1742.940754415424
2016-11-01,1793.0,2016-12-01,1684.1669640328644
2016-12-01,1810.0,2017-01-01,1629.146018931757
2017-01-01,1749.0,2017-02-01,1577.532052674022
2017-02-01,1519.0,2017-03-01,1529.0202904702253
2017-03-01,1676.0,2017-04-01,1483.3411346634207
2017-04-01,1528.0,2017-05-01,1440.2552418895377
2017-05-01,1554.0,2017-06-01,1399.5494033756638
2017-06-01,1457.0,2017-07-01,1361.0330796935466
2017-07-01,1427.0,2017-08-01,1324.5354719118845
2017-08-01,1378.0,2017-09-01,1289.9030348017845
2017-09-01,1348.0,2017-10-01,1256.9973562370872
2017-10-01,1308.0,2017-11-01,1225.6933414425957
2017-11-01,1326.0,2017-12-01,1195.8776522061494
2017-12-01,1371.0,2018-01-01,1167.4473602800215
2018-01-01,1304.0,2018-02-01,1140.3087814778878
2018-02-01,1154.0,2018-03-01,1114.3764628245362
2018-03-01,1223.0,2018-04-01,1089.5722998416986
2018-04-01,1171.0,2018-05-01,1065.8247648900667
2018-05-01,1137.0,2018-06-01,1043.0682306167787
2018-06-01,1082.0,2018-07-01,1021.2423751214395
2018-07-01,1097.0,2018-08-01,1000.2916575632985
2018-08-01,1059.0,2018-09-01,980.1648546752115
2018-09-01,1005.0,2018-10-01,960.8146500958535
2018-10-01,1109.0,2018-11-01,942.1972696355496
2018-11-01,987.0,2018-12-01,924.2721565971901
2018-12-01,326.0,2019-01-01,907.001682117459
2019-01-01,697.0,2019-02-01,890.3508862035779
2019-02-01,1060.0,2019-03-01,874.2872457401448
2019-03-01,1210.0,2019-04-01,858.7804662481906
2019-04-01,947.0,2019-05-01,843.8022946097013
2019-05-01,922.0,2019-06-01,829.3263503380775
2019-06-01,860.0,2019-07-01,815.3279732887256
2019-07-01,806.0,2019-08-01,801.7840859726634
2019-08-01,850.0,2019-09-01,788.6730688667939
2019-09-01,774.0,2019-10-01,775.9746473131645
2019-10-01,612.0,2019-11-01,763.6697887710012
2019-11-01,1007.0,2019-12-01,751.7406093336323
2019-12-01,840.0,2020-01-01,740.1702885510454
2020-01-01,812.0,2020-02-01,728.9429917105825
2020-02-01,665.0,2020-03-01,718.0437988256202
2020-03-01,726.0,2020-04-01,707.4586396670252
2020-04-01,705.0,2020-05-01,697.1742342464574
2020-05-01,729.0,2020-06-01,687.1780382256785
2020-06-01,685.0,2020-07-01,677.4581927831529
2020-07-01,676.0,2020-08-01,668.0034785194805
2020-08-01,642.0,2020-09-01,658.8032730274689
2020-09-01,660.0,2020-10-01,649.8475117917257
2020-10-01,653.0,2020-11-01,641.1266521171987
2020-11-01,579.0,2020-12-01,632.6316398166864
2020-12-01,623.0,2021-01-01,624.3538784144696
2021-01-01,619.0,2021-02-01,616.2852006473296
2021-02-01,545.0,2021-03-01,608.4178420656631
2021-03-01,579.0,2021-04-01,600.7444165565212
2021-04-01,571.0,2021-05-01,593.2578936274496
2021-05-01,579.0,2021-06-01,585.9515773052578
2021-06-01,564.0,2021-07-01,578.8190865174756
2021-07-01,541.0,2021-08-01,571.8543368364877
2021-08-01,553.0,2021-09-01,565.0515234772946
2021-09-01,520.0,2021-10-01,558.4051054497068
2021-10-01,521.0,2021-11-01,551.9097907746416
2021-11-01,512.0,2021-12-01,545.5605226821708
2021-12-01,571.0,2022-01-01,539.3524667161713
2022-01-01,557.0,2022-02-01,533.2809986769229
2022-02-01,479.0,2022-03-01,527.3416933388761
2022-03-01,535.0,2022-04-01,521.5303138861235
2022-04-01,502.0,2022-05-01,515.8428020129251
2022-05-01,492.0,2022-06-01,510.2752686409982
2022-06-01,471.0,2022-07-01,504.8239852092527
2022-07-01,465.0,2022-08-01,499.4853754952445
2022-08-01,474.0,2022-09-01,494.2560079309018
2022-09-01,463.0,2022-10-01,489.13258837805614
2022-10-01,458.0,2022-11-01,484.11195333203113
2022-11-01,451.0,2022-12-01,479.1910635240168
2022-12-01,445.0,2023-01-01,474.3669978952256
2023-01-01,445.0,2023-02-01,469.63694791789106
2023-02-01,329.0,2023-03-01,464.9982122400623
2023-03-01,505.0,2023-04-01,460.4481916328838
2023-04-01,449.0,2023-05-01,455.9843842206305
2023-05-01,434.0,2023-06-01,451.6043809752304
2023-06-01,416.0,2023-07-01,447.30586145833774
2023-07-01,502.0,2023-08-01,443.08658979524944
2023-08-01,404.0,2023-09-01,438.94441086608555
2023-09-01,398.0,2023-10-01,434.8772467006901
2023-10-01,410.0,2023-11-01,430.88309306466687
2023-11-01,364.0,2023-12-01,426.9600162248428
2023-12-01,442.0,2024-01-01,423.10614988326466
2024-01-01,416.0,2024-02-01,419.31969226958245
2024-02-01,237.0,2024-03-01,415.59890338236613
2024-03-01,492.0,2024-04-01,411.94210237053966
2024-04-01,386.0,2024-05-01,408.3476650467077
2024-05-01,356.0,2024-06-01,404.8140215246985
2024-06-01,322.0,2024-07-01,401.33965397414966
2024-07-01,296.0,2024-08-01,397.92309448543466
2024-08-01,410.0,2024-09-01,394.56292303866394
2024-09-01,355.0,2024-10-01,391.25776557089284
2024-10-01,371.0,2024-11-01,388.00629213604896
,,2024-12-01,384.8072151524355
,,2025-01-01,381.65928773299026
,,2025-02-01,378.56130209378347
,,2025-03-01,375.5120880365135
,,2025-04-01,372.5105115010217
,,2025-05-01,369.55547318409145
,,2025-06-01,366.64590722101855
,,2025-07-01,363.78077992665476
,,2025-08-01,360.95908859282105
,,2025-09-01,358.17986033917026
,,2025-10-01,355.4421510147518
,,2025-11-01,352.74504414768944
,,2025-12-01,350.0876499405349
,,2026-01-01,347.4691043089982
,,2026-02-01,344.8885679618882
,,2026-03-01,342.3452255202186
,,2026-04-01,339.83828467355056
,,2026-05-01,337.36697537174996
,,2026-06-01,334.9305490504391
,,2026-07-01,332.5282778885166
,,2026-08-01,330.15945409620986
,,2026-09-01,327.82338923220505
,,2026-10-01,325.5194135484819
,,2026-11-01,323.2468753615508
,,2026-12-01,321.0051404488608
,,2027-01-01,318.79359146921223
,,2027-02-01,316.6116274060687
,,2027-03-01,314.4586630327204
,,2027-04-01,312.33412839830635
,,2027-05-01,310.23746833375344
,,2027-06-01,308.16814197673796
,,2027-07-01,306.12562231482246
,,2027-08-01,304.109395745962
,,2027-09-01,302.1189616556153
,,2027-10-01,300.1538320097341
,,2027-11-01,298.2135309629405
,,2027-12-01,296.2975944812355
,,2028-01-01,294.4055699786145
,,2028-02-01,292.53701596699705
,,2028-03-01,290.6915017189041
,,2028-04-01,288.8686069423462
,,2028-05-01,287.067921467411
,,2028-06-01,285.28904494406015
,,2028-07-01,283.5315865506742
,,2028-08-01,281.79516471290003
,,2028-09-01,280.07940683238064
,,2028-10-01,278.38394902496333
,,2028-11-01,276.70843586800413
,,2028-12-01,275.05252015640104
,,2029-01-01,273.4158626670071
,,2029-02-01,271.79813193109027
,,2029-03-01,270.1990040145203
,,2029-04-01,268.6181623053803
,,2029-05-01,267.0552973087106
,,2029-06-01,265.51010644810896
,,2029-07-01,263.98229387391996
,,2029-08-01,262.471570277762
,,2029-09-01,260.97765271314677
,,2029-10-01,259.5002644219619
,,2029-11-01,258.03913466659225
,,2029-12-01,256.59399856746893
,,2030-01-01,255.16459694584256
,,2030-02-01,253.7506761715847
,,2030-03-01,252.35198801583314
,,2030-04-01,250.9682895083003
,,2030-05-01,249.5993427990753
,,2030-06-01,248.24491502475425
,,2030-07-01,246.90477817874296
,,2030-08-01,245.5787089855799
,,2030-09-01,244.2664887791363
,,2030-10-01,242.96790338455352
,,2030-11-01,241.6827430037856
,,2030-12-01,240.41080210461894
,,2031-01-01,239.15187931304655
,,2031-02-01,237.90577730887958
,,2031-03-01,236.67230272448296
,,2031-04-01,235.45126604652708
,,2031-05-01,234.24248152065047
,,2031-06-01,233.04576705893507
,,2031-07-01,231.860944150096
,,2031-08-01,230.68783777229473
,,2031-09-01,229.52627630848647
,,2031-10-01,228.37609146421607
,,2031-11-01,227.23711818778062
,,2031-12-01,226.1091945926796
,,2032-01-01,224.99216188227635
,,2032-02-01,223.88586427659862
,,2032-03-01,222.79014894120584
,,2032-04-01,221.70486591805803
,,2032-05-01,220.6298680583185
,,2032-06-01,219.56501095702956
,,2032-07-01,218.5101528895991
,,2032-08-01,217.4651547500415
,,2032-09-01,216.42987999091457
,,2032-10-01,215.40419456490045
,,2032-11-01,214.3879668679774
,,2032-12-01,213.3810676841318
,,2033-01-01,212.3833701315629
,,2033-02-01,211.39474961033255
