t,q,t_model,q_model
2009-12-01,2048.0,2012-02-01,881.17109686573
2010-01-01,12764.0,2012-03-01,613.2396851396625
2010-02-01,6230.0,2012-04-01,518.7681099249318
2010-03-01,8251.0,2012-05-01,464.7385830442323
2010-04-01,5597.0,2012-06-01,428.1205781910968
2010-05-01,2184.0,2012-07-01,400.97898246037533
2010-06-01,2376.0,2012-08-01,379.7088724052068
2010-07-01,2008.0,2012-09-01,362.3924746711242
2010-08-01,1568.0,2012-10-01,347.89809377049113
2010-09-01,1548.0,2012-11-01,335.50676190956466
2010-10-01,1846.0,2012-12-01,324.735710784105
2010-11-01,960.0,2013-01-01,315.246474093601
2010-12-01,240.0,2013-02-01,306.79339247425776
2011-01-01,487.0,2013-03-01,299.1930254422193
2011-02-01,1577.0,2013-04-01,292.3050998389496
2011-03-01,842.0,2013-05-01,286.02016733345584
2011-04-01,1063.0,2013-06-01,280.25133823212735
2011-05-01,759.0,2013-07-01,274.92858563130943
2011-06-01,1038.0,2013-08-01,269.9947228185231
2011-07-01,687.0,2013-09-01,265.4025005183661
2011-08-01,464.0,2013-10-01,261.11247204012693
2011-09-01,711.0,2013-11-01,257.0913964301036
2011-10-01,34.0,2013-12-01,253.31102584626078
2011-11-01,1096.0,2014-01-01,249.74717208294973
2011-12-01,449.0,2014-02-01,246.3789790737535
2012-01-01,586.0,2014-03-01,243.18834953082197
2012-02-01,900.0,2014-04-01,240.15948841247797
2012-03-01,603.0,2014-05-01,237.2785359841194
2012-04-01,460.0,2014-06-01,234.53327032930414
2012-05-01,418.0,2014-07-01,231.91286423290018
2012-06-01,339.0,2014-08-01,229.40768502368027
2012-07-01,303.0,2014-09-01,227.00912864898456
2012-08-01,264.0,2014-10-01,224.70948124357787
2012-09-01,363.0,2014-11-01,222.50180294442205
2012-10-01,299.0,2014-12-01,220.37982982935497
2012-11-01,333.0,2015-01-01,218.33789071705502
2012-12-01,268.0,2015-02-01,216.37083622705524
2013-01-01,410.0,2015-03-01,214.4739780116779
2013-02-01,272.0,2015-04-01,212.64303647284837
2013-03-01,419.0,2015-05-01,210.87409559251475
2013-04-01,35.0,2015-06-01,209.16356375566423
2013-05-01,582.0,2015-07-01,207.50813964454494
2013-06-01,349.0,2015-08-01,205.90478244287698
2013-07-01,391.0,2015-09-01,204.35068571809998
2013-08-01,417.0,2015-10-01,202.84325445458518
2013-09-01,248.0,2015-11-01,201.38008479627456
2013-10-01,111.0,2015-12-01,199.95894612731192
2013-11-01,324.0,2016-01-01,198.57776517695189
2013-12-01,456.0,2016-02-01,197.23461188276886
2014-01-01,430.0,2016-03-01,195.92768678583877
2014-02-01,366.0,2016-04-01,194.65530976463276
