t,q,t_model,q_model
2013-07-01,0.0,2013-12-01,3730.1620601026184
2013-08-01,0.0,2014-01-01,2197.0523421260978
2013-09-01,0.0,2014-02-01,1593.8681189329336
2013-10-01,0.0,2014-03-01,1265.0681469779388
2013-11-01,2768.0,2014-04-01,1056.0073517242313
2013-12-01,3679.0,2014-05-01,910.4354773119491
2014-01-01,2356.0,2014-06-01,802.7787666907991
2014-02-01,1823.0,2014-07-01,719.6690124566862
2014-03-01,1243.0,2014-08-01,653.4105412082899
2014-04-01,878.0,2014-09-01,599.2472741571997
2014-05-01,740.0,2014-10-01,554.075040292648
2014-06-01,686.0,2014-11-01,515.7781644911998
2014-07-01,565.0,2014-12-01,482.86297024265343
2014-08-01,404.0,2015-01-01,454.24361033569386
2014-09-01,542.0,2015-02-01,429.1109871621559
2014-10-01,466.0,2015-03-01,406.84935320267937
2014-11-01,367.0,2015-04-01,386.981466122374
2014-12-01,388.0,2015-05-01,369.1314801256618
2015-01-01,403.0,2015-06-01,352.9992071385807
2015-02-01,275.0,2015-07-01,338.34187042209106
2015-03-01,720.0,2015-08-01,324.9609170297949
2015-04-01,570.0,2015-09-01,312.69232056355565
2015-05-01,458.0,2015-10-01,301.3993390197576
2015-06-01,448.0,2015-11-01,290.96702986124166
2015-07-01,440.0,2015-12-01,281.29804277610975
2015-08-01,387.0,2016-01-01,272.3093548437538
2015-09-01,366.0,2016-02-01,263.9297099586118
2015-10-01,312.0,2016-03-01,256.09759089237235
2015-11-01,310.0,2016-04-01,248.75959866791055
2015-12-01,348.0,2016-05-01,241.8691465981251
2016-01-01,328.0,2016-06-01,235.38539972267057
2016-02-01,290.0,2016-07-01,229.27240730968873
2016-03-01,309.0,2016-08-01,223.49838849643467
2016-04-01,297.0,2016-09-01,218.03514033002077
2016-05-01,283.0,2016-10-01,212.85754434083236
2016-06-01,266.0,2016-11-01,207.94315296842467
2016-07-01,267.0,2016-12-01,203.27184110994995
2016-08-01,323.0,2017-01-01,198.82551109416434
2016-09-01,214.0,2017-02-01,194.58784173084277
2016-10-01,250.0,2017-03-01,190.5440739145101
2016-11-01,218.0,2017-04-01,186.68082669681928
2016-12-01,225.0,2017-05-01,182.98593887574012
2017-01-01,229.0,2017-06-01,179.44833205087346
2017-02-01,193.0,2017-07-01,176.05789181461856
2017-03-01,227.0,2017-08-01,172.80536432805914
2017-04-01,231.0,2017-09-01,169.68226599846565
2017-05-01,194.0,2017-10-01,166.68080435546102
2017-06-01,201.0,2017-11-01,163.79380853315607
2017-07-01,172.0,2017-12-01,161.01466801993527
2017-08-01,191.0,2018-01-01,158.3372785470534
2017-09-01,200.0,2018-02-01,155.75599416042834
2017-10-01,217.0,2018-03-01,153.26558466384418
2017-11-01,150.0,2018-04-01,150.8611977416517
2017-12-01,69.0,2018-05-01,148.5383251693385
2018-01-01,75.0,2018-06-01,146.29277260453057
2018-02-01,188.0,2018-07-01,144.12063252190742
2018-03-01,307.0,2018-08-01,142.0182599154536
2018-04-01,246.0,2018-09-01,139.98225044228616
2018-05-01,247.0,2018-10-01,138.00942072551408
2018-06-01,231.0,2018-11-01,136.09679057044332
2018-07-01,206.0,2018-12-01,134.24156687996629
2018-08-01,211.0,2019-01-01,132.44112908201132
2018-09-01,184.0,2019-02-01,130.69301590517688
2018-10-01,183.0,2019-03-01,128.99491335871707
2018-11-01,201.0,2019-04-01,127.3446437903664
2018-12-01,210.0,2019-05-01,125.74015591049508
2019-01-01,215.0,2019-06-01,124.17951568411428
2019-02-01,174.0,2019-07-01,122.66089800358698
2019-03-01,197.0,2019-08-01,121.18257906478557
2019-04-01,171.0,2019-09-01,119.7429293780776
2019-05-01,183.0,2019-10-01,118.34040735308577
2019-06-01,153.0,2019-11-01,116.97355340280629
2019-07-01,107.0,2019-12-01,115.64098451850472
2019-08-01,77.0,2020-01-01,114.34138927194766
2019-09-01,137.0,2020-02-01,113.07352320606249
2019-10-01,146.0,2020-03-01,111.83620457912532
2019-11-01,136.0,2020-04-01,110.62831043112475
2019-12-01,145.0,2020-05-01,109.44877294409656
2020-01-01,122.0,2020-06-01,108.29657607101812
2020-02-01,93.0,2020-07-01,107.17075241033886
2020-03-01,107.0,2020-08-01,106.07038030543828
2020-04-01,7.0,2020-09-01,104.9945811502796
2020-05-01,97.0,2020-10-01,103.94251688429455
2020-06-01,41.0,2020-11-01,102.91338766111562
2020-07-01,38.0,2020-12-01,101.90642967718826
2020-08-01,48.0,2021-01-01,100.92091314756817
2020-09-01,47.0,2021-02-01,99.95614041735018
2020-10-01,82.0,2021-03-01,99.01144419820335
2020-11-01,65.0,2021-04-01,98.08618592041286
2020-12-01,103.0,2021-05-01,97.17975419166414
2021-01-01,100.0,2021-06-01,96.29156335455875
2021-02-01,67.0,2021-07-01,95.42105213553305
2021-03-01,80.0,2021-08-01,94.56768237846809
2021-04-01,72.0,2021-09-01,93.73093785683722
2021-05-01,61.0,2021-10-01,92.91032315874624
2021-06-01,77.0,2021-11-01,92.10536263968018
2021-07-01,133.0,2021-12-01,91.31559943819008
2021-08-01,104.0,2022-01-01,90.54059455013343
2021-09-01,69.0,2022-02-01,89.77992595742926
2021-10-01,64.0,2022-03-01,89.03318780760485
2021-11-01,62.0,2022-04-01,88.29998964069944
2021-12-01,74.0,2022-05-01,87.57995566035429
2022-01-01,83.0,2022-06-01,86.8727240461594
2022-02-01,56.0,2022-07-01,86.17794630454736
2022-03-01,85.0,2022-08-01,85.49528665572737
2022-04-01,72.0,2022-09-01,84.82442145433725
2022-05-01,105.0,2022-10-01,84.16503864166138
2022-06-01,64.0,2022-11-01,83.51683722741826
2022-07-01,53.0,2022-12-01,82.87952679926532
2022-08-01,45.0,2023-01-01,82.25282705829956
2022-09-01,64.0,2023-02-01,81.6364673789551
2022-10-01,79.0,2023-03-01,81.03018639180952
2022-11-01,83.0,2023-04-01,80.43373158791451
2022-12-01,66.0,2023-05-01,79.84685894336151
2023-01-01,81.0,2023-06-01,79.26933256288032
2023-02-01,56.0,2023-07-01,78.70092434135013
2023-03-01,44.0,2023-08-01,78.14141364217761
2023-04-01,50.0,2023-09-01,77.59058699156543
2023-05-01,111.0,2023-10-01,77.04823778775949
2023-06-01,41.0,2023-11-01,76.51416602442222
2023-07-01,66.0,2023-12-01,75.98817802733453
2023-08-01,50.0,2024-01-01,75.47008620368045
2023-09-01,33.0,2024-02-01,74.95970880321568
2023-10-01,56.0,2024-03-01,74.45686969066527
2023-11-01,34.0,2024-04-01,73.96139812873734
2023-12-01,71.0,2024-05-01,73.47312857117689
2024-01-01,8.0,2024-06-01,72.99190046532011
2024-02-01,48.0,2024-07-01,72.51755806364218
2024-03-01,40.0,2024-08-01,72.04995024382214
2024-04-01,44.0,2024-09-01,71.58893033687781
2024-05-01,34.0,2024-10-01,71.13435596294958
2024-06-01,33.0,2024-11-01,70.68608887433754
2024-07-01,44.0,2024-12-01,70.2439948054194
2024-08-01,32.0,2025-01-01,69.80794332909853
2024-09-01,24.0,2025-02-01,69.37780771945157
2024-10-01,30.0,2025-03-01,68.95346482026454
2024-11-01,24.0,2025-04-01,68.53479491916362
2024-12-01,34.0,2025-05-01,68.1216816270638
2025-01-01,26.0,2025-06-01,67.71401176267419
,,2025-07-01,67.31167524181316
,,2025-08-01,66.91456497130027
,,2025-09-01,66.52257674720511
,,2025-10-01,66.13560915724459
,,2025-11-01,65.75356348713224
,,2025-12-01,65.37634363069317
,,2026-01-01,65.00385600356854
,,2026-02-01,64.63600946034286
,,2026-03-01,64.27271521493596
,,2026-04-01,63.9138867641103
,,2026-05-01,63.55943981395132
,,2026-06-01,63.20929220918682
,,2026-07-01,62.863363865217366
,,2026-08-01,62.52157670273711
,,2026-09-01,62.18385458482967
,,2026-10-01,61.85012325643046
,,2026-11-01,61.52031028605158
,,2026-12-01,61.1943450096708
,,2027-01-01,60.87215847669136
,,2027-02-01,60.55368339788332
,,2027-03-01,60.23885409522204
,,2027-04-01,59.92760645354327
,,2027-05-01,59.61987787393827
,,2027-06-01,59.31560722881594
,,2027-07-01,59.01473481856274
,,2027-08-01,58.71720232973404
,,2027-09-01,58.422952794714
,,2027-10-01,58.13193055278393
,,2027-11-01,57.84408121254178
,,2027-12-01,57.559351615618276
,,2028-01-01,57.27768980163739
,,2028-02-01,56.999044974371756
,,2028-03-01,56.72336746904528
,,2028-04-01,56.45060872073779
,,2028-05-01,56.18072123384847
,,2028-06-01,55.91365855257675
,,2028-07-01,55.64937523238106
,,2028-08-01,55.38782681237787
,,2028-09-01,55.12896978864485
,,2028-10-01,54.872761588393594
,,2028-11-01,54.61916054497905
,,2028-12-01,54.368125873713964
,,2029-01-01,54.11961764845819
,,2029-02-01,53.87359677895382
,,2029-03-01,53.630024988878745
,,2029-04-01,53.38886479459173
,,2029-05-01,53.150079484543866
,,2029-06-01,52.913633099332024
,,2029-07-01,52.67949041237092
,,2029-08-01,52.44761691116145
,,2029-09-01,52.21797877913392
,,2029-10-01,51.99054287804557
,,2029-11-01,51.76527673091254
,,2029-12-01,51.542148505457725
,,2030-01-01,51.32112699805588
,,2030-02-01,51.10218161815898
,,2030-03-01,50.88528237318479
,,2030-04-01,50.67039985385283
,,2030-05-01,50.45750521995202
,,2030-06-01,50.24657018652553
,,2030-07-01,50.037567010458275
,,2030-08-01,49.83046847745353
,,2030-09-01,49.62524788938551
,,2030-10-01,49.421879052015235
,,2030-11-01,49.22033626305741
,,2030-12-01,49.02059430058686
,,2031-01-01,48.822628411773096
,,2031-02-01,48.6264143019321
,,2031-03-01,48.43192812388522
,,2031-04-01,48.239146467614745
,,2031-05-01,48.04804635020687
,,2031-06-01,47.8586052060725
,,2031-07-01,47.67080087743701
,,2031-08-01,47.48461160509047
,,2031-09-01,47.30001601938975
,,2031-10-01,47.116993131504756
,,2031-11-01,46.93552232490093
,,2031-12-01,46.75558334705069
,,2032-01-01,46.57715630136648
,,2032-02-01,46.400221639348665
,,2032-03-01,46.22476015294153
,,2032-04-01,46.05075296709094
,,2032-05-01,45.87818153249758
,,2032-06-01,45.707027618559486
,,2032-07-01,45.53727330649849
,,2032-08-01,45.36890098266474
,,2032-09-01,45.20189333201386
,,2032-10-01,45.03623333175184
,,2032-11-01,44.87190424514235
,,2032-12-01,44.70888961547173
,,2033-01-01,44.54717326016705
,,2033-02-01,44.38673926506257
,,2033-03-01,44.22757197881042
,,2033-04-01,44.069656007430964
,,2033-05-01,43.91297620899923
