t,q,t_model,q_model
2010-11-01,749.0,2015-06-01,1470.4836923968812
2010-12-01,2630.0,2015-07-01,639.0028691875322
2011-01-01,2748.0,2015-08-01,472.1290958100137
2011-02-01,3362.0,2015-09-01,390.757810509959
2011-03-01,4439.0,2015-10-01,340.4081762700384
2011-04-01,3245.0,2015-11-01,305.3671907865944
2011-05-01,2991.0,2015-12-01,279.1910873784546
2011-06-01,2935.0,2016-01-01,258.6862537907194
2011-07-01,3141.0,2016-02-01,242.06657256277444
2011-08-01,2703.0,2016-03-01,228.2450307804565
2011-09-01,2422.0,2016-04-01,216.51731270838906
2011-10-01,2278.0,2016-05-01,206.40443151381916
2011-11-01,2997.0,2016-06-01,197.56782862981936
2011-12-01,2826.0,2016-07-01,189.76054751056296
2012-01-01,2286.0,2016-08-01,182.79766592902274
2012-02-01,2026.0,2016-09-01,176.5376105914101
2012-03-01,1394.0,2016-10-01,170.86991783249425
2012-04-01,1450.0,2016-11-01,165.7069676546183
2012-05-01,2999.0,2016-12-01,160.9782518207776
2012-06-01,522.0,2017-01-01,156.62630649664308
2012-07-01,2002.0,2017-02-01,152.60376690255632
2012-08-01,997.0,2017-03-01,148.87119571553757
2012-09-01,355.0,2017-04-01,145.3954559911965
2012-10-01,318.0,2017-05-01,142.1484743105507
2012-11-01,166.0,2017-06-01,139.10628819082717
2012-12-01,400.0,2017-07-01,136.2483036628305
2013-01-01,546.0,2017-08-01,133.55671034123
2013-02-01,38.0,2017-09-01,131.0160159789372
2013-03-01,485.0,2017-10-01,128.6126727004251
2013-04-01,595.0,2017-11-01,126.33477431564465
2013-05-01,646.0,2017-12-01,124.17180927694844
2013-06-01,423.0,2018-01-01,122.11445758433455
2013-07-01,589.0,2018-02-01,120.1544226910671
2013-08-01,400.0,2018-03-01,118.284291499617
2013-09-01,538.0,2018-04-01,116.4974170653058
2013-10-01,588.0,2018-05-01,114.78781978082836
2013-11-01,458.0,2018-06-01,113.1501036972147
2013-12-01,503.0,2018-07-01,111.57938531609328
2014-01-01,783.0,2018-08-01,110.07123271518988
2014-02-01,1495.0,2018-09-01,108.62161328098622
2014-03-01,1594.0,2018-10-01,107.22684864674468
2014-04-01,1060.0,2018-11-01,105.88357569103877
2014-05-01,366.0,2018-12-01,104.58871265677135
2014-06-01,206.0,2019-01-01,103.33942961493976
