t,q,t_model,q_model
2014-12-01,46.0,2015-03-01,9851.407054131236
2015-01-01,15279.0,2015-04-01,6808.7601815166945
2015-02-01,11909.0,2015-05-01,5159.962870389496
2015-03-01,9893.0,2015-06-01,4132.470537886421
2015-04-01,6482.0,2015-07-01,3433.777646528666
2015-05-01,5701.0,2015-08-01,2929.3610310783806
2015-06-01,4280.0,2015-09-01,2548.9435009076083
2015-07-01,3060.0,2015-10-01,2252.3276925856767
2015-08-01,3053.0,2015-11-01,2014.903243388854
2015-09-01,1974.0,2015-12-01,1820.7822463791883
2015-10-01,2381.0,2016-01-01,1659.2619436596908
2015-11-01,2085.0,2016-02-01,1522.8762036686626
2015-12-01,2073.0,2016-03-01,1406.2623703103468
2016-01-01,1528.0,2016-04-01,1305.471951740884
2016-02-01,1513.0,2016-05-01,1217.5350677607967
2016-03-01,1216.0,2016-06-01,1140.1761435024396
2016-04-01,1257.0,2016-07-01,1071.6230291280044
2016-05-01,1211.0,2016-08-01,1010.4756489982684
2016-06-01,1123.0,2016-09-01,955.6136290107756
2016-07-01,1117.0,2016-10-01,906.1300678858028
2016-08-01,991.0,2016-11-01,861.2832245018454
2016-09-01,954.0,2016-12-01,820.460721473437
2016-10-01,1066.0,2017-01-01,783.1526458217623
2016-11-01,863.0,2017-02-01,748.9310744808762
2016-12-01,809.0,2017-03-01,717.4343064063378
2017-01-01,829.0,2017-04-01,688.354588134911
2017-02-01,955.0,2017-05-01,661.4284637972902
2017-03-01,718.0,2017-06-01,636.4291187865914
2017-04-01,589.0,2017-07-01,613.1602535470728
2017-05-01,602.0,2017-08-01,591.4511429717651
2017-06-01,551.0,2017-09-01,571.152622647989
2017-07-01,518.0,2017-10-01,552.1338056809618
2017-08-01,498.0,2017-11-01,534.2793798562027
2017-09-01,462.0,2017-12-01,517.4873691474871
2017-10-01,487.0,2018-01-01,501.6672692950545
2017-11-01,901.0,2018-02-01,486.7384866625526
2017-12-01,846.0,2018-03-01,472.6290244642865
2018-01-01,891.0,2018-04-01,459.27437191179
