t,q,t_model,q_model
2007-03-01,852.0,2007-06-01,9911.594108143938
2007-04-01,12757.0,2007-07-01,6354.26557275881
2007-05-01,13134.0,2007-08-01,4963.249402286401
2007-06-01,9840.0,2007-09-01,4179.118910158871
2007-07-01,6573.0,2007-10-01,3662.235105471443
2007-08-01,5404.0,2007-11-01,3289.9904433621305
2007-09-01,4434.0,2007-12-01,3006.1241616105076
2007-10-01,4175.0,2008-01-01,2780.791379887014
2007-11-01,3983.0,2008-02-01,2596.5256667976905
2007-12-01,1983.0,2008-03-01,2442.3490625262893
2008-01-01,821.0,2008-04-01,2310.976680067894
2008-02-01,1174.0,2008-05-01,2197.363001661377
2008-03-01,1187.0,2008-06-01,2097.8904151292954
2008-04-01,2085.0,2008-07-01,2009.8898557887471
2008-05-01,1611.0,2008-08-01,1931.344185260175
2008-06-01,1932.0,2008-09-01,1860.6973937553012
2008-07-01,2148.0,2008-10-01,1796.7277704197097
2008-08-01,1954.0,2008-11-01,1738.4611793042086
2008-09-01,1589.0,2008-12-01,1685.110284687294
2008-10-01,1039.0,2009-01-01,1636.0310336609605
2008-11-01,1387.0,2009-02-01,1590.6908960329404
2008-12-01,467.0,2009-03-01,1548.6452879070123
2009-01-01,95.0,2009-04-01,1509.5198015527067
2009-02-01,2935.0,2009-05-01,1472.9966262694463
2009-03-01,2247.0,2009-06-01,1438.8040417013322
2009-04-01,1731.0,2009-07-01,1406.708195609583
2009-05-01,2232.0,2009-08-01,1376.506602224028
2009-06-01,2302.0,2009-09-01,1348.022951859628
2009-07-01,2484.0,2009-10-01,1321.102930759155
2009-08-01,2326.0,2009-11-01,1295.610827067067
2009-09-01,2184.0,2009-12-01,1271.4267542459304
2009-10-01,1914.0,2010-01-01,1248.44436363479
2009-11-01,2044.0,2010-02-01,1226.568947625178
2009-12-01,1802.0,2010-03-01,1205.7158571159453
2010-01-01,1408.0,2010-04-01,1185.8091736013114
2010-02-01,1527.0,2010-05-01,1166.7805889231704
2010-03-01,1265.0,2010-06-01,1148.5684554285085
2010-04-01,328.0,2010-07-01,1131.1169767705571
2010-05-01,1400.0,2010-08-01,1114.375515426174
2010-06-01,1702.0,2010-09-01,1098.2979975738756
2010-07-01,2085.0,2010-10-01,1082.842399584243
2010-08-01,1882.0,2010-11-01,1067.9703032388982
2010-09-01,1913.0,2010-12-01,1053.6465090827348
2010-10-01,1503.0,2011-01-01,1039.8386991529103
2010-11-01,1180.0,2011-02-01,1026.5171418137675
