t,q,t_model,q_model
2008-09-01,5811.0,2008-10-01,6396.805084363936
2008-10-01,6381.0,2008-11-01,3412.0324106265716
2008-11-01,3258.0,2008-12-01,2366.460140415564
2008-12-01,2726.0,2009-01-01,1826.2281255708995
2009-01-01,2575.0,2009-02-01,1493.982611161821
2009-02-01,1090.0,2009-03-01,1268.0447897397073
2009-03-01,989.0,2009-04-01,1103.9575734612422
2009-04-01,892.0,2009-05-01,979.1212775467994
2009-05-01,1159.0,2009-06-01,880.8013629117064
2009-06-01,744.0,2009-07-01,801.2617623023398
2009-07-01,559.0,2009-08-01,735.5248935850555
2009-08-01,422.0,2009-09-01,680.2391953564289
2009-09-01,648.0,2009-10-01,633.0632445324156
2009-10-01,471.0,2009-11-01,592.3106303799885
2009-11-01,828.0,2009-12-01,556.7351074947069
2009-12-01,402.0,2010-01-01,525.3952858137061
2010-01-01,613.0,2010-02-01,497.56645284941965
2010-02-01,319.0,2010-03-01,472.68139708169525
2010-03-01,534.0,2010-04-01,450.289665762307
2010-04-01,531.0,2010-05-01,430.02887756446745
2010-05-01,384.0,2010-06-01,411.60411765229924
2010-06-01,188.0,2010-07-01,394.7728732539336
2010-07-01,249.0,2010-08-01,379.33384325986736
2010-08-01,423.0,2010-09-01,365.1185053151574
2010-09-01,376.0,2010-10-01,351.98467755266745
2010-10-01,375.0,2010-11-01,339.8115444392398
2010-11-01,402.0,2010-12-01,328.49577177690765
2010-12-01,210.0,2011-01-01,317.9484419154144
2011-01-01,263.0,2011-02-01,308.0926136436862
2011-02-01,121.0,2011-03-01,298.8613628173295
2011-03-01,47.0,2011-04-01,290.19619652926724
2011-04-01,13.0,2011-05-01,282.04576014084483
2011-05-01,9.0,2011-06-01,274.3647758386339
2011-06-01,782.0,2011-07-01,267.1131656568684
2011-07-01,117.0,2011-08-01,260.2553225443721
2011-08-01,4.0,2011-09-01,253.75950105942667
2011-09-01,313.0,2011-10-01,247.59730535226575
2011-10-01,262.0,2011-11-01,241.74325674590236
2011-11-01,120.0,2011-12-01,236.17442681412163
2011-12-01,588.0,2012-01-01,230.87012464414116
2012-01-01,175.0,2012-02-01,225.811629153958
2012-02-01,191.0,2012-03-01,220.98195905383596
2012-03-01,14.0,2012-04-01,216.36567440449429
2012-04-01,30.0,2012-05-01,211.94870481161058
2012-05-01,732.0,2012-06-01,207.7182001680566
2012-06-01,189.0,2012-07-01,203.66240055822226
2012-07-01,117.0,2012-08-01,199.7705225084618
2012-08-01,206.0,2012-09-01,196.03265923163653
2012-09-01,222.0,2012-10-01,192.43969289330886
2012-10-01,306.0,2012-11-01,188.98321723909268
2012-11-01,255.0,2012-12-01,185.6554691801216
2012-12-01,352.0,2013-01-01,182.44926814694412
2013-01-01,340.0,2013-02-01,179.35796219964723
2013-02-01,28.0,2013-03-01,176.37538003021558
2013-03-01,80.0,2013-04-01,173.49578811734125
2013-04-01,96.0,2013-05-01,170.7138523983463
2013-05-01,77.0,2013-06-01,168.0246039110063
2013-06-01,32.0,2013-07-01,165.4234079326551
2013-07-01,188.0,2013-08-01,162.90593620728177
2013-08-01,312.0,2013-09-01,160.4681419052606
2013-09-01,197.0,2013-10-01,158.10623700640875
2013-10-01,62.0,2013-11-01,155.8166718365075
2013-11-01,82.0,2013-12-01,153.59611652128365
2013-12-01,70.0,2014-01-01,151.44144415100038
2014-01-01,32.0,2014-02-01,149.34971547396282
2014-02-01,172.0,2014-03-01,147.31816495900625
2014-03-01,90.0,2014-04-01,145.34418808590286
2014-04-01,0.0,2014-05-01,143.42532973902254
2014-05-01,524.0,2014-06-01,141.55927359386433
2014-06-01,0.0,2014-07-01,139.74383239853898
2014-07-01,0.0,2014-08-01,137.97693906318608
2014-08-01,372.0,2014-09-01,136.25663847986013
2014-09-01,61.0,2014-10-01,134.5810800038095
2014-10-01,0.0,2014-11-01,132.94851053444884
2014-11-01,137.0,2014-12-01,131.35726814082912
2014-12-01,0.0,2015-01-01,129.80577618214843
2015-01-01,497.0,2015-02-01,128.29253787892466
2015-02-01,216.0,2015-03-01,126.81613129494679
2015-03-01,193.0,2015-04-01,125.37520469411291
2015-04-01,270.0,2015-05-01,123.96847223980778
2015-05-01,165.0,2015-06-01,122.59471000762987
2015-06-01,328.0,2015-07-01,121.25275228509096
2015-07-01,79.0,2015-08-01,119.94148813442295
2015-08-01,403.0,2015-09-01,118.65985819687184
2015-09-01,57.0,2015-10-01,117.40685171886928
2015-10-01,245.0,2015-11-01,116.18150378227392
2015-11-01,138.0,2015-12-01,114.9828927224927
2015-12-01,166.0,2016-01-01,113.81013771974567
2016-01-01,166.0,2016-02-01,112.66239655004698
2016-02-01,228.0,2016-03-01,111.53886348365373
2016-03-01,210.0,2016-04-01,110.43876731979724
2016-04-01,199.0,2016-05-01,109.36136954747344
2016-05-01,118.0,2016-06-01,108.30596262293652
2016-06-01,369.0,2016-07-01,107.27186835532736
2016-07-01,173.0,2016-08-01,106.25843639258062
2016-08-01,282.0,2016-09-01,105.26504280040132
2016-09-01,187.0,2016-10-01,104.29108872768867
2016-10-01,251.0,2016-11-01,103.33599915231937
2016-11-01,194.0,2016-12-01,102.39922170168822
2016-12-01,221.0,2017-01-01,101.48022554284663
2017-01-01,165.0,2017-02-01,100.57850033748322
2017-02-01,34.0,2017-03-01,99.69355525735968
2017-03-01,147.0,2017-04-01,98.82491805615041
2017-04-01,110.0,2017-05-01,97.9721341939437
2017-05-01,158.0,2017-06-01,97.13476601094301
2017-06-01,155.0,2017-07-01,96.31239194716487
2017-07-01,157.0,2017-08-01,95.50460580516715
2017-08-01,101.0,2017-09-01,94.71101605305768
2017-09-01,45.0,2017-10-01,93.93124516523322
2017-10-01,94.0,2017-11-01,93.16492899848176
2017-11-01,127.0,2017-12-01,92.41171620124898
2017-12-01,108.0,2018-01-01,91.67126765402635
2018-01-01,66.0,2018-02-01,90.94325593895942
2018-02-01,107.0,2018-03-01,90.22736483690771
2018-03-01,143.0,2018-04-01,89.52328885030937
2018-04-01,94.0,2018-05-01,88.83073275031468
2018-05-01,73.0,2018-06-01,88.14941114675763
2018-06-01,119.0,2018-07-01,87.4790480796296
2018-07-01,153.0,2018-08-01,86.81937663080839
2018-08-01,88.0,2018-09-01,86.17013855487785
2018-09-01,32.0,2018-10-01,85.53108392794921
2018-10-01,131.0,2018-11-01,84.901970813466
2018-11-01,72.0,2018-12-01,84.28256494403962
2018-12-01,12.0,2019-01-01,83.67263941842369
2019-01-01,265.0,2019-02-01,83.07197441279108
2019-02-01,97.0,2019-03-01,82.48035690553075
2019-03-01,49.0,2019-04-01,81.89758041482936
2019-04-01,201.0,2019-05-01,81.32344474834875
2019-05-01,18.0,2019-06-01,80.75775576435225
2019-06-01,0.0,2019-07-01,80.20032514367175
2019-07-01,296.0,2019-08-01,79.65097017194499
2019-08-01,185.0,2019-09-01,79.109513531586
2019-09-01,12.0,2019-10-01,78.5757831029833
2019-10-01,22.0,2019-11-01,78.04961177445149
2019-11-01,231.0,2019-12-01,77.53083726048816
2019-12-01,86.0,2020-01-01,77.01930192791482
2020-01-01,76.0,2020-02-01,76.51485262950523
2020-02-01,131.0,2020-03-01,76.01734054472597
2020-03-01,59.0,2020-04-01,75.52662102723698
2020-04-01,101.0,2020-05-01,75.04255345881835
2020-05-01,178.0,2020-06-01,74.56500110940894
2020-06-01,62.0,2020-07-01,74.0938310029603
2020-07-01,75.0,2020-08-01,73.62891378882456
2020-08-01,34.0,2020-09-01,73.17012361841174
2020-09-01,71.0,2020-10-01,72.7173380268654
2020-10-01,58.0,2020-11-01,72.27043781951957
2020-11-01,32.0,2020-12-01,71.82930696291244
2020-12-01,0.0,2021-01-01,71.39383248014454
2021-01-01,114.0,2021-02-01,70.96390435038006
2021-02-01,0.0,2021-03-01,70.53941541230074
2021-03-01,374.0,2021-04-01,70.12026127133186
2021-04-01,46.0,2021-05-01,69.70634021046897
2021-05-01,0.0,2021-06-01,69.29755310454289
2021-06-01,102.0,2021-07-01,68.89380333776919
2021-07-01,55.0,2021-08-01,68.49499672443582
2021-08-01,0.0,2021-09-01,68.10104143258994
2021-09-01,139.0,2021-10-01,67.71184791059221
2021-10-01,120.0,2021-11-01,67.32732881641378
2021-11-01,66.0,2021-12-01,66.94739894955599
2021-12-01,0.0,2022-01-01,66.57197518548072
2022-01-01,109.0,2022-02-01,66.20097641244308
2022-02-01,0.0,2022-03-01,65.83432347062441
2022-03-01,171.0,2022-04-01,65.47193909346827
2022-04-01,76.0,2022-05-01,65.11374785112646
2022-05-01,110.0,2022-06-01,64.75967609592726
2022-06-01,48.0,2022-07-01,64.40965190978135
2022-07-01,126.0,2022-08-01,64.0636050534458
2022-08-01,124.0,2022-09-01,63.7214669175695
2022-09-01,53.0,2022-10-01,63.383170475447514
