t,q,t_model,q_model
2007-02-01,7444.0,2007-04-01,4936.793620272279
2007-03-01,3168.0,2007-05-01,2012.3638607749808
2007-04-01,4945.0,2007-06-01,1463.513160761551
2007-05-01,2197.0,2007-07-01,1200.257682117043
2007-06-01,1146.0,2007-08-01,1038.9030013162976
2007-07-01,690.0,2007-09-01,927.3515300105261
2007-08-01,554.0,2007-10-01,844.4454433578179
2007-09-01,40.0,2007-11-01,779.770104081596
2007-10-01,0.0,2007-12-01,727.5313737333796
2007-11-01,456.0,2008-01-01,684.2180010271511
2007-12-01,942.0,2008-02-01,647.563051739012
2008-01-01,2418.0,2008-03-01,616.0295933622331
2008-02-01,1231.0,2008-04-01,588.5342271663062
2008-03-01,1164.0,2008-05-01,564.2885892171726
2008-04-01,1137.0,2008-06-01,542.7036318923061
2008-05-01,1749.0,2008-07-01,523.3292824358169
2008-06-01,1365.0,2008-08-01,505.8150053243968
2008-07-01,840.0,2008-09-01,489.883221079719
2008-08-01,519.0,2008-10-01,475.31090789444113
2008-09-01,665.0,2008-11-01,461.91656836125196
2008-10-01,886.0,2008-12-01,449.55080643056675
2008-11-01,818.0,2009-01-01,438.08939006560604
2008-12-01,676.0,2009-02-01,427.4280605923999
2009-01-01,660.0,2009-03-01,417.47859206247415
2009-02-01,501.0,2009-04-01,408.1657600116848
2009-03-01,405.0,2009-05-01,399.4249817383727
2009-04-01,606.0,2009-06-01,391.20045921100683
2009-05-01,231.0,2009-07-01,383.4437028790781
2009-06-01,436.0,2009-08-01,376.1123474383927
2009-07-01,416.0,2009-09-01,369.16919372648414
2009-08-01,324.0,2009-10-01,362.58142746559565
2009-09-01,293.0,2009-11-01,356.31997755557256
2009-10-01,309.0,2009-12-01,350.35898540562437
2009-11-01,172.0,2010-01-01,344.67536330687074
2009-12-01,238.0,2010-02-01,339.2484247248353
2010-01-01,316.0,2010-03-01,334.0595730784178
2010-02-01,124.0,2010-04-01,329.092038384664
2010-03-01,280.0,2010-05-01,324.33065331233416
2010-04-01,0.0,2010-06-01,319.76166186479816
2010-05-01,359.0,2010-07-01,315.3725552230539
2010-06-01,290.0,2010-08-01,311.1519303102596
2010-07-01,110.0,2010-09-01,307.08936745515183
2010-08-01,179.0,2010-10-01,303.17532418183475
2010-09-01,444.0,2010-11-01,299.4010426744516
2010-10-01,190.0,2010-12-01,295.75846888518794
2010-11-01,48.0,2011-01-01,292.2401815943128
2010-12-01,451.0,2011-02-01,288.83933000808275
2011-01-01,280.0,2011-03-01,285.54957870710393
2011-02-01,238.0,2011-04-01,282.36505894419247
2011-03-01,186.0,2011-05-01,279.28032544473234
2011-04-01,214.0,2011-06-01,276.2903179902013
2011-05-01,153.0,2011-07-01,273.39032717183557
2011-06-01,169.0,2011-08-01,270.57596379025495
2011-07-01,71.0,2011-09-01,267.84313145140425
2011-08-01,158.0,2011-10-01,265.1880019719266
2011-09-01,414.0,2011-11-01,262.6069932600927
2011-10-01,339.0,2011-12-01,260.0967493833458
2011-11-01,69.0,2012-01-01,257.654122571725
2011-12-01,385.0,2012-02-01,255.27615693900768
2012-01-01,105.0,2012-03-01,252.96007373128083
2012-02-01,228.0,2012-04-01,250.70325793655076
2012-03-01,92.0,2012-05-01,248.50324610955778
2012-04-01,452.0,2012-06-01,246.35771528368915
2012-05-01,147.0,2012-07-01,244.26447285720803
2012-06-01,163.0,2012-08-01,242.22144735429646
2012-07-01,387.0,2012-09-01,240.22667997294607
2012-08-01,191.0,2012-10-01,238.2783168417763
2012-09-01,129.0,2012-11-01,236.37460191662257
2012-10-01,158.0,2012-12-01,234.51387045540204
2012-11-01,288.0,2013-01-01,232.69454301648065
2012-12-01,207.0,2013-02-01,230.9151199316622
2013-01-01,184.0,2013-03-01,229.17417621010824
2013-02-01,155.0,2013-04-01,227.47035683407074
2013-03-01,110.0,2013-05-01,225.8023724113574
2013-04-01,147.0,2013-06-01,224.16899515302262
2013-05-01,459.0,2013-08-01,222.56905514794235
2013-06-01,227.0,2013-09-01,221.0014369087412
2013-08-01,172.0,2013-10-01,219.4650761660401
2013-09-01,51.0,2013-11-01,217.95895689021634
2013-10-01,360.0,2013-12-01,216.482108521854
2013-11-01,32.0,2014-01-01,215.03360339383545
2013-12-01,477.0,2014-02-01,213.6125543296104
2014-01-01,192.0,2014-03-01,212.21811240360057
2014-02-01,295.0,2014-04-01,210.84946485097294
2014-03-01,0.0,2014-05-01,209.50583311515945
2014-04-01,259.0,2014-06-01,208.18647102253195
2014-05-01,170.0,2014-07-01,206.8906630745689
2014-06-01,189.0,2014-08-01,205.6177228486876
2014-07-01,162.0,2014-09-01,204.36699149967123
2014-08-01,121.0,2014-10-01,203.13783635430383
2014-09-01,154.0,2014-11-01,201.92964959244446
2014-10-01,125.0,2014-12-01,200.74184700833206
2014-11-01,185.0,2015-01-01,199.57386684642233
2014-12-01,116.0,2015-02-01,198.4251687065178
2015-01-01,192.0,2015-03-01,197.295232513374
2015-02-01,78.0,2015-04-01,196.18355754634553
2015-03-01,125.0,2015-05-01,195.08966152498496
2015-04-01,137.0,2015-06-01,194.01307974682427
2015-05-01,65.0,2015-07-01,192.95336427385888
2015-06-01,190.0,2015-08-01,191.91008316451905
2015-07-01,116.0,2015-09-01,190.88281974815595
2015-08-01,217.0,2015-10-01,189.87117193929103
2015-09-01,219.0,2015-11-01,188.8747515890813
2015-10-01,98.0,2015-12-01,187.89318387163834
2015-11-01,96.0,2016-01-01,186.92610670301178
2015-12-01,235.0,2016-02-01,185.97317019080305
2016-01-01,238.0,2016-03-01,185.0340361125216
2016-02-01,144.0,2016-04-01,184.10837742092772
2016-03-01,171.0,2016-05-01,183.1958777747287
2016-04-01,179.0,2016-06-01,182.29623109310864
2016-05-01,7.0,2016-07-01,181.40914113267513
2016-06-01,0.0,2016-08-01,180.53432108550362
2016-07-01,0.0,2016-09-01,179.67149319704822
2016-08-01,310.0,2016-10-01,178.82038840276942
2016-09-01,760.0,2016-11-01,177.98074598240623
2016-10-01,535.0,2016-12-01,177.1523132308898
2016-11-01,212.0,2017-01-01,176.33484514496112
2016-12-01,125.0,2017-02-01,175.5281041246151
2017-01-01,200.0,2017-03-01,174.7318596885503
2017-02-01,62.0,2017-04-01,173.9458882028551
2017-03-01,44.0,2017-05-01,173.16997262220906
2017-04-01,0.0,2017-06-01,172.403902242924
2017-05-01,0.0,2017-07-01,171.64747246718997
2017-06-01,0.0,2017-08-01,170.90048457793125
2017-07-01,0.0,2017-09-01,170.16274552371297
