t,q,t_model,q_model
2010-09-01,1570.0,2021-01-01,1797.1488545231748
2010-10-01,5378.0,2021-02-01,1361.8321410776196
2010-11-01,6107.0,2021-03-01,1109.7294611807467
2010-12-01,1360.0,2021-04-01,943.4502624520936
2011-01-01,1347.0,2021-05-01,824.7048496732804
2011-02-01,1151.0,2021-06-01,735.2186101190835
2011-03-01,987.0,2021-07-01,665.1082220202636
2011-04-01,741.0,2021-08-01,608.5370023756527
2011-05-01,539.0,2021-09-01,561.8245981840504
2011-06-01,497.0,2021-10-01,522.5293763412586
2011-07-01,599.0,2021-11-01,488.9643749185138
2011-08-01,482.0,2021-12-01,459.92467853952564
2011-09-01,459.0,2022-01-01,434.52550678831466
2011-10-01,25.0,2022-02-01,412.1017401168932
2011-11-01,952.0,2022-03-01,392.14322323205863
2011-12-01,568.0,2022-04-01,374.25176998163374
2012-01-01,556.0,2022-05-01,358.1117997894715
2012-02-01,402.0,2022-06-01,343.4698000344231
2012-03-01,549.0,2022-07-01,330.1196566198984
2012-04-01,402.0,2022-08-01,317.8919787523484
2012-05-01,446.0,2022-09-01,306.6461997342639
2012-06-01,109.0,2022-10-01,296.26464353562216
2012-07-01,186.0,2022-11-01,286.64800705409203
2012-08-01,958.0,2022-12-01,277.7118775981569
2012-09-01,338.0,2023-01-01,269.3840179765783
2012-10-01,184.0,2023-02-01,261.6022280416555
2012-11-01,628.0,2023-03-01,254.31264421679955
2012-12-01,556.0,2023-04-01,247.468375397376
2013-01-01,238.0,2023-05-01,241.02839976689899
2013-02-01,557.0,2023-06-01,234.95666587087604
2013-03-01,426.0,2023-07-01,229.22135496906392
2013-04-01,352.0,2023-08-01,223.7942717510044
2013-05-01,310.0,2023-09-01,218.65033798215674
2013-06-01,507.0,2023-10-01,213.76716926543148
2013-07-01,263.0,2023-11-01,209.12471935891506
2013-08-01,380.0,2023-12-01,204.70497974273286
2013-09-01,173.0,2024-01-01,200.49172463314804
2013-10-01,434.0,2024-02-01,196.47029358638065
2013-11-01,365.0,2024-03-01,192.6274053545904
2013-12-01,909.0,2024-04-01,188.95099785268812
2014-01-01,458.0,2024-05-01,185.4300900421069
2014-02-01,300.0,2024-06-01,182.05466229265866
2014-03-01,2.0,2024-07-01,178.81555238869055
2014-04-01,23.0,2024-08-01,175.70436483335885
2014-05-01,837.0,2024-09-01,172.71339149980997
2014-06-01,4.0,2024-10-01,169.83554199958925
2014-07-01,0.0,2024-11-01,167.06428240157882
2014-08-01,481.0,2024-12-01,164.39358115083232
2014-09-01,1100.0,2025-01-01,161.81786121496242
2014-10-01,619.0,2025-02-01,159.33195763346015
2014-11-01,500.0,2025-03-01,156.93107976820755
2014-12-01,514.0,2025-04-01,154.61077765605395
2015-01-01,451.0,2025-05-01,152.36691195031443
2015-02-01,75.0,2025-06-01,150.19562701036563
2015-03-01,821.0,2025-07-01,148.09332675953286
2015-04-01,647.0,2025-08-01,146.0566529831187
2015-05-01,520.0,2025-09-01,144.08246578228557
2015-06-01,460.0,2025-10-01,142.1678259368652
2015-07-01,593.0,2025-11-01,140.30997896207887
2015-08-01,391.0,2025-12-01,138.5063406714849
2015-09-01,826.0,2026-01-01,136.7544840819466
2015-10-01,541.0,2026-02-01,135.05212751662808
2015-11-01,547.0,2026-03-01,133.3971237794752
2015-12-01,428.0,2026-04-01,131.78745028973955
2016-01-01,0.0,2026-05-01,130.2212000782016
2016-02-01,968.0,2026-06-01,128.69657355813484
2016-03-01,670.0,2026-07-01,127.21187099397406
2016-04-01,539.0,2026-08-01,125.76548559931264
2016-05-01,557.0,2026-09-01,124.35589720343258
2016-06-01,527.0,2026-10-01,122.98166643221423
2016-07-01,549.0,2026-11-01,121.64142935511003
2016-08-01,360.0,2026-12-01,120.33389255500124
2016-09-01,330.0,2027-01-01,119.05782858228586
2016-10-01,70.0,2027-02-01,117.81207175854496
2016-11-01,254.0,2027-03-01,116.5955142986734
2016-12-01,398.0,2027-04-01,115.40710272349718
2017-01-01,607.0,2027-05-01,114.24583453768355
2017-02-01,463.0,2027-06-01,113.11075515022543
2017-03-01,246.0,2027-07-01,112.00095501698598
2017-04-01,540.0,2027-08-01,110.91556698675512
2017-05-01,588.0,2027-09-01,109.85376383402595
2017-06-01,338.0,2027-10-01,108.81475596326906
2017-07-01,17.0,2027-11-01,107.79778927089036
2017-08-01,916.0,2027-12-01,106.80214315231902
2017-09-01,433.0,2028-01-01,105.82712864280617
2017-10-01,602.0,2028-02-01,104.87208668153343
2017-11-01,454.0,2028-03-01,103.93638648954861
2017-12-01,458.0,2028-04-01,103.01942405287299
2018-01-01,440.0,2028-05-01,102.12062070287118
2018-02-01,354.0,2028-06-01,101.23942178664993
2018-03-01,383.0,2028-07-01,100.37529542086254
2018-04-01,357.0,2028-08-01,99.52773132284834
2018-05-01,375.0,2028-09-01,98.69623971353889
2018-06-01,274.0,2028-10-01,97.8803502870172
2018-07-01,292.0,2028-11-01,97.07961124203011
2018-08-01,317.0,2028-12-01,96.29358837113047
2018-09-01,408.0,2029-01-01,95.52186420346823
2018-10-01,319.0,2029-02-01,94.76403719756162
2018-11-01,387.0,2029-03-01,94.0197209806655
2018-12-01,350.0,2029-04-01,93.28854363161263
2019-01-01,368.0,2029-05-01,92.57014700424317
2019-02-01,313.0,2029-06-01,91.86418608875385
2019-03-01,351.0,2029-07-01,91.17032840849862
2019-04-01,363.0,2029-08-01,90.48825344995454
2019-05-01,326.0,2029-09-01,89.81765212373458
2019-06-01,276.0,2029-10-01,89.15822625468262
2019-07-01,319.0,2029-11-01,88.50968809922723
2019-08-01,285.0,2029-12-01,87.87175988830114
2019-09-01,298.0,2030-01-01,87.24417339425229
2019-10-01,280.0,2030-02-01,86.62666952028295
2019-11-01,279.0,2030-03-01,86.01899791105498
2019-12-01,300.0,2030-04-01,85.42091658319262
2020-01-01,323.0,2030-05-01,84.83219157450088
2020-02-01,288.0,2030-06-01,84.25259661079733
2020-03-01,277.0,2030-07-01,83.68191278932913
2020-04-01,159.0,2030-08-01,83.11992827781523
2020-05-01,312.0,2030-09-01,82.5664380282169
2020-06-01,250.0,2030-10-01,82.02124350439826
2020-07-01,173.0,2030-11-01,81.48415242289329
2020-08-01,626.0,2030-12-01,80.95497850604508
2020-09-01,215.0,2031-01-01,80.43354124683097
2020-10-01,0.0,2031-02-01,79.91966568472976
2020-11-01,1134.0,2031-03-01,79.41318219202812
2020-12-01,1844.0,2031-04-01,78.91392627000012
2021-01-01,1842.0,2031-05-01,78.42173835442969
2021-02-01,1011.0,2031-06-01,77.93646362997721
2021-03-01,1413.0,2031-07-01,77.45795185292233
2021-04-01,1404.0,2031-08-01,76.98605718184348
2021-05-01,506.0,2031-09-01,76.52063801582
2021-06-01,840.0,2031-10-01,76.06155683976837
2021-07-01,598.0,2031-11-01,75.60868007654621
2021-08-01,845.0,2031-12-01,75.16187794547918
2021-09-01,412.0,2032-01-01,74.72102432698651
2021-10-01,495.0,2032-02-01,74.28599663299872
2021-11-01,123.0,2032-03-01,73.85667568287913
2021-12-01,349.0,2032-04-01,73.43294558457714
2022-01-01,144.0,2032-05-01,73.01469362075626
2022-02-01,419.0,2032-06-01,72.60181013965448
2022-03-01,388.0,2032-07-01,72.19418845044805
2022-04-01,707.0,2032-08-01,71.79172472290217
2022-05-01,207.0,2032-09-01,71.39431789110412
2022-06-01,130.0,2032-10-01,71.00186956108543
2022-07-01,444.0,2032-11-01,70.61428392214997
2022-08-01,420.0,2032-12-01,70.23146766173508
2022-09-01,373.0,2033-01-01,
2022-10-01,330.0,2033-02-01,
2022-11-01,271.0,2033-03-01,
2022-12-01,374.0,2033-04-01,
2023-01-01,329.0,2033-05-01,
2023-02-01,156.0,2033-06-01,
2023-03-01,285.0,2033-07-01,
2023-04-01,49.0,2033-08-01,
2023-05-01,176.0,2033-09-01,
2023-06-01,603.0,2033-10-01,
2023-07-01,80.0,2033-11-01,
2023-08-01,139.0,2033-12-01,
2023-09-01,180.0,2034-01-01,
2023-10-01,344.0,2034-02-01,
2023-11-01,212.0,2034-03-01,
2023-12-01,411.0,2034-04-01,
2024-01-01,120.0,2034-05-01,
2024-02-01,304.0,2034-06-01,
2024-03-01,209.0,2034-07-01,
2024-04-01,167.0,2034-08-01,
2024-05-01,312.0,2034-09-01,
2024-06-01,163.0,2034-10-01,
2024-07-01,228.0,2034-11-01,
2024-08-01,100.0,2034-12-01,
