t,q,t_model,q_model
2016-02-01,5281.0,2016-05-01,11157.793231800066
2016-03-01,17702.0,2016-06-01,9347.849439371334
2016-04-01,0.0,2016-07-01,7987.578458079185
2016-05-01,11226.0,2016-08-01,6933.744924600357
2016-06-01,9104.0,2016-09-01,6097.059554337212
2016-07-01,8012.0,2016-10-01,5419.2216033232735
2016-08-01,7193.0,2016-11-01,4860.690719083914
2016-09-01,6243.0,2016-12-01,4393.786295683163
2016-10-01,5663.0,2017-01-01,3998.602330893466
2016-11-01,4786.0,2017-02-01,3660.4894823184304
2016-12-01,4402.0,2017-03-01,3368.4486313403067
2017-01-01,3769.0,2017-04-01,3114.0749424395644
2017-02-01,3341.0,2017-05-01,2890.845434264347
2017-03-01,3075.0,2017-06-01,2693.6271326114424
2017-04-01,2741.0,2017-07-01,2518.330499641321
2017-05-01,2815.0,2017-08-01,2361.660724633493
2017-06-01,2513.0,2017-09-01,2220.9362826736424
2017-07-01,2356.0,2017-10-01,2093.9545823625667
2017-08-01,2464.0,2017-11-01,1978.8911259769727
2017-09-01,2408.0,2017-12-01,1874.2228814343266
2017-10-01,2367.0,2018-01-01,1778.6693889926512
2017-11-01,2111.0,2018-02-01,1691.147023530822
2017-12-01,2067.0,2018-03-01,1610.7331298993329
2018-01-01,1877.0,2018-04-01,1536.6376480606384
2018-02-01,1757.0,2018-05-01,1468.1804770453748
2018-03-01,1778.0,2018-06-01,1404.7732771031558
2018-04-01,1600.0,2018-07-01,1345.9047340271327
2018-05-01,1511.0,2018-08-01,1291.128546204182
2018-06-01,1338.0,2018-09-01,1240.0535691556413
2018-07-01,1333.0,2018-10-01,1192.335681875265
2018-08-01,1311.0,2018-11-01,1147.671036476671
2018-09-01,1253.0,2018-12-01,1105.790426230447
2018-10-01,1324.0,2019-01-01,1066.4545631997312
2018-11-01,1247.0,2019-02-01,1029.4500998331862
2018-12-01,1217.0,2019-03-01,994.5862622861122
2019-01-01,1240.0,2019-04-01,961.6919892881942
2019-02-01,1050.0,2019-05-01,930.613490814545
2019-03-01,1168.0,2019-06-01,901.2121569517067
2019-04-01,1037.0,2019-07-01,873.3627601625025
2019-05-01,1062.0,2019-08-01,846.9519043837971
2019-06-01,970.0,2019-09-01,821.8766826029412
2019-07-01,973.0,2019-10-01,798.0435111834242
2019-08-01,917.0,2019-11-01,775.3671145805038
2019-09-01,807.0,2019-12-01,753.7696384609287
2019-10-01,893.0,2020-01-01,733.1798728180723
2019-11-01,792.0,2020-02-01,713.5325696121521
2019-12-01,808.0,2020-03-01,694.7678418885768
2020-01-01,789.0,2020-04-01,676.8306333338483
2020-02-01,708.0,2020-05-01,659.6702488958326
2020-03-01,696.0,2020-06-01,643.239938485792
2020-04-01,634.0,2020-07-01,627.4965269433567
2020-05-01,577.0,2020-08-01,612.4000844227743
2020-06-01,697.0,2020-09-01,597.9136321818953
2020-07-01,632.0,2020-10-01,584.0028794508437
2020-08-01,639.0,2020-11-01,570.6359876467121
2020-09-01,609.0,2020-12-01,557.7833587015488
2020-10-01,660.0,2021-01-01,545.4174446978017
2020-11-01,593.0,2021-02-01,533.5125763701988
2020-12-01,613.0,2021-03-01,522.0448083455858
2021-01-01,667.0,2021-04-01,510.99177926067546
2021-02-01,495.0,2021-05-01,500.3325851287957
2021-03-01,607.0,2021-06-01,490.04766452617093
2021-04-01,496.0,2021-07-01,480.1186943407968
2021-05-01,459.0,2021-08-01,470.52849497652556
2021-06-01,390.0,2021-09-01,461.2609440349003
2021-07-01,200.0,2021-10-01,452.3008976103783
2021-08-01,415.0,2021-11-01,443.63411843324474
2021-09-01,411.0,2021-12-01,435.247210180744
2021-10-01,393.0,2022-01-01,427.1275573524618
2021-11-01,398.0,2022-02-01,419.26327017223446
2021-12-01,459.0,2022-03-01,411.64313403707524
2022-01-01,395.0,2022-04-01,404.2565630848666
2022-02-01,333.0,2022-05-01,397.0935574977625
2022-03-01,302.0,2022-06-01,390.14466419818086
2022-04-01,216.0,2022-07-01,383.40094062959236
2022-05-01,239.0,2022-08-01,376.8539213456192
2022-06-01,205.0,2022-09-01,370.49558715874934
2022-07-01,244.0,2022-10-01,364.3183366246688
2022-08-01,234.0,2022-11-01,358.3149596602015
2022-09-01,269.0,2022-12-01,352.47861311244986
2022-10-01,241.0,2023-01-01,346.8027981142219
2022-11-01,240.0,2023-02-01,341.2813390764743
2022-12-01,211.0,2023-03-01,335.908364182497
2023-01-01,287.0,2023-04-01,330.6782872611136
2023-02-01,184.0,2023-05-01,325.58579092742957
2023-03-01,301.0,2023-06-01,320.62581088977396
2023-04-01,325.0,2023-07-01,315.7935213305831
2023-05-01,227.0,2023-08-01,311.08432127716634
2023-06-01,256.0,2023-09-01,306.49382188568484
2023-07-01,250.0,2023-10-01,302.0178345683435
2023-08-01,214.0,2023-11-01,297.6523598998228
2023-09-01,293.0,2023-12-01,293.3935772444317
2023-10-01,307.0,2024-01-01,289.23783505039773
2023-11-01,299.0,2024-02-01,285.18164176218806
2023-12-01,251.0,2024-03-01,281.221657305818
2024-01-01,284.0,2024-04-01,277.35468510579113
2024-02-01,265.0,2024-05-01,273.57766459567205
2024-03-01,314.0,2024-06-01,269.8876641873429
2024-04-01,325.0,2024-07-01,266.28187466678133
2024-05-01,339.0,2024-08-01,262.757602986726
2024-06-01,211.0,2024-09-01,259.3122664289189
2024-07-01,286.0,2024-10-01,255.94338711071924
2024-08-01,439.0,2024-11-01,252.6485868128221
2024-09-01,357.0,2024-12-01,249.42558210658103
2024-10-01,291.0,2025-01-01,246.27217976105294
,,2025-02-01,243.18627241136755
,,2025-03-01,240.16583447138595
,,2025-04-01,237.2089182748616
,,2025-05-01,234.31365043046375
,,2025-06-01,231.47822837708074
,,2025-07-01,228.70091712679002
,,2025-08-01,225.98004618377576
,,2025-09-01,223.31400662829873
,,2025-10-01,220.70124835558266
,,2025-11-01,218.1402774601818
,,2025-12-01,215.62965375704027
,,2026-01-01,213.1679884310538
,,2026-02-01,210.7539418074949
,,2026-03-01,208.38622123617387
,,2026-04-01,206.06357908268245
,,2026-05-01,203.78481082050476
,,2026-06-01,201.54875321818554
,,2026-07-01,199.35428261612336
,,2026-08-01,197.2003132879066
,,2026-09-01,195.08579588143348
,,2026-10-01,193.00971593535894
,,2026-11-01,190.97109246669422
,,2026-12-01,188.96897662564157
,,2027-01-01,187.00245041399285
,,2027-02-01,185.07062546364503
,,2027-03-01,183.17264187199663
,,2027-04-01,181.3076670911849
,,2027-05-01,179.47489486830779
,,2027-06-01,177.67354423394428
,,2027-07-01,175.90285853644613
,,2027-08-01,174.16210451962485
,,2027-09-01,172.45057144159418
,,2027-10-01,170.76757023266043
,,2027-11-01,169.1124326902744
,,2027-12-01,167.48451070917193
,,2028-01-01,165.88317554493707
,,2028-02-01,164.3078171093224
,,2028-03-01,162.75784329575313
,,2028-04-01,161.23267933353168
,,2028-05-01,159.73176716933895
,,2028-06-01,158.25456487470834
,,2028-07-01,156.80054607821955
,,2028-08-01,155.36919942122762
,,2028-09-01,153.96002803600715
,,2028-10-01,152.572549045251
,,2028-11-01,151.20629308192025
,,2028-12-01,149.86080382849403
,,2029-01-01,148.5356375747202
,,2029-02-01,147.23036279301195
,,2029-03-01,145.9445597306825
,,2029-04-01,144.67782001825063
,,2029-05-01,143.42974629308893
,,2029-06-01,142.19995183772448
,,2029-07-01,140.98806023213717
,,2029-08-01,139.79370501943185
,,2029-09-01,138.61652938429464
,,2029-10-01,137.45618584367082
,,2029-11-01,136.31233594913067
,,2029-12-01,135.18465000041593
,,2030-01-01,134.07280676968412
,,2030-02-01,132.97649323599117
,,2030-03-01,131.89540432957634
,,2030-04-01,130.82924268553253
,,2030-05-01,129.77771840646685
,,2030-06-01,128.74054883377377
,,2030-07-01,127.71745832716208
,,2030-08-01,126.70817805209255
,,2030-09-01,125.71244577480117
,,2030-10-01,124.73000566459557
,,2030-11-01,123.76060810312859
,,2030-12-01,122.80400950036605
,,2031-01-01,121.85997211697807
,,2031-02-01,120.92826389289662
