t,q,t_model,q_model
2010-03-01,386.0,2010-11-01,6766.25717876098
2010-04-01,9668.0,2010-12-01,3220.995763078728
2010-05-01,8534.0,2011-01-01,2297.094574771284
2010-06-01,8168.0,2011-02-01,1840.7492633543789
2010-07-01,7338.0,2011-03-01,1560.762027749421
2010-08-01,5697.0,2011-04-01,1368.3736634095594
2010-09-01,6206.0,2011-05-01,1226.5651554809333
2010-10-01,8531.0,2011-06-01,1116.909578993238
2010-11-01,6855.0,2011-07-01,1029.111457877054
2010-12-01,2551.0,2011-08-01,956.9273703350381
2011-01-01,2038.0,2011-09-01,896.3315945239254
2011-02-01,1890.0,2011-10-01,844.6014015740719
2011-03-01,2032.0,2011-11-01,799.8234766948297
2011-04-01,1688.0,2011-12-01,760.6104317204217
2011-05-01,1375.0,2012-01-01,725.9295190298892
2011-06-01,1285.0,2012-02-01,694.9946959306942
2011-07-01,188.0,2012-03-01,667.1961545014329
2011-08-01,2518.0,2012-04-01,642.0528955312769
2011-09-01,1214.0,2012-05-01,619.1799620657636
2011-10-01,416.0,2012-06-01,598.2652756090832
2011-11-01,923.0,2012-07-01,579.0529259186106
2011-12-01,1053.0,2012-08-01,561.3308975298909
2012-01-01,548.0,2012-09-01,544.9219087165131
2012-02-01,1535.0,2012-10-01,529.6764737916969
2012-03-01,920.0,2012-11-01,515.4675798009883
2012-04-01,543.0,2012-12-01,502.18655293558663
2012-05-01,710.0,2013-01-01,489.73981361749134
2012-06-01,699.0,2013-02-01,478.04630362973097
2012-07-01,591.0,2013-03-01,467.0354272642629
2012-08-01,1139.0,2013-04-01,456.64538974763013
2012-09-01,485.0,2013-05-01,446.8218456974445
2012-10-01,264.0,2013-06-01,437.51679169994145
2012-11-01,437.0,2013-07-01,428.687652718409
2012-12-01,457.0,2013-08-01,420.2965236021272
2013-01-01,485.0,2013-09-01,412.3095356084081
2013-02-01,380.0,2013-10-01,404.6963243742236
2013-03-01,800.0,2013-11-01,397.4295807423907
2013-04-01,151.0,2013-12-01,390.4846696629689
2013-05-01,295.0,2014-01-01,383.83930534400446
2013-06-01,629.0,2014-02-01,377.47327312886654
2013-07-01,252.0,2014-03-01,371.36819038594297
2013-08-01,682.0,2014-04-01,365.5073001260409
2013-09-01,823.0,2014-05-01,359.8752921999392
2013-10-01,100.0,2014-06-01,354.4581478383883
2013-11-01,58.0,2014-07-01,349.24300402896296
2013-12-01,434.0,2014-08-01,344.2180348164383
2014-01-01,493.0,2014-09-01,339.37234709491565
2014-02-01,335.0,2014-10-01,334.6958888533937
2014-03-01,361.0,2014-11-01,330.17936815944586
2014-04-01,392.0,2014-12-01,325.8141814319462
2014-05-01,335.0,2015-01-01,321.59234977425695
2014-06-01,271.0,2015-02-01,317.5064623225735
2014-07-01,259.0,2015-03-01,313.54962571707796
2014-08-01,392.0,2015-04-01,309.7154189316798
2014-09-01,63.0,2015-05-01,305.9978528058274
2014-10-01,309.0,2015-06-01,302.39133371272845
2014-11-01,288.0,2015-07-01,298.89063087520793
2014-12-01,268.0,2015-08-01,295.49084690570976
2015-01-01,256.0,2015-09-01,292.1873912025394
2015-02-01,286.0,2015-10-01,288.97595588192047
2015-03-01,284.0,2015-11-01,285.8524939661079
2015-04-01,352.0,2015-12-01,282.81319958272053
2015-05-01,358.0,2016-01-01,279.8544899605343
2015-06-01,279.0,2016-02-01,276.9729890329378
2015-07-01,257.0,2016-03-01,274.1655124827233
2015-08-01,322.0,2016-04-01,271.4290540813775
2015-09-01,356.0,2016-05-01,268.760773192985
2015-10-01,586.0,2016-06-01,266.1579833276254
2015-11-01,52.0,2016-07-01,263.6181416420459
2015-12-01,74.0,2016-08-01,261.13883929667503
2016-01-01,250.0,2016-09-01,258.7177925879456
2016-02-01,99.0,2016-10-01,256.35283478358895
2016-03-01,461.0,2016-11-01,254.04190859622068
2016-04-01,248.0,2016-12-01,251.78305923728988
2016-05-01,261.0,2017-01-01,249.57442799943047
2016-06-01,239.0,2017-02-01,247.4142463205337
2016-07-01,154.0,2017-03-01,245.30083028754203
