t,q,t_model,q_model
2021-04-01,1261.0,2021-09-01,2081.1985452017284
2021-05-01,1464.0,2021-10-01,623.9717783236512
2021-06-01,0.0,2021-11-01,424.18586602153556
2021-07-01,3847.0,2021-12-01,334.7446469413979
2021-08-01,2623.0,2022-01-01,282.04085458347953
2021-09-01,2081.0,2022-02-01,246.59337306237782
2021-10-01,647.0,2022-03-01,220.79917001698885
2021-11-01,392.0,2022-04-01,201.01881129280446
2021-12-01,331.0,2022-05-01,185.27053576606596
2022-01-01,226.0,2022-06-01,172.37414665966517
2022-02-01,254.0,2022-07-01,161.5787708536775
2022-03-01,86.0,2022-08-01,152.38172486056538
2022-04-01,232.0,2022-09-01,144.43257420445974
2022-05-01,7.0,2022-10-01,137.47882708135404
2022-06-01,347.0,2022-11-01,131.33350370668842
2022-07-01,299.0,2022-12-01,125.85489503499161
2022-08-01,253.0,2023-01-01,120.93345222567237
2022-09-01,180.0,2023-02-01,116.48302226609103
2022-10-01,253.0,2023-03-01,112.43482714279605
2022-11-01,56.0,2023-04-01,108.73322829589166
2022-12-01,167.0,2023-05-01,105.33268405137649
2023-01-01,71.0,2023-06-01,102.19552312708545
2023-02-01,210.0,2023-07-01,99.29028812972537
2023-03-01,144.0,2023-08-01,96.5904846528919
2023-04-01,190.0,2023-09-01,94.07362388035409
2023-05-01,122.0,2023-10-01,91.72048082882232
2023-06-01,95.0,2023-11-01,89.51451322567735
2023-07-01,163.0,2023-12-01,87.44140156728471
2023-08-01,91.0,2024-01-01,85.48868165857323
2023-09-01,96.0,2024-02-01,83.64544848768702
2023-10-01,170.0,2024-03-01,81.90211566904762
2023-11-01,157.0,2024-04-01,80.25021856960382
2023-12-01,43.0,2024-05-01,78.68225206740917
2024-01-01,57.0,2024-06-01,77.1915359846151
2024-02-01,0.0,2024-07-01,75.7721027985617
2024-03-01,0.0,2024-08-01,74.41860341112854
2024-04-01,0.0,2024-09-01,73.12622765091602
2024-05-01,0.0,2024-10-01,71.89063686859652
2024-06-01,0.0,2024-11-01,70.70790651578534
2024-07-01,0.0,2024-12-01,69.57447701050296
2024-08-01,0.0,2025-01-01,68.48711151597185
,,2025-02-01,67.44285951503186
,,2025-03-01,66.43902526549175
,,2025-04-01,65.47314038401908
,,2025-05-01,64.54293993662674
,,2025-06-01,63.64634151925383
,,2025-07-01,62.78142689759584
,,2025-08-01,61.946425845271875
,,2025-09-01,61.13970187677528
,,2025-10-01,60.35973961891269
,,2025-11-01,59.60513360353883
,,2025-12-01,58.87457829688075
,,2026-01-01,58.16685920784133
,,2026-02-01,57.48084494035613
,,2026-03-01,56.81548007393713
,,2026-04-01,56.16977877260694
,,2026-05-01,55.54281903602042
,,2026-06-01,54.93373751810639
,,2026-07-01,54.341724848382306
,,2026-08-01,53.766021399477815
,,2026-09-01,53.20591345158202
,,2026-10-01,52.66072971069134
,,2026-11-01,52.129838142840626
,,2026-12-01,51.61264309107844
,,2027-01-01,51.108582645908946
,,2027-02-01,50.617126243358605
,,2027-03-01,50.137772467811835
,,2027-04-01,49.67004703936229
,,2027-05-01,49.21350096769764
,,2027-06-01,48.76770885652398
,,2027-07-01,48.33226734427802
,,2027-08-01,47.906793668407
,,2027-09-01,47.49092434184301
,,2027-10-01,47.08431393148722
,,2027-11-01,46.686633929568906
,,2027-12-01,46.29757170967325
,,2028-01-01,45.91682956005543
,,2028-02-01,45.54412378758976
,,2028-03-01,45.179183886352845
,,2028-04-01,44.82175176541937
,,2028-05-01,44.471581030965716
,,2028-06-01,44.12843631823855
,,2028-07-01,43.792092669358766
,,2028-08-01,43.46233495330144
,,2028-09-01,43.13895732472462
,,2028-10-01,42.82176271861837
,,2028-11-01,42.51056237801418
,,2028-12-01,42.20517541223651
,,2029-01-01,41.9054283833968
,,2029-02-01,41.61115491902717
,,2029-03-01,41.322195348929064
,,2029-04-01,41.038396364473954
,,2029-05-01,40.75961069873862
,,2029-06-01,40.48569682599075
,,2029-07-01,40.21651867916078
,,2029-08-01,39.95194538404533
,,2029-09-01,39.69185100908757
,,2029-10-01,39.43611432967018
,,2029-11-01,39.184618605939875
,,2029-12-01,38.93725137325764
,,2030-01-01,38.693904244438166
,,2030-02-01,38.45447272300507
,,2030-03-01,38.21885602674616
,,2030-04-01,37.9869569209063
,,2030-05-01,37.75868156040371
,,2030-06-01,37.533939340500304
,,2030-07-01,37.312642755397654
,,2030-08-01,37.09470726426772
,,2030-09-01,36.88005116426217
,,2030-10-01,36.66859547007622
,,2030-11-01,36.460263799671964
,,2030-12-01,36.25498226579368
,,2031-01-01,36.05267937293234
,,2031-02-01,35.8532859194199
,,2031-03-01,35.656734904355126
,,2031-04-01,35.46296143908255
,,2031-05-01,35.271902662964685
,,2031-06-01,35.083497663204064
,,2031-07-01,34.897687398487925
,,2031-08-01,34.71441462624261
,,2031-09-01,34.53362383329836
,,2031-10-01,34.355261169777776
,,2031-11-01,34.17927438603285
,,2031-12-01,34.00561277246636
,,2032-01-01,33.83422710208346
,,2032-02-01,33.66506957562885
,,2032-03-01,33.49809376917338
,,2032-04-01,33.33325458402254
,,2032-05-01,33.17050819882635
,,2032-06-01,33.00981202377789
,,2032-07-01,32.85112465679379
,,2032-08-01,32.694405841576454
,,2032-09-01,32.53961642746376
,,2032-10-01,32.38671833097691
,,2032-11-01,32.23567449898267
,,2032-12-01,32.086448873390665
