t,q,t_model,q_model
2015-05-01,3418.0,2017-01-01,2890.58407028634
2015-06-01,10795.0,2017-02-01,1457.756339926925
2015-07-01,12588.0,2017-03-01,1347.9645286475175
2015-08-01,3146.0,2017-04-01,1287.5715494636283
2015-09-01,8198.0,2017-05-01,1246.358598500677
2015-10-01,8342.0,2017-06-01,1215.2972344262664
2015-11-01,7676.0,2017-07-01,1190.4913721823716
2015-12-01,7252.0,2017-08-01,1169.9123803466205
2016-01-01,5959.0,2017-09-01,1152.3729559888347
2016-02-01,4777.0,2017-10-01,1137.1199134904778
2016-03-01,5423.0,2017-11-01,1123.64636243196
2016-04-01,4443.0,2017-12-01,1111.5953487536951
2016-05-01,4359.0,2018-01-01,1100.706313005498
2016-06-01,3720.0,2018-02-01,1090.7834280441784
2016-07-01,3755.0,2018-03-01,1081.6759138599248
2016-08-01,3695.0,2018-04-01,1073.2652841709164
2016-09-01,3491.0,2018-05-01,1065.456793718511
2016-10-01,3395.0,2018-06-01,1058.1735317385926
2016-11-01,3161.0,2018-07-01,1051.352238402208
2016-12-01,2961.0,2018-08-01,1044.9402756394825
2017-01-01,2892.0,2018-09-01,1038.8933909472566
2017-02-01,397.0,2018-10-01,1033.1740380393624
2017-03-01,833.0,2018-11-01,1027.7500962331358
2017-04-01,956.0,2018-12-01,1022.5938803897319
2017-05-01,888.0,2019-01-01,1017.6813659314504
2017-06-01,951.0,2019-02-01,1012.9915753458075
2017-07-01,933.0,2019-03-01,1008.5060875165518
2017-08-01,2394.0,2019-04-01,1004.2086415861589
2017-09-01,1107.0,2019-05-01,1000.0848143642789
2017-10-01,1440.0,2019-06-01,996.1217555278922
2017-11-01,1547.0,2019-07-01,992.3079686530538
2017-12-01,1488.0,2019-08-01,988.633128904093
2018-01-01,1520.0,2019-09-01,985.0879302753218
2018-02-01,1025.0,2019-10-01,981.663956833522
2018-03-01,1189.0,2019-11-01,978.3535735869283
2018-04-01,1189.0,2019-12-01,975.14983350728
2018-05-01,1189.0,2020-01-01,972.0463979266942
2018-06-01,1150.0,2020-02-01,969.0374680719481
2018-07-01,1844.0,2020-03-01,966.1177259226831
2018-08-01,1697.0,2020-04-01,963.2822829147458
2018-09-01,885.0,2020-05-01,960.526635275885
2018-10-01,1020.0,2020-06-01,957.8466249938177
2018-11-01,925.0,2020-07-01,955.2384055878858
2018-12-01,831.0,2020-08-01,952.6984119941033
2019-01-01,618.0,2020-09-01,950.2233339861372
2019-02-01,1504.0,2020-10-01,947.8100926469823
2019-03-01,1620.0,2020-11-01,945.4558194818702
2019-04-01,1473.0,2020-12-01,943.1578378255296
2019-05-01,1468.0,2021-01-01,940.9136462488145
2019-06-01,553.0,2021-02-01,938.7209037129342
2019-07-01,1195.0,2021-03-01,936.5774162556672
2019-08-01,1276.0,2021-04-01,934.4811250242867
2019-09-01,1356.0,2021-05-01,932.4300954954841
2019-10-01,1323.0,2021-06-01,930.4225077442077
2019-11-01,1398.0,2021-07-01,928.456647641667
2019-12-01,1361.0,2021-08-01,926.5308988783761
2020-01-01,1309.0,2021-09-01,924.6437357214375
2020-02-01,1292.0,2021-10-01,922.793716426696
2020-03-01,1237.0,2021-11-01,920.9794772361953
2020-04-01,1174.0,2021-12-01,919.1997268998299
2020-05-01,1204.0,2022-01-01,917.4532416673754
2020-06-01,1146.0,2022-02-01,915.7388607034128
2020-07-01,1115.0,2022-03-01,914.05548188314
2020-08-01,1127.0,2022-04-01,912.4020579318487
2020-09-01,1070.0,2022-05-01,910.7775928750067
2020-10-01,1078.0,2022-06-01,909.1811387695303
2020-11-01,1078.0,2022-07-01,907.6117926900245
2020-12-01,1101.0,2022-08-01,906.068693946567
2021-01-01,1056.0,2022-09-01,904.551021513088
2021-02-01,783.0,2022-10-01,903.0579916475582
2021-03-01,1021.0,2022-11-01,901.5888556871321
2021-04-01,1008.0,2022-12-01,900.142898003083
2021-05-01,975.0,2023-01-01,898.719434101881
2021-06-01,927.0,2023-02-01,897.3178088600962
2021-07-01,943.0,2023-03-01,895.937394882007
2021-08-01,908.0,2023-04-01,894.5775909698515
2021-09-01,897.0,2023-05-01,893.2378206976068
2021-10-01,839.0,2023-06-01,891.917531080029
2021-11-01,924.0,2023-07-01,890.6161913294458
2021-12-01,827.0,2023-08-01,889.3332916934703
2022-01-01,970.0,2023-09-01,888.0683423674213
2022-02-01,758.0,2023-10-01,886.820872475776
2022-03-01,740.0,2023-11-01,885.590429117485
2022-04-01,824.0,2023-12-01,884.3765764704159
2022-05-01,855.0,2024-01-01,883.1788949506041
2022-06-01,750.0,2024-02-01,881.996980422344
2022-07-01,712.0,2024-03-01,880.8304434554904
2022-08-01,823.0,2024-04-01,879.6789086266349
2022-09-01,622.0,2024-05-01,878.5420138610939
2022-10-01,730.0,2024-06-01,877.4194098128897
2022-11-01,842.0,2024-07-01,876.310759280134
2022-12-01,611.0,2024-08-01,875.2157366534203
2023-01-01,840.0,2024-09-01,874.134027395024
2023-02-01,701.0,2024-10-01,873.0653275468737
2023-03-01,741.0,2024-11-01,872.0093432654138
2023-04-01,708.0,2024-12-01,870.9657903816214
2023-05-01,715.0,2025-01-01,869.9343939845651
2023-06-01,701.0,2025-02-01,868.914888027019
2023-07-01,690.0,2025-03-01,867.9070149517463
2023-08-01,671.0,2025-04-01,866.910525337173
2023-09-01,369.0,2025-05-01,865.925177561259
2023-10-01,759.0,2025-06-01,864.9507374824626
2023-11-01,704.0,2025-07-01,863.9869781367667
2023-12-01,721.0,2025-08-01,863.0336794498113
2024-01-01,656.0,2025-09-01,862.0906279632404
2024-02-01,610.0,2025-10-01,861.1576165744304
2024-03-01,602.0,2025-11-01,860.2344442888281
2024-04-01,584.0,2025-12-01,859.3209159841709
2024-05-01,551.0,2026-01-01,858.4168421859184
2024-06-01,333.0,2026-02-01,857.5220388532592
2024-07-01,675.0,2026-03-01,856.6363271751076
2024-08-01,554.0,2026-04-01,855.759533375533
2024-09-01,627.0,2026-05-01,854.8914885281104
2024-10-01,585.0,2026-06-01,854.0320283787016
,,2026-07-01,853.1809931762186
,,2026-08-01,852.3382275109398
,,2026-09-01,851.5035801599798
,,2026-10-01,850.6769039395408
,,2026-11-01,849.8580555635872
,,2026-12-01,849.0468955086178
,,2027-01-01,848.2432878842209
,,2027-02-01,847.4471003091185
,,2027-03-01,846.6582037924267
,,2027-04-01,845.8764726198677
,,2027-05-01,845.101784244693
,,2027-06-01,844.3340191830829
,,2027-07-01,843.5730609138058
,,2027-08-01,842.8187957819323
,,2027-09-01,842.071112906409
,,2027-10-01,841.3299040913073
,,2027-11-01,840.5950637405762
,,2027-12-01,839.8664887761333
,,2028-01-01,839.1440785591391
,,2028-02-01,838.4277348143085
,,2028-03-01,837.7173615571196
,,2028-04-01,837.0128650237893
,,2028-05-01,836.3141536038893
,,2028-06-01,835.6211377754854
,,2028-07-01,834.933730042689
,,2028-08-01,834.2518448755112
,,2028-09-01,833.5753986519219
,,2028-10-01,832.9043096020165
,,2028-11-01,832.2384977541991
,,2028-12-01,831.5778848832961
,,2029-01-01,830.9223944605178
,,2029-02-01,830.2719516051902
,,2029-03-01,829.6264830381818
,,2029-04-01,828.9859170369565
,,2029-05-01,828.3501833921823
,,2029-06-01,827.7192133658352
,,2029-07-01,827.0929396507338
,,2029-08-01,826.47129633145
,,2029-09-01,825.8542188465374
,,2029-10-01,825.2416439520248
,,2029-11-01,824.6335096861278
,,2029-12-01,824.0297553351255
,,2030-01-01,823.4303214003602
,,2030-02-01,822.8351495663136
,,2030-03-01,822.244182669721
,,2030-04-01,821.6573646696795
,,2030-05-01,821.0746406187152
,,2030-06-01,820.4959566347719
,,2030-07-01,819.9212598740858
,,2030-08-01,819.350498504913
,,2030-09-01,818.7836216820806
,,2030-10-01,818.2205795223252
,,2030-11-01,817.6613230803957
,,2030-12-01,817.1058043258892
,,2031-01-01,816.5539761207923
,,2031-02-01,816.0057921977058
,,2031-03-01,815.4612071387247
,,2031-04-01,814.9201763549516
,,2031-05-01,814.3826560666213
,,2031-06-01,813.8486032838128
,,2031-07-01,813.3179757877323
,,2031-08-01,812.7907321125409
,,2031-09-01,812.266831527715
,,2031-10-01,811.746234020915
,,2031-11-01,811.228900281349
,,2031-12-01,810.7147916836115
,,2032-01-01,810.203870271984
,,2032-02-01,809.6960987451785
,,2032-03-01,809.1914404415118
,,2032-04-01,808.689859324494
,,2032-05-01,808.1913199688207
,,2032-06-01,807.6957875467496
,,2032-07-01,807.2032278148561
,,2032-08-01,806.7136071011499
,,2032-09-01,806.2268922925435
,,2032-10-01,805.7430508226603
,,2032-11-01,805.2620506599711
,,2032-12-01,804.7838602962503
,,2033-01-01,804.3084487353391
