t,q,t_model,q_model
2010-12-01,139.0,2011-02-01,9904.384904247203
2011-01-01,10374.0,2011-03-01,7370.125950693455
2011-02-01,10304.0,2011-04-01,5909.8084224805025
2011-03-01,7058.0,2011-05-01,4954.292728069993
2011-04-01,5306.0,2011-06-01,4277.715906050008
2011-05-01,4698.0,2011-07-01,3772.0773573270562
2011-06-01,4012.0,2011-08-01,3379.0436920860775
2011-07-01,3694.0,2011-09-01,3064.2620929403083
2011-08-01,3384.0,2011-10-01,2806.147939884047
2011-09-01,3031.0,2011-11-01,2590.437345101874
2011-10-01,2886.0,2011-12-01,2407.3151048522327
2011-11-01,2606.0,2012-01-01,2249.7993523645905
2011-12-01,2542.0,2012-02-01,2112.7840399775973
2012-01-01,2430.0,2012-03-01,1992.4460872678756
2012-02-01,2140.0,2012-04-01,1885.8645729943157
2012-03-01,2147.0,2012-05-01,1790.7683165785736
2012-04-01,2012.0,2012-06-01,1705.363945784778
2012-05-01,1980.0,2012-07-01,1628.2159658339617
2012-06-01,1897.0,2012-08-01,1558.1613268857577
2012-07-01,1774.0,2012-09-01,1494.2474198985851
2012-08-01,1801.0,2012-10-01,1435.6863181701888
2012-09-01,1636.0,2012-11-01,1381.820496470711
2012-10-01,1649.0,2012-12-01,1332.0967969689334
2012-11-01,1581.0,2013-01-01,1286.0464118461916
2012-12-01,1559.0,2013-02-01,1243.269317105672
2013-01-01,1424.0,2013-03-01,1203.4220416254523
2013-02-01,754.0,2013-04-01,1166.2079646865905
2013-03-01,1575.0,2013-05-01,1131.369551135531
2013-04-01,1520.0,2013-06-01,1098.682086280298
2013-05-01,1422.0,2013-07-01,1067.9485823655964
2013-06-01,1382.0,2013-08-01,1038.9956081779435
2013-07-01,1409.0,2013-09-01,1011.669851873309
2013-08-01,1387.0,2013-10-01,985.8352705677511
2013-09-01,1282.0,2013-11-01,961.3707127937572
2013-10-01,1153.0,2013-12-01,938.1679245527325
2013-11-01,1040.0,2014-01-01,916.1298684810282
2013-12-01,1271.0,2014-02-01,895.1693000942034
2014-01-01,1139.0,2014-03-01,875.2075562689266
2014-02-01,1026.0,2014-04-01,856.1735198586151
2014-03-01,1140.0,2014-05-01,838.0027312036187
2014-04-01,1143.0,2014-06-01,820.6366227252112
2014-05-01,1013.0,2014-07-01,804.021857111516
2014-06-01,1075.0,2014-08-01,788.1097530594334
2014-07-01,802.0,2014-09-01,772.8557853172573
2014-08-01,1147.0,2014-10-01,758.219148021641
2014-09-01,1119.0,2014-11-01,744.1623721506026
2014-10-01,327.0,2014-12-01,730.6509894072129
2014-11-01,320.0,2015-01-01,717.6532360734221
2014-12-01,0.0,2015-02-01,705.1397913826853
2015-01-01,0.0,2015-03-01,693.0835457950582
2015-02-01,445.0,2015-04-01,681.4593952520422
2015-03-01,822.0,2015-05-01,670.2440580668344
2015-04-01,777.0,2015-06-01,659.4159115896747
2015-05-01,769.0,2015-07-01,648.9548461944929
2015-06-01,779.0,2015-08-01,638.8421344756256
2015-07-01,768.0,2015-09-01,629.0603138329695
2015-08-01,866.0,2015-10-01,619.593080869552
2015-09-01,818.0,2015-11-01,610.425196234406
2015-10-01,777.0,2015-12-01,601.542398721866
2015-11-01,790.0,2016-01-01,592.9313275908651
2015-12-01,781.0,2016-02-01,584.5794521985994
2016-01-01,780.0,2016-03-01,576.475008155408
2016-02-01,729.0,2016-04-01,568.6069393046922
2016-03-01,754.0,2016-05-01,560.9648449155289
2016-04-01,684.0,2016-06-01,553.5389315482437
2016-05-01,759.0,2016-07-01,546.3199691162762
2016-06-01,667.0,2016-08-01,539.2992507225416
2016-07-01,696.0,2016-09-01,532.468555896357
2016-08-01,624.0,2016-10-01,525.8201168988256
2016-09-01,639.0,2016-11-01,519.3465878012032
2016-10-01,581.0,2016-12-01,513.0410160729082
2016-11-01,593.0,2017-01-01,506.8968164440897
2016-12-01,581.0,2017-02-01,500.9077468325559
2017-01-01,594.0,2017-03-01,495.0678861468092
2017-02-01,500.0,2017-04-01,489.3716137963517
2017-03-01,509.0,2017-05-01,483.813590757593
2017-04-01,569.0,2017-06-01,478.38874205893245
2017-05-01,605.0,2017-07-01,473.09224056211997
2017-06-01,510.0,2017-08-01,467.9194919290338
2017-07-01,492.0,2017-09-01,462.86612067374404
2017-08-01,431.0,2017-10-01,457.92795720929604
2017-09-01,537.0,2017-11-01,453.1010258072058
2017-10-01,493.0,2017-12-01,448.38153339530623
2017-11-01,454.0,2018-01-01,443.7658591264434
2017-12-01,457.0,2018-02-01,439.250544656676
2018-01-01,431.0,2018-03-01,434.83228507715666
2018-02-01,378.0,2018-04-01,430.5079204488486
2018-03-01,369.0,2018-05-01,426.2744278937101
2018-04-01,402.0,2018-06-01,422.1289142000187
2018-05-01,388.0,2018-07-01,418.06860890315613
2018-06-01,365.0,2018-08-01,414.09085780646683
2018-07-01,361.0,2018-09-01,410.1931169097955
2018-08-01,352.0,2018-10-01,406.3729467160018
2018-09-01,329.0,2018-11-01,402.6280068882116
2018-10-01,348.0,2018-12-01,398.95605123278244
2018-11-01,262.0,2019-01-01,395.35492298499065
2018-12-01,332.0,2019-02-01,391.8225503762812
2019-01-01,327.0,2019-03-01,388.35694246360515
2019-02-01,296.0,2019-04-01,384.9561852028912
2019-03-01,285.0,2019-05-01,381.61843775009567
2019-04-01,169.0,2019-06-01,378.3419289745482
2019-05-01,235.0,2019-07-01,375.12495417047376
