t,q,t_model,q_model
2013-05-01,7384.0,2013-10-01,5406.648358716749
2013-06-01,9966.0,2013-11-01,4881.945547078778
2013-07-01,8204.0,2013-12-01,4434.173782150375
2013-08-01,7121.0,2014-01-01,4048.6381123982405
2013-09-01,6242.0,2014-02-01,3714.038230081144
2013-10-01,5891.0,2014-03-01,3421.561347723215
2013-11-01,3706.0,2014-04-01,3164.2473659474535
2013-12-01,4599.0,2014-05-01,2936.53640159678
2014-01-01,4334.0,2014-06-01,2733.9409305362337
2014-02-01,3678.0,2014-07-01,2552.8046478964666
2014-03-01,3729.0,2014-08-01,2390.1226784409914
2014-04-01,3477.0,2014-09-01,2243.4058491389187
2014-05-01,3282.0,2014-10-01,2110.5770472494028
2014-06-01,2890.0,2014-11-01,1989.891240915047
2014-07-01,2054.0,2014-12-01,1879.873155876044
2014-08-01,2664.0,2015-01-01,1779.2682700306884
2014-09-01,2020.0,2015-02-01,1687.0039550374577
2014-10-01,2225.0,2015-03-01,1602.1584217750058
2014-11-01,1981.0,2015-04-01,1523.9357202142066
2014-12-01,1636.0,2015-05-01,1451.645474966652
2015-01-01,1585.0,2015-06-01,1384.6863534839706
2015-02-01,1523.0,2015-07-01,1322.5324975609703
2015-03-01,1565.0,2015-08-01,1264.7223233450961
2015-04-01,1509.0,2015-09-01,1210.8492265625712
2015-05-01,1514.0,2015-10-01,1160.553829557327
2015-06-01,1361.0,2015-11-01,1113.5174831887418
2015-07-01,1347.0,2015-12-01,1069.456795571657
2015-08-01,1235.0,2016-01-01,1028.119005391041
2015-09-01,1182.0,2016-02-01,989.2780532667147
2015-10-01,1188.0,2016-03-01,952.7312327419563
2015-11-01,1059.0,2016-04-01,918.2963246886078
2015-12-01,1090.0,2016-05-01,885.8091365892479
2016-01-01,1022.0,2016-06-01,855.1213822812474
2016-02-01,886.0,2016-07-01,826.098849096349
2016-03-01,927.0,2016-08-01,798.6198084926398
2016-04-01,848.0,2016-09-01,772.573633708742
2016-05-01,855.0,2016-10-01,747.8595940263341
2016-06-01,772.0,2016-11-01,724.3858001828
2016-07-01,824.0,2016-12-01,702.0682795474846
2016-08-01,890.0,2017-01-01,680.8301630335702
2016-09-01,729.0,2017-02-01,660.6009684983405
2016-10-01,697.0,2017-03-01,641.3159676953287
2016-11-01,659.0,2017-04-01,622.9156257687031
2016-12-01,657.0,2017-05-01,605.345103892417
2017-01-01,633.0,2017-06-01,588.5538170098873
2017-02-01,600.0,2017-07-01,572.4950397694196
2017-03-01,599.0,2017-08-01,557.1255547129294
2017-04-01,603.0,2017-09-01,542.4053375906168
2017-05-01,669.0,2017-10-01,528.2972753666002
2017-06-01,540.0,2017-11-01,514.7669130701945
2017-07-01,515.0,2017-12-01,501.7822261510743
2017-08-01,495.0,2018-01-01,489.3134154276601
2017-09-01,631.0,2018-02-01,477.3327220880488
2017-10-01,570.0,2018-03-01,465.81426052110453
2017-11-01,600.0,2018-04-01,454.7338670297586
2017-12-01,557.0,2018-05-01,444.0689627157644
2018-01-01,481.0,2018-06-01,433.79842903055044
2018-02-01,434.0,2018-07-01,423.90249466510863
2018-03-01,497.0,2018-08-01,414.3626326069006
2018-04-01,468.0,2018-09-01,405.16146632687463
2018-05-01,594.0,2018-10-01,396.28268417766134
2018-06-01,545.0,2018-11-01,387.7109611872057
2018-07-01,510.0,2018-12-01,379.431887522527
2018-08-01,471.0,2019-01-01,371.43190297769127
2018-09-01,453.0,2019-02-01,363.6982369099074
2018-10-01,451.0,2019-03-01,356.2188531091541
2018-11-01,427.0,2019-04-01,348.98239914103004
2018-12-01,403.0,2019-05-01,341.9781597504726
2019-01-01,415.0,2019-06-01,335.19601395645515
2019-02-01,386.0,2019-07-01,328.62639550540575
2019-03-01,422.0,2019-08-01,322.26025638450994
2019-04-01,374.0,2019-09-01,316.08903312576706
2019-05-01,358.0,2019-10-01,310.10461565812875
2019-06-01,325.0,2019-11-01,304.299318488627
2019-07-01,332.0,2019-12-01,298.6658540144633
2019-08-01,326.0,2020-01-01,293.19730778685124
2019-09-01,310.0,2020-02-01,287.88711556425704
2019-10-01,333.0,2020-03-01,282.729042007785
2019-11-01,297.0,2020-04-01,277.71716088500665
2019-12-01,297.0,2020-05-01,272.84583666070864
2020-01-01,294.0,2020-06-01,268.10970736398514
2020-02-01,286.0,2020-07-01,263.50366863096457
2020-03-01,350.0,2020-08-01,259.0228588313503
2020-04-01,306.0,2020-09-01,254.6626451949801
2020-05-01,281.0,2020-10-01,250.4186108618603
2020-06-01,271.0,2020-11-01,246.28654278568476
2020-07-01,263.0,2020-12-01,242.26242042679155
2020-08-01,243.0,2021-01-01,238.34240517588398
2020-09-01,265.0,2021-02-01,234.52283045473047
2020-10-01,260.0,2021-03-01,230.80019244448573
2020-11-01,241.0,2021-04-01,227.1711413963082
2020-12-01,129.0,2021-05-01,223.63247348261183
2021-01-01,201.0,2021-06-01,220.18112315063007
2021-02-01,189.0,2021-07-01,216.81415594301254
2021-03-01,292.0,2021-08-01,213.52876175294833
2021-04-01,266.0,2021-09-01,210.32224848384718
2021-05-01,260.0,2021-10-01,207.1920360859228
2021-06-01,231.0,2021-11-01,204.1356509441426
2021-07-01,229.0,2021-12-01,201.1507205939453
2021-08-01,216.0,2022-01-01,198.23496874290444
2021-09-01,199.0,2022-02-01,195.38621057814484
2021-10-01,218.0,2022-03-01,192.60234834081047
2021-11-01,211.0,2022-04-01,189.88136715025666
2021-12-01,212.0,2022-05-01,187.22133106189756
2022-01-01,218.0,2022-06-01,184.6203793438004
2022-02-01,204.0,2022-07-01,182.07672295818355
2022-03-01,218.0,2022-08-01,179.5886412349575
2022-04-01,201.0,2022-09-01,177.15447872535404
2022-05-01,211.0,2022-10-01,174.77264222452172
2022-06-01,183.0,2022-11-01,172.44159795273725
2022-07-01,170.0,2022-12-01,170.1598688855928
2022-08-01,174.0,2023-01-01,167.92603222417634
2022-09-01,179.0,2023-02-01,165.73871699687018
2022-10-01,184.0,2023-03-01,163.5966017849534
2022-11-01,205.0,2023-04-01,161.49841256471632
2022-12-01,165.0,2023-05-01,159.44292065927522
2023-01-01,174.0,2023-06-01,157.42894079372294
2023-02-01,164.0,2023-07-01,155.45532924766502
2023-03-01,179.0,2023-08-01,153.5209820995763
2023-04-01,181.0,2023-09-01,151.62483355776814
2023-05-01,160.0,2023-10-01,149.76585437309012
2023-06-01,154.0,2023-11-01,147.94305032879544
2023-07-01,173.0,2023-12-01,146.15546080328957
2023-08-01,112.0,2024-01-01,144.40215740174457
2023-09-01,127.0,2024-02-01,142.6822426528131
2023-10-01,146.0,2024-03-01,140.9948487669049
2023-11-01,135.0,2024-04-01,139.3391364527062
2023-12-01,149.0,2024-05-01,137.7142937888217
2024-01-01,139.0,2024-06-01,136.11953514760776
2024-02-01,149.0,2024-07-01,134.55410016844002
2024-03-01,146.0,2024-08-01,133.01725277782154
2024-04-01,143.0,2024-09-01,131.5082802538916
2024-05-01,137.0,2024-10-01,130.0264923330363
2024-06-01,128.0,2024-11-01,128.57122035643746
2024-07-01,123.0,2024-12-01,127.14181645452075
2024-08-01,125.0,2025-01-01,125.73765276737875
2024-09-01,140.0,2025-02-01,124.35812069935858
2024-10-01,111.0,2025-03-01,123.00263020610144
2024-11-01,139.0,2025-04-01,121.67060911242142
2024-12-01,144.0,2025-05-01,120.36150245949884
2025-01-01,138.0,2025-06-01,119.07477187994874
,,2025-07-01,117.80989499940468
,,2025-08-01,116.56636486333247
,,2025-09-01,115.34368938785757
,,2025-10-01,114.14139083345755
,,2025-11-01,112.95900530043103
,,2025-12-01,111.79608224511315
,,2026-01-01,110.65218401586333
,,2026-02-01,109.52688540790118
,,2026-03-01,108.41977323611546
,,2026-04-01,107.33044592501724
,,2026-05-01,106.25851311504988
,,2026-06-01,105.2035952845109
,,2026-07-01,104.16532338637766
,,2026-08-01,103.14333849936492
,,2026-09-01,102.13729149257723
,,2026-10-01,101.14684270315047
,,2026-11-01,100.17166162630693
,,2026-12-01,99.21142661727798
,,2027-01-01,98.26582460457462
,,2027-02-01,97.3345508141114
,,2027-03-01,96.4173085037149
,,2027-04-01,95.51380870756897
,,2027-05-01,94.62376999017185
,,2027-06-01,93.74691820940035
,,2027-07-01,92.8829862882952
,,2027-08-01,92.03171399520107
,,2027-09-01,91.19284773191096
,,2027-10-01,90.36614032948175
,,2027-11-01,89.55135085140353
,,2027-12-01,88.74824440381956
,,2028-01-01,87.95659195250781
,,2028-02-01,87.17617014634895
,,2028-03-01,86.4067611470176
,,2028-04-01,85.64815246464565
,,2028-05-01,84.9001367992187
,,2028-06-01,84.16251188747613
,,2028-07-01,83.43508035509691
,,2028-08-01,82.71764957396206
,,2028-09-01,82.01003152429418
,,2028-10-01,81.31204266148387
,,2028-11-01,80.62350378742033
,,2028-12-01,79.94423992615181
,,2029-01-01,79.27408020370964
,,2029-02-01,78.61285773193583
,,2029-03-01,77.96040949616189
,,2029-04-01,77.31657624659273
,,2029-05-01,76.6812023932559
,,2029-06-01,76.05413590438187
,,2029-07-01,75.4352282080877
,,2029-08-01,74.82433409724062
,,2029-09-01,74.22131163738435
,,2029-10-01,73.62602207761488
,,2029-11-01,73.03832976429787
,,2029-12-01,72.45810205752389
,,2030-01-01,71.88520925020202
,,2030-02-01,71.3195244896965
,,2030-03-01,70.76092370191503
,,2030-04-01,70.20928551776073
,,2030-05-01,69.66449120186371
,,2030-06-01,69.12642458351131
,,2030-07-01,68.59497198969922
,,2030-08-01,68.07002218022929
,,2030-09-01,67.55146628478208
,,2030-10-01,67.03919774189545
,,2030-11-01,66.53311223978315
,,2030-12-01,66.03310765893008
,,2031-01-01,65.53908401640257
,,2031-02-01,65.05094341181581
,,2031-03-01,64.56858997490136
,,2031-04-01,64.09192981462083
,,2031-05-01,63.620870969773236
,,2031-06-01,63.15532336104634
,,2031-07-01,62.695198744462964
,,2031-08-01,62.24041066617642
,,2031-09-01,61.790874418569935
,,2031-10-01,61.346506997617084
,,2031-11-01,60.90722706146188
,,2031-12-01,60.472954890178386
,,2032-01-01,60.043612346671445
,,2032-02-01,59.6191228386817
,,2032-03-01,59.19941128185873
,,2032-04-01,58.78440406386836
,,2032-05-01,58.3740290095008
,,2032-06-01,57.96821534674757
,,2032-07-01,57.566893673816544
,,2032-08-01,57.16999592705541
,,2032-09-01,56.7774553497547
,,2032-10-01,56.38920646180312
,,2032-11-01,56.00518503016807
,,2032-12-01,55.62532804017604
,,2033-01-01,55.24957366756795
,,2033-02-01,54.87786125130522
,,2033-03-01,54.51013126710393
,,2033-04-01,54.14632530167442
,,2033-05-01,53.78638602764483
