t,q,t_model,q_model
2014-04-01,19261.0,2014-05-01,16302.70340244465
2014-05-01,16607.0,2014-06-01,12049.52778635399
2014-06-01,11380.0,2014-07-01,9594.407010233346
2014-07-01,9871.0,2014-08-01,7990.63326386585
2014-08-01,8129.0,2014-09-01,6858.2836909018
2014-09-01,6685.0,2014-10-01,6014.796173098279
2014-10-01,6299.0,2014-11-01,5361.3676237372165
2014-11-01,2500.0,2014-12-01,4839.785459912586
2014-12-01,6062.0,2015-01-01,4413.488440338258
2015-01-01,5010.0,2015-02-01,4058.3380037785387
2015-02-01,4046.0,2015-03-01,3757.7446594302855
2015-03-01,4171.0,2015-04-01,3499.9246911079417
2015-04-01,3565.0,2015-05-01,3276.2736559638656
2015-05-01,3339.0,2015-06-01,3080.359490788461
2015-06-01,3363.0,2015-07-01,2907.2760351387533
2015-07-01,3279.0,2015-08-01,2753.214787180246
2015-08-01,2920.0,2015-09-01,2615.173436840778
2015-09-01,2839.0,2015-10-01,2490.75273332613
2015-10-01,2239.0,2015-11-01,2378.0119224634013
2015-11-01,2391.0,2015-12-01,2275.3639336564115
2015-12-01,2670.0,2016-01-01,2181.4981097101936
2016-01-01,2321.0,2016-02-01,2095.32238024891
2016-02-01,2301.0,2016-03-01,2015.9193938558547
2016-03-01,2172.0,2016-04-01,1942.5128253044961
2016-04-01,2387.0,2016-05-01,1874.4412036441206
2016-05-01,2078.0,2016-06-01,1811.137370440638
2016-06-01,1353.0,2016-07-01,1752.1122023271307
2016-07-01,2252.0,2016-08-01,1696.9415983513754
2016-08-01,1926.0,2016-09-01,1645.2559919166154
2016-09-01,1598.0,2016-10-01,1596.731833063844
2016-10-01,1859.0,2016-11-01,1551.0846218063507
2016-11-01,1431.0,2016-12-01,1508.0631722843782
2016-12-01,1535.0,2017-01-01,1467.4448609741387
2017-01-01,1563.0,2017-02-01,1429.0316672058225
2017-02-01,1390.0,2017-03-01,1392.6468558288846
2017-03-01,1489.0,2017-04-01,1358.1321835615217
2017-04-01,1438.0,2017-05-01,1325.3455349200433
2017-05-01,1461.0,2017-06-01,1294.1589124848877
2017-06-01,1128.0,2017-07-01,1264.4567209690786
2017-07-01,1403.0,2017-08-01,1236.1342961038947
2017-08-01,1375.0,2017-09-01,1209.096638482582
2017-09-01,1254.0,2017-10-01,1183.257319758372
2017-10-01,1113.0,2017-11-01,1158.5375343946534
2017-11-01,1239.0,2017-12-01,1134.8652748297352
2017-12-01,1141.0,2018-01-01,1112.1746116886734
2018-01-01,1043.0,2018-02-01,1090.4050637368812
2018-02-01,982.0,2018-03-01,1069.5010447694162
2018-03-01,1311.0,2018-04-01,1049.41137667873
2018-04-01,1011.0,2018-05-01,1030.0888596307273
2018-05-01,1170.0,2018-06-01,1011.4898916738769
2018-06-01,1075.0,2018-07-01,993.574131264021
2018-07-01,945.0,2018-08-01,976.3041971524277
2018-08-01,1049.0,2018-09-01,959.6454008915734
2018-09-01,923.0,2018-10-01,943.5655078904421
2018-10-01,942.0,2018-11-01,928.0345235214546
2018-11-01,934.0,2018-12-01,913.0245012630322
2018-12-01,930.0,2019-01-01,898.5093702701835
2019-01-01,903.0,2019-02-01,884.4647801126724
2019-02-01,709.0,2019-03-01,870.8679607163057
2019-03-01,683.0,2019-04-01,857.6975957959206
2019-04-01,663.0,2019-05-01,844.9337082855819
2019-05-01,730.0,2019-06-01,832.557556457951
2019-06-01,1009.0,2019-07-01,820.5515395854468
2019-07-01,791.0,2019-08-01,808.8991121346027
2019-08-01,703.0,2019-09-01,797.5847056051834
2019-09-01,728.0,2019-10-01,786.5936572299042
2019-10-01,696.0,2019-11-01,775.9121448412897
2019-11-01,735.0,2019-12-01,765.5271272912701
2019-12-01,844.0,2020-01-01,755.4262898781558
2020-01-01,750.0,2020-02-01,745.597994296067
2020-02-01,816.0,2020-03-01,736.0312326748909
2020-03-01,628.0,2020-04-01,726.7155853254009
2020-04-01,711.0,2020-05-01,717.6411818451589
2020-05-01,0.0,2020-06-01,708.7986652769619
2020-06-01,868.0,2020-07-01,700.1791590435231
2020-07-01,629.0,2020-08-01,691.7742364103287
2020-08-01,529.0,2020-09-01,683.5758922536452
2020-09-01,546.0,2020-10-01,675.576516932892
2020-10-01,431.0,2020-11-01,667.7688720863479
2020-11-01,851.0,2020-12-01,660.1460681867678
2020-12-01,643.0,2021-01-01,652.7015437091825
2021-01-01,621.0,2021-02-01,645.4290457771704
2021-02-01,526.0,2021-03-01,638.3226121664354
2021-03-01,594.0,2021-04-01,631.3765545557478
2021-04-01,705.0,2021-05-01,624.5854429253869
2021-05-01,604.0,2021-06-01,617.9440910122555
2021-06-01,570.0,2021-07-01,611.4475427389851
2021-07-01,663.0,2021-08-01,605.0910595416569
2021-08-01,544.0,2021-09-01,598.8701085273751
2021-09-01,524.0,2021-10-01,592.7803513988767
2021-10-01,572.0,2021-11-01,586.817634088752
2021-11-01,433.0,2021-12-01,580.9779770507079
2021-12-01,519.0,2022-01-01,575.2575661597232
2022-01-01,321.0,2022-02-01,569.6527441769354
2022-02-01,429.0,2022-03-01,564.1600027387271
2022-03-01,526.0,2022-04-01,558.7759748327778
2022-04-01,430.0,2022-05-01,553.4974277268345
2022-05-01,500.0,2022-06-01,548.3212563186919
2022-06-01,490.0,2022-07-01,543.2444768783527
2022-07-01,349.0,2022-08-01,538.2642211556046
2022-08-01,406.0,2022-09-01,533.3777308283231
2022-09-01,443.0,2022-10-01,528.5823522686977
2022-10-01,376.0,2022-11-01,523.8755316063086
2022-11-01,430.0,2022-12-01,519.2548100685663
2022-12-01,217.0,2023-01-01,514.7178195804728
2023-01-01,322.0,2023-02-01,510.2622786069993
2023-02-01,135.0,2023-03-01,505.8859882225865
2023-03-01,768.0,2023-04-01,501.5868283934063
2023-04-01,527.0,2023-05-01,497.3627544590437
2023-05-01,483.0,2023-06-01,493.21179380121345
2023-06-01,448.0,2023-07-01,489.13204268799245
2023-07-01,412.0,2023-08-01,485.1216632828601
2023-08-01,334.0,2023-09-01,481.1788808085725
2023-09-01,417.0,2023-10-01,477.3019808565879
2023-10-01,406.0,2023-11-01,473.48930683338756
2023-11-01,402.0,2023-12-01,469.73925753562173
2023-12-01,397.0,2024-01-01,466.050284846551
2024-01-01,389.0,2024-02-01,462.42089154675125
2024-02-01,394.0,2024-03-01,458.8496292325139
2024-03-01,406.0,2024-04-01,455.33509633580206
2024-04-01,365.0,2024-05-01,451.87593624001863
2024-05-01,326.0,2024-06-01,448.47083548621345
2024-06-01,349.0,2024-07-01,445.11852206469644
2024-07-01,349.0,2024-08-01,441.817763787344
2024-08-01,307.0,2024-09-01,438.567366736178
2024-09-01,310.0,2024-10-01,435.36617378407516
2024-10-01,260.0,2024-11-01,432.21306318371734
,,2024-12-01,429.10694722113203
,,2025-01-01,426.0467709303962
,,2025-02-01,423.031510866279
,,2025-03-01,420.060173931796
,,2025-04-01,417.13179625782493
,,2025-05-01,414.2454421321008
,,2025-06-01,411.40020297506754
,,2025-07-01,408.59519636020667
,,2025-08-01,405.82956507660214
,,2025-09-01,403.1024762316304
,,2025-10-01,400.4131203917808
,,2025-11-01,397.76071075972794
,,2025-12-01,395.14448238588056
,,2026-01-01,392.56369141273086
,,2026-02-01,390.01761435042033
,,2026-03-01,387.50554738202663
,,2026-04-01,385.0268056971556
,,2026-05-01,382.5807228524992
,,2026-06-01,380.1666501580951
,,2026-07-01,377.7839560880855
,,2026-08-01,375.4320257148444
,,2026-09-01,373.1102601653925
,,2026-10-01,370.81807609908475
,,2026-11-01,368.55490520560187
,,2026-12-01,366.32019372233026
,,2027-01-01,364.1134019702609
,,2027-02-01,361.93400390758165
,,2027-03-01,359.78148670018055
,,2027-04-01,357.6553503083154
,,2027-05-01,355.55510708874345
,,2027-06-01,353.4802814116397
,,2027-07-01,351.4304092916653
,,2027-08-01,349.4050380325792
,,2027-09-01,347.4037258848152
,,2027-10-01,345.4260417154757
,,2027-11-01,343.47156469021854
,,2027-12-01,341.5398839665396
,,2028-01-01,339.6305983979768
,,2028-02-01,337.74331624878323
,,2028-03-01,335.8776549186398
,,2028-04-01,334.033240676997
,,2028-05-01,332.20970840665336
,,2028-06-01,330.40670135619877
,,2028-07-01,328.62387090096644
,,2028-08-01,326.86087631215247
,,2028-09-01,325.11738453378064
,,2028-10-01,323.3930699672014
,,2028-11-01,321.68761426282924
,,2028-12-01,320.0007061188371
,,2029-01-01,318.3320410865365
,,2029-02-01,316.6813213821858
,,2029-03-01,315.0482557049806
,,2029-04-01,313.43255906098835
,,2029-05-01,311.8339525928043
,,2029-06-01,310.25216341470974
,,2029-07-01,308.6869244531282
,,2029-08-01,307.1379742921811
,,2029-09-01,305.60505702415225
,,2029-10-01,304.0879221046818
,,2029-11-01,302.58632421251434
,,2029-12-01,301.1000231136346
,,2030-01-01,299.62878352963304
,,2030-02-01,298.1723750101449
,,2030-03-01,296.7305718092202
,,2030-04-01,295.3031527654799
,,2030-05-01,293.8899011859271
,,2030-06-01,292.4906047332803
,,2030-07-01,291.105055316707
,,2030-08-01,289.733048985838
,,2030-09-01,288.3743858279458
,,2030-10-01,287.02886986818027
,,2030-11-01,285.69630897275414
,,2030-12-01,284.37651475497677
,,2031-01-01,283.0693024840394
,,2031-02-01,281.77449099645816
,,2031-03-01,280.4919026100845
,,2031-04-01,279.2213630405966
,,2031-05-01,277.9627013203883
,,2031-06-01,276.715749719776
,,2031-07-01,275.4803436704462
,,2031-08-01,274.25632169106916
,,2031-09-01,273.0435253150085
,,2031-10-01,271.8417990200564
,,2031-11-01,270.65099016013033
,,2031-12-01,269.47094889886625
,,2032-01-01,268.30152814504686
,,2032-02-01,267.1425834898074
,,2032-03-01,265.9939731455606
,,2032-04-01,264.85555788658655
,,2032-05-01,263.7272009912352
,,2032-06-01,262.60876818568926
,,2032-07-01,261.5001275892405
,,2032-08-01,260.40114966102954
,,2032-09-01,259.3117071482062
,,2032-10-01,258.2316750354644
,,2032-11-01,257.16093049590955
,,2032-12-01,256.0993528432194
,,2033-01-01,255.04682348505486
,,2033-02-01,254.00322587768736
