t,q,t_model,q_model
2008-12-01,2.0,2009-02-01,8865.158396784236
2009-01-01,2680.0,2009-03-01,6221.275353087582
2009-02-01,8788.0,2009-04-01,4953.604515302036
2009-03-01,6364.0,2009-05-01,4186.166365945715
2009-04-01,5228.0,2009-06-01,3662.8309761958294
2009-05-01,4243.0,2009-07-01,3278.964493349255
2009-06-01,3438.0,2009-08-01,2983.1387070151586
2009-07-01,3190.0,2009-09-01,2746.865517574074
2009-08-01,2910.0,2009-10-01,2552.976273598351
2009-09-01,2607.0,2009-11-01,2390.452847876582
2009-10-01,2470.0,2009-12-01,2251.870829678849
2009-11-01,2306.0,2010-01-01,2132.028438241852
2009-12-01,2208.0,2010-02-01,2027.162944074752
2010-01-01,2170.0,2010-03-01,1934.4791409627042
2010-02-01,1895.0,2010-04-01,1851.8532156016897
2010-03-01,1956.0,2010-05-01,1777.6399579976203
2010-04-01,1831.0,2010-06-01,1710.5433316766087
2010-05-01,1893.0,2010-07-01,1649.5272400866436
2010-06-01,1611.0,2010-08-01,1593.7525605141361
2010-07-01,1660.0,2010-09-01,1542.5317945930544
2010-08-01,1701.0,2010-10-01,1495.2958075790061
2010-09-01,1509.0,2010-11-01,1451.5690341661787
2010-10-01,1479.0,2010-12-01,1410.950723425755
2010-11-01,1367.0,2011-01-01,1373.100563015073
2010-12-01,1420.0,2011-02-01,1337.7275268176388
2011-01-01,1575.0,2011-03-01,1304.5811277355635
2011-02-01,1364.0,2011-04-01,1273.4444875402326
2011-03-01,958.0,2011-05-01,1244.1287952490932
2011-04-01,543.0,2011-06-01,1216.4688377815842
2011-05-01,700.0,2011-07-01,1190.319366765603
2011-06-01,1060.0,2011-08-01,1165.552123268596
2011-07-01,1614.0,2011-09-01,1142.0533845733519
2011-08-01,1497.0,2011-10-01,1119.7219284304033
2011-09-01,1332.0,2011-11-01,1098.4673336104406
2011-10-01,1237.0,2011-12-01,1078.2085532229755
2011-11-01,1148.0,2012-01-01,1058.872710694243
2011-12-01,1147.0,2012-02-01,1040.3940786018184
2012-01-01,1061.0,2012-03-01,1022.7132085344538
2012-02-01,924.0,2012-04-01,1005.7761863576756
2012-03-01,947.0,2012-05-01,989.5339921410094
2012-04-01,890.0,2012-06-01,973.941947854429
2012-05-01,880.0,2012-07-01,958.9592390038167
2012-06-01,853.0,2012-08-01,944.548498824269
2012-07-01,920.0,2012-09-01,930.6754456198477
