t,q,t_model,q_model
2018-08-01,1657.0,2018-10-01,1540.0087243219364
2018-09-01,1867.0,2018-11-01,1111.0317330090488
2018-10-01,1540.0,2018-12-01,880.8395154490142
2018-11-01,1037.0,2019-01-01,735.5179427464657
2018-12-01,971.0,2019-02-01,634.6967617417652
2019-01-01,864.0,2019-03-01,560.2786503642601
2019-02-01,635.0,2019-04-01,502.88513407357203
2019-03-01,500.0,2019-05-01,457.1481216874367
2019-04-01,434.0,2019-06-01,419.76313883021743
2019-05-01,464.0,2019-07-01,388.5795210394336
2019-06-01,391.0,2019-08-01,362.13447030227456
2019-07-01,365.0,2019-09-01,339.3968026407996
2019-08-01,374.0,2019-10-01,319.6177214704774
2019-09-01,429.0,2019-11-01,302.2397342646031
2019-10-01,301.0,2019-12-01,286.8388266812354
2019-11-01,279.0,2020-01-01,273.0865018631169
2019-12-01,258.0,2020-02-01,260.72413230407614
2020-01-01,275.0,2020-03-01,249.54519073854658
2020-02-01,243.0,2020-04-01,239.38266547452972
2020-03-01,230.0,2020-05-01,230.09997192429836
2020-04-01,125.0,2020-06-01,221.58427380719948
2020-05-01,364.0,2020-07-01,213.74149784990993
2020-06-01,198.0,2020-08-01,206.492559712833
2020-07-01,300.0,2020-09-01,199.77047005814666
2020-08-01,104.0,2020-10-01,193.5180894605204
2020-09-01,194.0,2020-11-01,187.686367982192
2020-10-01,180.0,2020-12-01,182.23295117006168
2020-11-01,82.0,2021-01-01,177.12106617156397
2020-12-01,121.0,2021-02-01,172.31862419858777
2021-01-01,113.0,2021-03-01,167.79749167971593
2021-02-01,45.0,2021-04-01,163.532894104486
2021-03-01,68.0,2021-05-01,159.5029251048488
2021-04-01,325.0,2021-06-01,155.68813964159872
2021-05-01,149.0,2021-07-01,152.07121489072037
2021-06-01,173.0,2021-08-01,148.63666599214696
2021-07-01,134.0,2021-09-01,145.37060653952622
2021-08-01,223.0,2021-10-01,142.26054577455005
2021-09-01,80.0,2021-11-01,139.29521606233354
2021-10-01,0.0,2021-12-01,136.46442548124173
2021-11-01,216.0,2022-01-01,133.75893134682173
2021-12-01,1.0,2022-02-01,131.17033126845138
2022-01-01,41.0,2022-03-01,128.6909689563533
2022-02-01,348.0,2022-04-01,126.31385249146709
2022-03-01,269.0,2022-05-01,124.03258316845094
2022-04-01,135.0,2022-06-01,121.84129334353695
2022-05-01,133.0,2022-07-01,119.7345919800469
2022-06-01,133.0,2022-08-01,117.70751679745649
2022-07-01,209.0,2022-09-01,115.75549210459374
2022-08-01,15.0,2022-10-01,113.87429154142207
2022-09-01,175.0,2022-11-01,112.06000507282887
2022-10-01,212.0,2022-12-01,110.30900967661933
2022-11-01,119.0,2023-01-01,108.6179432502484
2022-12-01,165.0,2023-02-01,106.98368132970332
2023-01-01,147.0,2023-03-01,105.40331627177578
2023-02-01,137.0,2023-04-01,103.87413859968073
2023-03-01,142.0,2023-05-01,102.39362025315224
2023-04-01,120.0,2023-06-01,100.95939951905916
2023-05-01,110.0,2023-07-01,99.56926744827375
2023-06-01,97.0,2023-08-01,98.22115558984989
2023-07-01,101.0,2023-09-01,96.91312489523068
2023-08-01,122.0,2023-10-01,95.64335566378345
2023-09-01,112.0,2023-11-01,94.4101384169381
2023-10-01,106.0,2023-12-01,93.21186560197971
2023-11-01,143.0,2024-01-01,92.04702403845182
2023-12-01,128.0,2024-02-01,90.91418803044093
2024-01-01,106.0,2024-03-01,89.81201307696868
2024-02-01,69.0,2024-04-01,88.73923012051291
2024-03-01,104.0,2024-05-01,87.69464028047595
2024-04-01,33.0,2024-06-01,86.67711002436005
2024-05-01,27.0,2024-07-01,85.68556673461312
2024-06-01,133.0,2024-08-01,84.71899463367251
2024-07-01,67.0,2024-09-01,83.77643103375014
2024-08-01,102.0,2024-10-01,82.85696288143569
,,2024-11-01,81.95972357031634
,,2024-12-01,81.0838899975676
,,2025-01-01,80.22867984291186
,,2025-02-01,79.39334905050787
,,2025-03-01,78.5771894962565
,,2025-04-01,77.7795268247214
,,2025-05-01,76.99971844138769
,,2025-06-01,76.23715164734331
,,2025-07-01,75.49124190468432
,,2025-08-01,74.76143122203428
,,2025-09-01,74.04718665054396
,,2025-10-01,73.34799888161298
,,2025-11-01,72.66338093836265
,,2025-12-01,71.99286695359697
,,2026-01-01,71.33601102762704
,,2026-02-01,70.6923861599093
,,2026-03-01,70.06158324896833
,,2026-04-01,69.44321015554397
,,2026-05-01,68.83689082432866
,,2026-06-01,68.24226446004593
,,2026-07-01,67.6589847539707
,,2026-08-01,67.08671915730942
,,2026-09-01,66.52514819814738
,,2026-10-01,65.97396483893212
,,2026-11-01,65.4328738717024
,,2026-12-01,64.90159134848945
,,2027-01-01,64.3798440445166
,,2027-02-01,63.86736895200597
,,2027-03-01,63.363912802565885
,,2027-04-01,62.86923161628653
,,2027-05-01,62.383090275809494
,,2027-06-01,61.905262123765475
,,2027-07-01,61.43552858209159
,,2027-08-01,60.97367879184712
,,2027-09-01,60.519509272246225
,,2027-10-01,60.07282359771656
,,2027-11-01,59.633432091877005
,,2027-12-01,59.20115153740489
,,2028-01-01,58.77580490083426
,,2028-02-01,58.35722107139236
,,2028-03-01,57.94523461304253
,,2028-04-01,57.53968552895735
,,2028-05-01,57.140419037697995
,,2028-06-01,56.747285360423646
,,2028-07-01,56.360139518499096
,,2028-08-01,55.97884114091018
,,2028-09-01,55.60325428093436
,,2028-10-01,55.23324724154952
,,2028-11-01,54.868692409096774
,,2028-12-01,54.50946609474353
,,2029-01-01,54.15544838332172
,,2029-02-01,53.806522989141925
,,2029-03-01,53.46257711840937
,,2029-04-01,53.1235013378901
,,2029-05-01,52.78918944949705
,,2029-06-01,52.4595383704859
,,2029-07-01,52.1344480189686
,,2029-08-01,51.81382120447016
,,2029-09-01,51.49756352327026
,,2029-10-01,51.1855832582863
,,2029-11-01,50.87779128326856
,,2029-12-01,50.57410097109153
,,2030-01-01,50.274428105937524
,,2030-02-01,49.978690799180406
,,2030-03-01,49.68680940878801
,,2030-04-01,49.39870646207192
,,2030-05-01,49.114306581622905
,,2030-06-01,48.83353641427908
,,2030-07-01,48.55632456298222
,,2030-08-01,48.2826015213856
,,2030-09-01,48.012299611084
,,2030-10-01,47.74535292134354
,,2030-11-01,47.481697251215344
,,2030-12-01,47.22127005392344
,,2031-01-01,46.964010383422625
,,2031-02-01,46.709858843027966
,,2031-03-01,46.45875753602234
,,2031-04-01,46.21065001815321
,,2031-05-01,45.96548125193473
,,2031-06-01,45.72319756267509
,,2031-07-01,45.48374659615329
,,2031-08-01,45.24707727787342
,,2031-09-01,45.01313977382777
,,2031-10-01,44.78188545270388
,,2031-11-01,44.553266849473495
,,2031-12-01,44.32723763030465
,,2032-01-01,44.1037525587409
,,2032-02-01,43.882767463094304
,,2032-03-01,43.664239205001515
,,2032-04-01,43.448125649094585
,,2032-05-01,43.23438563374044
,,2032-06-01,43.02297894280526
,,2032-07-01,42.813866278401775
,,2032-08-01,42.607009234579756
,,2032-09-01,42.40237027192154
,,2032-10-01,42.199912693006496
,,2032-11-01,41.99960061870959
,,2032-12-01,41.801398965301146
