t,q,t_model,q_model
2011-08-01,15481.0,2012-03-01,6610.237239049318
2011-09-01,17676.0,2012-04-01,5871.8233992197465
2011-10-01,12141.0,2012-05-01,5261.0763974129895
2011-11-01,9521.0,2012-06-01,4749.121575216583
2011-12-01,5915.0,2012-07-01,4314.966621248405
2012-01-01,9319.0,2012-08-01,3943.023020246289
2012-02-01,5453.0,2012-09-01,3621.498506986552
2012-03-01,6882.0,2012-10-01,3341.325539042722
2012-04-01,5513.0,2012-11-01,3095.4296674324714
2012-05-01,5090.0,2012-12-01,2878.219212928145
2012-06-01,4555.0,2013-01-01,2685.2224580096126
2012-07-01,4395.0,2013-02-01,2512.825257425209
2012-08-01,4113.0,2013-03-01,2358.078313297808
2012-09-01,3707.0,2013-04-01,2218.55361480909
2012-10-01,3608.0,2013-05-01,2092.2361201337785
2012-11-01,3312.0,2013-06-01,1977.441063227903
2012-12-01,3331.0,2013-07-01,1872.7501376757643
2013-01-01,3173.0,2013-08-01,1776.961755017192
2013-02-01,2784.0,2013-09-01,1689.0519140984768
2013-03-01,1608.0,2013-10-01,1608.1431530950397
2013-04-01,877.0,2013-11-01,1533.4797175053066
2013-05-01,1502.0,2013-12-01,1464.4075513490345
2013-06-01,1824.0,2014-01-01,1400.3580621704295
2013-07-01,2059.0,2014-02-01,1340.83486187954
2013-08-01,1987.0,2014-03-01,1285.402871421916
2013-09-01,1394.0,2014-04-01,1233.6793160876935
2013-10-01,1715.0,2014-05-01,1185.3262428179723
2013-11-01,1841.0,2014-06-01,1140.0442702538148
2013-12-01,1668.0,2014-07-01,1097.5673430274048
2014-01-01,1526.0,2014-08-01,1057.6583086326941
2014-02-01,1440.0,2014-09-01,1020.1051715742227
2014-03-01,1555.0,2014-10-01,984.7179079078963
2014-04-01,1710.0,2014-11-01,951.3257456323537
2014-05-01,759.0,2014-12-01,919.7748340657591
2014-06-01,1630.0,2015-01-01,889.9262394052863
2014-07-01,2349.0,2015-02-01,861.6542149144713
2014-08-01,1652.0,2015-03-01,834.8447032267528
2014-09-01,1625.0,2015-04-01,809.3940355598318
2014-10-01,1577.0,2015-05-01,785.2077985663132
2014-11-01,1477.0,2015-06-01,762.1998443820804
2014-12-01,334.0,2015-07-01,740.2914233940876
2015-01-01,0.0,2015-08-01,719.4104225057296
2015-02-01,377.0,2015-09-01,699.4906943663545
2015-03-01,511.0,2015-10-01,680.4714652593358
2015-04-01,517.0,2015-11-01,662.2968111961111
2015-05-01,559.0,2015-12-01,644.9151933101606
2015-06-01,476.0,2016-01-01,628.2790449401515
2015-07-01,569.0,2016-02-01,612.3444038797221
2015-08-01,467.0,2016-03-01,597.0705841886376
2015-09-01,543.0,2016-04-01,582.4198827354721
2015-10-01,495.0,2016-05-01,568.357316299465
2015-11-01,487.0,2016-06-01,554.850385618219
2015-12-01,521.0,2016-07-01,541.8688632445444
2016-01-01,494.0,2016-08-01,529.3846024831884
2016-02-01,445.0,2016-09-01,517.3713650273758
2016-03-01,496.0,2016-10-01,505.8046652150941
2016-04-01,429.0,2016-11-01,494.6616290834049
2016-05-01,412.0,2016-12-01,483.92086662208726
2016-06-01,393.0,2017-01-01,473.5623558208534
2016-07-01,451.0,2017-02-01,463.5673372716555
2016-08-01,453.0,2017-03-01,453.9182182329486
2016-09-01,444.0,2017-04-01,444.5984851893127
2016-10-01,395.0,2017-05-01,435.5926240502289
2016-11-01,468.0,2017-06-01,426.8860472282928
2016-12-01,387.0,2017-07-01,418.46502692164563
2017-01-01,378.0,2017-08-01,410.31663399953004
2017-02-01,361.0,2017-09-01,402.42868195503246
2017-03-01,403.0,2017-10-01,394.78967544642745
2017-04-01,362.0,2017-11-01,387.3887629991283
2017-05-01,380.0,2017-12-01,380.2156934849262
2017-06-01,357.0,2018-01-01,373.2607760347348
2017-07-01,324.0,2018-02-01,366.5148430760879
2017-08-01,347.0,2018-03-01,359.96921621772583
2017-09-01,359.0,2018-04-01,353.61567473123944
2017-10-01,362.0,2018-05-01,347.44642640433284
2017-11-01,344.0,2018-06-01,341.45408056218946
2017-12-01,343.0,2018-07-01,335.6316230729911
2018-01-01,349.0,2018-08-01,329.97239317112866
2018-02-01,327.0,2018-09-01,324.47006194729227
2018-03-01,337.0,2018-10-01,319.11861236865303
2018-04-01,342.0,2018-11-01,313.91232070493083
2018-05-01,324.0,2018-12-01,308.8457392474469
2018-06-01,314.0,2019-01-01,303.91368021842237
2018-07-01,322.0,2019-02-01,299.1112007769398
2018-08-01,305.0,2019-03-01,294.4335890362373
2018-09-01,291.0,2019-04-01,289.87635101444647
2018-10-01,317.0,2019-05-01,285.4351984476203
2018-11-01,287.0,2019-06-01,281.1060373999759
2018-12-01,305.0,2019-07-01,276.884957611791
2019-01-01,324.0,2019-08-01,272.76822253038165
2019-02-01,246.0,2019-09-01,268.7522599741239
2019-03-01,233.0,2019-10-01,264.83365338359073
2019-04-01,238.0,2019-11-01,261.00913361761883
2019-05-01,282.0,2019-12-01,257.27557125551976
2019-06-01,240.0,2020-01-01,253.6299693697505
2019-07-01,301.0,2020-02-01,250.0694567361818
2019-08-01,332.0,2020-03-01,246.59128145168006
2019-09-01,319.0,2020-04-01,243.19280493107183
2019-10-01,323.0,2020-05-01,239.87149625771056
2019-11-01,279.0,2020-06-01,236.62492686383334
2019-12-01,320.0,2020-07-01,233.4507655186946
2020-01-01,272.0,2020-08-01,230.34677360411663
2020-02-01,254.0,2020-09-01,227.3108006586066
2020-03-01,311.0,2020-10-01,224.34078017258207
2020-04-01,323.0,2020-11-01,221.4347256185181
2020-05-01,286.0,2020-12-01,218.5907267010047
2020-06-01,276.0,2021-01-01,215.80694581278007
2020-07-01,269.0,2021-02-01,213.0816146837948
2020-08-01,188.0,2021-03-01,210.41303121128178
2020-09-01,335.0,2021-04-01,207.7995564596419
2020-10-01,310.0,2021-05-01,205.23961181973976
2020-11-01,269.0,2021-06-01,202.73167631791412
2020-12-01,284.0,2021-07-01,200.27428406567557
2021-01-01,310.0,2021-08-01,197.8660218416731
2021-02-01,216.0,2021-09-01,195.50552679807788
2021-03-01,221.0,2021-10-01,193.19148428405774
2021-04-01,226.0,2021-11-01,190.92262577949953
2021-05-01,238.0,2021-12-01,188.69772693258702
2021-06-01,207.0,2022-01-01,186.51560569525844
2021-07-01,224.0,2022-02-01,184.37512055095473
2021-08-01,209.0,2022-03-01,182.2751688294282
2021-09-01,218.0,2022-04-01,180.2146851037145
2021-10-01,252.0,2022-05-01,178.19263966468148
2021-11-01,219.0,2022-06-01,176.2080370688552
2021-12-01,273.0,2022-07-01,174.25991475549247
2022-01-01,236.0,2022-08-01,172.3473417291186
2022-02-01,223.0,2022-09-01,170.46941730398026
2022-03-01,235.0,2022-10-01,168.62526990708193
2022-04-01,223.0,2022-11-01,166.81405593667344
2022-05-01,243.0,2022-12-01,165.03495867324781
2022-06-01,196.0,2023-01-01,163.28718724028076
2022-07-01,212.0,2023-02-01,161.5699756121098
2022-08-01,152.0,2023-03-01,159.88258166650377
