t,q,t_model,q_model
2014-09-01,639.0,2017-05-01,109.4023234539354
2014-10-01,6.0,2017-06-01,87.22269755659498
2014-11-01,12.0,2017-07-01,70.22342523312678
2014-12-01,44.0,2017-08-01,57.04690959916033
2015-01-01,269.0,2017-09-01,46.727218215203045
2015-02-01,237.0,2017-10-01,38.567461405674145
2015-03-01,292.0,2017-11-01,32.05837095112959
2015-04-01,215.0,2017-12-01,26.82335353240086
2015-05-01,176.0,2018-01-01,22.580851908603577
2015-06-01,0.0,2018-02-01,19.118202472810406
2015-07-01,0.0,2018-03-01,16.273242625051328
2015-08-01,0.0,2018-04-01,13.921214560069027
2015-09-01,0.0,2018-05-01,11.965335363750905
2015-10-01,0.0,2018-06-01,10.329935546557525
2015-11-01,0.0,2018-07-01,8.955417163683487
2015-12-01,19.0,2018-08-01,7.794514628330094
2016-01-01,45.0,2018-09-01,6.8094974261282175
2016-02-01,52.0,2018-10-01,5.970060237268564
2016-03-01,42.0,2018-11-01,5.251719165591512
2016-04-01,40.0,2018-12-01,4.634583701864864
2016-05-01,57.0,2019-01-01,4.102409836956101
2016-06-01,544.0,2019-02-01,3.64186512684397
2016-07-01,391.0,2019-03-01,3.2419546795350485
2016-08-01,269.0,2019-04-01,2.893570146364837
2016-09-01,229.0,2019-05-01,2.5891333398755307
2016-10-01,233.0,2019-06-01,2.3223130940525962
2016-11-01,198.0,2019-07-01,2.0877991471190858
2016-12-01,158.0,2019-08-01,1.881120667285455
2017-01-01,171.0,2019-09-01,1.6984999163505643
2017-02-01,155.0,2019-10-01,1.536733711359057
2017-03-01,123.0,2019-11-01,1.3930969855235467
2017-04-01,103.0,2019-12-01,1.2652640005118725
2017-05-01,113.0,2020-01-01,1.1512437210418536
2017-06-01,77.0,2020-02-01,1.0493266016402538
2017-07-01,75.0,2020-03-01,0.9580406077821738
2017-08-01,59.0,2020-04-01,0.8761147391656241
2017-09-01,50.0,2020-05-01,0.8024486713431487
2017-10-01,44.0,2020-06-01,0.7360874057249531
2017-11-01,30.0,2020-07-01,0.6762000340368938
2017-12-01,9.0,2020-08-01,0.6220618945565614
2018-01-01,28.0,2020-09-01,0.5730395337189343
2018-02-01,23.0,2020-10-01,0.5285779955509385
2018-03-01,21.0,2020-11-01,0.48819004870381055
2018-04-01,11.0,2020-12-01,0.45144703113110113
,,2021-01-01,0.4179710492325803
,,2021-02-01,0.38742831430441627
,,2021-03-01,0.35952343656510427
,,2021-04-01,0.33399452756705017
,,2021-05-01,0.31060898680161764
,,2021-06-01,0.28915986882895806
,,2021-07-01,0.26946274416371435
,,2021-08-01,0.2513529811034121
,,2021-09-01,0.23468338724298712
,,2021-10-01,0.21932215901471083
,,2021-11-01,0.2051510955813911
,,2021-12-01,0.19206404007831296
,,2022-01-01,0.1799655167782019
,,2022-02-01,0.16876953743260995
,,2022-03-01,0.15839855397685446
,,2022-04-01,0.14878253810029957
,,2022-05-01,0.13985817098300063
,,2022-06-01,0.13156812886882488
,,2022-07-01,0.12386045215445006
,,2022-08-01,0.11668798738128926
,,2022-09-01,0.11000789297160009
,,2022-10-01,0.10378120079085065
,,2022-11-01,0.09797242667917863
,,2022-12-01,0.09254922400331131
,,2023-01-01,0.08748207505988731
,,2023-02-01,0.082744015831225
,,2023-03-01,0.07831039017159755
,,2023-04-01,0.07415862999977893
,,2023-05-01,0.07026805850363037
,,2023-06-01,0.06661971373461789
,,2023-07-01,0.0631961902926928
,,2023-08-01,0.05998149708197015
,,2023-09-01,0.05696092936108344
,,2023-10-01,0.05412095352406705
,,2023-11-01,0.051449103232458646
,,2023-12-01,0.048933885680726326
,,2024-01-01,0.04656469691827379
,,2024-02-01,0.04433174527487619
,,2024-03-01,0.0422259820447755
,,2024-04-01,0.04023903867982068
,,2024-05-01,0.03836316982568761
,,2024-06-01,0.03659120160885074
,,2024-07-01,0.03491648464687238
,,2024-08-01,0.033332851311840654
,,2024-09-01,0.03183457682737696
,,2024-10-01,0.030416343824380535
,,2024-11-01,0.029073210020299542
,,2024-12-01,0.027800578721845236
,,2025-01-01,0.02659417188223731
,,2025-02-01,0.025450005471765985
,,2025-03-01,0.024364366945086938
,,2025-04-01,0.023333794610597394
,,2025-05-01,0.022355058726785674
,,2025-06-01,0.02142514416788499
,,2025-07-01,0.020541234516733176
,,2025-08-01,0.019700697456659887
,,2025-09-01,0.018901071346678018
,,2025-10-01,0.018140052875409214
,,2025-11-01,0.017415485699173658
,,2025-12-01,0.016725349978644718
,,2026-01-01,0.016067752736526917
,,2026-02-01,0.015440918965956648
,,2026-03-01,0.014843183425840819
,,2026-04-01,0.014272983065213745
,,2026-05-01,0.013728850023979456
,,2026-06-01,0.013209405162173267
,,2026-07-01,0.01271335207418034
,,2026-08-01,0.012239471548235627
