t,q,t_model,q_model
2011-04-01,6830.0,2011-07-01,13255.313236160868
2011-05-01,15068.0,2011-08-01,9536.612419596446
2011-06-01,8043.0,2011-09-01,7536.845320528574
2011-07-01,13060.0,2011-10-01,6274.752144308784
2011-08-01,9732.0,2011-11-01,5400.082410137873
2011-09-01,7634.0,2011-12-01,4755.344989646309
2011-10-01,6625.0,2012-01-01,4258.816459669279
2011-11-01,5950.0,2012-02-01,3863.6983811077503
2011-12-01,5053.0,2012-03-01,3541.183305880142
2012-01-01,4992.0,2012-04-01,3272.5279349414036
2012-02-01,4186.0,2012-05-01,3044.989709416304
2012-03-01,2251.0,2012-06-01,2849.59096218521
2012-04-01,1725.0,2012-07-01,2679.816613093574
2012-05-01,2504.0,2012-08-01,2530.8192707103135
2012-06-01,2573.0,2012-09-01,2398.9146392090665
2012-07-01,2462.0,2012-10-01,2281.25034352632
2012-08-01,2278.0,2012-11-01,2175.5822363811317
2012-09-01,1451.0,2012-12-01,2080.119476060347
2012-10-01,2294.0,2013-01-01,1993.4148469712645
2012-11-01,2120.0,2013-02-01,1914.28558276203
2012-12-01,2129.0,2013-03-01,1841.755206648206
2013-01-01,2087.0,2013-04-01,1775.0101378291693
2013-02-01,1640.0,2013-05-01,1713.3668553909233
2013-03-01,1678.0,2013-06-01,1656.246731143491
2013-04-01,2228.0,2013-07-01,1603.156513958266
2013-05-01,2071.0,2013-08-01,1553.6730340180354
2013-06-01,1852.0,2013-09-01,1507.431096249288
2013-07-01,1796.0,2013-10-01,1464.1138108564421
2013-08-01,1791.0,2013-11-01,1423.4448054121206
2013-09-01,1625.0,2013-12-01,1385.1819034455611
2013-10-01,1683.0,2014-01-01,1349.1119561489757
2013-11-01,1570.0,2014-02-01,1315.0465882625938
2013-12-01,1567.0,2014-03-01,1282.8186742863707
2014-01-01,1523.0,2014-04-01,1252.2794023411213
2014-02-01,1328.0,2014-05-01,1223.295814066968
2014-03-01,1483.0,2014-06-01,1195.7487325909697
2014-04-01,1335.0,2014-07-01,1169.5310087402265
2014-05-01,794.0,2014-08-01,1144.5460297091588
2014-06-01,1468.0,2014-09-01,1120.706445321435
2014-07-01,1770.0,2014-10-01,1097.9330756023148
2014-08-01,1568.0,2014-11-01,1076.1539701479514
2014-09-01,1588.0,2014-12-01,1055.3035951573538
2014-10-01,1410.0,2015-01-01,1035.322128291438
2014-11-01,1246.0,2015-02-01,1016.1548449780671
2014-12-01,1207.0,2015-03-01,997.7515825727872
2015-01-01,1166.0,2015-04-01,980.0662710510267
2015-02-01,997.0,2015-05-01,963.0565207563653
2015-03-01,970.0,2015-06-01,946.6832592448918
2015-04-01,1032.0,2015-07-01,930.9104105132421
2015-05-01,1166.0,2015-08-01,915.7046109293085
2015-06-01,1161.0,2015-09-01,901.0349570407336
2015-07-01,1127.0,2015-10-01,886.8727811496874
2015-08-01,1072.0,2015-11-01,873.1914511390601
2015-09-01,850.0,2015-12-01,859.9661915359939
2015-10-01,807.0,2016-01-01,847.1739232204259
2015-11-01,313.0,2016-02-01,834.7931195427013
2015-12-01,904.0,2016-03-01,822.8036769163905
2016-01-01,887.0,2016-04-01,811.1867982092858
2016-02-01,737.0,2016-05-01,799.9248874745692
2016-03-01,978.0,2016-06-01,789.0014547514285
2016-04-01,539.0,2016-07-01,778.4010298249992
2016-05-01,323.0,2016-08-01,768.1090839735803
2016-06-01,153.0,2016-09-01,758.1119588500801
2016-07-01,191.0,2016-10-01,748.3968017474842
2016-08-01,0.0,2016-11-01,738.951506587199
2016-09-01,470.0,2016-12-01,729.7646600464435
2016-10-01,899.0,2017-01-01,720.8254923081378
2016-11-01,880.0,2017-02-01,712.1238319753899
2016-12-01,885.0,2017-03-01,703.6500647439414
2017-01-01,922.0,2017-04-01,695.3950954708027
2017-02-01,670.0,2017-05-01,687.350313316681
2017-03-01,769.0,2017-06-01,679.5075596744083
2017-04-01,703.0,2017-07-01,671.859098626043
2017-05-01,635.0,2017-08-01,664.3975896982092
2017-06-01,611.0,2017-09-01,657.1160627089856
2017-07-01,299.0,2017-10-01,650.0078945206958
2017-08-01,661.0,2017-11-01,643.0667875315928
2017-09-01,654.0,2017-12-01,636.2867497559985
2017-10-01,676.0,2018-01-01,629.6620763571916
2017-11-01,675.0,2018-02-01,623.1873325104608
2017-12-01,684.0,2018-03-01,616.8573374854586
2018-01-01,682.0,2018-04-01,610.6671498474506
2018-02-01,642.0,2018-05-01,604.6120536864233
2018-03-01,438.0,2018-06-01,598.6875457914043
2018-04-01,481.0,2018-07-01,592.8893236948769
2018-05-01,531.0,2018-08-01,587.2132745189377
2018-06-01,384.0,2018-09-01,581.6554645609286
2018-07-01,388.0,2018-10-01,576.2121295617598
2018-08-01,583.0,2018-11-01,570.8796656050794
2018-09-01,440.0,2018-12-01,565.6546205999124
2018-10-01,289.0,2019-01-01,560.533686303424
2018-11-01,580.0,2019-02-01,555.5136908441146
2018-12-01,673.0,2019-03-01,550.5915917090631
2019-01-01,696.0,2019-04-01,545.764469161833
2019-02-01,575.0,2019-05-01,541.0295200603836
2019-03-01,601.0,2019-06-01,536.3840520468032
2019-04-01,546.0,2019-07-01,531.8254780829315
2019-05-01,477.0,2019-08-01,527.3513113079985
2019-06-01,420.0,2019-09-01,522.9591601962678
