t,q,t_model,q_model
2011-10-01,2194.0,2012-03-01,6044.66377474188
2011-11-01,16148.0,2012-04-01,5195.804493929394
2011-12-01,11442.0,2012-05-01,4577.97882661584
2012-01-01,7656.0,2012-06-01,4105.941493754204
2012-02-01,5526.0,2012-07-01,3732.2194643617354
2012-03-01,6514.0,2012-08-01,3428.162471988481
2012-04-01,4781.0,2012-09-01,3175.399226511906
2012-05-01,4410.0,2012-10-01,2961.5771790890612
2012-06-01,3926.0,2012-11-01,2778.0673790455976
2012-07-01,3635.0,2012-12-01,2618.649617219717
2012-08-01,3349.0,2013-01-01,2478.7204588974014
2012-09-01,3009.0,2013-02-01,2354.795922238058
2012-10-01,2939.0,2013-03-01,2244.1879780762733
2012-11-01,2751.0,2013-04-01,2144.7876630722253
2012-12-01,2722.0,2013-05-01,2054.9158106789228
2013-01-01,2681.0,2013-06-01,1973.2179349233202
2013-02-01,2208.0,2013-07-01,1898.5886917039206
2013-03-01,2313.0,2013-08-01,1830.116607502197
2013-04-01,2277.0,2013-09-01,1767.0429792301395
2013-05-01,2195.0,2013-10-01,1708.7308638742754
2013-06-01,1629.0,2013-11-01,1654.6413705410487
2013-07-01,1797.0,2013-12-01,1604.3153165933334
2013-08-01,1829.0,2014-01-01,1557.3588777446007
2013-09-01,1768.0,2014-02-01,1513.4322490111476
2013-10-01,1731.0,2014-03-01,1472.240601391319
2013-11-01,1751.0,2014-04-01,1433.5268074650091
2013-12-01,1642.0,2014-05-01,1397.0655432922606
2014-01-01,1667.0,2014-06-01,1362.658470823844
2014-02-01,1433.0,2014-07-01,1330.1302757451535
2014-03-01,1556.0,2014-08-01,1299.3253878752823
2014-04-01,1491.0,2014-09-01,1270.1052501759548
2014-05-01,1553.0,2014-10-01,1242.3460317409006
2014-06-01,1437.0,2014-11-01,1215.9367024089954
2014-07-01,1431.0,2014-12-01,1190.7774037088072
2014-08-01,765.0,2015-01-01,1166.7780640196227
2014-09-01,1530.0,2015-02-01,1143.8572160858694
2014-10-01,2211.0,2015-03-01,1121.940983053803
2014-11-01,1702.0,2015-04-01,1100.9622055339353
2014-12-01,1474.0,2015-05-01,1080.8596872201215
2015-01-01,1484.0,2015-06-01,1061.5775406100888
2015-02-01,1228.0,2015-07-01,1043.064617594952
2015-03-01,1349.0,2015-08-01,1025.274012286851
2015-04-01,1056.0,2015-09-01,1008.1626255647172
2015-05-01,1341.0,2015-10-01,991.6907825392975
2015-06-01,1169.0,2015-11-01,975.8218955484421
2015-07-01,1134.0,2015-12-01,960.5221664537153
2015-08-01,1053.0,2016-01-01,945.7603229679754
2015-09-01,1056.0,2016-02-01,931.5073845388836
2015-10-01,571.0,2016-03-01,917.7364539757597
2015-11-01,1201.0,2016-04-01,904.4225315610356
2015-12-01,1061.0,2016-05-01,891.5423488522717
2016-01-01,992.0,2016-06-01,879.0742197719549
2016-02-01,902.0,2016-07-01,866.9979069128256
2016-03-01,931.0,2016-08-01,855.2945012665755
2016-04-01,853.0,2016-09-01,843.9463138218584
2016-05-01,864.0,2016-10-01,832.9367776805618
2016-06-01,796.0,2016-11-01,822.2503595148446
2016-07-01,835.0,2016-12-01,811.8724793362641
2016-08-01,839.0,2017-01-01,801.7894376762398
2016-09-01,737.0,2017-02-01,791.9883493873506
2016-10-01,902.0,2017-03-01,782.4570833702239
2016-11-01,776.0,2017-04-01,773.1842076132779
2016-12-01,805.0,2017-05-01,764.1589390041925
2017-01-01,765.0,2017-06-01,755.3710974342979
2017-02-01,692.0,2017-07-01,746.8110637714013
2017-03-01,747.0,2017-08-01,738.469741324043
2017-04-01,721.0,2017-09-01,730.3385204617429
