t,q,t_model,q_model
2004-01-01,0.0,2005-08-01,16393.51873798138
2004-02-01,0.0,2005-09-01,9872.41218918983
2004-03-01,0.0,2005-10-01,7179.746078952236
2004-04-01,0.0,2005-11-01,5689.015297788764
2004-05-01,0.0,2005-12-01,4735.308167519564
2004-06-01,0.0,2006-01-01,4069.6392225801114
2004-07-01,0.0,2006-02-01,3577.0545805650027
2004-08-01,0.0,2006-03-01,3196.915298544895
2004-09-01,0.0,2006-04-01,2894.1139548083047
2004-10-01,0.0,2006-05-01,2646.8736704230755
2004-11-01,0.0,2006-06-01,2440.9473493996484
2004-12-01,0.0,2006-07-01,2266.60998972717
2005-01-01,0.0,2006-08-01,2116.9893500005255
2005-02-01,0.0,2006-09-01,1987.087069032679
2005-03-01,0.0,2006-10-01,1873.1780015944503
2005-04-01,0.0,2006-11-01,1772.4273005414009
2005-05-01,0.0,2006-12-01,1682.6382350695121
2005-06-01,7764.0,2007-01-01,1602.0813759122439
2005-07-01,12148.0,2007-02-01,1529.3760225201404
2005-08-01,15725.0,2007-03-01,1463.4060985995031
2005-09-01,11989.0,2007-04-01,1403.2593426600802
2005-10-01,8424.0,2007-05-01,1348.1825824807706
2005-11-01,5046.0,2007-06-01,1297.5483293095112
2005-12-01,4143.0,2007-07-01,1250.8294773965156
2006-01-01,3313.0,2007-08-01,1207.5798985934941
2006-02-01,2628.0,2007-09-01,1167.419385846889
2006-03-01,2529.0,2007-10-01,1130.0218468909466
2006-04-01,1937.0,2007-11-01,1095.1059561413438
2006-05-01,2310.0,2007-12-01,1062.4276862996949
2006-06-01,2211.0,2008-01-01,1031.774291965335
2006-07-01,1900.0,2008-02-01,1002.9594254599452
2006-08-01,1782.0,2008-03-01,975.8191432482479
2006-09-01,1705.0,2008-04-01,950.2086186248138
2006-10-01,1543.0,2008-05-01,925.9994187631804
2006-11-01,1515.0,2008-06-01,903.0772359566513
2006-12-01,1558.0,2008-07-01,881.3399868363623
2007-01-01,1431.0,2008-08-01,860.6962115951911
2007-02-01,1261.0,2008-09-01,841.0637192523325
2007-03-01,1311.0,2008-10-01,822.3684358297392
2007-04-01,1212.0,2008-11-01,804.5434207565978
2007-05-01,1258.0,2008-12-01,787.528023444519
2007-06-01,1177.0,2009-01-01,771.2671572095719
2007-07-01,1124.0,2009-02-01,755.7106718760159
2007-08-01,1092.0,2009-03-01,740.8128097205853
2007-09-01,1101.0,2009-04-01,726.5317320877901
2007-10-01,1149.0,2009-05-01,712.8291061652861
2007-11-01,1100.0,2009-06-01,699.6697431612457
2007-12-01,1125.0,2009-07-01,687.0212805559103
2008-01-01,1081.0,2009-08-01,674.8539022718659
2008-02-01,1015.0,2009-09-01,663.1400915727561
2008-03-01,1015.0,2009-10-01,651.8544122980929
2008-04-01,1026.0,2009-11-01,640.9733147041534
2008-05-01,1056.0,2009-12-01,630.4749627328337
2008-06-01,976.0,2010-01-01,620.3390799918893
2008-07-01,985.0,2010-02-01,610.5468121173582
2008-08-01,998.0,2010-03-01,601.0806035151936
2008-09-01,922.0,2010-04-01,591.9240867547649
2008-10-01,869.0,2010-05-01,583.061983120498
2008-11-01,803.0,2010-06-01,574.4800130265376
2008-12-01,964.0,2010-07-01,566.1648151686538
2009-01-01,903.0,2010-08-01,558.1038734324078
2009-02-01,746.0,2010-09-01,550.2854507007337
2009-03-01,840.0,2010-10-01,542.6985288108125
2009-04-01,782.0,2010-11-01,535.3327540020797
2009-05-01,784.0,2010-12-01,528.178387276668
2009-06-01,747.0,2011-01-01,521.2262591623943
2009-07-01,736.0,2011-02-01,514.467728428123
2009-08-01,771.0,2011-03-01,507.8946443532971
2009-09-01,478.0,2011-04-01,501.49931219872053
2009-10-01,957.0,2011-05-01,495.27446156524826
2009-11-01,708.0,2011-06-01,489.2132173616813
2009-12-01,736.0,2011-07-01,483.3090731335476
2010-01-01,654.0,2011-08-01,477.55586653115216
2010-02-01,560.0,2011-09-01,471.94775671878983
2010-03-01,677.0,2011-10-01,466.479203547749
2010-04-01,578.0,2011-11-01,461.1449483340582
2010-05-01,628.0,2011-12-01,455.9399960981425
2010-06-01,583.0,2012-01-01,450.8595991379356
2010-07-01,600.0,2012-02-01,445.8992418197566
2010-08-01,575.0,2012-03-01,441.05462648261937
2010-09-01,568.0,2012-04-01,436.3216603617528
2010-10-01,589.0,2012-05-01,431.696443446133
2010-11-01,556.0,2012-06-01,427.17525719289165
2010-12-01,588.0,2012-07-01,422.7545540286708
2011-01-01,592.0,2012-08-01,418.4309475744601
2011-02-01,499.0,2012-09-01,414.2012035362454
2011-03-01,555.0,2012-10-01,410.0622312089999
2011-04-01,545.0,2012-11-01,406.01107554623934
2011-05-01,541.0,2012-12-01,402.04490975157216
2011-06-01,526.0,2013-01-01,398.1610283524791
2011-07-01,552.0,2013-02-01,394.3568407199924
2011-08-01,539.0,2013-03-01,390.6298650010401
2011-09-01,510.0,2013-04-01,386.977722433034
2011-10-01,524.0,2013-05-01,383.39813201281754
2011-11-01,473.0,2013-06-01,379.8889054943973
2011-12-01,511.0,2013-07-01,376.44794269197365
2012-01-01,479.0,2013-08-01,373.0732270666885
2012-02-01,229.0,2013-09-01,369.7628215772385
2012-03-01,669.0,2013-10-01,366.51486477607494
2012-04-01,533.0,2013-11-01,363.32756713435015
2012-05-01,464.0,2013-12-01,360.19920758007925
2012-06-01,472.0,2014-01-01,357.1281302351805
2012-07-01,468.0,2014-02-01,354.11274133815425
2012-08-01,457.0,2014-03-01,351.15150634015737
