t,q,t_model,q_model
2010-04-01,1010.0,2010-10-01,19733.926443875713
2010-05-01,26614.0,2010-11-01,15860.02767254151
2010-06-01,21629.0,2010-12-01,13314.096302197366
2010-07-01,19917.0,2011-01-01,11506.26981660408
2010-08-01,18891.0,2011-02-01,10152.533821118583
2010-09-01,23324.0,2011-03-01,9098.760850543884
2010-10-01,20232.0,2011-04-01,8253.873287369743
2010-11-01,15239.0,2011-05-01,7560.496365668285
2010-12-01,13340.0,2011-06-01,6980.637612112232
2011-01-01,11479.0,2011-07-01,6488.111064870121
2011-02-01,8826.0,2011-08-01,6064.26485140231
2011-03-01,8750.0,2011-09-01,5695.443067205812
2011-04-01,8791.0,2011-10-01,5371.41140291831
2011-05-01,7736.0,2011-11-01,5084.344307472959
2011-06-01,7164.0,2011-12-01,4828.15274074029
2011-07-01,6764.0,2012-01-01,4598.025755230625
2011-08-01,6563.0,2012-02-01,4390.1104086977
2011-09-01,5207.0,2012-03-01,4201.283550502641
2011-10-01,5552.0,2012-04-01,4028.986062912637
2011-11-01,5390.0,2012-05-01,3871.1004480871547
2011-12-01,5485.0,2012-06-01,3725.8590630256554
2012-01-01,5152.0,2012-07-01,3591.7743910857876
2012-02-01,4794.0,2012-08-01,3467.5854012278137
2012-03-01,4681.0,2012-09-01,3352.2158160131994
2012-04-01,4731.0,2012-10-01,3244.741307460018
2012-05-01,4052.0,2012-11-01,3144.3634644554727
2012-06-01,4243.0,2012-12-01,3050.3889516883714
2012-07-01,4703.0,2013-01-01,2962.2126884729564
2012-08-01,2695.0,2013-02-01,2879.3041690606638
2012-09-01,4363.0,2013-03-01,2801.196259108939
2012-10-01,3894.0,2013-04-01,2727.4759595450014
2012-11-01,3382.0,2013-05-01,2657.776745315295
2012-12-01,1087.0,2013-06-01,2591.7721736730505
2013-01-01,2662.0,2013-07-01,2529.170522604434
2013-02-01,2441.0,2013-08-01,2469.7102703193586
2013-03-01,2343.0,2013-09-01,2413.156265446738
2013-04-01,2252.0,2013-10-01,2359.2964675812486
2013-05-01,3022.0,2013-11-01,2307.939161254213
2013-06-01,1989.0,2013-12-01,2258.910564812479
2013-07-01,2407.0,2014-01-01,2212.0527702522595
2013-08-01,2436.0,2014-02-01,2167.2219616440643
2013-09-01,2705.0,2014-03-01,2124.286869060628
2013-10-01,2413.0,2014-04-01,2083.1274223846162
2013-11-01,2057.0,2014-05-01,2043.6335754117576
2013-12-01,2353.0,2014-06-01,2005.7042755745672
2014-01-01,2385.0,2014-07-01,1969.2465586222206
2014-02-01,2119.0,2014-08-01,1934.1747508828091
2014-03-01,906.0,2014-09-01,1900.4097644461028
2014-04-01,1272.0,2014-10-01,1867.8784728490668
2014-05-01,1624.0,2014-11-01,1836.5131567108274
2014-06-01,1713.0,2014-12-01,1806.2510103186667
2014-07-01,1773.0,2015-01-01,1777.0337014680852
2014-08-01,854.0,2015-02-01,1748.8069779531404
2014-09-01,13.0,2015-03-01,1721.520315024585
2014-10-01,976.0,2015-04-01,1695.1265989122983
2014-11-01,1300.0,2015-05-01,1669.581842169225
2014-12-01,1556.0,2015-06-01,1644.8449271560955
2015-01-01,1579.0,2015-07-01,1620.877374465758
2015-02-01,1734.0,2015-08-01,1597.643133496235
2015-03-01,1906.0,2015-09-01,1575.1083927335978
2015-04-01,1284.0,2015-10-01,1553.2414076084995
2015-05-01,1728.0,2015-11-01,1532.0123440512457
2015-06-01,1815.0,2015-12-01,1511.3931360959525
2015-07-01,1813.0,2016-01-01,1491.357356079832
2015-08-01,1788.0,2016-02-01,1471.8800961534455
2015-09-01,1717.0,2016-03-01,1452.9378599655192
2015-10-01,1735.0,2016-04-01,1434.5084635148112
2015-11-01,1641.0,2016-05-01,1416.5709442741545
2015-12-01,1937.0,2016-06-01,1399.1054777904549
2016-01-01,1825.0,2016-07-01,1382.0933010509896
2016-02-01,1256.0,2016-08-01,1365.5166419824543
2016-03-01,2088.0,2016-09-01,1349.358654516232
2016-04-01,1713.0,2016-10-01,1333.6033587125135
2016-05-01,1509.0,2016-11-01,1318.2355854881619
2016-06-01,1795.0,2016-12-01,1303.2409255395116
2016-07-01,1933.0,2017-01-01,1288.605682092335
2016-08-01,1597.0,2017-02-01,1274.3168271476702
2016-09-01,1683.0,2017-03-01,1260.3619609246532
2016-10-01,1702.0,2017-04-01,1246.7292742303855
2016-11-01,1805.0,2017-05-01,1233.407513512676
2016-12-01,1652.0,2017-06-01,1220.3859483745346
2017-01-01,1435.0,2017-07-01,1207.6543413499253
2017-02-01,1585.0,2017-08-01,1195.202919758766
2017-03-01,1446.0,2017-09-01,1183.0223494757508
2017-04-01,1480.0,2017-10-01,1171.1037104624736
2017-05-01,1548.0,2017-11-01,1159.4384739257284
2017-06-01,1660.0,2017-12-01,1148.0184809769507
2017-07-01,1278.0,2018-01-01,1136.8359226786445
2017-08-01,1465.0,2018-02-01,1125.8833213734783
2017-09-01,1361.0,2018-03-01,1115.1535132006181
2017-10-01,1496.0,2018-04-01,1104.639631711915
2017-11-01,1331.0,2018-05-01,1094.3350925078498
2017-12-01,1354.0,2018-06-01,1084.233578819751
2018-01-01,1318.0,2018-07-01,1074.3290279707983
2018-02-01,1246.0,2018-08-01,1064.6156186537878
2018-03-01,1485.0,2018-09-01,1055.0877589685938
2018-04-01,1046.0,2018-10-01,1045.7400751667808
2018-05-01,1247.0,2018-11-01,1036.567401054943
2018-06-01,1214.0,2018-12-01,1027.5647680121122
2018-07-01,1376.0,2019-01-01,1018.7273955799992
2018-08-01,1147.0,2019-02-01,1010.0506825879855
2018-09-01,1074.0,2019-03-01,1001.5301987776456
2018-10-01,970.0,2019-04-01,993.1616768942165
2018-11-01,1117.0,2019-05-01,984.9410052148428
2018-12-01,1114.0,2019-06-01,976.8642204856321
2019-01-01,1263.0,2019-07-01,968.9275012415943
2019-02-01,814.0,2019-08-01,961.1271614854005
2019-03-01,1205.0,2019-09-01,953.4596447026134
2019-04-01,998.0,2019-10-01,945.921518192625
2019-05-01,1017.0,2019-11-01,938.5094676959839
2019-06-01,1173.0,2019-12-01,931.2202923001477
2019-07-01,861.0,2020-01-01,924.0508996069207
2019-08-01,919.0,2020-02-01,916.998301145988
2019-09-01,944.0,2020-03-01,910.0596080200085
2019-10-01,791.0,2020-04-01,903.2320267677031
2019-11-01,817.0,2020-05-01,896.5128554322797
2019-12-01,1192.0,2020-06-01,889.8994798233691
2020-01-01,728.0,2020-07-01,883.3893699614214
2020-02-01,1016.0,2020-08-01,876.9800766942262
2020-03-01,927.0,2020-09-01,870.6692284758906
2020-04-01,837.0,2020-10-01,864.4545282992167
2020-05-01,1054.0,2020-11-01,858.3337507730066
2020-06-01,670.0,2020-12-01,852.3047393363403
2020-07-01,892.0,2021-01-01,846.3654036023817
2020-08-01,697.0,2021-02-01,840.513716824716
2020-09-01,807.0,2021-03-01,834.7477134796607
2020-10-01,1000.0,2021-04-01,829.065486958383
2020-11-01,775.0,2021-05-01,823.4651873630376
2020-12-01,607.0,2021-06-01,817.945019401477
2021-01-01,811.0,2021-07-01,812.5032403754179
2021-02-01,669.0,2021-08-01,807.1381582572441
2021-03-01,603.0,2021-09-01,801.8481298509112
2021-04-01,796.0,2021-10-01,796.6315590326831
2021-05-01,767.0,2021-11-01,791.486895067673
2021-06-01,722.0,2021-12-01,786.412630998398
2021-07-01,979.0,2022-01-01,781.4073021017649
2021-08-01,595.0,2022-02-01,776.469484411117
2021-09-01,724.0,2022-03-01,771.5977933001498
2021-10-01,739.0,2022-04-01,766.7908821256897
2021-11-01,708.0,2022-05-01,762.0474409264928
2021-12-01,730.0,2022-06-01,757.3661951753755
