t,q,t_model,q_model
2019-01-01,2181.0,2019-02-01,11205.088318373626
2019-02-01,11084.0,2019-03-01,9889.776883213462
2019-03-01,9127.0,2019-04-01,8832.519772293826
2019-04-01,8693.0,2019-05-01,7965.690382766546
2019-05-01,8556.0,2019-06-01,7243.163532753963
2019-06-01,7923.0,2019-07-01,6632.447101552315
2019-07-01,7567.0,2019-08-01,6110.021038239658
2019-08-01,6767.0,2019-09-01,5658.4591454139345
2019-09-01,5450.0,2019-10-01,5264.587788153168
2019-10-01,5438.0,2019-11-01,4918.27153200313
2019-11-01,4938.0,2019-12-01,4611.590726663411
2019-12-01,4422.0,2020-01-01,4338.271396195454
2020-01-01,4213.0,2020-02-01,4093.281784114016
2020-02-01,3847.0,2020-03-01,3872.54152566341
2020-03-01,3822.0,2020-04-01,3672.7085080409934
2020-04-01,3527.0,2020-05-01,3491.0203137794883
2020-05-01,3267.0,2020-06-01,3325.1746579967066
2020-06-01,2975.0,2020-07-01,3173.238107600769
2020-07-01,2855.0,2020-08-01,3033.575598764724
2020-08-01,2802.0,2020-09-01,2904.795444368417
2020-09-01,2567.0,2020-10-01,2785.7060133080136
2020-10-01,2401.0,2020-11-01,2675.2812999449375
2020-11-01,2649.0,2020-12-01,2572.633332831268
2020-12-01,2374.0,2021-01-01,2476.9898939560444
2021-01-01,1922.0,2021-02-01,2387.676397225206
2021-02-01,1976.0,2021-03-01,2304.101050843693
2021-03-01,2089.0,2021-04-01,2225.742632119127
2021-04-01,2117.0,2021-05-01,2152.140355264327
2021-05-01,2046.0,2021-06-01,2082.8854272381686
2021-06-01,1935.0,2021-07-01,2017.6139735672314
2021-07-01,1960.0,2021-08-01,1956.0010826034727
2021-08-01,1849.0,2021-09-01,1897.755767968137
2021-09-01,1718.0,2021-10-01,1842.616688775975
2021-10-01,1796.0,2021-11-01,1790.3484983935855
2021-11-01,1740.0,2021-12-01,1740.738717011355
2021-12-01,1141.0,2022-01-01,1693.5950427305625
2022-01-01,1597.0,2022-02-01,1648.7430313371742
2022-02-01,1217.0,2022-03-01,1606.024087324022
2022-03-01,2091.0,2022-04-01,1565.29371869882
2022-04-01,2264.0,2022-05-01,1526.4200161876454
2022-05-01,1842.0,2022-06-01,1489.282324006649
2022-06-01,1535.0,2022-07-01,1453.7700747353958
2022-07-01,1507.0,2022-08-01,1419.7817652228869
2022-08-01,1636.0,2022-09-01,1387.2240540801197
2022-09-01,1028.0,2022-10-01,1356.0109643094743
2022-10-01,900.0,2022-11-01,1326.0631771091919
2022-11-01,2095.0,2022-12-01,1297.3074049646277
2022-12-01,1460.0,2023-01-01,1269.6758338720267
2023-01-01,1495.0,2023-02-01,1243.105625995829
2023-02-01,1184.0,2023-03-01,1217.5384752857708
2023-03-01,1370.0,2023-04-01,1192.9202096149556
2023-04-01,1482.0,2023-05-01,1169.2004338768566
2023-05-01,1144.0,2023-06-01,1146.3322092242254
2023-06-01,1261.0,2023-07-01,1124.2717642677367
2023-07-01,1310.0,2023-08-01,1102.9782345946578
2023-08-01,1237.0,2023-09-01,1082.4134274325786
2023-09-01,1067.0,2023-10-01,1062.5416086824166
2023-10-01,1445.0,2023-11-01,1043.3293098886454
2023-11-01,1039.0,2023-12-01,1024.7451530113617
2023-12-01,928.0,2024-01-01,1006.7596911214883
2024-01-01,1468.0,2024-02-01,989.3452633629507
2024-02-01,1103.0,2024-03-01,972.4758627190693
2024-03-01,1220.0,2024-04-01,956.127015288818
2024-04-01,1088.0,2024-05-01,940.2756699255609
2024-05-01,1119.0,2024-06-01,924.9000972193678
2024-06-01,1111.0,2024-07-01,909.9797969165803
2024-07-01,993.0,2024-08-01,895.4954129690944
2024-08-01,1213.0,2024-09-01,881.4286554926995
2024-09-01,1073.0,2024-10-01,867.76222899034
2024-10-01,967.0,2024-11-01,854.479766263683
,,2024-12-01,841.5657674960613
,,2025-01-01,829.0055440426946
,,2025-02-01,816.7851665109484
,,2025-03-01,804.8914167549959
,,2025-04-01,793.3117434462575
,,2025-05-01,782.0342209139665
,,2025-06-01,771.0475109796078
,,2025-07-01,760.3408275352571
,,2025-08-01,749.9039036393392
,,2025-09-01,739.7269609243805
,,2025-10-01,729.8006811302015
,,2025-11-01,720.1161795929592
,,2025-12-01,710.6649805356799
,,2026-01-01,701.4389940196611
,,2026-02-01,692.4304944284768
,,2026-03-01,683.6321003674902
,,2026-04-01,675.0367558718593
,,2026-05-01,666.6377128251347
,,2026-06-01,658.4285144988157
,,2026-07-01,650.4029801306991
,,2026-08-01,642.5551904666611
,,2026-09-01,634.8794741966601
,,2026-10-01,627.3703952213731
,,2026-11-01,620.0227406909607
,,2026-12-01,612.8315097621183
,,2027-01-01,605.791903023796
,,2027-02-01,598.8993125458402
,,2027-03-01,592.1493125083432
,,2027-04-01,585.5376503727106
,,2027-05-01,579.0602385584126
,,2027-06-01,572.7131465920896
,,2027-07-01,566.4925936981648
,,2027-08-01,560.3949418023827
,,2027-09-01,554.4166889217915
,,2027-10-01,548.5544629165945
,,2027-11-01,542.8050155810668
,,2027-12-01,537.1652170523527
,,2028-01-01,531.6320505174557
,,2028-02-01,526.2026072001078
,,2028-03-01,520.8740816104776
,,2028-04-01,515.6437670418442
,,2028-05-01,510.50905129945465
,,2028-06-01,505.4674126477701
,,2028-07-01,500.51641596324436
,,2028-08-01,495.65370908062397
,,2028-09-01,490.8770193215573
,,2028-10-01,486.1841501950315
,,2028-11-01,481.5729782598384
,,2028-12-01,477.04145013990154
,,2029-01-01,472.5875796838818
,,2029-02-01,468.20944526102556
,,2029-03-01,463.90518718572304
,,2029-04-01,459.67300526371736
,,2029-05-01,455.5111564533396
,,2029-06-01,451.41795263555747
,,2029-07-01,447.3917584869982
,,2029-08-01,443.4309894504678
,,2029-09-01,439.53410979781114
,,2029-10-01,435.6996307802719
,,2029-11-01,431.926108861793
,,2029-12-01,428.21214403097105
,,2030-01-01,424.55637818762614
,,2030-02-01,420.9574936001834
,,2030-03-01,417.4142114302841
,,2030-04-01,413.9252903212443
,,2030-05-01,410.4895250471776
,,2030-06-01,407.10574521977264
,,2030-07-01,403.7728140498887
,,2030-08-01,400.4896271612871
,,2030-09-01,397.2551114539701
,,2030-10-01,394.0682240147287
,,2030-11-01,390.9279510726441
,,2030-12-01,387.8333069973967
,,2031-01-01,384.78333333836173
,,2031-02-01,381.77709790257614
,,2031-03-01,378.81369386975916
,,2031-04-01,375.89223894267064
,,2031-05-01,373.0118745311796
,,2031-06-01,370.17176496849675
,,2031-07-01,367.37109675811047
,,2031-08-01,364.6090778500364
,,2031-09-01,361.88493694506514
,,2031-10-01,359.19792282575656
,,2031-11-01,356.54730371299536
,,2031-12-01,353.9323666469786
,,2032-01-01,351.3524168915674
,,2032-02-01,348.8067773609815
,,2032-03-01,346.29478806787205
,,2032-04-01,343.8158055918493
,,2032-05-01,341.36920256759424
,,2032-06-01,338.95436719171636
,,2032-07-01,336.57070274756853
,,2032-08-01,334.21762714726185
,,2032-09-01,331.89457249016317
,,2032-10-01,329.600984637189
,,2032-11-01,327.3363228002439
,,2032-12-01,325.1000591461816
,,2033-01-01,322.89167841469435
,,2033-02-01,320.7106775495665
