t,q,t_model,q_model
2013-11-01,3259.0,2013-12-01,11565.250620342666
2013-12-01,11633.0,2014-01-01,8742.637990718416
2014-01-01,8677.0,2014-02-01,7056.127869956482
2014-02-01,6549.0,2014-03-01,5930.749298195166
2014-03-01,6170.0,2014-04-01,5124.49765164924
2014-04-01,5385.0,2014-05-01,4517.458435594479
2014-05-01,5129.0,2014-06-01,4043.3117929264918
2014-06-01,4543.0,2014-07-01,3662.3442947592216
2014-07-01,2611.0,2014-08-01,3349.295447670229
2014-08-01,3085.0,2014-09-01,3087.3167922463676
2014-09-01,3152.0,2014-10-01,2864.7312743659218
2014-10-01,3066.0,2014-11-01,2673.1857055844953
2014-11-01,2725.0,2014-12-01,2506.543670868732
2014-12-01,2559.0,2015-01-01,2360.1939951140894
2015-01-01,2469.0,2015-02-01,2230.603305985062
2015-02-01,2150.0,2015-03-01,2115.017645147292
2015-03-01,2155.0,2015-04-01,2011.2581823960759
2015-04-01,1995.0,2015-05-01,1917.5780970273247
2015-05-01,1993.0,2015-06-01,1832.5602488180587
2015-06-01,1836.0,2015-07-01,1755.0426738673852
2015-07-01,1782.0,2015-08-01,1684.0634496902078
2015-08-01,1692.0,2015-09-01,1618.8192911032127
2015-09-01,1573.0,2015-10-01,1558.6340411689162
2015-10-01,1572.0,2015-11-01,1502.9344002382759
2015-11-01,1464.0,2015-12-01,1451.2310221546022
2015-12-01,1495.0,2016-01-01,1403.1036402414747
2016-01-01,1443.0,2016-02-01,1358.189253839563
2016-02-01,1305.0,2016-03-01,1316.1726639991332
2016-03-01,1346.0,2016-04-01,1276.7788300344628
2016-04-01,1256.0,2016-05-01,1239.7666503399898
2016-05-01,1255.0,2016-06-01,1204.9238667163472
2016-06-01,1095.0,2016-07-01,1172.062861986514
2016-07-01,1121.0,2016-08-01,1141.0171731206897
2016-08-01,1074.0,2016-09-01,1111.6385814507325
2016-09-01,909.0,2016-10-01,1083.7946713687725
2016-10-01,966.0,2016-11-01,1057.366771677578
2016-11-01,869.0,2016-12-01,1032.2482112939156
2016-12-01,898.0,2017-01-01,1008.3428346072841
2017-01-01,891.0,2017-02-01,985.5637324218561
2017-02-01,750.0,2017-03-01,963.8321527658836
2017-03-01,780.0,2017-04-01,943.0765624664942
2017-04-01,849.0,2017-05-01,923.2318356536863
2017-05-01,762.0,2017-06-01,904.2385495740366
2017-06-01,1002.0,2017-07-01,886.0423714895835
2017-07-01,937.0,2017-08-01,868.5935231848033
2017-08-01,1056.0,2017-09-01,851.846311839038
2017-09-01,950.0,2017-10-01,835.7587178474975
2017-10-01,875.0,2017-11-01,820.2920316724977
2017-11-01,910.0,2017-12-01,805.4105330418545
2017-12-01,926.0,2018-01-01,791.0812068337776
2018-01-01,875.0,2018-02-01,777.2734908372028
2018-02-01,709.0,2018-03-01,763.9590512851524
2018-03-01,812.0,2018-04-01,751.1115826519591
2018-04-01,578.0,2018-05-01,738.7066287035374
2018-05-01,747.0,2018-06-01,726.7214222099423
2018-06-01,751.0,2018-07-01,715.1347410846415
2018-07-01,668.0,2018-08-01,703.9267790162089
2018-08-01,754.0,2018-09-01,693.0790289144661
2018-09-01,663.0,2018-10-01,682.5741777117876
2018-10-01,654.0,2018-11-01,672.396011247403
2018-11-01,632.0,2018-12-01,662.529328123043
2018-12-01,659.0,2019-01-01,652.9598615563548
2019-01-01,641.0,2019-02-01,643.6742083775514
2019-02-01,560.0,2019-03-01,634.6597644176816
2019-03-01,605.0,2019-04-01,625.9046656260487
