Well Name,Start
balfour1,1
bruceweaver2re,8
cr101,1
cr302,2
cr501,0
charlesb1,3
crosss1,12
dyess1,13
eileen1,3
fatheree1,6
flower1,11
little1791,1
lochte1,4
mdb1,12
marrs1,2
parkway1,54
pfeiffer2,7
preston1,21
rab1,4
solansky1,4
verna1,8
carolyn1,8
trotter1,124
bond1,1
cenizo1,1
jessica1,25
evergreen1,12
gail1,11
jbeeler1,9
jj1,27
marguerite1,78
joe1,20
joseph1,9
jred1,37
kay1,32
kiley1,5
kleimann1,18
aaron1,24
annpick1,1
grissom1,2
pickens1,31
pickwill1,71
rhodes1,0
richard1,3
ronald1,1
thalmann1,55
thompson1,12
thompson2,3
vermillion1,11
sansom1,2
larosita1re,1
learytrust1,1
beal1,1
bradshaw1,1
carrollunit1,178
pattersoneasttexas,131
