POH - PRODUCING OVERHEAD, LOE - COMPANY PUMPER, LOE - CONTRACT PUMPING,LOE - COMPRESSION FEES, LOE - COMPRESSOR RENTAL,LOE - UTILITIES,LOE - COMPANY LABOR,LOE - CHEMICALS, LOE - FIELDMAN EXPENSES,LOE - CONTRACT SERVICES,LOE - DAMAGES,LOE - DIRTWORK, LOE - DISTRICT EXPENSE,LOE - ENVIRONMENTAL COMPLIANCE,LOE - EQUIPMENT RENTAL,LOE - EQUIPMENT REPAIRS, LOE - FRESH WATER INJECTION," LOE - FUEL ,OIL, AND PROPANE", LOE - GATHERING & MKTG FEES,LOE - HOT OIL TREATMENT,LOE - INSURANCE & BONDS,LOE - LANDMAN - CONTRACT,LOE - LANDMAN - COMPANY,LOE - LEGAL FEES,LOE - LOCATION & ROADS,LOE - MAT & SUPPLIES - SURFACE,LOE - MAT & SUPPLIES - SUBSURFA,LOE - MINIMUM ROYALTY,LOE - MISCELLANEOUS, LOE - PERMITS,LOE - PIT CLEANUP,LOE - PUMP TRUCK,LOE - PROPERTY TAXES,LOE - PULLING UNIT,LOE - RECORDING FEES,LOE - REPAIRS & MAINT-SUBSURFA, LOE - REPAIRS & MAINT-SURFACE,LOE - RIGHT OF WAY,LOE - ROUSTABOUT SERVICES, LOE - SALT WATER DISPOSAL,LOE - SAND CONTROL, LOE - SUBMERSIBLE PUMP REPAIRS,LOE - SWAB UNIT,LOE - TANK CLEANING, LOE - TRUCKING & HAULING, LOE - VACUUM TRUCK,LOE - VEHICLE EXPENSES, LOE - WEED CONTROL,LOE - WELDER, LOE - WIRELINE SERVICES,LOE - MRU FACILITY
"84,206",-   ,"57,951",-   ,"46,719","7,214","92,349","79,273",-   ,"61,588",-   ,-   ,"5,209","5,475","28,201",-   ,-   ,"23,917",-   ,"6,535",963,"6,074","9,920",-   ,"5,740","49,714","2,358",-   ,33,"1,815",-   ,-   ,-   ,"76,558",85,-   ,"59,394",-   ,"65,421","137,311",-   ,-   ,-   ,-   ,"24,076","13,336",-   ,-   ,-   ,-   ,"74,643"
"87,745", -   ,"55,997", -   ,"45,420","6,310","85,455","79,980",27,"85,210", -   , -   ,"1,468","16,200","414,745", -   , -   ,"11,269","114,648","13,820", -   ,"1,955","4,479","35,755","12,135","54,326", -   , -   ,"1,604", -   , -   , -   , -   ,"68,069",102, -   ,"25,001", -   ,"68,569","120,460", -   , -   , -   , -   ,"31,621","21,106", -   , -   , -   , -   ,"92,180"
"77,780", -   ,"54,999", -   ,"38,208","7,147","86,821","110,235",44,"77,638", -   , -   ,"11,817","5,603","9,912", -   , -   ,"7,048","24,565","17,478",963,475,"9,132","20,484","25,871","36,463","8,257", -   ,105, -   , -   , -   , -   ,"39,341",570,"3,100","59,724", -   ,"80,741","100,139", -   , -   , -   , -   ,"18,022","37,146", -   ,"4,857", -   , -   ,"78,374"
"91,485", -   ,"55,820", -   ,"36,458","-2,401","147,053","164,612", -   ,"63,000", -   , -   ,"61,134","5,400","24,368", -   , -   ,"6,408","33,613","22,533",963,828,"9,261","8,449","10,568","57,895","4,377","3,165",125, -   , -   , -   , -   ,"90,867",333, -   ,"60,064",290,"129,127","116,419", -   , -   , -   , -   ,"42,640","17,348", -   ,374, -   , -   ,"4,330"
"94,229", -   ,"57,700", -   ,"37,156","1,647","161,241","167,670",801,"55,084", -   , -   ,"46,056","5,888","22,959", -   , -   ,"13,105","29,774","31,428", -   ,809,"11,863", -   ,"1,584","39,948","3,918", -   ,92, -   , -   ,953, -   ,"96,796",708, -   ,"66,040","2,880","83,769","122,245", -   ,"1,896","4,260", -   ,"27,612","32,978", -   , -   , -   , -   ,"8,850"
"93,964", -   ,"53,889", -   ,"49,424","11,090","82,612","129,657", -   ,"46,736", -   , -   ,"17,569","21,105","15,103", -   , -   ,"6,520","18,899","18,421","1,925","1,208","5,104",968,"7,385","27,038","1,552", -   ,"-227,450", -   ,"3,474", -   , -   ,"55,225",739, -   ,"39,410","10,693","35,540","115,801", -   ,"1,426", -   , -   ,"22,390","40,766", -   , -   , -   , -   ,"64,767"
"94,238", -   ,"46,394", -   ,"50,373","6,549","92,145","95,545",329,"54,031","18,631", -   ,"12,553","2,635","26,794", -   , -   ,"9,571","15,584","22,097", -   ,"6,087","2,699","3,388",934,"42,331",475, -   ,139, -   ,"28,113", -   , -   ,"117,083",219, -   ,"36,865","154,030","75,002","94,644", -   ,"10,983","3,994", -   ,"32,846","18,495", -   , -   , -   , -   ,"59,247"
"94,176", -   ,"47,053", -   ,"48,381","7,957","79,995","128,528",65,"79,026", -   , -   ,"8,476","5,325","21,264", -   , -   ,"6,540","8,621","19,644",963,"3,866","5,415", -   ,"11,600","34,483","4,175", -   ,216,700,"36,805","3,278", -   ,"47,649",704,346,"26,693","1,155","59,848","112,373", -   ,"6,365","5,853", -   ,"36,855","25,792", -   , -   , -   ,"5,324","58,835"
"97,540", -   ,"47,261", -   ,"46,799","4,966","77,790","105,759", -   ,"98,677", -   , -   ,"9,064","5,325","34,728", -   , -   ,"6,728","7,792","13,174","1,925","3,734","2,781", -   ,"2,764","31,777",21, -   ,100,"4,814","2,944","1,773", -   ,"59,910",156,"3,242","29,243", -   ,"62,751","105,284", -   ,"6,044", -   , -   ,"31,122","12,543", -   , -   , -   , -   ,"108,469"
"95,331", -   ,"47,844", -   ,"35,479","5,061","75,825","108,324", -   ,"55,466", -   , -   ,"14,632","33,850","27,605", -   , -   ,"14,118","4,016","18,386", -   ,"7,587","4,132","9,675","3,149","40,910", -   , -   ,53, -   , -   ,"3,450","696,993","42,870",381, -   ,"35,767", -   ,"25,104","155,479", -   , -   , -   , -   ,"9,797","19,362", -   , -   , -   , -   , -   
