POH - PRODUCING OVERHEAD,LOE - COMPANY PUMPER,LOE - CONTRACT PUMPING,LOE - COMPRESSION FEES,LOE - COMPRESSOR RENTAL,LOE - UTILITIES,LOE - COMPANY LABOR,LOE - CHEMICALS,LOE - FIELDMAN EXPENSES,LOE - CONTRACT SERVICES,LOE - DAMAGES,LOE - DIRTWORK,LOE - DISTRICT EXPENSE,LOE - ENVIRONMENTAL COMPLIANCE,LOE - EQUIPMENT RENTAL,LOE - EQUIPMENT REPAIRS,LOE - FRESH WATER INJECTION,"LOE - FUEL ,OIL, AND PROPANE",LOE - GATHERING & MKTG FEES,LOE - HOT OIL TREATMENT,LOE - INSURANCE & BONDS,LOE - LANDMAN - CONTRACT,LOE - LANDMAN - COMPANY,LOE - LEGAL FEES,LOE - LOCATION & ROADS,LOE - MAT & SUPPLIES - SURFACE,LOE - MAT & SUPPLIES - SUBSURFA,LOE - MINIMUM ROYALTY,LOE - MISCELLANEOUS,LOE - PERMITS,LOE - PIT CLEANUP,LOE - PUMP TRUCK,LOE - PROPERTY TAXES,LOE - PULLING UNIT,LOE - RECORDING FEES,LOE - REPAIRS & MAINT-SUBSURFA,LOE - REPAIRS & MAINT-SURFACE,LOE - RIGHT OF WAY,LOE - ROUSTABOUT SERVICES,LOE - SALT WATER DISPOSAL,LOE - SAND CONTROL,LOE - SUBMERSIBLE PUMP REPAIRS,LOE - SWAB UNIT,LOE - TANK CLEANING,LOE - TRUCKING & HAULING,LOE - VACUUM TRUCK,LOE - VEHICLE EXPENSES,LOE - WEED CONTROL,LOE - WELDER,LOE - WIRELINE SERVICES,LOE - MRU FACILITY,LOE - NON-OPERATED WELLS
"112,899",-   ,"61,486",-   ,"34,879","6,195","96,475","56,905",-   ,"69,021",-   ,-   ,"5,931",-   ,"20,899",-   ,-   ,"39,035","20,051","26,840","7,004",-   ,"16,321","8,415","2,659","13,031","5,766","2,959",169,-   ,-   ,-   ,-   ,"63,854",140,"17,977","38,443",-   ,"85,496","163,444",-   ,-   ,"30,897",-   ,"13,027","14,313",-   ,-   ,-   ,-   ,"59,894","3,337"
"109,020", -   ,"61,197", -   ,"51,247","6,668","90,502","70,455", -   ,"55,732", -   , -   ,"4,732", -   ,"26,867", -   ,"1,529","40,444","25,810","19,863", -   ,"1,500","12,797","8,886","25,858","20,449","6,346", -   , -   ,620, -   ,"2,327", -   ,"69,367",106,"30,729","49,084", -   ,"83,652","158,497", -   , -   , -   , -   ,"13,686","28,842", -   , -   , -   , -   ,"70,940","5,333"
"115,186", -   ,"61,234", -   ,"34,965","6,117","103,695","104,918", -   ,"60,094", -   , -   ,"2,326","28,121","44,648", -   ,"2,323","86,827","42,354","23,982", -   , -   ,"5,745","21,722","18,070","43,591","19,492","8,440",23,"1,315", -   , -   , -   ,"66,254",162,"17,398","54,721", -   ,"122,678","78,417", -   , -   , -   , -   ,"16,924","111,939", -   , -   , -   , -   ,"54,801","10,177"
"113,537", -   ,"63,361","-5,976","36,329","6,772","99,513","51,640", -   ,"37,461", -   , -   ,"3,461", -   ,"24,304", -   ,"2,800","36,244","34,223","14,177", -   ,525,"8,332","1,084","14,267","42,779","16,425", -   , -   , -   , -   , -   , -   ,"45,041", -   ,"21,844","29,032", -   ,"107,936","45,730", -   , -   , -   , -   ,"28,599","162,591", -   ,"6,037", -   , -   ,"64,248", -   
"116,594", -   ,"70,295",-   ,"57,006","6,518","101,456","53,533", -   ,"51,908", -   , -   ,"3,577","11,700","15,257", -   ,201,"47,112","20,795","17,589","4,865", -   ,"17,397","14,496","2,360","36,292","43,075",813,59, -   , -   ,785, -   ,"61,131", -   ,"9,713","79,029","2,000","65,586","145,721", -   , -   ,"5,750", -   ,"38,128","65,604", -   ,"25,060", -   , -   ,"56,544", -   
"116,527", -   ,"63,925", -   ,"45,742","5,947","96,114","87,672", -   ,"53,832", -   , -   ,"3,871",294,"28,216", -   ,760,"34,190","21,827","16,162", -   , -   ,"11,835", -   ,"2,946","34,872","24,332","1,040","1,294", -   , -   ,"1,050", -   ,"49,786", -   ,"12,070","66,231","11,790","65,995","193,242", -   , -   , -   , -   ,"24,042","42,082", -   ,"20,652", -   , -   ,"50,357", -   
"115,442", -   ,"63,146", -   ,"46,557","6,668","103,033","83,125",105,"50,288", -   , -   ,"3,599",-147,"12,351", -   ,176,"44,235","24,122","12,930", -   , -   ,"5,030", -   ,977,"17,498","33,809", -   ,136, -   , -   , -   , -   ,"64,672", -   ,"14,574","58,342", -   ,"57,792","234,611", -   , -   , -   , -   ,"10,152","18,322", -   , -   , -   , -   ,"55,763", -   
"118,046", -   ,"37,662", -   ,"48,157","8,953","72,154","62,952", -   ,"44,688", -   , -   ,"9,189",-   ,"10,819", -   ,"1,512","32,181","18,196","6,565","3,850", -   ,"7,129","4,000", -   ,"22,062","6,602", -   ,22,418, -   , -   , -   ,"17,364", -   ,"5,822","52,271", -   ,"79,986","171,724", -   , -   , -   , -   ,"15,465","5,644", -   , -   , -   , -   ,"66,297", -   
"114,328", -   ,"45,829", -   ,"70,533","6,580","65,287","68,853", -   ,"29,112",667, -   ,"6,288", -   ,"34,367", -   , -   ,"14,224","29,641","9,525","2,566", -   ,"12,687","7,186","8,983","21,505","7,223", -   , -   , -   , -   , -   , -   ,"48,644", -   ,"33,186","63,476","3,333","74,121","107,180", -   , -   , -   , -   ,"7,539","19,729", -   , -   , -   , -   ,"58,126", -   
"115,656", -   ,"51,343", -   ,"66,272","5,524","59,016","82,258",663,"52,551","40,000", -   ,"80,635", -   ,"15,180", -   , -   ,"16,444","25,115","20,491", -   , -   ,"7,479","24,268","24,504","16,067","7,113", -   ,"1,846", -   , -   , -   ,"1,104,313","63,579", -   ,"32,177","82,969", -   ,"62,579","156,544", -   , -   , -   , -   ,"1,436","59,860", -   , -   , -   , -   ,"54,755", -   
