,Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
0,CL Moore #5,2017-04-30,0,25,0,0,0,
1,CL Moore #5,2017-04-29,0,25,0,0,0,
2,CL Moore #5,2017-04-28,0,25,0,0,0,
3,CL Moore #5,2017-04-27,0,25,0,0,0,
4,CL Moore #5,2017-04-26,0,25,0,0,0,
5,CL Moore #5,2017-04-25,0,25,0,0,0,
6,CL Moore #5,2017-04-24,0,25,0,0,0,
7,CL Moore #5,2017-04-23,0,25,0,0,0,
8,CL Moore #5,2017-04-22,0,25,0,0,0,
9,CL Moore #5,2017-04-21,0,25,0,0,0,
10,CL Moore #5,2017-04-20,0,25,0,0,0,
11,CL Moore #5,2017-04-19,0,25,0,0,0,
12,CL Moore #5,2017-04-18,0,24,0,0,0,
13,CL Moore #5,2017-04-17,0,20,0,0,0,
14,CL Moore #5,2017-04-16,0,25,0,0,0,
15,CL Moore #5,2017-04-15,0,20,0,0,0,
16,CL Moore #5,2017-04-14,0,20,0,0,0,
17,CL Moore #5,2017-04-13,0,20,0,0,0,
18,CL Moore #5,2017-04-12,0,20,0,0,0,
19,CL Moore #5,2017-04-11,0,20,0,0,0,
20,CL Moore #5,2017-04-10,0,10,0,0,0,
21,CL Moore #5,2017-04-09,0,15,0,0,0,
22,CL Moore #5,2017-04-08,0,15,0,0,0,
23,CL Moore #5,2017-04-07,0,15,0,0,0,
24,CL Moore #5,2017-04-06,0,15,0,0,0,
25,CL Moore #5,2017-04-05,0,15,0,0,0,
26,CL Moore #5,2017-04-04,0,10,0,0,0,
27,CL Moore #5,2017-04-03,0,20,0,0,0,
28,CL Moore #5,2017-04-02,0,15,0,0,0,
29,CL Moore #5,2017-04-01,0,15,0,0,0,
