,Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
0,CL Moore #5,2017-01-31,0,0,0,0,0,
1,CL Moore #5,2017-01-30,0,0,0,0,0,
2,CL Moore #5,2017-01-29,0,0,0,0,0,shut in
3,CL Moore #5,2017-01-28,0,0,0,0,0,
4,CL Moore #5,2017-01-27,0,0,0,0,0,shut in
5,CL Moore #5,2017-01-26,0,0,0,0,0,shut in
6,CL Moore #5,2017-01-25,0,0,0,0,0,shut in
7,CL Moore #5,2017-01-24,0,0,0,0,0,shut in
8,CL Moore #5,2017-01-23,0,0,0,0,0,shut in
9,CL Moore #5,2017-01-22,0,0,0,0,0,
10,CL Moore #5,2017-01-21,0,0,0,0,0,
11,CL Moore #5,2017-01-20,0,0,0,0,0,SHUTin
12,CL Moore #5,2017-01-18,0,40,0,0,0,SHUT well in
13,CL Moore #5,2017-01-17,0,40,0,0,0,
14,CL Moore #5,2017-01-16,0,40,0,0,0,
15,CL Moore #5,2017-01-15,0,40,0,0,0,
16,CL Moore #5,2017-01-14,0,40,0,0,0,
17,CL Moore #5,2017-01-13,0,40,0,0,0,
18,CL Moore #5,2017-01-12,0,30,0,0,0,
19,CL Moore #5,2017-01-11,0,40,0,0,0,
20,CL Moore #5,2017-01-10,0,40,0,0,0,
21,CL Moore #5,2017-01-09,0,40,0,0,0,
22,CL Moore #5,2017-01-08,0,40,0,0,0,
23,CL Moore #5,2017-01-07,0,40,0,0,0,
24,CL Moore #5,2017-01-06,0,40,0,0,0,
25,CL Moore #5,2017-01-05,0,40,0,0,0,
26,CL Moore #5,2017-01-04,0,40,0,0,0,
27,CL Moore #5,2017-01-03,0,40,0,0,0,
28,CL Moore #5,2017-01-02,0,40,0,0,0,
29,CL Moore #5,2017-01-01,0,40,0,0,0,
0,CL Moore #5,2017-02-28,0,35,0,0,0,
1,CL Moore #5,2017-02-27,0,35,0,0,0,
2,CL Moore #5,2017-02-26,0,35,0,0,0,
3,CL Moore #5,2017-02-25,0,35,0,0,0,
4,CL Moore #5,2017-02-24,0,35,0,0,0,
5,CL Moore #5,2017-02-23,0,35,0,0,0,
6,CL Moore #5,2017-02-22,0,35,0,0,0,
7,CL Moore #5,2017-02-21,0,24,0,0,0,
8,CL Moore #5,2017-02-20,0,25,0,0,0,
9,CL Moore #5,2017-02-19,0,25,0,0,0,
10,CL Moore #5,2017-02-18,0,25,0,0,0,
11,CL Moore #5,2017-02-17,0,25,0,0,0,
12,CL Moore #5,2017-02-16,0,24,0,0,0,
13,CL Moore #5,2017-02-15,0,24,0,0,0,
14,CL Moore #5,2017-02-14,0,24,0,0,0,
15,CL Moore #5,2017-02-13,0,24,0,0,0,
16,CL Moore #5,2017-02-12,0,24,0,0,0,
17,CL Moore #5,2017-02-11,0,24,0,0,0,
18,CL Moore #5,2017-02-10,0,25,0,0,0,
19,CL Moore #5,2017-02-09,0,25,0,0,0,
20,CL Moore #5,2017-02-08,0,25,0,0,0,
21,CL Moore #5,2017-02-07,0,20,0,0,0,
22,CL Moore #5,2017-02-06,0,20,0,0,0,
23,CL Moore #5,2017-02-05,0,24,0,0,0,
