Date,Time,Well Name
Aaron #1,3/31/2025,2:18:20 PM
Beeler #16 RE,3/12/2025,1:22:19 PM
Beeler #17,3/12/2025,1:52:53 PM
Bruce Weaver #1,3/13/2025,9:38:15 AM
Bruce Weaver #2 RE,3/13/2025,10:02:41 AM
Chad #1,3/18/2025,2:31:47 PM
CT #1,3/13/2025,2:10:28 PM
Dale#1,3/13/2025,11:09:28 AM
Dyess#1,3/13/2025,10:51:15 AM
Fatheree #1,3/11/2025,11:07:47 AM
Gail#1,3/13/2025,10:23:43 AM
La Rosita #1 RE,3/31/2025,11:54:37 AM
Marguerite #1,3/11/2025,3:06:32 PM
MDB #1,3/10/2025,2:17:57 PM
ParkWay #1,3/31/2025,4:02:26 PM
Pfeiffer-Byrd #1,3/10/2025,11:23:56 AM
RAB #2,3/11/2025,11:40:39 AM
RAB #3,3/11/2025,11:57:15 AM
Ruth #1,3/10/2025,10:14:47 AM
Sugar Ranch #1,3/21/2025,10:37:42 AM
Thalmann #1 RE,3/13/2025,3:02:43 PM
Thompson#2,3/25/2025,11:45:47 AM
TJN Unit #1,3/11/2025,9:59:23 AM
