Date,Time,Well Name,Seating Nipple Depth (ft),Plunger Diameter (in),ACU Acoustic Velocity (ft/s),ACU Tubing Pressure (psi (g)),Back Pressure (psi (g)),Back Pressure on Formation Due to Liquid Loading (psi (g)),Gas Free Above Pump (ft),Fluid Above Pump (ft),Distance to Liquid (ft),Well State,ACU Casing Pressure (psi (g)),Strokes Per Minute (SPM),Computed Stroke Length (in),Effective Plunger Travel (in),Maximum Plunger Stroke (in),Adjusted EPT (in)
04/14/2025,12:49:21 PM,Aaron #1,7095,1.750,,,,,,,,,,5.73,126.23,75.70,95.92,69.3
04/14/2025,01:03:02 PM,Aaron #1,7095,1.750,1157,,,554.5,1473,1473,5583,Producing,0.2,,,,,
04/24/2025,08:49:40 AM,CMWW #1,6514,1.250,,,,,,,,,,6.37,99.85,99.67,100.84,90.7
04/24/2025,09:02:14 AM,CMWW #1,6514,1.250,913,,,,392,392,6122,Static,0.6,,,,,
04/29/2025,03:48:58 PM,CMWW #1,6514,1.250,986,,,,229,229,6285,Static,-51.7,,,,,
04/29/2025,03:36:11 PM,CMWW #2,6094,1.500,,,,,,,,,,6.40,121.71,18.38,110.13,0.1
04/29/2025,03:40:26 PM,CMWW #2,6094,1.500,1020,,,522.2,1600,1600,4335,Producing,37.0,,,,,
04/29/2025,03:44:04 PM,CMWW #2,6094,1.500,1027,,,93.1,307,1328,4607,Producing,26.5,,,,,
04/14/2025,02:47:22 PM,Dixondale #1,5710,1.250,,,,,,,,,,5.14,168.43,156.53,160.95,148.5
04/14/2025,03:03:17 PM,Dixondale #1,5710,1.250,1023,,,362.1,49,53,5657,Producing,0.3,,,,,
04/29/2025,01:39:58 PM,Kay#1,6043,1.250,,,,,,,,,,,,,,
04/29/2025,01:44:33 PM,Kay#1,6043,1.250,1129,,,734.6,319,327,5716,Producing,0.0,,,,,
04/29/2025,02:11:10 PM,Kay#1,6043,1.250,1103,,,2215.0,5041,5041,1002,Producing,27.4,,,,,
04/14/2025,11:35:28 AM,Little 179 #1,6055,1.250,1156,,,768.2,1703,1703,4233,Producing,0.3,,,,,
04/16/2025,02:40:14 PM,Richardson#1,6484,1.250,,,,,,,,,,6.31,68.62,75.77,75.80,75.7
04/16/2025,02:55:45 PM,Richardson#1,6484,1.250,689,,,285.5,707,916,5492,Producing,43.6,,,,,
04/24/2025,09:45:07 AM,TJN Unit #1,6204,1.250,1127,,,487.0,1066,1066,5004,Producing,-0.2,,,,,
04/24/2025,09:49:53 AM,TJN Unit #1,6204,1.250,,,,,,,,,,5.94,104.36,22.24,93.16,0.1
