Date,Time,Well Name,Seating Nipple Depth (ft),Plunger Diameter (in),ACU Acoustic Velocity (ft/s),ACU Tubing Pressure (psi (g)),Back Pressure (psi (g)),Back Pressure on Formation Due to Liquid Loading (psi (g)),Gas Free Above Pump (ft),Fluid Above Pump (ft),Distance to Liquid (ft),Well State,ACU Casing Pressure (psi (g)),Strokes Per Minute (SPM),Computed Stroke Length (in),Effective Plunger Travel (in),Maximum Plunger Stroke (in),Adjusted EPT (in)
03/04/2024,02:12:57 PM,Aaron #1,6554,1.750,,,,,,,,,,5.22,172.18,95.84,103.45,89.6
03/04/2024,02:14:11 PM,Aaron #1,6554,1.750,1191,,,339.4,739,3571,2983,Producing,66.1,,,,,
03/07/2024,02:21:00 PM,
03/07/2024,02:21:00 PM,Aaron #1,6554,1.750,,,,,,,,,,6.66,169.45,96.22,110.51,90.6
03/07/2024,02:22:54 PM,Aaron #1,6554,1.750,1273,,,339.5,728,3327,3227,Producing,68.4,,,,,
03/27/2024,02:23:54 PM,Aaron #1,6554,1.750,,,,,,,,,,6.47,170.87,92.28,122.48,16.4
03/27/2024,02:37:02 PM,Aaron #1,6554,1.750,,,,,,,,,,5.96,173.12,120.98,172.40,0.2
03/27/2024,02:41:02 PM,Aaron #1,6554,1.750,1188,,,415.7,844,2440,4114,Producing,25.5,,,,,
06/12/2024,04:36:50 PM,Aaron #1,6554,1.750,,,,,,,,,,5.87,173.27,99.39,102.91,94.4
06/12/2024,04:38:15 PM,
06/12/2024,04:38:15 PM,Aaron #1,6554,1.750,1182,,,267.7,509,2263,4291,Producing,70.0,,,,,
07/25/2024,11:21:01 AM,Aaron #1,6554,1.750,,,,,,,,,,6.73,170.76,101.72,105.13,96.9
07/25/2024,11:22:44 AM,Aaron #1,6554,1.750,1159,,,344.8,239,239,6314,Producing,156.3,,,,,
08/22/2024,01:18:47 PM,Aaron #1,6554,1.750,,,,,,,,,,5.55,172.28,63.01,141.25,47.0
08/22/2024,01:20:25 PM,Aaron #1,6554,1.750,1196,,,192.0,284,1272,5282,Producing,80.5,,,,,
12/20/2024,10:08:33 AM,Aaron #1,6554,1.750,,,,,,,,,,6.31,125.31,86.08,91.58,79.9
