Date,Time,Well Name,Seating Nipple Depth (ft),Plunger Diameter (in),ACU Acoustic Velocity (ft/s),ACU Tubing Pressure (psi (g)),Back Pressure (psi (g)),Back Pressure on Formation Due to Liquid Loading (psi (g)),Gas Free Above Pump (ft),Fluid Above Pump (ft),Distance to Liquid (ft),Well State,ACU Casing Pressure (psi (g))
10/18/2024,02:24:44 PM,
10/18/2024,02:24:44 PM,Haby#1,0,0.000,1176,,,,,,4800,Producing,9.5
10/23/2024,01:56:37 PM,Kleimann#1,6747,1.250,,,,,,,,,
10/23/2024,02:15:17 PM,Kleimann#1,6747,1.250,1083,,,,0,0,6788,Static,42.5
10/24/2024,10:28:52 AM,La Rosita #1 RE,5847,1.250,,,,,,,,,
10/24/2024,10:46:03 AM,La Rosita #1 RE,5847,1.250,1139,,,237.0,311,1181,4634,Producing,28.0
10/18/2024,01:23:05 PM,Lackey Five #1,6303,1.500,1070,,,54.9,17,63,6222,Producing,24.9
10/18/2024,01:27:46 PM,Lackey Five #1,6303,1.500,,,,,,,,,

10/02/2024,11:41:35 AM,Beeler #16 RE,5394,1.500,,,,,,,,,
10/02/2024,11:43:16 AM,Beeler #16 RE,5394,1.500,1141,,,423.6,557,1610,3784,Producing,24.5
10/02/2024,11:45:20 AM,Beeler #16 RE,5394,1.500,,,,,,,,,
10/03/2024,01:53:48 PM,Bruce Weaver #1,6845,1.250,1139,,,105.1,232,867,5914,Producing,19.2
10/03/2024,01:56:36 PM,Bruce Weaver #1,6845,1.250,,,,,,,,,
10/16/2024,02:28:10 PM,Bruce Weaver #1,6845,1.250,1128,,,123.4,280,866,5914,Producing,18.7
10/03/2024,02:04:47 PM,Bruce Weaver #2 RE,6368,1.500,,,,,,,,,
10/03/2024,02:06:39 PM,Bruce Weaver #2 RE,6368,1.500,1030,,,70.4,,,6493,Producing,38.2
10/03/2024,02:07:57 PM,Bruce Weaver #2 RE,6368,1.500,,,,,,,,,
10/16/2024,02:52:10 PM,Bruce Weaver #2 RE,6368,1.500,,,,,,,,,
10/16/2024,02:52:10 PM,
10/16/2024,03:04:57 PM,Bruce Weaver #2 RE,6368,1.500,1046,,,86.6,88,304,5972,Producing,36.4
10/30/2024,11:22:27 AM,Burns Ranch #2,6510,1.250,1248,,,,977,977,5444,Static,12.0
10/03/2024,03:41:33 PM,Cenizo #1,6345,1.250,1052,,,57.9,6,19,6318,Producing,10.2
10/29/2024,02:21:20 PM,CMWW #2,4960,1.500,1199,,,,740,740,4220,Static,52.2
11/01/2024,11:19:37 AM,CMWW #2,4960,1.500,,,,,,,,,
11/01/2024,11:35:00 AM,CMWW #2,4960,1.500,1173,,,339.6,493,1727,3233,Producing,35.9
11/04/2024,09:42:34 AM,CMWW #2,4960,1.500,1156,,,328.0,457,1601,3359,Producing,29.9
11/04/2024,09:48:01 AM,CMWW #2,4960,1.500,,,,,,,,,
10/08/2024,10:31:51 AM,Dale#1,7187,1.250,,,,,,,,,
10/08/2024,10:35:13 AM,Dale#1,7187,1.250,1132,,,,21,21,6597,Static,35.6
10/07/2024,04:24:27 PM,Dixondale #1,5403,1.750,,,,,,,,,
10/07/2024,04:25:54 PM,Dixondale #1,5403,1.750,1122,,,388.4,649,3044,2359,Producing,139.8
10/02/2024,03:03:15 PM,Drinkard#1,5604,1.750,,,,,,,,,
10/02/2024,03:04:40 PM,Drinkard#1,5604,1.750,1206,,,286.1,131,267,5337,Producing,179.2
10/03/2024,04:07:40 PM,Dunkle#2,6300,1.250,1084,,,8.2,,,6770,Producing,24.1
10/09/2024,04:07:34 PM,Haby#1,0,0.000,1176,,,,,,4798,Producing,9.6
10/18/2024,02:24:44 PM,Haby#1,0,0.000,1176,,,,,,4800,Producing,9.5
10/18/2024,02:24:44 PM,
10/02/2024,10:26:09 AM,JBeeler #1,6460,1.750,,,,,,,,,
10/02/2024,10:27:59 AM,JBeeler #1,6460,1.750,1260,,,410.5,809,3269,3190,Producing,29.3
10/02/2024,10:30:29 AM,JBeeler #1,6460,1.750,1257,,,409.8,814,3399,3060,Producing,29.5
10/08/2024,01:44:17 PM,JBeeler #1,6460,1.750,,,,,,,,,
