API14,Well Name,Well Number
42507334270400,RAB,1
42507334270300,RAB,1
42507334270200,RAB,1
42507334270100,RAB,1
42507334270000,RAB,1
42507333870200,THUSS,1
42507333870100,THUSS,1
42507333870000,THUSS,1
42507333860300,MDB,1
42507333860200,MDB,1
42507333860100,MDB,1
42507333860000,MDB,1
42507333800200,BRANTON,1
42507333800100,BRANTON,1
42507333800000,BRANTON,1
42507333700000,LACKEY FIVE,1
42507333640000,KLEIMANN,3
42507333460200,AARON,1
42507333460100,AARON,1
42507333460000,AARON,1
42507333400100,EILEEN,1
42507333400000,EILEEN,1
42507333370000,KAY,1
42507333350100,J. BEELER,1
42507333350000,J. BEELER,1
42507333330300,PICKENS-WEAVER,1
42507333330200,PICKENS-WEAVER,1
42507333330100,PICKENS-WEAVER,1
42507333330000,PICKENS-WEAVER,1
42507333320200,BUCK,1
42507333320100,BUCK,1
42507333320000,BUCK,1
42507333310100,PALM,1
42507333310000,PALM,1
42507333260100,WHITTINGTON,1
42507333260000,WHITTINGTON,1
42507333250100,JANIE,1
42507333250000,JANIE,1
42507333210000,JOSEPH,1
42507333180100,HEITZ,1
42507333180000,HEITZ,1
42507333170100,KILEY,1
42507333170000,KILEY,1
42507333060100,KLEIMANN,1
42507333060000,KLEIMANN,1
42507333020100,PARSONS-HIMEBROOK,1
42507333020000,PARSONS-HIMEBROOK,1
42507333000200,MUSTANG RANCH,1H
42507333000100,MUSTANG RANCH,1H
42507333000000,MUSTANG RANCH,1H
42507332990100,BEELER RANCH,1
42507332990000,BEELER RANCH,1
42507332980300,LANDER,1
42507332980200,LANDER,1
42507332980100,LANDER,1
42507332980000,LANDER,1
42507332960100,CAROLYN,1
42507332960000,CAROLYN,1
42507332950100,BRANTON,1
42507332950000,BRANTON,1
42507332940000,GONZALES,1
42507332850000,DEL MONTE,1
42507332830000,CHAD,1
42507332820200,PECAN GROVE,1
42507332820100,PECAN GROVE,1
42507332820000,PECAN GROVE,1
42507332810300,PARKWAY,1
42507332810200,PARKWAY,1
42507332810100,PARKWAY,1
42507332810000,PARKWAY,1
42507332790000,RHODES,1
42507332690000,LT,1
42507332570000,KIRBY,1
42507332510100,PRESTON,1
42507332510000,PRESTON,1
42507332420100,BLACKMON,1
42507332420000,BLACKMON,1
42507332380000,GAIL,1
42507332260200,RICHARD,1
42507332260100,RICHARD,1
42507332260000,RICHARD,1
42507332080100,CENIZO,1
42507332080000,CENIZO,1
42507332070100,PC,1
42507332070000,PC,1
42507331990100,DALE,1
42507331990000,DALE,1
42507331720100,RUTHPICK,1
42507331720000,RUTHPICK,1
42507331500100,CAROLPICK,1
42507331500000,CAROLPICK,1
42507331300100,KILEY,1
42507331300000,KILEY,1
42507331090700,BRUCE WEAVER,2H
42507331090600,BRUCE WEAVER,2H
42507331090500,BRUCE WEAVER,2H
42507331090400,BRUCE WEAVER,2H
42507331090300,BRUCE WEAVER,2H
42507331090200,BRUCE WEAVER,2H
42507331090100,BRUCE WEAVER,2H
42507331090000,BRUCE WEAVER,2H
42507330980100,JESSICA,1
42507330980000,JESSICA,1
42507330230600,PFEIFFER,1
42507330230500,PFEIFFER,1
42507330230400,PFEIFFER,1
42507330230300,PFEIFFER,1
42507330230200,PFEIFFER,1
