Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
AL #1,2016-03-31,0.0,31.9,0.0,0,0,16/64 choke
Allen 1,2016-03-31,0.0,0.0,0.0,0,0,
American Breco #3X-D&F,2016-03-31,0.0,0.0,0.0,0,0,
Ann #1,2016-03-31,0.0,0.0,0.0,0,0,
Betty #1,2016-03-31,1.67,0.0,0.0,0,0,
Boone Est GU #1,2016-03-31,0.0,6.0,0.0,0,0,
Bowman 1,2016-03-31,0.0,0.0,0.0,0,0,
Box 1,2016-03-31,0.0,0.0,0.0,0,0,
Breco-Dyer #1,2016-03-31,0.0,0.0,0.0,0,0,
Carpenter #1,2016-03-31,0.0,119.0,2.32,0,0,
Clayton 1,2016-03-31,0.0,0.0,0.0,0,0,
Cornette #1,2016-03-31,0.0,0.0,0.0,0,0,
Dyer #1,2016-03-31,0.0,42.0,0.0,0,0,
Dyer #2,2016-03-31,0.0,0.0,0.0,0,0,Rods parted
Dyer #7,2016-03-31,0.0,42.0,0.0,0,0,
Dyer Unit #10,2016-03-31,0.0,25.0,0.0,0,0,
Etta #1,2016-03-31,0.0,0.0,0.0,0,0,POL TODAY
Flying G #1,2016-03-31,5.01,0.0,13.92,0,0,
Fridel #1,2016-03-31,4.54,26.0,63.19,0,0,
GB #1,2016-03-31,0.0,0.0,0.0,0,0,
George Foundation #1 & SP,2016-03-31,0.0,0.0,0.0,0,0,
Glaze #1,2016-03-31,1.67,360.0,392.18,0,0,
Haby #1,2016-03-31,0.0,0.0,0.0,0,0,
Hill #1,2016-03-31,0.0,0.0,0.0,0,0,
Hilmar Unit #2,2016-03-31,0.0,25.0,0.0,0,0,
Huber #1,2016-03-31,0.0,0.0,0.0,0,0,
JM Moore 178,2016-03-31,8.35,263.0,1.67,0,0,
JM Moore 192,2016-03-31,25.05,0.0,132.0,0,0,
Joe #1,2016-03-31,3.34,0.0,43.42,0,0,
Kirby #1,2016-03-31,50.58,0.0,78.49,0,0,
Knotts Unit #1H,2016-03-31,0.0,0.0,0.0,0,0,OFF
Kresta #1,2016-03-31,0.0,235.0,0.0,0,0,
Lansford #1,2016-03-31,0.0,0.0,0.0,0,0,
Lastly Unit #1,2016-03-31,0.0,0.0,0.0,0,0,Sibu
Lee #1H,2016-03-31,0.0,55.9,0.0,0,0,16/64 choke
Lisa #1,2016-03-31,0.0,0.0,0.0,0,0,
Lloyd #1,2016-03-31,4.54,7.0,0.0,0,0,
McLean #1,2016-03-31,0.0,0.0,0.0,0,0,
Montemayor #1,2016-03-31,0.0,0.0,0.0,0,0,
Peters EE A,2016-03-31,9.08,0.0,8.12,0,0,
Pierce Ranch #4,2016-03-31,0.0,31.0,10.02,0,0,
Preston #1,2016-03-31,13.36,0.0,71.81,0,0,
Pritchett #1,2016-03-31,0.0,0.0,0.0,0,0,
Stange #1D,2016-03-31,0.0,220.0,0.0,0,0,
Terrell #1,2016-03-31,0.0,343.0,16.7,0,0,
Wayne #1,2016-03-31,0.0,253.0,0.0,0,0,
Wendel Unit #1,2016-03-31,6.96,0.0,201.0,0,0,
Wendel-Rioux #1,2016-03-31,2.32,0.0,168.0,0,0,
