Well Name,Oil,Gas
Buchanan Unit #1,22857.00,23251.00
CARROLL UNIT #1,22325.00,351103.00
EVA #1,275187.00,140919.00
FEATHER CREST FARMS #1,93205.00,151258.00
Jones #1,82934.00,31990.00
KADAV #1,159977.00,33163.00
Leon T-Bar-X Unit 1,212541.00,85497.00
MCDUFFIE UNIT #1,88578.00,232419.00
MOSLEY #1,140662.00,577123.00
Murphey-Smith #1,50783.00,249568.00
ORTIZ UNIT #1,551998.00,232814.00
SANDIFER UNIT #1,396159.00,188201.00
Smith Georgette #1,382578.00,188014.00
SOELL #1,95752.00,29093.00
Spiller T-Bar-X #1,89131.00,0.00
Timothy #1,166990.00,51189.00
WICKSON UNIT #1,84798.00,613474.00
